,YAbR10-OD1-MTB-1.bam.sorted.bam,YAbR18-OD1-PACS2-3.bam.sorted.bam,YAbR24-OD3-C3719-3.bam.sorted.bam,YAbR32-OD3-PA14-2.bam.sorted.bam,YAbR4-OD1-C3719-1.bam.sorted.bam,YAbR11-OD1-MTB-2.bam.sorted.bam,YAbR1-OD1-B133-1.bam.sorted.bam,YAbR25-OD3-CF5-1.bam.sorted.bam,YAbR33-OD3-PA14-3.bam.sorted.bam,YAbR5r-OD1-C3719-.bam.sorted.bam,YAbR13-OD1-PA14-.bam.sorted.bam,YAbR20r-OD3-B133-2.bam.sorted.bam,YAbR27-OD3-CF5-.bam.sorted.bam,YAbR34r-OD3-PACS2-.bam.sorted.bam,YAbR8-OD1-CF5-2.bam.sorted.bam,YAbR14-OD1-PA14-.bam.sorted.bam,YAbR21-OD3-B133-3.bam.sorted.bam,YAbR28r-OD3-MTB-1.bam.sorted.bam,YAbR36-OD3-PACS2-3.bam.sorted.bam,YAbR9-OD1-CF5-3.bam.sorted.bam,YAbR17-OD1-PACS2-2.bam.sorted.bam,YAbR22-OD3-C3719-1.bam.sorted.bam,YAbR30-OD3-MTB-3.bam.sorted.bam,YAbR3-OD1-B133-3.bam.sorted.bam
PA14_RS00005,4528,869,259,2136,406,2115,1389,2775,2632,5814,272,189,3060,974,1255,1501,35,1560,3096,2706,1376,2375,943,1704
PA14_RS00010,3443,1361,135,2380,778,1586,1630,1499,2223,4274,335,358,1944,1339,1023,1960,149,1636,1136,1492,2679,1494,926,1204
PA14_RS00015,1470,631,8,713,265,982,651,401,563,1707,137,92,757,303,317,788,10,472,433,501,756,726,220,688
gyrB,5224,2321,39,2934,1245,1972,3044,1850,3597,8143,617,353,2946,967,1558,3583,14,1675,1140,2079,3277,2647,1258,2295
PA14_RS00025,313,64,13,73,86,87,123,127,95,574,30,29,205,63,132,95,4,38,103,157,71,228,24,83
PA14_RS00030,321,68,3,98,24,112,110,46,97,240,22,25,41,55,52,97,1,90,80,66,94,74,55,128
PA14_RS00035,142,94,8,866,18,52,85,167,932,256,27,201,134,321,71,98,167,342,769,135,171,115,249,153
PA14_RS00040,3272,794,71,314,372,1092,1151,758,703,3167,192,209,1056,300,751,1163,32,236,412,1446,665,1424,214,2374
glyQ,861,126,11,118,78,279,279,151,239,898,59,31,211,112,220,311,3,59,55,280,189,248,71,306
PA14_RS00050,131,26,0,39,7,53,36,85,93,130,16,12,76,52,51,23,5,35,98,68,21,78,39,101
PA14_RS00055,479,67,42,147,45,202,205,154,205,687,51,33,155,123,118,174,7,103,120,118,130,125,68,184
PA14_RS00060,74,26,0,57,2,23,24,27,42,49,8,0,24,54,48,23,1,36,38,58,47,13,10,32
PA14_RS00065,84,13,0,73,4,20,31,72,79,94,16,6,76,22,70,36,0,31,29,45,52,13,20,21
PA14_RS00070,39,2,0,15,5,2,11,18,18,43,2,2,13,6,5,23,0,9,9,1,8,6,2,7
PA14_RS00075,318,24,2,220,18,118,102,81,279,419,27,41,90,60,26,186,4,142,137,55,37,59,51,159
PA14_RS00080,1218,125,9,389,63,426,385,149,545,742,91,38,222,150,214,632,21,286,245,238,212,149,192,344
PA14_RS00085,330,35,31,39,19,34,67,36,70,315,33,8,29,29,19,62,10,15,70,61,38,51,5,91
PA14_RS00090,251,26,3,20,10,36,34,13,41,156,27,3,16,20,12,35,7,18,17,27,29,14,9,74
PA14_RS00095,1214,506,38,1195,204,706,627,2174,972,2521,113,69,5478,473,971,571,19,687,746,747,879,851,417,341
PA14_RS00100,2173,183,17,211,191,525,491,412,343,1352,113,92,505,263,350,635,5,277,321,398,323,628,135,849
dprA,12,11,0,17,6,4,6,21,15,58,8,1,9,4,5,13,1,8,6,7,4,11,8,11
PA14_RS00110,83,10,16,26,22,22,29,68,45,190,22,14,47,19,42,12,3,28,29,42,19,56,28,50
PA14_RS00115,1061,67,64,255,72,225,136,551,450,910,30,187,419,185,157,124,45,519,291,252,65,295,170,229
PA14_RS00120,1750,857,14,165,127,475,762,285,144,1564,91,32,247,61,213,424,22,95,78,555,481,181,57,1251
PA14_RS00125,365,63,12,56,49,118,179,126,49,463,52,18,60,19,74,121,5,62,27,189,54,101,20,427
PA14_RS00130,451,19,28,319,10,172,128,124,381,328,37,52,114,46,38,139,65,154,35,41,48,121,98,103
PA14_RS00135,366,25,24,310,17,74,65,29,413,227,33,102,44,26,6,55,79,133,44,21,9,115,119,248
PA14_RS00140,59,0,17,89,3,12,30,5,83,87,13,23,4,5,1,20,5,49,14,3,1,23,37,44
PA14_RS00145,36,6,2,93,10,8,13,26,109,71,8,4,20,10,8,14,0,38,18,24,7,36,50,8
PA14_RS00150,13,5,3,10,5,2,8,11,27,40,4,6,10,7,1,13,0,8,23,4,4,28,4,5
betC,136,51,5,89,39,70,36,131,102,222,13,25,279,82,57,74,1,72,202,59,71,186,43,62
PA14_RS00160,133,30,3,37,16,25,42,65,43,176,8,12,79,24,30,27,2,12,36,80,35,44,3,23
PA14_RS00165,73,20,1,15,22,14,6,18,19,135,16,5,36,20,12,43,0,32,36,25,16,43,4,23
PA14_RS00170,56,7,1,12,8,13,9,9,14,59,0,4,13,6,18,8,2,12,8,18,7,34,2,26
PA14_RS00175,70,34,1,30,21,38,14,56,41,111,10,4,80,24,27,23,0,38,18,31,57,23,10,22
PA14_RS00180,174,38,26,32,67,56,43,124,92,477,28,10,228,60,74,58,4,60,87,192,46,214,49,54
trpB,271,55,24,112,58,120,93,195,113,491,34,24,295,74,78,96,7,91,98,92,70,256,44,63
PA14_RS00190,361,178,5,28,29,93,24,108,36,232,11,11,174,57,117,79,0,37,97,174,29,169,16,105
PA14_RS00195,270,114,5,2644,88,235,180,313,1963,714,24,72,617,579,143,191,5,2290,899,138,318,566,2760,72
PA14_RS00200,396,553,3,4755,420,240,257,800,2521,3087,59,361,897,1329,123,353,5,3310,1633,143,2085,1839,2084,97
PA14_RS00205,27,2,1,13,3,10,41,1,47,30,6,7,5,4,4,20,0,18,3,9,3,11,2,86
PA14_RS00210,485,201,29,248,98,116,306,104,243,511,72,101,99,148,107,194,2,172,119,104,98,276,199,484
PA14_RS00215,0,3,0,21,1,0,0,0,53,5,1,0,1,4,0,10,0,0,13,0,8,0,0,1
PA14_RS00220,195,66,0,98,67,69,35,72,48,205,11,20,85,55,32,47,0,84,51,48,36,118,65,18
PA14_RS29945,7,1,1,3,1,0,0,4,7,21,5,0,3,4,2,4,0,0,2,0,1,2,0,1
PA14_RS00225,120,12,5,28,6,26,21,33,43,122,17,8,32,21,18,24,0,40,43,23,18,22,19,23
PA14_RS00230,1650,18,17,88,16,340,196,211,168,879,69,56,131,33,48,99,21,561,47,78,25,54,193,197
PA14_RS00235,379,174,0,23,30,87,208,132,29,219,56,7,186,33,17,192,0,20,33,39,92,67,9,202
PA14_RS00240,106,65,1,8,0,18,48,7,5,86,22,1,7,13,5,28,1,0,9,18,37,17,5,168
PA14_RS00245,299,178,7,20,21,91,131,53,29,287,25,6,81,88,26,122,22,37,72,48,97,39,22,253
PA14_RS00250,81,67,2,160,135,18,52,208,144,468,6,70,182,13,24,24,57,541,15,50,70,23,340,44
PA14_RS00255,62,48,1,95,101,14,46,409,118,812,10,159,349,3,57,18,52,343,12,61,36,25,239,34
PA14_RS00260,3,20,0,234,5,3,39,6,293,32,5,88,11,77,12,13,5,23,82,18,27,7,26,62
PA14_RS29950,14,6,0,180,0,5,13,6,250,28,2,23,6,55,1,10,1,35,97,1,5,32,16,20
asnB,505,213,69,2713,143,224,315,453,3110,1394,87,515,766,622,394,278,184,1561,1093,442,245,733,1170,209
PA14_RS00270,32,1,9,115,7,7,17,4,86,47,2,66,6,2,0,5,4,154,9,7,6,14,117,20
PA14_RS00275,38,15,9,10,11,8,9,27,16,144,8,9,19,10,12,5,0,4,46,15,9,91,2,17
PA14_RS00280,121,19,5,56,17,43,45,95,68,289,13,24,97,36,75,38,5,30,76,95,13,63,23,36
PA14_RS00285,57,1,6,3,2,2,4,11,4,75,2,2,15,1,3,5,0,1,15,8,5,4,0,18
PA14_RS00290,27,16,2,15,9,5,8,9,20,35,6,12,14,5,7,5,2,14,5,21,7,12,12,13
PA14_RS00295,11,1,0,6,0,1,5,2,9,25,1,1,6,4,4,6,0,3,7,8,2,9,1,7
PA14_RS00300,75,15,47,484,27,13,21,22,678,122,7,50,33,120,6,14,38,813,132,15,32,193,608,34
PA14_RS00305,58,12,53,156,15,21,57,75,166,185,5,6,58,67,24,36,62,81,73,31,40,80,136,26
PA14_RS00310,294,54,8,58,29,29,31,217,109,383,25,51,208,62,74,50,2,45,159,184,46,159,41,130
PA14_RS00315,82,47,10,80,41,28,49,116,142,296,2,47,114,37,57,31,6,60,86,83,61,281,42,46
PA14_RS00320,235,64,16,75,23,79,80,56,97,414,36,21,89,56,34,71,5,67,40,54,51,148,22,139
PA14_RS00325,259,93,13,40,52,89,72,79,89,439,40,32,134,74,70,95,15,58,197,129,86,250,21,170
PA14_RS00330,246,39,7,44,63,76,64,132,80,359,11,28,229,105,71,61,1,47,177,144,74,254,31,118
PA14_RS00335,262,31,6,22,31,71,55,125,30,254,21,14,136,67,70,71,0,45,62,119,43,80,19,60
PA14_RS00340,2839,925,150,1563,605,1035,950,1134,1536,4690,224,300,1560,963,600,897,106,817,1427,1436,1287,1779,529,1649
PA14_RS00345,1872,66,39,56,58,549,91,208,114,951,46,35,237,87,45,55,7,267,82,129,88,203,65,94
PA14_RS00350,137,42,12,42,27,49,33,55,53,225,11,1,64,56,28,46,1,40,87,38,47,70,22,83
PA14_RS00355,1145,464,14,210,257,354,696,82,254,2625,122,48,195,168,15,426,7,355,68,21,351,232,167,296
PA14_RS00360,866,184,12,206,121,247,305,156,208,1070,41,12,237,152,100,198,40,253,252,117,263,411,126,194
PA14_RS00365,130,13,4,1,16,11,20,4,8,285,2,1,0,4,0,12,0,8,3,4,14,54,4,46
PA14_RS00370,65,6,5,5,11,12,20,0,2,203,2,0,1,2,0,3,0,12,8,1,7,30,2,42
PA14_RS00375,1701,172,87,107,162,313,270,168,138,1732,45,19,128,69,38,129,4,345,127,54,172,606,131,312
PA14_RS00380,162,38,50,7,20,72,54,10,11,301,9,1,0,4,4,17,2,71,15,0,39,111,8,71
PA14_RS00385,190,32,18,4,19,16,27,12,6,332,2,4,2,2,3,5,5,22,6,2,22,55,10,50
PA14_RS00390,1833,600,104,146,254,445,330,39,216,1860,69,42,35,130,35,170,7,465,250,49,296,1179,357,495
PA14_RS00395,525,93,36,26,68,122,98,10,30,524,20,14,14,13,3,32,0,65,32,5,51,132,40,171
PA14_RS00400,1671,327,35,60,98,264,638,105,76,1857,21,16,104,85,30,88,5,290,203,22,151,910,135,512
PA14_RS00405,346,70,52,14,55,119,45,0,31,493,9,5,1,35,2,29,0,49,64,9,32,515,24,184
PA14_RS00410,2025,210,56,353,146,743,296,503,361,2323,68,60,624,590,336,169,9,1278,699,488,258,994,312,244
PA14_RS00415,815,320,81,167,96,354,202,250,174,1404,24,17,314,111,116,128,0,272,232,156,180,897,136,250
PA14_RS00420,2647,1585,25,161,303,753,814,73,189,4801,35,8,140,145,53,245,5,370,136,111,802,2207,351,687
PA14_RS00425,3659,2321,148,419,609,1123,1011,174,466,4056,130,51,230,228,172,628,11,927,285,273,1281,2816,1120,960
PA14_RS00430,3698,1614,157,502,730,1115,927,126,889,3903,129,71,182,395,120,418,11,2304,286,483,1089,4222,2043,1024
PA14_RS00435,554,341,43,17,105,137,108,41,60,685,11,2,42,41,37,40,1,119,107,55,184,517,105,229
PA14_RS00440,130,163,11,7,34,59,41,23,11,313,5,12,27,16,6,26,0,25,11,41,65,141,6,33
PA14_RS00445,617,321,104,14,76,140,167,16,46,862,14,6,15,35,12,58,0,54,76,42,102,546,61,174
PA14_RS00450,274,74,23,6,16,44,41,6,9,279,13,2,3,5,8,30,0,27,14,13,28,124,20,101
clpV,1530,795,134,1169,421,388,679,264,1295,2758,118,123,304,211,95,264,44,1329,387,230,475,1710,721,974
PA14_RS00460,862,279,106,94,197,210,301,157,158,1314,53,20,116,48,33,144,3,212,60,71,196,776,94,305
PA14_RS00465,134,0,0,42,0,71,66,1,58,51,23,5,2,0,0,52,2,80,0,0,1,3,37,75
PA14_RS00470,37,0,0,14,1,26,26,2,14,24,2,1,0,1,0,23,0,9,1,0,0,0,5,32
PA14_RS00475,324,25,17,25,16,94,109,37,42,241,20,14,42,21,6,52,0,40,25,16,11,98,21,149
PA14_RS00480,62,11,7,19,12,33,30,37,6,157,6,2,25,20,14,18,2,8,23,10,12,17,7,11
PA14_RS00485,640,224,5,336,126,263,248,212,309,962,68,47,242,397,77,186,7,299,441,133,313,464,184,189
PA14_RS00490,15,5,7,3,1,5,12,8,3,35,2,0,8,16,4,4,4,8,10,1,7,5,6,3
PA14_RS00495,72,96,7,17,28,12,20,11,35,127,6,10,8,43,2,11,0,20,66,17,23,97,22,22
PA14_RS00500,76,50,16,20,10,16,1,2,48,127,3,4,0,17,4,18,0,31,48,0,26,84,34,6
PA14_RS00505,200,11,11,146,3,72,0,3,234,76,21,5,3,16,0,76,0,290,24,2,25,32,233,1
PA14_RS00510,170,0,0,122,1,67,3,1,121,47,16,0,1,1,0,52,0,219,4,0,0,2,166,3
PA14_RS00515,96,25,16,11,4,5,9,14,57,153,8,4,9,16,3,6,0,17,33,12,8,44,7,7
PA14_RS00520,1380,684,38,472,1116,626,261,390,510,2687,41,148,724,602,294,244,40,609,740,461,426,3651,763,294
PA14_RS00525,94,15,7,48,60,38,28,20,59,308,6,26,24,19,19,11,0,96,33,15,16,151,61,57
PA14_RS00530,163,20,4,59,47,50,65,77,62,325,13,32,133,57,48,39,2,127,110,122,49,201,80,77
PA14_RS29955,20,16,0,229,14,15,15,122,147,99,3,55,165,459,14,6,7,246,2412,7,9,67,109,23
coxB,247,113,24,1471,58,122,52,533,1029,688,17,355,794,5587,74,60,119,917,5914,176,88,464,753,156
ctaD,688,1060,31,3102,212,2730,545,639,1676,909,198,403,820,3557,1802,649,91,2657,5340,1370,935,2329,1840,374
PA14_RS00545,10,6,3,69,11,10,8,103,90,110,1,48,94,672,6,1,3,184,555,11,9,49,117,1
PA14_RS00550,132,34,12,682,29,85,82,170,534,286,34,98,175,1545,55,48,51,659,2576,93,63,250,463,57
PA14_RS00555,9,0,5,70,3,5,7,26,63,58,2,25,32,134,6,8,33,71,167,23,7,11,23,6
PA14_RS00560,7,0,2,10,1,0,0,10,16,42,0,9,6,57,0,2,5,18,144,2,0,10,2,2
PA14_RS00565,5,0,3,11,0,0,0,10,12,10,0,5,8,59,0,0,2,26,140,20,1,2,1,0
PA14_RS00570,6,3,6,20,2,6,2,20,31,55,3,10,16,151,3,2,4,48,326,5,0,19,12,1
PA14_RS00575,55,6,8,55,15,22,23,81,72,115,13,44,75,581,27,25,2,139,1080,33,20,93,61,23
PA14_RS00580,212,79,3,76,20,63,80,51,80,223,13,21,66,177,63,77,2,59,174,91,138,90,26,99
PA14_RS00585,190,45,0,10,4,36,15,32,30,141,8,9,55,40,16,31,0,3,46,69,35,18,5,46
PA14_RS00590,236,60,0,200,39,135,78,203,297,322,11,54,257,117,98,117,0,81,238,189,83,166,61,174
PA14_RS00595,248,18,1,25,5,112,30,62,21,143,5,6,68,30,48,27,0,39,41,108,39,34,18,30
PA14_RS00600,117,14,4,13,4,35,10,41,19,97,6,8,68,43,51,18,4,37,69,78,11,29,13,39
PA14_RS00605,323,126,3,34,68,126,118,235,26,470,31,4,327,39,146,85,0,69,62,300,171,196,21,68
PA14_RS00610,238,100,13,63,41,97,55,270,143,481,26,34,254,113,83,44,7,126,154,204,103,174,31,215
PA14_RS00615,79,14,10,32,5,17,19,101,48,213,11,11,81,25,8,12,7,21,18,25,12,24,14,22
PA14_RS00620,208,50,23,11009,31,117,544,147,4917,453,75,725,242,869,59,397,197,1771,1204,52,73,183,763,140
PA14_RS00625,333,61,21,278,20,62,63,146,328,286,18,62,117,142,44,86,21,87,200,85,104,63,77,86
PA14_RS00630,14,2,1,8,1,4,5,12,3,27,2,2,23,3,6,4,0,2,3,3,1,3,2,14
PA14_RS00635,34,6,0,0,2,4,4,15,2,44,1,2,16,13,3,3,0,1,12,1,3,1,0,5
PA14_RS00640,50,36,1,38,16,14,35,19,31,112,13,11,57,16,12,19,4,10,28,31,47,79,1,37
PA14_RS00645,79,23,3,13,5,18,14,31,23,92,13,17,45,31,9,13,0,24,15,27,13,37,9,49
PA14_RS00650,351,251,2,168,163,178,272,88,144,443,123,85,76,120,161,292,0,188,156,149,205,115,111,285
