,High-Mg-Rep1,High-Mg-Rep2,High-Mg-Rep3,0point75percent-DNA-Rep1,0point75percent-DNA-Rep2,0point75percent-DNA-Rep3
aat,34.6088499,26.3861492,24.6297191,35.44671194,22.7786982,71.2489401
accA,541.6854287,481.817743,585.5502061,434.6834758,486.6282046,547.0535079
accB,943.6028924,832.9563888,1025.60033,595.792624,911.1962915,967.2056228
accC,613.5325069,583.436849,755.3989594,529.721571,545.8029192,652.930565
accD,651.7915116,500.8532395,676.2931541,404.3939958,497.5306046,645.3347588
aceA,162.4404102,159.4989813,178.6580567,136.1233693,183.0502469,124.9832598
aceE,1150.278124,1083.067255,1085.264084,1365.747159,1056.990931,1188.540266
aceF,681.9910255,668.5534374,663.1596824,895.6763142,654.2086469,790.3113884
aceK,143.6874594,117.4442326,108.3366746,137.4709959,107.3515121,119.7001369
ackA,76.7152409,128.8913287,96.2492012,104.3995405,93.8155584,84.1659421
acnA,166.3146002,170.9451729,123.9704875,186.5864723,97.4366526,115.3982559
acnB,366.3650798,205.3924137,334.1714997,339.891187,327.8779787,343.9194529
acoB,33.0092812,20.5527407,49.3318786,17.74941973,22.8121963,36.9982241
acoR,39.4423999,47.8407018,58.9460786,48.20129958,66.0800575,31.5776719
acpP,6989.610838,6242.38396,6765.752672,6404.020594,7330.704098,7233.721508
acsA,153.1995168,104.1146725,145.7762058,154.2638729,101.7762951,130.9205346
acsB,71.2305542,95.8097687,64.0448951,76.29136549,80.0427941,76.5000875
ada,18.7573631,36.1492694,37.3767994,39.22341592,26.4059468,37.5429652
adhA,484.2644405,532.607883,632.4452312,419.3278849,467.3285697,416.5189498
adhC,381.1637756,277.1493953,201.937142,306.3489245,213.7063494,239.7690074
adk,581.9414022,300.4071228,424.4977705,419.0835213,363.0706553,507.5020957
aer,210.7029215,263.91204,289.1868748,188.8284372,208.0192614,225.4927344
aer2,103.9792358,205.5274071,78.9310058,72.47679722,50.6937696,51.5332408
aguA,130.7847402,67.6338738,93.9400182,98.12687329,81.7419862,104.7065499
aguB,57.4564281,47.6991935,41.9798012,54.92425672,35.2953208,55.1996908
aguR,30.332853,44.9673864,90.6639932,54.36759196,69.8751959,60.7113717
ahpC,1116.345798,1051.375763,1165.77177,979.0504392,994.7304042,1084.925129
ahpF,378.4052468,283.0361009,310.6081247,273.6085519,345.0478225,364.9195397
alaS,351.4451015,195.0916482,238.9730167,302.3148785,253.1212335,287.5290562
alc,23.592219,59.9565152,47.0109594,148.000667,157.8661834,156.5004247
alg44,11.5109288,2.559682,17.2029115,7.736926548,15.4680989,2.3039187
alg8,20.4057375,14.117034,42.9203954,26.41496134,29.5969685,23.5977129
algA,23.2845552,22.7822318,13.9193682,22.95395221,28.6072725,24.2341658
algB,122.2076945,88.7356424,99.3945999,111.7556057,103.41529,111.8168552
algC,399.0992837,331.3243546,347.0242497,377.1751692,260.0240767,352.4399799
algD,20.5458226,22.8438439,43.4993529,32.22244008,21.6927572,34.9541902
algE,6.8573252,8.1325945,4.5547424,14.33931397,5.2655443,10.9799792
algF,5.1719611,4.6003501,15.4588375,18.54010048,3.9714013,20.7034171
algG,107.280164,155.9806215,137.7181612,101.6893839,82.3773756,97.4506796
algI,30.1581917,21.0768441,34.339785,23.1662292,38.0446524,36.2170716
