,WT_count,ClpV3-KO_count
PA0001,275.5,299.5
PA0002,345.5,284.5
PA0003,430.5,442.5
PA0004,754.5,1210
PA0005,23.5,14
PA0006,4,14
PA0007,639.5,393.5
PA0008,40,92.5
PA0009,31,76.5
PA0010,6.5,4.5
PA0011,52,61
PA0012,9,3
PA0013,0,1
PA0014,1,0.5
PA0015,59,50.5
PA0016,173.5,154.5
PA0017,11.5,23
PA0018,18,11
PA0019,102,174.5
PA0020,195,179.5
PA0021,10,4.5
PA0022,5.5,7.5
PA0023,53,75.5
PA0024,25.5,60.5
PA0025,5,5
PA0026,108.5,128.5
PA0027,79,94.5
PA0028,12,13
PA0029,2,1.5
PA0030,3,2.5
PA0031,0,4
PA0032,6,8
PA0033,1,0
PA0034,0.5,0
PA0035,26.5,36
PA0036,18.5,28.5
PA0037,5,2
PA0038,219.5,170
PA0039,4311,2635.5
PA0040,2,11.555
PA0041,130.865,149.205
PA0042,26.5,40
PA0043,3,1.5
PA0044,220,36
PA0045,7.5,8
PA0046,3,3.5
PA0047,0.5,3
PA0048,0,2
PA0049,34.5,58
PA0050,46.5,34.5
PA0051,14.5,8.5
PA0052,45,17
PA0053,17,4.5
PA0054,4,4
PA0055,25,31.5
PA0056,0,1
PA0057,5,0
PA0058,2.5,0
PA0059,107.5,44
PA0060,27,20.5
PA0061,32,28
PA0062,9,2
PA0063,12,10.5
PA0064,11.5,17.5
PA0065,26,13
PA0066,21.5,43
PA0067,192.5,262
PA0068,52,34
PA0069,8.5,10.5
PA0070,215,589
PA0071,73,92
PA0072,11,8.5
PA0073,2.5,8.5
PA0074,46.5,117.5
PA0075,5,6.5
PA0076,0.5,4.5
PA0077,41,94
PA0078,9,23.5
PA0079,39.5,58.5
PA0080,1,13
PA0081,85,101
PA0082,14,16
PA0083,27,55.5
PA0084,124,269
PA0085,157.5,342
PA0086,10,17.5
PA0087,0,4
PA0088,5.5,12
PA0089,11,16
PA0090,110,189.5
PA0091,44.1,64.71
PA0092,4.5,8
PA0093,3.5,17
PA0094,20.5,13
PA0095,130.9,159.29
PA0096,2,1.5
PA0097,18,23
PA0098,9,5.5
PA0099,62.5,50.5
PA0100,123,176
PA0101,18,19.5
PA0102,277.5,175
PA0103,7,0
PA0104,16.5,7
PA0105,108.5,47.5
PA0106,20.5,18.5
PA0107,11,1
PA0108,20.5,9.5
PA0109,2,5.5
PA0110,3.5,2
PA0111,3.5,3
PA0112,0.5,1
PA0113,8,2
PA0114,38.5,57.5
PA0115,5,3
PA0116,257.5,115.5
PA0117,2,1
PA0118,4.5,12.5
PA0119,0.5,7
PA0120,13.5,18
PA0121,17.5,16.5
PA0122,6168.5,1608.5
PA0123,4,4.5
PA0124,0,1
PA0125,0.5,0
PA0126,20,26
PA0127,1,5
PA0128,3.5,20
PA0129,22,19
PA0130,180,140.5
PA0131,6.5,5.5
PA0132,122,66
PA0133,2.5,4.5
PA0134,59.5,60
PA0135,0,0
PA0136,3,4
PA0137,1,1
PA0138,0,1
PA0139,2024.5,2063
PA0140,25.5,36.5
PA0141,887.5,1795.5
PA0142,4.5,2
PA0143,53.5,43.5
PA0144,17,13
PA0145,1,3.5
PA0146,2.5,1.5
PA0147,5.5,10
PA0148,80,45
PA0149,0,0
PA0150,0,0.5
PA0151,1,3.5
PA0152,1.5,6
PA0153,0,2
PA0154,0,3
PA0155,10,9.5
PA0156,163.5,60
PA0157,48,26
PA0158,214,153
PA0159,84,65
PA0160,0,0
PA0161,3.5,4.5
PA0162,6,43.5
PA0163,6,9.5
PA0164,9,12.5
PA0165,1.5,11
PA0166,0,0
PA0167,3.5,8
PA0168,8.5,7.5
PA0169,1,4
PA0170,0,1.5
PA0171,0,2
PA0172,2,6.5
PA0173,47,22.5
PA0174,18.5,25.5
PA0175,763.5,563
PA0176,3143,2153.5
PA0177,383,285.5
PA0178,1282.5,822
PA0179,895.5,804
PA0180,625,259
PA0181,5,5
PA0182,5,0.5
PA0183,31.5,33.5
PA0184,3,2.5
PA0185,0.5,1.5
PA0186,5,0.5
PA0187,24,4.5
PA0188,5.5,2
PA0189,1,0
PA0190,0,1
PA0191,0,1.5
PA0192,1,1
PA0193,6.5,4.5
PA0194,6,0.5
PA0195,331,148
PA0195.1,4.5,7.5
PA0196,104,36
PA0197,0,0
PA0198,0,0
PA0199,0,0.5
PA0200,385.5,332.5
PA0201,5,11.5
PA0202,0,1
PA0203,2,3.5
PA0204,0,0.5
PA0205,0.5,0.5
PA0206,0,3
PA0207,2,12
PA0208,196,49
PA0209,17,6.5
PA0210,2.5,2.5
PA0211,47.5,6.5
PA0212,9,5
PA0213,4.5,2
PA0214,12,3
PA0215,11.5,7
