,Pa_coculture_WT_Ca_1,Pa_coculture_WT_Ca_2,Pa_coculture_WT_Ca_3,Pa_coculture_WT_Ca_4,Pa_coculture_WT_Ca_5,Pa_coculture_adh1mut_Ca_1,Pa_coculture_adh1mut_Ca_2,Pa_coculture_adh1mut_Ca_3,Pa_coculture_adh1mut_Ca_4,Pa_coculture_adh1mut_Ca_5,Pa_monoculture_1,Pa_monoculture_2,Pa_monoculture_3
dnaA,100,107,139,107,115,183,178,129,147,168,146,70,104
dnaN,69,82,102,82,95,93,131,104,113,123,94,63,66
recF,46,30,57,47,53,70,86,68,79,80,79,56,60
gyrB,142,125,166,148,145,238,273,199,191,231,236,107,107
PA14_00060,37,10,14,32,35,29,34,28,37,42,30,33,40
PA14_00070,12,11,10,3,12,9,20,11,11,12,10,12,11
PA14_00080,42,43,54,39,60,70,74,85,60,71,85,52,65
glyS,18,27,40,22,36,31,62,28,55,60,21,10,13
glyQ,12,13,22,20,22,21,22,26,22,27,14,11,2
tag,6,9,8,10,14,15,20,12,13,10,14,4,4
PA14_00120,34,18,31,21,29,56,47,41,35,42,52,41,47
PA14_00130,13,7,2,8,2,11,12,15,17,3,28,20,27
PA14_00140,5,9,3,9,6,11,16,6,11,13,13,13,17
PA14_00150,5,1,4,0,3,2,3,7,3,2,6,6,5
PA14_00160,5,3,12,7,10,7,10,11,12,17,8,10,3
trkA,22,27,32,24,31,56,56,41,42,43,51,28,34
PA14_00180,13,10,10,7,6,22,28,7,15,9,12,11,6
fmt,12,7,10,5,4,13,22,16,10,10,15,6,4
def,36,39,49,54,44,74,71,76,57,54,143,90,147
PA14_00210,29,29,28,42,27,33,41,49,43,51,54,36,45
PA14_00230,0,1,1,1,2,0,2,0,3,0,3,3,2
PA14_00240,6,13,20,19,31,18,18,20,20,26,8,10,16
qor,14,15,27,28,26,12,12,15,16,17,14,4,9
hemF,16,17,21,17,14,22,23,24,30,29,28,14,19
aroE,4,11,10,4,11,7,17,12,10,10,11,2,14
plcB,41,59,85,68,76,49,60,49,80,75,41,37,36
PA14_00310,36,51,75,48,42,31,33,29,42,21,16,13,14
PA14_00320,1,2,2,7,7,5,8,3,3,4,2,1,3
PA14_00340,2,1,2,1,9,4,4,3,7,1,5,6,3
PA14_00360,1,2,2,2,1,1,2,3,0,0,3,0,1
betC,3,2,4,3,4,4,3,3,5,5,5,2,7
PA14_00400,4,8,9,7,3,3,7,1,2,4,4,1,3
PA14_00410,7,4,4,5,5,6,5,7,6,8,3,5,3
PA14_00420,1,3,4,1,0,5,2,1,0,1,0,1,6
PA14_00430,2,0,0,4,0,4,3,2,3,4,4,1,4
trpA,6,15,12,20,13,10,4,8,4,11,7,7,6
trpB,17,29,89,64,45,76,60,60,48,62,47,74,93
trpI,1,4,1,3,1,3,4,7,4,3,1,1,2
PA14_00470,112,103,79,104,95,156,120,129,109,98,247,256,233
PA14_00480,494,679,681,666,624,779,704,944,720,620,746,858,773
PA14_00490,6,2,5,2,9,6,3,6,8,9,6,0,4
PA14_00510,20,17,27,31,22,33,26,29,24,20,48,43,47
PA14_00520,5,0,1,2,1,1,3,5,1,2,9,8,4
PA14_00530,6,3,1,4,11,9,13,7,5,14,13,12,11
PA14_00550,6,3,7,6,6,2,6,5,1,1,6,8,4
exoT,9,12,8,9,13,12,8,8,9,11,23,19,10
PA14_00570,0,1,6,3,1,3,5,10,3,2,8,3,0
PA14_00580,0,2,1,1,0,3,0,1,5,1,1,0,0
PA14_00590,8,17,18,15,15,10,14,6,5,10,4,1,3
PA14_00600,11,19,40,27,25,7,10,6,8,15,0,1,0
PA14_00620,78,152,248,203,226,43,65,56,64,52,8,4,1
PA14_00630,12,8,17,15,14,22,27,16,30,16,27,26,31
phzH,21,42,66,65,89,21,47,23,47,35,68,58,46
PA14_00650,21,23,40,45,28,16,18,28,32,25,33,31,24
PA14_00660,8,6,6,11,14,6,7,6,8,12,2,1,5
PA14_00670,12,20,24,28,17,13,18,24,20,15,16,14,12
PA14_00680,2,1,2,0,0,3,2,0,0,0,2,2,1
PA14_00690,4,2,4,2,8,3,4,1,2,2,2,1,5
PA14_00700,3,1,2,4,1,0,2,0,3,5,2,3,1
osmC,176,268,248,224,170,152,203,217,184,135,145,131,93
PA14_00720,43,43,32,22,22,36,47,33,36,33,50,37,45
PA14_00730,28,21,35,29,27,32,34,25,19,20,37,32,31
PA14_00740,4,5,5,11,14,9,15,13,22,20,15,8,5
PA14_00750,8,7,3,8,5,8,12,10,14,12,11,13,17
PA14_00760,1,6,4,10,4,6,12,6,8,5,3,3,2
PA14_00770,3,5,9,7,4,8,5,5,4,4,2,2,2
PA14_00780,4,4,8,3,10,5,2,5,10,3,6,3,6
prlC,39,40,51,39,29,36,59,37,50,51,36,24,21
PA14_00800,6,6,8,8,6,8,6,6,7,9,3,6,6
PA14_00810,5,8,0,3,3,4,5,2,0,2,5,3,6
PA14_00820,15,27,27,45,37,25,53,40,18,32,22,13,17
PA14_00830,54,62,51,78,78,85,69,90,65,64,89,98,122
PA14_00850,2,0,1,0,0,2,0,2,1,1,1,1,2
PA14_00860,0,0,0,0,0,1,0,0,0,0,0,0,1
ppkA,5,4,4,2,2,6,6,4,1,6,7,4,5
PA14_00890,2,1,0,2,1,0,1,1,1,1,0,1,0
PA14_00900,3,0,1,0,0,1,3,0,2,2,2,1,0
PA14_00910,14,6,12,10,1,7,15,17,15,9,6,1,8
PA14_00925,3,1,1,2,1,8,5,6,3,2,5,0,8
PA14_00940,1,1,12,3,3,8,10,6,6,6,7,1,6
PA14_00960,1,1,1,1,4,6,8,10,3,5,0,1,2
PA14_00970,1,1,5,0,2,7,13,6,16,9,7,3,6
PA14_00980,30,28,32,38,26,29,50,57,51,37,48,45,56
PA14_00990,18,25,31,35,31,53,58,64,42,40,28,22,25
PA14_01010,6,10,15,12,21,23,52,42,26,36,44,7,12
PA14_01020,18,16,36,42,26,57,115,65,53,61,31,6,18
PA14_01030,11,9,18,15,17,22,27,27,24,22,18,3,8
PA14_01040,1,1,3,2,6,5,6,14,3,6,4,6,8
PA14_01060,0,0,0,2,1,1,5,1,1,2,1,0,0
PA14_01070,6,5,3,5,5,4,8,10,4,5,4,2,3
PA14_01080,3,6,1,2,1,3,2,4,2,1,3,1,1
PA14_01100,6,10,13,8,8,12,18,17,5,8,9,6,11
PA14_01110,11,5,10,6,8,10,14,14,7,11,9,6,13
PA14_01120,0,0,2,3,1,2,5,4,1,2,3,4,3
PA14_01130,1,4,3,1,4,2,4,7,7,7,9,3,8
PA14_01140,2,5,5,6,7,5,8,5,7,7,6,3,4
PA14_01150,0,0,3,5,3,3,6,6,3,4,7,7,5
PA14_01160,54,56,83,87,83,84,86,131,83,78,90,76,92
PA14_01170,1,1,4,5,1,4,6,4,1,2,6,4,2
PA14_01180,2,0,4,4,3,2,7,9,4,4,3,1,2
PA14_01190,3,2,2,2,2,2,5,5,1,6,5,3,3
PA14_01200,8,4,7,7,4,9,7,9,6,6,18,14,10
PA14_01220,3,4,10,3,4,10,6,7,7,7,16,14,7
PA14_01230,1,1,1,2,0,2,3,4,2,4,3,4,4
PA14_01240,44,36,52,64,60,55,51,36,72,62,105,47,79
PA14_01250,9,26,37,50,73,18,31,20,26,42,12,7,9
PA14_01270,16,23,37,37,40,17,19,19,39,27,13,3,5
coxB,199,340,440,476,492,215,200,235,207,255,374,359,348
coxA,84,154,219,169,181,48,55,55,78,76,69,58,64
PA14_01310,25,40,31,26,33,12,22,8,17,7,22,13,14
coIII,57,77,79,103,100,69,62,57,53,56,77,75,91
PA14_01330,9,15,18,20,13,7,10,13,7,8,19,11,18
PA14_01340,16,16,20,17,14,9,9,12,9,6,2,4,1
PA14_01350,5,5,12,7,10,5,5,3,7,6,1,1,1
PA14_01360,1,5,7,3,7,2,4,7,4,6,2,1,7
PA14_01380,5,4,16,7,10,7,2,7,6,7,7,12,9
PA14_01390,16,10,17,12,10,14,10,13,12,13,12,13,19
PA14_01400,8,6,10,6,10,12,7,8,17,9,5,6,7
