,PAO1_control,PAO1_T2.5
PA0001,387,332
predicted RNA,4619,4118
PA0002,182,205
PA0003,87,98
predicted RNA,7510,5965
predicted RNA,4606,3817
PA0004,230,208
PA0005,16,25
PA0006,135,121
predicted RNA,13516,9846
PA0007,80,81
PA0008,61,61
predicted RNA,1552,1442
predicted RNA,1286,1366
predicted RNA,1308,1235
PA0009,81,47
PA0010,26,35
PA0011,101,81
PA0012,55,64
PA0013,246,198
PA0014,21,24
PA0015,67,89
PA0016,65,72
PA0017,18,22
PA0018,2,7
PA0019,73,81
predicted RNA,5707,4880
PA0020,14,18
predicted RNA,4704,4220
PA0021,9,13
PA0022,285,339
PA0023,121,120
PA0024,30,23
predicted RNA,799,857
PA0025,19,20
PA0026,36,38
PA0027,12,9
PA0028,7,6
PA0029,57,71
PA0030,22,16
PA0031,174,133
PA0032,46,34
PA0032a,25,19
PA0033,269,286
PA0034,150,123
PA0035,38,68
PA0036,87,99
PA0037,19,15
predicted RNA,47068,37052
PA0038,89,128
PA0039,286,424
PA0040,51,74
PA0041,25,24
predicted RNA,3287,1977
PA0041a,20,12
predicted RNA,2729,1855
predicted RNA,2604,1969
PA0042,81,106
PA0043,10,6
PA0044,88,73
PA0045,60,47
predicted RNA,307,220
predicted RNA,4.31E+02,239
PA0046,73,53
predicted RNA,455,231
PA0047,171,156
PA0048,27,24
PA0049,21,37
predicted RNA,3723,3452
predicted RNA,9382,6313
PA0050,252,162
PA0051,157,118
PA0052,83,74
PA0054,467,376
PA0055,324,260
PA0056,28,31
PA0057,17,11
PA0058,1,3
PA0059,34,59
PA0060,324,348
PA0061,356,409
PA0062,60,47
PA0063,56,59
PA0064,60,48
PA0065,68,80
PA0066,34,36
PA0067,57,52
predicted RNA,1663,1615
PA0068,15,9
predicted RNA,2054,1718
PA0069,27,33
predicted RNA,3017,1981
PA0070,24,30
predicted RNA,2217,1415
PA0071,43,42
predicted RNA,6276,4253
PA0072,4,3
PA0073,1,0
PA0074,14,18
PA0075,5,7
PA0076,6,2
PA0077,14,8
PA0078,7,8
PA0079,25,52
PA0080,8,18
PA0081,15,10
predicted RNA,4428,4186
PA0082,9,12
predicted RNA,1538,832
PA0083,52,22
PA0084,38,43
PA0085,57,35
PA0086,29,28
PA0087,40,64
PA0088,25,19
PA0089,14,15
PA0090,32,28
predicted RNA,545,353
predicted RNA,404,270
PA0091,54,43
PA0092,90,49
PA0093,94,69
PA0094,16,9
PA0095,33,35
predicted RNA,5672,4946
PA0096,31,65
PA0097,12,23
PA0098,12,8
PA0099,110,79
PA0100,47,51
PA0101,19,20
PA0102,14,31
predicted RNA,5683,4337
PA0103,40,61
PA0103a,199,210
predicted RNA,7329,6270
PA0105,118,113
PA0106,143,116
PA0107,148,105
PA0108,1761,1711
PA0109,1882,1248
PA0110,4,3
PA0111,2,3
PA0112,18,29
PA0113,112,124
PA0114,166,150
PA0115,502,503
PA0116,9,9
PA0117,3,8
PA0118,7,12
PA0119,37,48
PA0120,7,15
PA0121,18,19
PA0122,280,653
PA0123,4058,4669
PA0124,333,311
PA0125,154,218
PA0126,38,60
predicted RNA,4.81E+02,338
PA0127,33,31
PA0128,46,32
predicted RNA,4001,3131
PA0129,275,173
PA0130,61,59
predicted RNA,1325,1669
predicted RNA,1902,1666
PA0131,51,24
PA0132,37,46
predicted RNA,4849,4175
PA0133,112,116
PA0134,38,36
PA0135,15,6
PA0136,5,7
PA0137,19,16
PA0138,63,71
PA0139,304,409
predicted RNA,41617,27206
PA0140,706,790
predicted RNA,5249,3541
predicted RNA,11048,8880
PA0141,313,285
PA0142,13,19
PA0143,125,142
PA0144,262,349
PA0145,29,51
PA0146,51,32
PA0147,60,51
PA0148,45,51
PA0149,5,11
PA0150,21,13
PA0151,19,20
PA0152,92,92
PA0153,88,89
PA0154,219,228
PA0155,86,87
PA0156,0,4
PA0157,14,15
PA0158,44,36
PA0159,99,99
PA0160,328,303
PA0162,129,101
PA0163,14,24
PA0164,5,10
PA0165,104,75
PA0166,43,36
PA0167,60,70
PA0168,1,3
PA0169,78,53
PA0170,67,73
PA0171,27,23
PA0172,20,19
PA0173,7,3
PA0174,12,3
PA0175,8,14
PA0176,37,51
predicted RNA,6712,4521
predicted RNA,8941,6759
predicted RNA,8877,7127
PA0177,28,46
PA0178,15,35
predicted RNA,3578,3559
predicted RNA,5004,3804
predicted RNA,25690,19445
PA0179,85,171
PA0180,41,46
predicted RNA,4887,5916
PA0181,112,147
PA0182,23,19
PA0183,89,77
PA0184,37,20
PA0185,3,5
PA0186,58,61
PA0187,14,15
PA0188,5,4
PA0189,35,61
PA0190,16,19
PA0191,26,29
PA0192,41,32
PA0193,16,25
PA0194,14,27
predicted RNA,3057,3103
PA0195,23,39
PA0195.1,77,68
PA0196,96,86
PA0197,63,66
PA0198,185,181
PA0199,881,1053
PA0200,24,40
PA0201,3,5
PA0202,93,82
PA0203,72,49
PA0204,142,108
PA0205,161,187
PA0206,84,83
PA0207,23,7
PA0208,298,276
predicted RNA,3749,3044
PA0209,0,1
PA0210,2,2
PA0211,4,4
PA0212,3,2
PA0213,1,4
PA0214,59,68
PA0215,13,20
PA0216,25,23
PA0217,123,132
PA0218,93,66
PA0219,8,11
PA0220,95,73
PA0221,17,17
PA0222,17,6
PA0223,49,46
PA0224,173,178
PA0225,8,9
PA0226,7,6
PA0227,10,9
PA0228,12,14
PA0229,76,57
PA0230,0,6
PA0231,3,9
PA0232,10,13
PA0233,18,28
PA0234,97,114
PA0235,6,8
PA0236,2,3
PA0237,6,11
PA0238,13,16
PA0239,42,34
PA0240,81,114
PA0241,38,31
PA0242,11,13
PA0243,26,33
PA0244,14,30
PA0245,13,16
PA0246,23,26
PA0247,32,33
PA0248,43,41
PA0249,12,24
PA0250,37,42
predicted RNA,3945,3543
PA0251,126,130
PA0252,138,144
PA0253,118,98
PA0254,42,47
PA0255,13,13
PA0256,87,85
predicted RNA,7954,6360
PA0257,170,156
PA0258,215,188
PA0259,487,409
PA0260,285,250
PA0261,151,142
PA0262,93,70
PA0263,175,211
predicted RNA,3170,1417
PA0263.1,94,108
PA0265,24,42
PA0266,48,47
PA0267,4,5
PA0268,28,27
PA0269,10,16
PA0270,14,27
PA0271,47,14
PA0272,275,341
PA0273,7,10
PA0274,2,3
PA0275,7,21
PA0276,0,7
PA0277,88,79
PA0278,12,17
PA0279,4,3
PA0280,77,48
PA0281,109,114
PA0282,43,44
PA0283,91,81
PA0284,350,249
PA0285,58,51
predicted RNA,6342,6327
PA0286,32,32
predicted RNA,3993,3964
predicted RNA,3798,4337
PA0287,15,16
PA0288,5,9
PA0289,14,12
PA0290,29,27
predicted RNA,2035,1517
PA0291,466,427
predicted RNA,1573,1237
PA0292,45,50
PA0293,72,62
PA0294,113,131
PA0295,84,92
PA0296,178,166
PA0297,2709,2116
predicted RNA,3282,2054
predicted RNA,3363,1867
PA0298,61,62
predicted RNA,7610,4357
PA0299,74,68
PA0300,177,202
predicted RNA,2418,1494
PA0301,61,67
predicted RNA,2758,1585
PA0302,81,93
predicted RNA,2609,1541
PA0303,452,421
predicted RNA,1179,1066
predicted RNA,2277,1461
PA0304,15,28
predicted RNA,1745,1339
PA0305,21,17
PA0306,782,762
PA0306a,207,281
PA0307,162,180
PA0308,44,59
PA0309,74,109
PA0310,151,127
PA0311,46,66
PA0312,165,147
PA0313,641,530
PA0314,35,28
PA0315,155,148
PA0316,1094,888
predicted RNA,3904,3700
PA0317,67,60
predicted RNA,2911,2457
predicted RNA,2892,2155
PA0318,16,17
PA0319,28,29
PA0320,33,41
PA0321,40,49
PA0322,51,58
PA0323,83,73
PA0324,150,131
PA0325,218,181
PA0326,15,6
PA0327,67,66
PA0328,90,99
PA0329,103,203
predicted RNA,24030,18273
PA0330,172,173
PA0331,45,40
PA0332,2,12
PA0333,8,6
PA0334,130,105
PA0335,30,28
predicted RNA,3547,3341
PA0336,28,20
PA0337,100,136
predicted RNA,2536,2202
predicted RNA,2150,1892
PA0338,32,45
PA0339,67,66
PA0340,123,121
PA0341,149,127
PA0342,207,193
PA0343,343,367
PA0344,12,19
PA0345,3,8
PA0346,11,13
PA0347,61,55
PA0348,44,47
PA0349,43,46
PA0350,47,36
PA0351,85,116
PA0352,53,50
PA0353,56,64
predicted RNA,1694,1217
PA0354,45,42
PA0355,47,30
PA0356,23,19
PA0357,13,21
PA0358,117,88
PA0359,9,54
predicted RNA,4722,5581
PA0360,51,52
PA0361,37,33
PA0362,20,10
PA0363,137,101
PA0364,41,41
PA0365,39,17
PA0366,26,23
PA0367,268,280
PA0367a,261,166
PA0368,15,15
PA0370,38,47
PA0371,51,42
PA0372,35,37
PA0373,21,21
predicted RNA,2221,1981
predicted RNA,2237,2141
PA0374,147,159
predicted RNA,1793,1816
PA0375,19,20
predicted RNA,12568,14081
PA0376,63,83
PA0377,49,49
PA0378,71,92
PA0379,12,25
PA0380,19,33
PA0381,26,62
PA0382,61,51
PA0383,200,209
PA0384,46,33
PA0385,100,70
PA0386,38,32
PA0387,12,33
predicted RNA,7505,7373
PA0388,45,65
PA0389,85,88
PA0390,88,90
PA0391,17,28
PA0392,108,97
predicted RNA,2310,2604
predicted RNA,1740,1712
PA0393,47,67
PA0394,14,25
predicted RNA,4390,4251
PA0395,281,236
predicted RNA,3857,3832
PA0396,275,313
predicted RNA,5637,5545
predicted RNA,4597,4395
predicted RNA,5432,5194
PA0397,437,434
PA0398,37,48
predicted RNA,2891,2570
predicted RNA,3063,2442
PA0399,86,79
PA0400,48,38
PA0401,60,66
predicted RNA,2452,2294
PA0402,23,34
predicted RNA,2095,2087
PA0403,35,9
PA0404,50,47
PA0405,39,30
PA0406,77,69
PA0407,4138,3245
PA0408,148,180
PA0409,29,60
PA0410,73,54
PA0411,33,38
PA0412,5,9
PA0413,30,36
predicted RNA,3231,2604
PA0414,13,13
PA0415,7,10
PA0416,9,11
PA0417,16,16
PA0418,29,38
PA0419,26,35
PA0420,45,37
PA0421,35,26
PA0422,80,65
predicted RNA,13690,9836
PA0423,102,129
PA0424,4490,3581
PA0425,91,98
predicted RNA,4386,3671
PA0426,29,32
predicted RNA,3611,3545
predicted RNA,3904,3330
predicted RNA,4221,3729
predicted RNA,4454,3987
predicted RNA,4255,3387
predicted RNA,4566,3738
predicted RNA,4339,4035
predicted RNA,4206,4324
predicted RNA,3700,3472
PA0427,109,125
predicted RNA,2614,3273
predicted RNA,1918,2550
predicted RNA,4350,4299
PA0428,2.6E+01,37
predicted RNA,3.87E+03,3584
PA0429,158,142
predicted RNA,9545,7395
PA0430,59,76
PA0431,59,45
predicted RNA,12953,11366
PA0432,84,115
PA0433,5,11
PA0434,91,105
PA0435,11,9
PA0436,119,112
PA0437,382,383
PA0438,39,50
PA0439,36,39
PA0440,35,47
PA0441,34,35
PA0442,6,15
PA0443,33,28
PA0444,193,195
PA0445,698,667
predicted RNA,5714,4575
predicted RNA,4247,4031
PA0446,384,423
predicted RNA,3981,5221
predicted RNA,2940,5179
predicted RNA,5815,6571
predicted RNA,30196,36368
PA0447,53,114
PA0448,21,13
PA0449,111,120
