,DM1_S20_R1_001 trimmed (GE) - Total counts,DM2_S21_R1_001 trimmed (GE) - Total counts,DM4_S22_R1_001 trimmed (GE) - Total counts,DM5_S23_R1_001 trimmed (GE) - Total counts,DM6_S24_R1_001 trimmed (GE) - Total counts,DM8_S25_R1_001 trimmed (GE) - Total counts
dnaA,1615,1797,1921,1862,1779,1695
dnaN,1299,1430,1582,1362,1366,1278
recF,846,887,1004,1114,999,962
gyrB,3275,3654,4144,4007,3930,3856
PA14_00060,198,237,215,269,257,229
PA14_00070,122,123,147,146,157,133
PA14_00080,1307,1600,1742,2122,2043,1400
glyS,789,838,955,989,930,970
glyQ,397,378,452,442,398,481
tag,79,78,103,97,109,92
PA14_00120,411,448,525,548,471,558
PA14_00130,47,60,52,95,59,79
PA14_00140,105,111,117,234,184,182
PA14_00150,18,25,18,37,33,48
PA14_00160,106,89,104,166,150,145
trkA,656,698,848,826,864,855
PA14_00180,300,289,319,333,418,350
fmt,222,216,205,228,231,217
def,496,500,610,490,443,446
PA14_00210,345,373,494,326,353,384
PA14_00230,19,16,14,17,22,15
PA14_00240,178,180,207,216,198,223
qor,225,237,254,236,241,261
hemF,112,135,140,174,144,135
aroE,82,73,104,101,90,75
plcB,32,55,35,82,82,75
PA14_00310,21,34,23,38,45,46
PA14_00320,7,15,12,17,31,14
PA14_00340,13,21,12,30,33,22
PA14_00360,9,18,19,10,19,18
betC,53,55,47,65,58,51
PA14_00400,79,84,107,111,83,45
PA14_00410,152,144,161,98,111,84
PA14_00420,137,191,201,124,83,73
PA14_00430,370,434,432,261,157,148
trpA,7528,8912,8880,2740,2189,1820
trpB,10250,11184,10962,4132,3174,2712
trpI,74,97,97,78,70,56
PA14_00470,390,340,376,446,301,333
PA14_00480,1352,1384,1623,1580,1336,1330
PA14_00490,75,78,83,112,91,77
PA14_00510,201,205,257,352,337,267
PA14_00520,16,19,12,32,18,24
PA14_00530,47,46,55,90,80,75
PA14_00550,89,102,106,117,111,83
exoT,147,182,184,180,170,139
PA14_00570,186,238,202,231,202,196
PA14_00580,94,99,125,177,84,122
PA14_00590,42,49,59,67,56,55
PA14_00600,22,34,44,31,30,40
PA14_00620,90,87,82,97,122,104
PA14_00630,139,142,191,157,132,152
phzH,1271,1819,2099,810,1086,1010
PA14_00650,163,211,231,118,158,136
PA14_00660,102,124,120,137,113,125
PA14_00670,214,227,241,244,210,236
PA14_00680,20,28,25,23,24,14
PA14_00690,58,59,67,72,79,70
PA14_00700,18,26,18,27,27,25
osmC,321,333,322,289,330,217
PA14_00720,177,198,175,190,218,199
PA14_00730,120,161,158,191,202,133
PA14_00740,40,54,39,42,44,32
PA14_00750,137,154,157,205,209,168
PA14_00760,79,76,67,101,96,61
PA14_00770,59,64,69,79,65,52
PA14_00780,52,55,52,56,58,62
prlC,631,846,786,562,576,563
PA14_00800,92,140,99,83,68,78
PA14_00810,45,76,52,84,77,63
PA14_00820,788,1002,1109,1100,928,890
PA14_00830,609,633,818,885,682,763
PA14_00850,19,14,13,16,22,9
PA14_00860,13,10,9,6,8,3
ppkA,163,161,167,189,164,141
PA14_00890,32,23,34,28,26,18
PA14_00900,39,31,32,50,28,20
PA14_00910,221,186,232,413,314,198
PA14_00925,92,84,63,176,154,105
PA14_00940,111,149,162,233,214,126
PA14_00960,83,129,114,203,173,142
