,WT 5 hours 1,Mucin 5 hours 1,WT 5 hours 2,Mucin 5 hours 2,WT 5 hours 3,Glycans 5 hours 1,WT 5 hours 4,Glycans 5 hours 2,Dis2 5 hours 1,Dis+gly 5 hours 1,WT 15 min 1,WT+gly 15 min 1,D858A 5 hours 1,D858A +gly 5 hours 1
PA14_00010,132,124,285,303,272,380,152,233,219,370,295,294,290,324
PA14_00020,138,149,210,263,238,276,144,202,194,293,242,198,242,281
PA14_00030,73,60,227,219,229,264,78,131,184,300,173,142,183,238
PA14_00050,259,392,573,646,516,746,195,356,496,914,588,553,595,710
PA14_00060,16,10,39,28,44,61,25,43,45,87,54,66,36,45
PA14_00070,14,13,44,14,37,35,16,19,32,54,22,17,30,39
PA14_00080,141,20,189,65,154,38,75,15,122,50,59,55,702,90
PA14_00090,66,91,132,186,120,210,58,127,83,207,181,177,81,155
PA14_00100,35,56,62,67,88,139,39,73,56,123,92,82,42,90
PA14_00110,10,2,8,6,9,8,8,6,5,12,9,6,10,8
PA14_00120,37,27,66,61,72,78,43,62,90,90,79,91,65,90
PA14_00130,8,6,13,12,16,24,12,16,7,26,20,18,9,28
PA14_00140,4,5,10,18,11,16,5,8,6,13,12,20,11,16
PA14_00150,7,6,10,2,12,10,7,5,3,14,12,14,9,13
PA14_00160,11,13,23,37,25,40,15,27,23,40,26,20,23,33
PA14_00170,69,94,144,151,131,190,56,116,138,255,150,172,122,156
PA14_00180,36,56,108,126,88,132,21,65,96,154,62,55,63,121
PA14_00190,15,26,56,62,51,71,16,36,43,76,12,20,48,49
PA14_00200,86,86,142,134,189,213,96,141,179,237,176,143,127,165
PA14_00210,55,69,159,102,187,207,95,180,141,304,322,215,96,161
PA14_00230,1,2,5,2,4,8,1,4,1,10,3,2,4,5
PA14_00240,12,15,20,28,38,47,12,36,26,69,34,28,18,39
PA14_00250,17,25,53,21,58,38,57,34,50,64,33,13,50,40
PA14_00280,7,44,38,109,50,120,20,128,39,115,65,62,31,67
PA14_00290,10,18,33,58,40,52,18,74,20,80,35,43,20,51
PA14_00300,52,22,126,42,88,63,79,36,55,76,60,37,57,44
PA14_00310,23,20,83,27,50,33,44,41,50,43,15,12,55,29
PA14_00320,10,4,28,14,20,9,18,15,13,9,3,3,19,7
PA14_00340,12,10,40,18,26,20,9,14,11,14,7,3,11,9
PA14_00360,0,1,4,2,3,2,2,2,6,4,2,0,4,6
PA14_00380,16,6,20,16,36,24,11,21,15,29,10,9,10,25
PA14_00400,3,7,17,16,23,23,7,9,21,31,8,4,20,14
PA14_00410,9,4,15,14,15,17,5,2,14,16,3,5,18,12
PA14_00420,4,1,1,6,6,10,1,5,8,26,5,1,6,8
PA14_00430,5,2,11,17,12,29,6,9,8,77,11,9,14,18
PA14_00440,26,55,55,81,56,155,40,103,56,354,77,8,61,63
PA14_00450,58,146,104,93,86,304,65,137,81,632,222,25,109,156
PA14_00460,4,1,17,10,14,13,5,8,11,25,8,2,11,17
PA14_00470,175,25,84,34,93,29,55,26,70,39,75,95,153,35
PA14_00480,613,92,438,190,441,147,405,202,319,186,580,412,704,205
PA14_00490,12,43,59,55,83,131,23,48,47,181,33,26,22,144
PA14_00510,72,125,238,179,331,342,118,149,204,524,124,110,166,399
PA14_00520,5,10,18,22,41,50,8,10,27,45,9,15,5,34
PA14_00530,9,7,24,18,32,43,13,18,26,50,18,15,23,38
PA14_00550,13,9,38,26,33,27,16,13,33,46,7,6,38,42
PA14_00560,73,17,155,32,275,441,48,87,61,173,129,90,35,21
PA14_00570,21,63,44,66,74,135,14,43,44,163,98,82,27,103
PA14_00580,10,21,23,20,33,37,9,29,17,42,14,14,8,49
PA14_00590,6,8,14,16,26,24,14,9,3,27,5,2,23,20
PA14_00600,5,1,13,2,14,8,7,5,9,14,4,3,22,5
PA14_00620,83,15,64,14,46,15,79,12,57,26,29,2,176,15
PA14_00630,80,33,192,119,152,22,110,26,116,58,91,46,963,78
PA14_00640,80,19,64,41,46,14,40,12,76,23,60,12,105,27
PA14_00650,87,5,53,18,55,10,77,16,47,14,33,20,123,18
PA14_00660,15,18,22,16,26,16,19,18,24,27,24,16,20,29
PA14_00670,22,18,25,20,40,45,34,37,40,50,44,22,28,41
PA14_00680,4,2,8,2,10,12,3,5,6,9,4,3,8,5
PA14_00690,7,4,12,11,18,4,9,6,6,15,6,4,11,7
PA14_00700,5,4,9,3,9,4,3,4,6,8,8,4,9,2
PA14_00710,256,34,58,35,97,21,64,34,88,32,178,151,162,52
PA14_00720,44,12,22,15,33,33,21,17,22,30,36,56,62,18
PA14_00730,29,17,37,30,40,32,17,20,27,47,32,50,40,33
PA14_00740,9,6,19,17,19,14,16,15,15,18,52,58,17,14
PA14_00750,23,16,46,29,56,38,19,17,47,63,29,12,42,55
PA14_00760,21,17,47,22,41,46,23,34,32,51,28,23,36,54
PA14_00770,13,12,17,18,20,21,24,21,21,29,36,30,19,27
PA14_00780,10,2,18,18,11,21,15,23,13,31,12,11,10,17
PA14_00790,131,103,205,179,224,177,126,174,201,244,157,99,276,172
PA14_00800,18,11,31,17,26,23,16,15,19,17,16,9,28,21
PA14_00810,12,12,28,24,29,32,8,9,25,51,30,12,29,33
PA14_00820,484,298,509,221,773,228,406,214,406,465,517,292,474,467
PA14_00830,144,64,303,160,441,257,121,104,300,473,330,322,228,357
PA14_00850,22,2,40,11,44,12,7,3,25,29,7,1,42,29
PA14_00860,16,5,29,7,22,6,9,9,17,18,6,1,38,18
PA14_00875,159,63,243,111,265,93,100,56,192,177,181,88,250,162
PA14_00890,41,12,42,22,34,11,19,6,18,35,43,18,57,21
PA14_00900,33,9,41,10,38,6,13,4,19,19,9,6,66,27
PA14_00910,273,92,283,104,303,105,124,66,157,194,250,109,284,175
PA14_00925,99,36,106,24,87,36,37,25,42,62,81,35,146,68
PA14_00940,85,35,133,30,98,32,36,33,42,57,54,34,142,65
PA14_00960,52,21,86,30,73,21,31,17,22,44,47,29,53,38
PA14_00970,36,16,57,15,49,19,13,10,25,34,50,31,54,22
PA14_00980,91,30,130,82,184,104,73,57,142,182,145,104,135,154
PA14_00990,110,56,283,63,259,106,96,65,127,211,178,92,194,213
PA14_01010,256,113,223,63,301,86,156,67,129,152,400,218,324,173
PA14_01020,596,290,536,192,700,180,310,135,316,455,1086,529,655,508
