,PAO1161 EV_1,PAO1161 EV_2,PAO1161 EV_3,PAO1161 BsrA_1,PAO1161 BsrA_2,PAO1161 BsrA_3
D3C65_00005,7007,7668,7065,8864,9597,7642
D3C65_00010,5861,6204,6003,6669,6659,5848
D3C65_00015,2227,2479,2337,3078,3405,2934
D3C65_00020,12112,13562,12892,14680,15945,12796
D3C65_00025,855,859,732,921,995,844
D3C65_00030,483,527,428,527,617,448
D3C65_00035,343,400,357,358,344,314
D3C65_00040,5258,5405,5366,5287,6100,5335
D3C65_00045,3183,3398,3109,3364,3475,2931
D3C65_00050,157,150,181,178,199,172
D3C65_00055,616,687,653,708,780,627
D3C65_00060,168,240,219,204,291,234
D3C65_00065,354,346,298,364,387,302
D3C65_00070,82,92,72,88,86,68
D3C65_00075,300,268,256,313,342,332
D3C65_00080,1483,1555,1371,2371,2403,1982
D3C65_00085,999,944,810,1362,1383,1338
D3C65_00090,671,691,614,1139,1098,1004
D3C65_00095,1537,1764,1664,2393,2378,1989
D3C65_00100,3077,3235,3401,2869,3097,2659
D3C65_00105,68,63,64,65,55,57
D3C65_00110,697,761,757,727,794,700
D3C65_00115,481,541,545,484,452,380
D3C65_00120,4291,4923,4366,5170,4932,3663
D3C65_00125,1528,1658,1626,1905,1873,1600
D3C65_00130,1150,1211,1185,977,978,739
D3C65_00135,383,384,404,322,337,314
D3C65_00140,153,111,112,71,92,91
D3C65_00145,26,32,28,30,20,18
D3C65_00150,46,44,39,32,38,39
D3C65_00155,57,42,44,51,48,45
D3C65_00160,193,165,181,174,175,191
D3C65_00165,167,180,192,155,194,174
D3C65_00170,15,12,21,23,21,21
D3C65_00175,32,49,48,62,53,59
D3C65_00180,439,456,438,410,440,363
D3C65_00185,664,739,736,737,684,591
D3C65_00190,219,172,172,185,184,188
D3C65_00195,245,324,298,321,354,240
D3C65_00200,1396,1573,1360,1478,1422,1274
D3C65_00205,702,831,613,1032,888,733
D3C65_00210,2415,2611,1865,3622,2972,2465
D3C65_00215,155,204,155,317,305,243
D3C65_00220,190,231,163,314,364,232
D3C65_00225,203,213,154,227,321,189
D3C65_00230,266,313,286,369,471,309
D3C65_00235,131,135,124,146,151,134
D3C65_00240,179,274,184,272,272,207
D3C65_00245,120,144,124,140,166,134
D3C65_00250,184,234,177,249,271,205
D3C65_00255,16,18,12,34,19,22
D3C65_00260,126,106,97,115,131,106
D3C65_00265,310,304,362,272,293,234
D3C65_00270,1701,2017,1523,2904,2547,2216
D3C65_00275,844,997,674,1282,1108,975
D3C65_00280,1010,1012,849,1348,1164,1069
D3C65_00285,21,18,34,16,25,22
D3C65_00290,154,126,147,84,106,110
D3C65_00295,122,134,127,152,159,136
D3C65_00300,44,40,50,56,63,78
D3C65_00305,40,33,28,35,32,28
D3C65_00310,563,650,551,573,653,509
D3C65_00315,173,172,154,252,228,192
D3C65_00320,333,375,423,457,498,341
D3C65_00325,76,79,61,54,73,57
D3C65_00330,58,50,56,61,45,51
D3C65_00335,35,34,31,50,42,33
D3C65_00340,56,53,67,73,67,59
