,PAO1-1,PAO1-2,DKT-2-1,DKT-2-2,DKT-1-1,DKT-1-2
dnaA,5193,4113,4397,5973,5742,5053
dnaN,6904,5794,6782,10604,8290,7511
recF,2222,2072,2008,2984,3311,3118
gyrB,14685,12022,13929,20372,16553,14643
lptA,740,975,712,1061,901,1058
PA0006,306,425,320,554,457,495
PA0007,1737,1710,1102,1223,1339,1015
glyS,2808,2663,3925,5059,3762,3448
glyQ,1053,844,1306,1969,1337,1299
tag,223,221,228,285,310,255
PA0011,474,404,429,669,644,573
PA0012,202,210,204,422,194,191
PA0013,105,97,121,160,129,106
PA0014,99,82,99,184,114,115
PA0015,677,700,610,677,945,763
trkA,1380,1174,1293,1920,1610,1696
PA0017,2485,2071,1813,2038,2622,2505
fmt,2479,2154,1837,2482,2797,2598
def,2879,2696,2629,3442,4400,3726
PA0020,1508,1555,1802,2855,1817,1752
PA0021,333,407,328,391,471,395
PA0022,1530,1423,1635,1983,2328,1847
qor,2226,1797,2604,3951,3379,2926
hemF,2207,4480,2235,2889,2805,2788
aroE,1066,2466,1160,1249,1557,1436
plcB,1980,1789,2241,3309,1464,1329
PA0027,2404,2438,2656,2968,1615,1498
PA0028,689,755,845,962,525,413
PA0029,625,725,679,785,543,445
PA0030,196,123,158,196,258,192
betC,341,343,311,385,562,435
PA0032,351,369,279,340,434,390
PA0032a,486,502,362,514,769,639
PA0033,370,374,287,404,565,498
PA0034,286,263,214,225,334,293
trpA,1481,1395,1480,1866,2741,2029
trpB,1847,1316,1469,1892,2782,2253
trpI,336,311,219,326,496,412
PA0038,7026,4826,3825,6743,9117,7710
PA0039,17436,11585,13458,17880,15246,11963
PA0040,410,509,387,467,458,417
PA0041,3608,4801,3163,3417,3241,2386
PA0041a,99,64,181,177,119,85
PA0042,266,261,209,298,417,394
PA0043,764,730,525,588,979,816
exoT,9581,6326,4993,5489,6424,5962
PA0045,152,146,195,312,193,180
PA0046,91,100,134,189,127,96
PA0047,1396,1204,1164,1255,1163,797
PA0048,2341,1751,1908,1971,2042,1271
PA0049,11563,6546,9902,14486,11339,7868
PA0050,1605,1623,1183,1342,494,500
phzH,1669,1393,764,764,601,473
PA0052,2512,1719,1297,1359,1133,826
PA0054,470,488,484,692,664,648
PA0055,1334,1202,1484,2058,1637,1478
PA0056,217,219,176,207,264,208
PA0057,222,165,171,214,564,452
PA0058,162,130,140,134,346,285
osmC,8476,5690,6937,8374,12573,9528
PA0060,927,711,732,1035,1237,1101
PA0061,1902,1888,1299,1648,2173,1886
PA0062,447,478,425,481,672,514
PA0063,1507,1534,1114,1183,2310,1791
PA0064,1548,1624,1168,1379,2083,1667
PA0065,805,636,651,1010,1123,1058
PA0066,1021,931,862,965,1359,1145
prlC,10643,8430,9580,12697,15056,12907
PA0068,1352,1109,1459,1646,2038,1698
PA0069,629,637,390,416,718,640
PA0070,12158,13618,8942,11316,10145,7487
PA0071,1638,1848,1394,1817,1680,1496
PA0072,656,803,451,467,578,481
aotP,2100,1802,2445,3416,2627,2088
ppkA,3152,3478,2523,2903,2955,2204
pppA,799,958,630,716,680,533
PA0076,1206,1327,895,868,926,689
icmF1,3140,2989,2488,3018,2466,1801
PA0078,1580,1367,1194,1380,1202,809
PA0079,1238,1153,1000,1191,1142,869
PA0080,359,301,332,441,344,296
fha1,1548,1577,1210,1673,1953,1716
PA0082,1127,1017,749,973,1085,999
PA0083,1261,1168,1170,1895,1174,858
PA0084,4254,3455,3756,5272,3086,2341
hcp1,6884,6570,4357,5076,3948,2908
PA0086,774,779,638,685,643,468
PA0087,177,193,163,197,157,130
PA0088,861,1012,679,797,639,458
PA0089,363,408,279,317,253,180
clpV1,3393,3506,2655,2921,2284,1499
vgrG1,1504,1648,1154,1396,989,680
PA0092,348,409,336,471,326,271
PA0093,466,513,389,501,471,419
PA0094,224,254,209,298,273,252
PA0095,2100,2046,1460,1651,1897,1533
PA0096,413,342,320,479,312,234
PA0097,1001,924,626,689,577,398
PA0098,760,594,432,483,407,340
PA0099,499,398,354,546,338,301
PA0100,2997,2685,1762,1991,1648,1294
PA0101,2702,2714,1515,1590,1399,1091
PA0102,3124,3099,2487,3753,4278,4002
PA0103,915,695,1104,1306,1001,797
PA0103a,480,365,565,834,555,496
coxB,4603,2018,2342,3094,5154,2796
coxA,5155,1377,3195,5042,5873,2744
PA0107,1763,570,1211,1657,2014,931
coIII,4715,2285,2846,4187,4639,2444
PA0109,1440,1141,1039,1581,1566,1040
PA0110,1696,604,983,1081,1537,666
PA0111,1697,457,946,1318,1319,569
PA0112,1739,678,1036,1336,1353,644
PA0113,2221,835,1655,2338,1662,807
senC,1290,982,1163,1743,1116,976
PA0115,496,464,524,655,589,503
PA0116,1113,979,952,877,1271,1069
PA0117,176,111,130,203,236,203
PA0118,315,304,269,403,388,342
PA0119,585,419,391,537,907,716
PA0120,800,708,526,847,1060,853
PA0121,1489,1149,976,1045,1695,1235
PA0122,7853,8231,3137,4876,3792,3231
