,untreated.1,untreated.2,untreated.3,ciprofloxacin.1,ciprofloxacin.2,ciprofloxacin.3,levofloxacin.1,levofloxacin.2,levofloxacin.3,lomefloxacin.1,lomefloxacin.2,lomefloxacin.3,novobiocin.1,novobiocin.2,novobiocin.3,coumermycin.1,coumermycin.2,coumermycin.3,GT3_043.1,GT3_043.2,GT3_043.3,AR351.1,AR351.2,AR351.3
PA14_00010,3858,4725,3286,3221,3390,5414,3236,2455,4581,1642,3740,3748,3144,2572,3522,5905,4476,3649,4006,5067,5492,3382,7336,5171
PA14_00020,3864,3826,3286,2642,2573,4044,2722,2028,3597,1394,2862,2837,2891,2279,3491,5578,4197,3864,3957,4823,5088,3553,6359,4945
PA14_00030,2508,2877,2378,2425,2262,3944,2282,1834,3409,1326,2836,2636,2002,1709,2285,3752,2858,2313,2802,3220,3076,2378,4253,3662
PA14_00050,6134,7162,5596,5059,5028,8593,5390,3866,7653,2755,6031,5949,5580,4321,6504,10331,7845,6627,6215,7864,7383,5479,10981,9018
PA14_00060,1364,1593,1226,893,948,1330,986,757,1353,526,1189,1017,542,334,374,1197,851,616,1139,1732,1914,1026,2582,1887
PA14_00070,667,779,587,590,595,1036,637,504,797,410,614,650,259,150,259,597,442,446,709,883,963,599,1320,1035
PA14_00080,2277,2737,2245,1953,1919,3270,2167,1854,3105,1079,2401,2325,489,227,307,1081,673,604,2767,4021,4346,2798,5419,4249
PA14_00090,2659,2797,2100,1828,1886,2842,2085,1465,2825,1034,2258,2109,1133,774,1021,2067,1325,1169,2345,2632,2423,2110,3864,3467
PA14_00100,1125,1152,935,848,818,1312,1044,647,1191,496,1042,962,479,357,438,996,659,506,1050,1365,1217,898,1680,1525
PA14_00110,622,638,525,424,417,662,423,324,535,266,474,494,151,75,103,275,164,154,643,714,717,585,1112,968
PA14_00120,1351,1591,1507,1011,1020,1443,1038,803,1499,493,1195,1068,612,332,463,941,519,470,1411,1693,1585,1285,2163,1896
PA14_00130,411,520,464,279,256,439,338,193,309,113,306,274,96,38,81,151,106,90,382,511,422,381,753,580
PA14_00140,551,626,422,350,317,609,430,280,363,163,443,389,169,97,151,251,150,119,511,564,558,398,819,674
PA14_00150,155,189,109,146,116,192,175,103,119,48,148,176,62,32,74,153,92,83,162,211,240,118,287,294
PA14_00160,961,1383,1112,892,798,1236,903,567,1131,536,954,922,754,758,926,1730,1263,1067,1012,1160,1252,944,1653,1606
PA14_00170,1227,1446,1189,866,876,1476,1010,726,1421,550,1126,936,946,873,1310,2173,1756,1492,1191,1410,1397,1092,2068,1761
PA14_00180,1354,1423,1210,1130,1035,1753,1149,917,1668,650,1314,1355,1265,1200,1584,2696,2094,1804,1297,1802,1538,1320,2335,2181
