gene,E11,E12,E1E21,E1E22,E21,E22,WT1,WT2
CDS112779,7962,8479,6810,6777,6264,6179,7569,7953
CDS111163,1201,506,504,554,1206,490,444,475
CDS102822,10568,9939,7305,7353,4167,4454,9042,9413
CDS103366,4856,4928,3292,3245,3450,3097,4615,4879
CDS107565,12319,10309,1964,3130,1335,3116,10194,11118
CDS110373,2546,2355,1955,1831,1709,1573,2239,2295
CDS104679,274363,280970,157874,151175,135383,144618,244590,276481
CDS107691,635,678,535,526,561,535,581,706
CDS102908,1334,1030,2198,2044,1586,1500,942,1129
CDS111057,2164,2221,3110,2689,2444,2375,2122,2047
CDS110525,5232,5595,6207,5504,5493,5274,4876,5030
CDS104315,47996,40062,23860,24491,18602,20944,34128,41517
CDS105985,2035,1268,1632,1715,2535,1688,1172,1529
CDS111031,135,93,368,317,329,341,78,89
CDS104287,8477,7714,5112,5083,4703,4477,6700,7052
CDS104481,654,560,582,542,604,498,494,558
CDS104194,390,282,413,426,582,419,308,284
CDS111291,4820,3878,2571,2901,2981,2507,3070,4023
CDS106147,4857,4926,3408,3139,3163,2890,4577,4636
CDS106937,67,68,134,126,118,111,69,71
CDS106905,1312,1126,1284,1236,1646,1176,900,1204
CDS103048,2416,1957,1821,1840,2268,1593,1749,1968
CDS103884,107,91,197,191,221,197,116,89
CDS108841,8002,7489,9266,8936,10172,8023,6844,7697
CDS110571,344,275,490,510,742,532,217,253
CDS110333,527,504,479,479,644,440,460,539
ncRNA21131235,28947,19898,14997,15365,26313,13783,19294,20916
CDS104521,275,368,598,495,414,402,332,277
CDS108147,189,132,209,204,246,185,145,165
CDS108251,27096,21948,35122,35204,41879,32794,20101,22234
CDS107557,6397,5655,4990,5128,5580,4837,5022,5854
CDS108407,839,728,744,723,972,694,645,751
CDS103308,3317,2715,1749,1735,1859,1520,2591,2599
CDS106657,305,274,695,649,836,560,253,285
CDS108755,5279,4266,4774,4677,4360,4096,3581,4098
CDS106349,15088,14605,12271,12272,15831,11068,12176,14792
CDS107425,15328,11841,9598,9653,9095,8297,10366,12092
CDS108201,7461,5942,6175,6275,8113,5810,5151,6178
CDS106093,1484,1443,5268,4724,3525,4512,1275,1418
CDS104026,1251,972,1133,1177,2004,1101,937,1127
CDS113769,1161,1126,2492,2296,1927,2054,1018,1118
CDS113063,7816,7915,6211,6011,5985,5618,6740,7951
CDS102854,2952,1899,1996,2162,4318,1972,1703,1701
CDS107933,712,866,3183,2444,2072,2248,767,657
CDS110963,81,74,348,296,330,307,78,70
CDS108379,2487,2282,1601,1567,1295,1401,2088,1988
CDS106305,16972,13324,8625,9105,9503,8412,11419,13473
CDS111805,11425,8891,7803,7786,7358,6770,7459,8921
CDS111321,36953,30299,15880,15691,14491,15356,28679,30965
CDS103962,2044,1667,1370,1384,1711,1335,1468,1690
CDS109730,8301,7873,6615,6279,6790,5704,6962,7450
CDS109574,89,86,144,106,142,118,73,71
CDS106559,1800,1134,1303,1232,1827,1092,1062,1095
CDS111763,20326,19813,20719,19587,18591,17970,17753,18368
CDS103968,410,408,399,368,442,310,354,379
CDS106149,17695,15953,9763,9503,9252,8690,13832,15463
CDS107879,2277,1831,1965,1922,1625,1724,1703,1658
CDS110411,5732,4987,7180,6568,7621,5611,4266,4836
CDS112075,575,486,455,497,505,480,445,541
CDS103638,233,230,382,399,378,350,222,191
CDS107061,128,43,87,101,189,74,34,46
CDS110132,103603,90250,44194,45062,36809,44174,84075,89051
CDS107131,480,243,350,381,916,330,171,252
CDS104689,29010,23288,15087,15871,16469,14868,20166,23262
CDS110857,693,626,925,819,798,669,612,632
CDS107963,175,154,552,457,594,387,147,175
CDS108591,21937,19789,34618,30961,34344,28106,17680,18199
CDS107409,134,112,745,621,524,507,104,107
