X,PA2504_p1_htseq,PA2504_p2_htseq,PA2504_p3_htseq,PAO1161_p1_htseq,PAO1161_p2_htseq,PAO1161_p3_htseq
PA0006,384,404,373,373,383,433
PA0007,4932,4038,4732,3611,4010,5071
PA0011,1076,1140,1148,893,1054,1162
PA0012,873,936,901,829,969,1024
PA0013,257,218,210,207,223,200
PA0014,581,514,522,476,387,529
PA0015,1072,1093,1130,878,1034,1170
PA0017,857,776,730,726,762,798
PA0020,2888,2623,2743,2508,2432,2717
PA0021,46,50,51,43,41,58
PA0022,456,472,437,392,441,482
PA0027,860,758,698,499,611,763
PA0028,294,292,281,212,207,289
PA0029,107,89,119,83,124,100
PA0030,186,121,168,152,151,158
PA0032,309,265,297,262,283,272
PA0032a,388,375,444,289,334,426
PA0033,69,52,63,59,67,66
PA0034,195,183,147,176,149,177
PA0038,3337,3616,4115,3130,3653,4083
PA0039,9313,12800,12597,10448,11918,12498
PA0040,670,530,590,583,505,589
PA0041,1546,1692,1785,1307,1623,1851
PA0041a,76,106,81,80,107,104
PA0042,325,371,386,265,359,328
PA0043,1259,1078,1119,861,1023,1358
PA0045,125,107,131,108,126,130
PA0046,53,67,57,51,71,74
PA0047,54,64,77,48,68,56
PA0048,171,157,166,150,162,164
PA0049,653,470,524,577,564,508
PA0050,46,53,59,30,63,39
PA0052,862,729,821,612,721,804
PA0054,222,180,177,250,166,191
PA0055,3066,2507,2477,2705,2128,2793
PA0056,210,195,184,189,196,202
PA0057,100,95,104,64,75,95
PA0058,103,84,84,85,89,65
PA0060,755,769,746,659,679,724
PA0061,428,545,648,342,501,501
PA0062,336,261,264,271,301,283
PA0063,670,594,614,474,527,649
PA0064,477,383,460,269,393,487
PA0065,369,309,374,357,319,430
PA0066,811,849,866,815,809,822
PA0068,65,82,105,48,99,102
PA0069,548,466,538,332,398,603
PA0070,771,724,738,689,761,790
PA0071,1591,1547,1584,1404,1494,1599
PA0072,21,13,17,14,11,21
PA0073,10,12,11,10,21,19
PA0076,40,21,21,28,33,24
PA0078,66,42,58,42,59,49
PA0079,103,97,124,69,94,96
PA0080,182,112,140,126,139,122
PA0082,3506,3343,3461,2900,3407,3363
PA0083,297,341,337,272,293,305
