,Control_180_read,Control_30_read,OCH_180_read,OCH_30_read
PA0001,2562,2707,818,3574
PA0002,3984,2423,1390,3427
PA0003,1534,1585,637,2095
PA0004,8297,6696,3268,8238
PA0005,391,238,214,283
PA0006,200,151,124,209
PA0007,701,96,169,107
PA0008,2201,2145,437,2550
PA0009,880,1185,253,1505
PA0010,119,82,47,68
PA0011,548,397,293,477
PA0012,133,99,77,157
PA0013,99,179,60,246
PA0014,59,39,29,50
PA0015,186,126,106,178
PA0016,990,1015,501,1160
PA0017,505,545,240,644
PA0018,371,435,167,498
PA0019,1187,1099,505,1354
PA0020,2208,1554,1442,1849
PA0021,45,17,69,23
PA0022,394,206,209,282
PA0023,1001,203,581,247
PA0024,999,924,244,916
PA0025,683,315,144,358
PA0026,1172,172,403,270
PA0027,601,49,174,79
PA0028,170,16,89,34
PA0029,84,23,89,34
PA0030,41,15,52,13
PA0031,115,62,79,61
PA0032,109,64,67,89
PA0032a,59,38,64,30
PA0033,129,52,59,73
PA0034,82,44,27,57
PA0035,1659,189,257,253
PA0036,1945,464,413,629
PA0037,86,89,54,90
PA0038,261,54,683,62
PA0039,1918,196,4092,284
PA0040,316,180,150,281
PA0041,3220,959,1106,1131
PA0041a,231,167,53,181
PA0042,130,96,103,79
PA0043,147,75,94,107
PA0044,282,263,222,289
PA0045,506,619,58,702
PA0046,294,248,23,337
PA0047,236,146,26,175
PA0048,85,77,18,82
PA0049,80,135,144,161
PA0050,53,6,28,8
PA0051,55,22,28,18
PA0052,76,6,34,7
PA0054,244,126,141,160
PA0055,647,240,472,299
PA0056,54,40,65,56
PA0057,75,20,35,15
PA0058,32,13,41,17
PA0059,87,16,898,25
PA0060,162,81,225,96
PA0061,168,61,111,65
PA0062,49,19,77,17
PA0063,311,177,165,208
PA0064,353,105,113,162
PA0065,368,162,149,179
PA0066,242,106,116,124
PA0067,2259,858,1017,1019
PA0068,415,106,200,146
PA0069,128,74,66,98
PA0070,6009,848,1066,1228
PA0071,1795,1341,1422,1658
PA0072,166,38,87,58
PA0073,129,24,40,27
PA0074,1669,255,328,341
PA0075,316,40,60,74
PA0076,345,63,93,66
PA0077,1949,276,416,396
PA0078,639,116,154,146
PA0079,749,132,148,195
PA0080,314,98,88,132
PA0081,922,475,426,584
PA0082,373,254,169,408
PA0083,1463,174,170,262
PA0084,7186,751,853,1112
PA0085,5197,234,706,399
PA0086,677,74,101,138
PA0087,357,56,36,66
PA0088,1140,99,160,153
PA0089,666,71,96,101
PA0090,3313,258,370,353
PA0091,1711,195,229,268
PA0092,357,80,64,134
PA0093,505,151,121,183
PA0094,165,152,58,191
PA0095,1286,327,407,395
PA0096,115,12,35,21
PA0097,254,30,65,35
PA0098,175,24,79,29
PA0099,729,80,186,107
PA0100,740,94,240,140
PA0101,370,37,127,58
PA0102,392,156,227,211
PA0103,130,86,112,125
PA0103a,314,221,151,269
PA0105,1503,94,724,97
PA0106,1602,65,669,74
PA0107,377,4,163,16
PA0108,622,26,334,51
PA0109,174,8,93,5
PA0110,214,13,178,23
PA0111,136,8,136,7
PA0112,135,16,111,22
PA0113,233,52,222,61
PA0114,609,356,392,280
PA0115,284,150,157,186
PA0116,167,57,72,72
PA0117,215,24,64,32
PA0118,344,23,117,32
PA0119,365,226,60,247
PA0120,177,28,70,41
PA0121,217,36,72,34
PA0122,774,217,254,422
PA0123,153,86,72,90
PA0124,38,36,28,50
PA0125,55,54,29,60
PA0126,544,190,69,217
PA0127,123,52,92,64
PA0128,221,148,70,189
PA0129,421,547,254,436
PA0130,863,2239,1183,1643
PA0131,136,498,190,357
PA0132,257,3077,1012,2390
PA0133,112,81,82,105
PA0134,431,144,140,163
PA0135,5,4,1,3
PA0136,27,18,68,21
PA0137,21,23,52,20
PA0138,69,28,58,42
PA0139,7095,3291,4588,4201
PA0140,1029,757,310,902
PA0141,2938,1805,130,1625
PA0142,462,124,106,141
PA0143,870,167,229,208
PA0144,199,44,58,61
PA0145,106,59,87,92
PA0146,32,26,25,35
PA0147,181,46,95,55
PA0148,352,359,224,482
PA0149,19,25,29,48
PA0150,34,47,53,68
PA0151,59,42,91,42
PA0152,105,82,78,73
PA0153,122,50,48,74
PA0154,100,57,30,92
PA0155,190,164,121,213
PA0156,273,91,164,123
PA0157,439,106,222,160
PA0158,1653,338,675,472
PA0159,413,145,176,212
PA0160,47,24,19,44
PA0162,220,583,88,844
PA0163,116,96,75,128
PA0164,144,70,113,119
PA0165,444,1556,49,1692
PA0166,37,41,44,44
PA0167,480,240,302,331
PA0168,431,105,182,163
PA0169,505,182,111,262
PA0170,344,106,55,171
PA0171,552,198,106,265
PA0172,560,375,202,543
PA0173,69,8,70,15
PA0174,61,8,39,9
PA0175,323,19,127,23
PA0176,1846,73,627,61
PA0177,350,12,122,19
PA0178,1098,74,319,94
PA0179,1215,93,190,103
PA0180,469,76,185,85
PA0181,148,69,108,100
PA0182,72,17,40,20
PA0183,205,52,84,58
PA0184,49,17,50,25
PA0185,61,21,84,24
PA0186,39,33,42,54
PA0187,14,6,28,14
PA0188,15,9,37,20
PA0189,35,16,74,31
PA0190,43,23,44,25
PA0191,128,151,87,251
PA0192,94,36,110,57
PA0193,69,15,52,18
PA0194,66,28,76,31
PA0195,565,305,292,422
PA0195.1,153,83,75,91
PA0196,757,286,330,429
PA0197,31,25,20,43
PA0198,71,58,43,50
PA0199,188,143,33,139
PA0200,759,858,204,815
PA0201,313,248,50,442
PA0202,230,162,74,306
PA0203,128,18,27,23
PA0204,77,26,45,25
PA0205,68,30,50,40
PA0206,70,38,69,35
PA0207,146,52,63,47
PA0208,203,51,88,111
PA0209,18,10,39,12
PA0210,15,1,12,1
PA0211,49,7,27,12
PA0212,27,8,50,11
PA0213,14,9,25,5
PA0214,43,24,56,26
PA0215,35,13,23,12
PA0216,91,20,46,21
PA0217,172,51,64,82
PA0218,1126,78,66,96
PA0219,5713,27,91,43
PA0220,3202,45,62,53
PA0221,9473,31,100,25
PA0222,2478,14,29,19
PA0223,308,23,56,31
PA0224,55,40,58,34
PA0225,176,92,93,113
PA0226,51,27,44,37
PA0227,64,24,59,23
PA0228,120,30,103,42
PA0229,80,39,142,43
PA0230,171,52,165,79
PA0231,190,32,152,52
PA0232,237,47,233,54
PA0233,169,89,92,100
PA0234,136,55,87,66
PA0235,76,31,32,29
PA0236,49,26,43,39
PA0237,25,16,44,14
PA0238,34,11,51,16
PA0239,67,34,47,48
PA0240,98,37,51,59
PA0241,41,13,44,24
PA0242,56,35,110,34
PA0243,164,115,103,149
PA0244,41,26,40,34
PA0245,26,16,24,29
PA0246,144,97,87,149
PA0247,59,27,47,28
PA0248,163,51,103,92
PA0249,147,22,69,51
PA0250,372,52,174,56
PA0251,41,24,34,20
PA0252,16,102,24,78
PA0253,66,63,71,75
PA0254,127,44,91,68
PA0255,158,77,79,97
PA0256,350,96,245,122
PA0257,389,206,240,219
PA0258,76,31,34,29
PA0259,1562,794,494,871
PA0260,1500,663,374,814
PA0261,162,20,22,29
PA0262,801,275,267,331
PA0263,115,47,72,48
PA0265,1121,3893,908,4027
PA0266,1729,4527,1055,4993
PA0267,198,105,89,145
PA0268,131,58,76,70
PA0269,199,32,98,37
PA0270,156,19,60,19
PA0271,76,7,23,14
PA0272,252,109,121,141
PA0273,34,15,56,24
PA0274,50,10,36,17
PA0275,136,49,80,65
PA0276,187,126,63,146
PA0277,264,215,63,274
PA0278,38,21,49,60
PA0279,144,72,87,58
PA0280,290,221,66,180
PA0281,172,332,70,310
PA0282,124,303,52,450
PA0283,578,1538,145,2768
PA0284,49,136,16,306
PA0285,563,541,223,675
PA0286,2775,1669,1506,1946
PA0287,36,23,69,23
PA0288,68,30,63,33
PA0289,177,54,149,72
PA0290,172,115,292,119
PA0291,3530,4398,2565,4638
PA0292,998,457,428,569
PA0293,114,41,47,51
PA0294,237,101,138,96
PA0295,750,507,317,512
PA0296,1628,5651,1042,6599
PA0297,294,1620,202,1534
PA0298,904,4052,539,4140
PA0299,1779,3345,729,3775
PA0300,11165,2380,2646,2762
PA0301,1895,1026,767,1108
PA0302,2442,839,507,986
PA0303,1673,548,350,635
PA0304,1136,325,250,410
PA0305,1182,486,246,629
PA0306,385,129,108,151
PA0306a,1996,447,1702,473
PA0307,115,88,56,91
PA0308,324,195,146,234
PA0309,294,198,269,241
PA0310,332,247,78,281
PA0311,125,98,42,79
PA0312,322,134,225,179
PA0313,341,146,151,183
PA0314,600,223,241,278
PA0315,2550,340,2021,467
PA0316,3298,3006,1732,4517
PA0317,1470,1388,854,1865
PA0318,744,332,459,414
PA0319,422,397,207,501
PA0320,61,54,40,78
PA0321,495,21,57,38
PA0322,280,41,88,57
PA0323,840,37,62,36
PA0324,188,44,58,44
PA0325,284,36,95,68
PA0326,399,29,49,48
PA0327,296,64,82,62
PA0328,1589,181,244,196
PA0329,1231,282,1250,354
PA0330,368,473,193,573
PA0331,1103,848,440,1121
PA0332,151,54,54,65
PA0333,296,124,134,148
PA0334,318,158,158,161
PA0335,315,242,168,362
PA0336,1087,689,568,921
PA0337,5166,1576,2007,2083
PA0338,452,250,272,301
PA0339,245,107,179,139
PA0340,123,137,84,142
PA0341,439,256,204,335
PA0342,692,786,306,1021
PA0343,343,259,200,325
PA0344,401,85,234,117
PA0345,158,50,164,64
PA0346,25,27,44,28
PA0347,104,39,107,42
PA0348,193,23,69,38
PA0349,266,33,64,35
PA0350,246,106,86,125
PA0351,305,166,132,216
PA0352,161,278,64,393
PA0353,3868,1994,1108,2159
PA0354,319,626,293,756
PA0355,118,18,1114,16
PA0356,261,364,141,460
PA0357,480,450,252,574
PA0358,139,88,35,98
PA0359,819,478,421,466
PA0360,486,274,185,333
PA0361,528,288,301,316
PA0362,183,200,107,243
PA0363,523,377,268,472
PA0364,1548,95,147,176
PA0365,351,44,33,51
PA0366,766,128,112,188
PA0367,368,174,150,246
PA0367a,123,43,74,80
PA0368,230,156,150,200
PA0370,409,138,94,166
PA0371,1149,437,375,620
PA0372,826,529,403,693
PA0373,1465,1513,689,1964
PA0374,1265,851,398,1013
PA0375,926,550,324,791
PA0376,3042,2227,2990,2813
PA0377,163,121,120,158
PA0378,120,103,80,141
PA0379,59,57,52,53
PA0380,40,62,18,70
PA0381,778,703,536,955
PA0382,316,296,85,410
PA0383,1727,370,145,471
PA0384,145,58,42,53
PA0385,177,136,54,139
PA0386,137,262,96,305
PA0387,786,258,208,339
PA0388,918,319,281,409
PA0389,615,308,187,447
PA0390,789,669,318,874
PA0391,1989,620,1284,735
PA0392,527,231,175,325
PA0393,549,273,244,334
PA0394,327,261,174,290
PA0395,1301,826,618,954
PA0396,1247,855,605,831
PA0397,251,162,157,166
PA0398,391,151,303,183
PA0399,976,226,260,298
PA0400,1096,327,350,413
PA0401,1686,827,665,972
PA0402,1678,921,542,1035
PA0403,558,285,205,238
PA0404,241,179,118,224
PA0405,569,565,256,670
PA0406,187,246,166,289
PA0407,1196,800,764,1092
PA0408,3391,2091,691,2237
PA0409,2251,1143,460,1273
PA0410,766,441,152,488
PA0411,7005,4631,2070,5721
PA0412,1262,702,404,816
PA0413,9711,6201,4240,7339
PA0414,777,518,323,575
PA0415,646,443,318,513
PA0416,253,167,169,208
PA0417,144,45,68,58
PA0418,342,151,161,198
PA0419,159,89,70,111
PA0420,827,203,396,286
PA0421,1042,435,560,535
PA0422,311,191,134,228
PA0423,4609,946,1593,1221
PA0424,255,100,116,117
PA0425,936,467,388,580
PA0426,3282,1686,1057,2158
PA0427,1718,1008,632,1154
PA0428,2297,4259,738,5400
PA0429,1449,1410,542,1892
PA0430,422,691,185,730
PA0431,523,1287,190,1326
PA0432,3085,6689,1719,7666
PA0433,8,11,14,16
PA0434,75,49,71,54
PA0435,37,25,71,25
PA0436,689,518,300,660
PA0437,637,404,174,465
PA0438,168,136,74,151
PA0439,47,20,24,22
PA0440,46,24,60,35
PA0441,80,32,60,31
PA0443,50,30,44,33
PA0444,108,37,80,53
PA0445,128,64,73,92
PA0446,2189,408,1087,394
PA0447,11605,1148,3067,878
PA0448,152,72,90,117
PA0449,990,264,1125,378
PA0450,110,73,97,90
PA0451,176,40,124,46
PA0452,52,24,56,39
PA0451a,94,49,62,48
PA0454,405,237,275,273
PA0455,755,505,378,649
PA0456,18034,18221,6029,24621
PA0457,127,119,53,167
PA0457.1,131,56,47,75
PA0458,221,137,127,174
PA0459,3014,530,508,456
PA0460,555,94,705,100
PA0461,892,319,467,460
PA0462,378,66,323,79
PA0463,193,86,125,119
PA0464,405,124,182,172
PA0465,110,50,79,70
PA0466,32,13,3,15
PA0467,264,66,91,70
PA0468,191,65,99,83
PA0469,397,186,351,217
PA0470,150,89,157,118
PA0471,19,8,62,19
PA0472,14,5,18,7
PA0473,979,101,207,125
PA0474,21,1,11,2
PA0475,127,31,95,41
PA0476,376,125,192,137
PA0477,127,40,70,74
PA0478,79,21,49,26
PA0479,106,23,83,31
PA0480,27,11,38,19
PA0481,47,28,16,32
PA0482,8441,1406,2801,2126
PA0483,217,55,139,90
PA0484,294,31,208,46
PA0485,449,190,83,189
PA0486,289,168,140,238
PA0487,213,116,137,167
PA0488,14,18,20,14
PA0489,32,11,35,18
PA0490,24,8,29,15
PA0491,95,68,49,106
PA0492,216,93,70,41
PA0493,75,29,14,16
PA0494,326,89,82,36
PA0495,361,107,79,86
PA0496,289,53,82,24
PA0497,217,71,104,74
PA0498,266,132,193,145
PA0499,82,36,47,53
PA0500,2263,562,2298,996
PA0501,640,127,358,212
PA0502,547,101,284,152
PA0503,471,61,241,98
PA0504,256,29,113,52
PA0505,576,402,608,483
PA0506,2310,2281,887,2212
PA0507,1382,111,158,129
PA0508,2536,1446,1306,2003
PA0509,193,102,80,142
PA0510,97,21,54,30
PA0511,193,43,62,47
PA0512,86,21,33,22
PA0513,101,23,17,23
PA0514,134,24,22,27
PA0515,138,25,32,35
PA0516,473,71,59,65
PA0517,106,15,33,16
PA0518,252,39,19,30
PA0519,2258,522,146,393
PA0520,152,22,138,32
PA0521,19,13,29,7
PA0522,9,3,1,3
PA0523,33,21,26,35
PA0524,73,41,66,50
PA0525,158,122,80,131
PA0526,143,54,10,66
PA0527,2105,1613,230,1327
PA0528,90,105,33,125
PA0529,416,310,42,333
PA0530,92,189,69,311
PA0531,59,85,50,137
PA0532,37,26,36,49
PA0533,374,109,139,132
PA0534,1022,63,93,82
PA0535,200,50,45,27
PA0536,906,277,480,360
PA0537,698,211,361,287
PA0538,138,96,58,108
PA0539,43,23,26,37
PA0540,134,39,41,58
PA0541,259,213,96,288
PA0542,686,453,218,565
PA0543,77,34,102,33
PA0544,175,105,140,125
PA0545,1000,164,93,183
PA0546,4237,2092,988,2643
PA0547,1028,847,245,832
PA0548,3360,3344,999,4086
PA0549,360,394,132,431
PA0550,225,241,122,293
PA0551,844,667,360,867
PA0552,2427,884,594,1349
PA0553,155,69,120,91
PA0554,276,279,143,374
PA0555,3580,2784,1789,3434
PA0556,102,84,69,118
PA0557,61,68,127,68
PA0558,237,133,240,164
PA0559,158,191,206,251
PA0560,101,107,57,101
PA0561,279,257,157,363
PA0562,211,160,101,216
PA0563,1513,1016,386,1420
PA0564,103,56,79,84
PA0565,332,47,173,69
PA0566,228,63,104,75
PA0567,111,31,287,37
PA0568,194,57,188,74
PA0569,135,47,43,58
PA0570,62,19,25,37
PA0571,140,66,59,97
PA0572,1267,143,549,179
PA0573,52,37,26,23
PA0574,326,209,147,298
PA0575,586,204,340,274
PA0576,6881,9730,2292,12464
PA0577,1068,1514,536,1748
PA0578,261,951,46,1087
PA0579,746,3057,241,3681
PA0580,289,766,149,962
PA0581,405,395,135,490
PA0582,74,111,22,115
PA0583,160,162,47,205
PA0584,343,206,194,273
PA0585,79,22,89,36
PA0586,2425,159,2730,215
PA0587,2265,158,1981,226
PA0588,9250,640,7278,653
PA0589,214,103,77,138
PA0590,719,414,238,489
PA0591,349,227,119,370
PA0592,245,362,122,441
PA0593,1083,709,264,848
PA0594,4294,2737,1190,3526
PA0595,13423,9776,5053,12964
PA0596,703,359,197,513
PA0597,246,117,88,141
PA0598,362,261,211,341
PA0599,246,125,185,170
PA0600,418,184,177,234
PA0601,310,92,96,141
PA0602,1182,241,297,293
PA0603,367,241,403,121
PA0604,871,152,479,92
PA0605,321,84,168,70
PA0606,142,37,72,33
PA0607,270,583,184,785
PA0608,298,433,146,565
PA0609,1539,831,1538,1108
PA0610,103,44,60,56
PA0611,361,161,234,208
PA0612,15,6,13,4
PA0613,61,19,26,24
PA0614,38,13,40,14
PA0615,151,40,69,58
PA0616,175,62,127,98
PA0617,108,19,46,28
PA0618,187,36,120,57
PA0619,173,42,105,50
PA0620,920,301,572,401
PA0621,338,122,226,127
PA0622,827,164,491,195
PA0623,316,70,259,75
PA0624,132,23,70,37
PA0625,690,202,388,267
PA0626,135,38,80,56
PA0627,43,14,17,13
