,3074-CAW-0001,3074-CAW-0002,3074-CAW-0003,3074-CAW-0004,3074-CAW-0005,3074-CAW-0006
PA14_RS00005,5353.868541,4911.03708,4721.040029,5092.49167,4213.729535,4417.204776
PA14_RS00010,3727.738646,4891.095776,4047.773925,2919.225615,2742.01928,2932.196352
PA14_RS00015,3078.807604,2197.887762,3020.324827,5219.431638,3698.053805,4435.675159
PA14_RS00020,5922.784995,6697.490898,5582.478212,5634.527818,5136.607062,5802.564745
PA14_RS00025,346.5337362,474.2743383,349.9919671,412.0009918,341.5173351,381.8142136
PA14_RS00030,377.2471,360.7100977,407.3821619,481.5203633,379.4179176,417.2823242
PA14_RS00035,6274.270441,4613.033327,8266.076499,13844.46804,10075.75272,11021.41624
PA14_RS00040,1756.59879,2279.536825,1236.762701,823.3054694,1000.117645,963.5582004
PA14_RS00045,323.9589039,645.6103961,321.8023386,332.6280445,284.4164304,332.9832968
PA14_RS00050,114.6440523,181.7432534,96.1080586,121.3646452,67.31356685,111.7440884
PA14_RS00055,889.9367539,974.1620692,967.6939285,969.2264729,744.5531349,960.4395477
PA14_RS00060,280.8309244,367.7450214,340.8950877,458.6850259,371.5995643,375.2299045
PA14_RS00065,479.6967982,446.9656029,532.9653755,547.9095729,510.7331881,519.9211378
PA14_RS00070,92.37801237,101.5481397,82.07890618,87.81549987,73.07340859,73.40787832
PA14_RS00075,526.4023064,514.7685129,604.6850078,426.2674251,451.463643,719.6841125
PA14_RS00080,1172.878618,1372.198995,1324.2456,1496.378057,1252.296095,1300.399328
PA14_RS00085,685.7999553,731.9884123,649.0059975,438.797045,677.1464141,630.2801862
PA14_RS00090,422.5414318,483.2413171,469.5682327,354.2256811,564.0057263,624.9504508
PA14_RS00095,2232.900114,2554.365044,2390.038264,1979.123602,1776.337499,1838.006305
PA14_RS00100,732.8941305,954.6135472,559.5165518,617.1421406,518.2045957,529.6149364
PA14_RS00105,149.920764,135.4988691,139.1515337,106.8636212,115.5890881,166.9725343
PA14_RS00110,913.9079169,868.1737549,742.8200776,445.739499,599.1024819,636.3263262
PA14_RS00115,1645.725494,1915.754528,1398.237774,869.4872126,889.8503981,896.9259057
PA14_RS00120,251.104261,247.401425,165.2980162,177.4654661,194.940846,197.8425048
PA14_RS00125,271.943098,266.8427492,213.1910407,180.8607323,261.4658104,260.7488356
PA14_RS00130,2004.904774,2416.338738,1812.131581,2967.890192,2320.292548,2331.094863
PA14_RS00135,2599.800131,2622.481718,2064.440324,2091.653266,2274.041709,2202.577397
PA14_RS00140,730.0148493,683.5973528,595.4221164,363.8325984,685.6397776,690.3233626
PA14_RS00145,769.6640221,626.6495327,568.9018649,514.2079125,753.3930947,776.466569
PA14_RS00150,121.2527452,117.2576713,122.1170895,132.9231521,128.8184386,128.5912796
PA14_RS00155,646.4665891,651.38785,742.5487835,801.4084993,746.4009437,660.9993304
PA14_RS00160,359.0027288,295.9714075,401.8808436,480.0846505,385.6956327,406.1765106
PA14_RS00165,352.5436293,309.5866606,310.6354133,446.2208141,295.6619954,359.6974197
PA14_RS00170,189.4213844,130.5351561,176.3404578,219.8594144,173.9725644,167.0569276
PA14_RS00175,87.70411931,120.3794233,133.5288341,146.0836999,129.6589514,115.0674041
PA14_RS00180,738.877302,721.1187279,749.7121642,436.0669981,535.3252899,439.4877065
PA14_RS00185,885.1275148,973.1342248,917.5888179,792.8367355,692.3909223,714.9204944
PA14_RS00190,133.26074,123.22086,110.2247963,88.59912833,103.7719702,81.43985005
PA14_RS00195,3723.575771,3170.636999,6048.635462,4536.534767,3925.993313,4140.263864
PA14_RS00200,10524.44839,9071.836979,16923.71881,9401.661351,9608.683078,7657.49073
PA14_RS00205,395.9671673,370.927906,409.7880205,612.7301364,535.3137872,471.9525472
PA14_RS00210,1558.598913,1477.850891,1611.180039,1732.082581,1976.216101,1683.20829
PA14_RS00215,211.2928298,178.0185165,195.9583176,160.3110876,157.8774596,185.3577594
PA14_RS00220,417.7914042,343.9807452,401.5642427,456.5933381,320.2170908,342.4256587
PA14_RS00225,522.630315,433.459983,554.2163645,509.6885028,632.6158972,516.9095334
PA14_RS00230,1394.981235,1420.529424,1629.724063,901.1241044,827.9001673,859.7563166
PA14_RS00235,99.7130206,99.90771611,74.34462313,133.2170565,84.73963444,88.82769192
PA14_RS00240,56.5268618,81.17551909,58.69350667,59.45020996,65.6812965,63.66881465
PA14_RS00245,113.8653751,248.623697,107.8646258,148.6749417,140.5821876,111.9656977
PA14_RS00250,137.2127467,303.7378733,126.6600286,116.3560164,111.8966473,115.2006702
PA14_RS00255,224.7431447,1320.266082,289.8388145,220.1639578,327.4718306,356.0527043
PA14_RS00260,2926.81532,2990.872096,3834.434207,4963.262351,3750.179667,4440.120146
PA14_RS00265,1822.804346,1772.55171,2635.054344,2934.410518,2240.798178,2283.865539
PA14_RS00270,2280.511927,2513.639428,4409.135198,4781.100445,4542.399878,4933.028818
PA14_RS00275,58.34192161,83.93558066,65.84342601,44.31505504,34.19842551,53.24348133
PA14_RS00280,168.5972273,285.2950687,176.0705731,94.23797281,105.3408868,152.5876406
PA14_RS00285,95.76011635,91.43090532,113.9999989,47.82589295,99.42147487,81.29450876
PA14_RS00290,114.564694,172.8334917,126.3982343,122.4911323,128.0526856,124.0718485
PA14_RS00295,128.1361732,132.536967,127.0749894,50.68546915,90.6230411,111.7781196
PA14_RS00300,2803.540119,3714.890574,6465.310757,1871.70973,2426.911862,2146.114003
PA14_RS00305,2064.511873,2252.151244,3836.494576,1433.426286,1681.012806,1387.548034
PA14_RS00310,878.8840288,745.9969904,1063.316228,840.8327195,1010.932531,849.3509587
PA14_RS00315,195.5156524,301.2659888,233.4394696,132.4017151,129.6007269,114.9931409
PA14_RS00320,733.424678,567.2799249,626.3182034,670.7135788,692.0325083,570.5521704
PA14_RS00325,454.5968887,444.64033,421.6473275,407.1935785,417.5852663,420.1171877
PA14_RS00330,296.8079655,345.2575134,232.5561689,264.3462407,192.3303994,194.8906408
PA14_RS00335,352.5304338,337.3938813,327.9661252,348.7897902,269.358354,296.3392679
PA14_RS00340,5087.065659,6228.771788,5534.890269,4019.097887,3532.777075,3883.985232
PA14_RS00345,942.3070975,955.6814463,956.3646536,763.3781061,670.9149121,689.9763013
PA14_RS00350,196.6755762,182.8033882,228.159039,177.3297768,237.1968433,244.466454
PA14_RS00355,335.1578699,465.6999768,417.7245141,298.6119312,303.5274112,346.3560346
PA14_RS00360,1302.65109,1074.608173,1412.233569,1722.989268,1502.157114,1567.430761
PA14_RS00365,69.54155394,56.44829107,58.61705574,25.74982995,71.05942945,29.78434856
PA14_RS00370,23.99410342,15.21610709,31.15490905,4.959157344,43.07059354,32.59418507
PA14_RS00375,301.8939427,325.3690017,338.7830769,270.6215655,331.4972289,336.5712182
PA14_RS00380,68.24808688,75.38567503,73.22882794,53.65415526,62.55080733,77.01715894
PA14_RS00385,78.51895135,63.58337537,73.50293738,23.36196304,92.83828713,97.44974465
PA14_RS00390,382.6498437,448.652301,441.10399,341.9074385,453.4809071,420.2741755
PA14_RS00395,194.4299286,210.8482153,180.9417475,128.7601632,175.7189167,184.2091609
PA14_RS00400,422.1912884,405.8489301,383.7579958,417.9634567,495.3453847,424.2060834
PA14_RS00405,89.59328491,107.4052422,113.2897478,117.7063221,132.9659098,162.6345539
PA14_RS00410,1,1,1,1,1,1
PA14_RS00415,662.2292847,330.4286565,589.2581511,787.7112118,778.0316314,510.8170961
PA14_RS00420,158.2142351,175.9736978,116.387128,112.450869,122.3503569,109.9888752
PA14_RS00425,524.4611146,598.0913325,523.6452643,520.0364728,454.402197,496.7341074
PA14_RS00430,339.8642962,436.7983208,382.1282216,370.3701451,333.7554303,389.7791203
PA14_RS00435,115.2161384,74.15710403,89.91809712,103.80643,98.8338681,96.22961155
PA14_RS00440,62.99322202,67.71215829,51.26336581,65.0902342,60.02936908,59.74052454
PA14_RS00445,173.4923573,99.93688186,152.7778411,169.1660204,171.1601811,158.7599277
PA14_RS00450,59.53566613,62.67707722,76.91265022,56.51929637,48.58648975,47.89554284
PA14_RS00455,553.0856112,479.9469038,521.5504492,656.45304,622.5694612,674.161299
PA14_RS00460,369.9698768,301.9657263,499.0311284,502.0092022,485.9917456,456.083447
PA14_RS00465,152.9981608,110.1078105,189.2050781,261.5547209,211.8393367,209.5272681
PA14_RS00470,134.9865636,147.0085241,192.1642295,225.2352779,209.7876151,243.866267
PA14_RS00475,176.5268346,130.9686042,207.8121218,234.8098307,222.6535802,175.9284506
PA14_RS00480,98.39463165,121.3864267,112.0858228,152.218057,89.86833697,114.1416885
PA14_RS00485,2872.290592,2696.624635,3627.130657,4602.426606,4001.832311,3925.125317
PA14_RS00490,162.5606201,130.4984626,186.2912367,140.8877142,250.3911046,279.830809
PA14_RS00495,201.8828292,164.0721656,201.2837646,197.2433704,248.4907606,245.574338
PA14_RS00500,189.8045807,172.4567037,247.0573215,139.1195152,237.2413375,233.6310478
PA14_RS00505,276.7234317,248.349615,313.9554399,333.2301203,352.0262007,337.6017331
PA14_RS00510,388.9481407,318.521291,409.4853421,570.0129952,512.2186598,479.4720806
PA14_RS00515,281.6418668,286.8484675,370.0314284,310.4430879,497.289445,435.9754234
PA14_RS00520,2428.813501,2286.784973,2675.880548,2874.748439,3055.553445,3281.666689
PA14_RS00525,1209.945207,1077.79419,1051.454714,852.2252579,1540.652737,1458.489212
PA14_RS00530,479.200964,537.3681483,528.5063517,563.7348706,632.7198293,651.2420294
PA14_RS00535,22336.43,14214.51249,44946.77552,49769.3181,34849.90251,32875.10769
PA14_RS00540,10152.39158,5537.234863,26875.6495,18081.94186,14304.63435,11357.88036
PA14_RS00545,2599.910058,1447.695028,7404.902375,4957.516985,3786.383959,3163.289763
PA14_RS00550,7218.157961,5018.265202,19502.93998,17227.74197,13492.72383,11675.2919
PA14_RS00555,3293.623655,2119.251364,7662.577261,8300.790395,6525.324806,5967.177596
PA14_RS00560,2176.591569,1087.25528,7365.01118,5886.947311,6967.754123,6396.105411
PA14_RS00565,1586.774057,1255.719049,6519.149298,3936.129578,5485.061191,5179.022102
PA14_RS00570,1187.699376,976.9656311,5221.244488,3092.669603,3634.847193,3257.21221
PA14_RS00575,1453.301179,1262.492411,6363.121703,2300.390389,2713.960485,2630.736432
PA14_RS00580,442.014841,518.2207596,1785.643051,1243.231286,968.5897999,981.653454
PA14_RS00585,227.4320871,287.7970512,359.1463392,253.8710012,221.6995451,208.9613482
PA14_RS00590,530.3011254,588.984354,624.9851064,732.4441775,615.7005299,665.3054308
PA14_RS00595,74.05520837,61.23953402,109.5244379,68.60231708,94.49004257,117.4426405
PA14_RS00600,127.7018841,118.0225971,170.0722557,155.3055956,132.9911377,118.1722925
PA14_RS00605,238.9956915,267.2068162,245.2435358,300.5649561,223.1115515,285.3316551
PA14_RS00610,550.9898758,496.3823473,500.1284967,410.7321306,422.2881636,433.4981421
PA14_RS00615,285.4719133,270.1034019,320.1754765,238.3298756,305.5028439,312.0321774
PA14_RS00620,80034.81024,69608.9407,80435.62538,97823.26519,85168.1859,86380.31757
PA14_RS00625,11467.9826,11722.8278,12598.07775,10723.81042,11433.88449,11622.5781
PA14_RS00630,172.0971028,148.5058548,209.9600448,156.7602534,135.4580855,163.6466206
PA14_RS00635,142.8988702,191.4984626,190.3980641,139.5064872,164.3034541,149.3574095
PA14_RS00640,88.46411824,177.7394354,90.96128311,86.71351731,93.81690485,100.9908376
PA14_RS00645,254.4725093,296.1312639,247.0744468,154.5178823,167.0213476,201.0791939
PA14_RS00650,249.5084733,220.1870788,204.5360026,246.6440544,164.1404041,206.9791019
PA14_RS00655,613.4836139,549.9974044,590.6603666,670.3589515,644.0174637,679.0937762
PA14_RS00660,5051.198423,4911.442181,4895.220057,5048.188268,4848.352908,5097.789193
PA14_RS00665,136.036313,122.0304183,109.9865423,160.7156933,119.915638,138.7363477
PA14_RS00670,416.3261879,355.7850303,357.4845298,356.090713,292.4913197,291.0065872
PA14_RS00675,461.0955717,393.5535109,550.9597052,435.9805607,438.7039847,453.3797044
PA14_RS00680,1424.074592,1120.415398,1591.88235,1217.095788,1125.349177,1131.363643
PA14_RS00685,1,1,1,1,1,1
PA14_RS00690,218.2505834,165.3027139,189.4789405,184.8998187,229.9381916,206.7150617
PA14_RS00695,88.96355288,88.54745887,80.56127438,84.96261704,90.60436809,106.4402873
PA14_RS00700,353.9399988,309.932879,360.8516397,326.1000834,320.5818637,398.4649455
PA14_RS00705,16617.44548,22637.68797,26893.85598,3907.683753,4877.73275,4977.087378
PA14_RS00710,8334.003554,9379.634562,12886.74245,687.1189208,852.9586538,904.8162316
PA14_RS00715,5159.054601,5049.990645,5412.798623,11178.03518,7728.458655,10163.72764
PA14_RS00720,416.5858423,472.8782577,391.34169,591.5408541,440.5527617,662.0401945
PA14_RS00725,672.0855148,1058.073402,588.5393225,516.7302382,531.6367405,650.5616639
PA14_RS00730,591.6905322,616.6157799,479.3939859,434.1639111,459.4671792,490.4686111
PA14_RS00735,604.6342946,623.0836283,730.6709299,774.7934782,750.8289669,864.0104792
PA14_RS00740,197.5738773,270.508103,258.7291866,149.805803,299.1988874,351.2455165
PA14_RS00745,140.0411787,115.1874956,127.8118685,145.607151,116.67616,145.6426716
PA14_RS00750,403.1480685,418.0303851,388.0812712,338.2340282,372.7818992,367.0793124
PA14_RS00755,673.6894983,702.2544251,796.3015193,731.5319166,637.6893602,615.0705116
PA14_RS00760,618.3367746,831.7153222,548.0742331,178.1153447,430.484356,412.2455185
PA14_RS00765,194.9268478,282.4757089,165.7610803,64.40456298,164.618618,179.1703994
PA14_RS00770,243.6779669,301.9604937,270.2483501,203.0090876,186.6252005,181.3185853
PA14_RS00775,433.8486411,355.4586666,442.4464366,280.6723236,385.5066669,411.1237767
PA14_RS00780,104.684715,100.5813701,138.7107702,147.567274,120.8781772,139.2855708
PA14_RS00785,335.7254277,300.4147835,417.9756247,440.347297,371.0235624,306.6922712
PA14_RS00790,786.862094,650.5751921,906.6550809,1055.680093,811.5977189,851.5284962
PA14_RS00795,2170.673462,1709.502717,2371.070756,1784.707585,1980.01686,2033.760389
PA14_RS00800,1267.527208,1077.87936,1518.044114,826.8472366,1211.428884,1053.209701
PA14_RS00805,6276.119036,4359.297656,7039.801331,8466.007198,7321.466825,6592.778975
PA14_RS00810,812.4020106,858.0191279,1113.676882,995.0353706,1059.014773,1339.399853
PA14_RS00815,124.5822739,169.2137859,140.1176221,185.0183688,153.9016939,176.9475529
PA14_RS00820,106.1253646,173.5668115,136.2583092,276.8291393,334.2301336,285.3298751
PA14_RS00825,674.4763281,525.0820254,630.2515714,840.1132437,730.3681281,693.1414576
PA14_RS00830,316.8987151,361.6619471,256.9571524,167.5773087,242.5586805,191.0081385
PA14_RS00835,266.9992724,255.9447494,294.1903267,257.0795425,291.4795786,274.2201927
PA14_RS00840,83.32398885,118.7080531,114.535578,193.5131773,125.500352,148.1635437
PA14_RS00845,95.70835717,102.6357125,127.7784204,213.9476022,160.7698093,159.9604462
PA14_RS00850,445.5751609,345.3929918,384.0552337,479.5488583,500.9500679,458.0902352
PA14_RS00855,324.0327896,383.9415803,300.9414461,297.7354094,289.8512707,276.7654413
PA14_RS00860,270.9511575,370.9870455,297.792787,141.7390329,269.4597539,223.1284398
PA14_RS00865,259.2905829,266.3977339,254.7865835,324.0309928,282.9246367,269.0857161
PA14_RS00870,99.39837767,65.79417694,69.99844655,98.66387193,88.4004311,106.2163243
PA14_RS00875,64.10066417,68.92058299,67.90481633,56.3968469,70.41402954,69.91245541
PA14_RS00880,508.6054108,363.9781409,419.439523,393.5044117,587.1486539,578.7207249
PA14_RS00885,261.9976389,237.6344188,483.7178613,243.9837072,331.4073985,340.9158819
PA14_RS00890,312.8163262,283.1948069,553.467963,478.7932489,482.2602194,524.2942814
PA14_RS00895,1185.766312,1035.470689,2173.616942,1989.182598,1772.227379,1756.158081
