,PA14,PJ01,PJ01dT
PA14_00010,736.131,697.165,723.731
PA14_00020,834.819,837.168,799.965
PA14_00030,720.005,704.725,724.944
PA14_00050,757.493,758.73,724.137
PA14_00060,321.259,306.043,311.012
PA14_00070,189.803,172.009,181.929
PA14_00080,22.9188,21.5587,21.4759
PA14_00090,374.31,401.385,362.275
PA14_00100,518.327,526.998,484.092
PA14_00110,58.4757,57.7283,55.9747
PA14_00120,227.136,219.06,218.867
PA14_00130,322.581,304.699,330.134
PA14_00140,158.118,153.328,153.065
PA14_00150,117.197,117.986,114.577
PA14_00160,306.378,311.538,302.392
PA14_00170,271.096,279.304,268.07
PA14_00180,173.776,223.591,208.743
PA14_00190,189.905,233.303,201.732
PA14_00200,884.247,857.358,859.233
PA14_00210,553.432,504.129,536.477
PA14_00230,4.86609,5.69718,5.93436
PA14_00240,230.128,209.515,214.444
PA14_00250,96.3463,89.9412,86.4224
PA14_00280,193.004,194.335,191.126
PA14_00290,101.45,100.641,101.258
PA14_00300,125.915,89.9253,120.559
PA14_00310,67.3517,49.09,67.3696
PA14_00320,49.3493,43.4919,56.2684
PA14_00340,7.99941,7.18882,8.58129
PA14_00360,8.29301,6.87443,7.39493
PA14_00380,12.8732,11.572,12.2196
PA14_00400,32.5567,32.7033,33.8315
PA14_00410,151.081,118.841,131.641
PA14_00420,110.561,93.4468,96.5747
PA14_00430,43.2618,39.5293,38.2541
PA14_00440,80.887,92.2873,78.6746
PA14_00450,88.1371,101.05,84.8772
PA14_00460,47.8229,51.026,52.908
PA14_00470,373.606,305.865,376.476
PA14_00480,4078.22,3346.78,3965.53
PA14_00490,6.0693,6.11185,6.85228
PA14_00510,6.6138,5.58724,6.77045
PA14_00520,387.805,335.818,410.173
PA14_00530,147.041,126.722,138.631
PA14_00550,11.7145,12.6523,13.1783
PA14_00560,170.96,94.4017,162.461
PA14_00570,281.015,295.918,281.313
PA14_00580,442.681,459.951,402.692
PA14_00590,196.943,205.128,196.8
PA14_00600,100.215,114.842,115.319
PA14_00620,7.79064,8.88789,8.33257
PA14_00630,100.834,75.6596,94.1303
PA14_00640,2.70313,2.50042,2.90624
PA14_00650,14.421,10.9886,12.853
PA14_00660,38.5464,47.8512,46.1263
PA14_00670,124.087,128.677,130.413
PA14_00680,21.8723,23.1579,23.9394
PA14_00690,17.1835,14.954,16.2429
PA14_00700,9.6814,9.58268,10.1495
PA14_00710,48.9634,35.7637,49.7288
PA14_00720,552.879,459.101,515.093
PA14_00730,82.6691,86.1503,95.221
PA14_00740,43.3674,32.9452,37.0893
PA14_00750,56.8821,63.1388,66.0465
PA14_00760,76.0365,79.4562,76.1916
PA14_00770,105.593,111.486,98.2532
PA14_00780,129.112,130.56,128.937
PA14_00790,238.925,258.201,233.61
PA14_00800,612.223,650.576,578.583
PA14_00810,26.1825,27.6578,24.3981
PA14_00820,200.838,194.093,213.597
PA14_00830,59.146,51.0466,63.1698
PA14_00850,8.6114,10.4117,11.4649
PA14_00860,8.53619,13.3901,14.6287
PA14_00875,22.2948,22.3222,24.2961
PA14_00890,27.4247,25.5547,31.5294
PA14_00900,38.3723,40.2207,42.9488
PA14_00910,23.5323,22.3965,24.2285
PA14_00925,21.4889,23.2987,25.5354
PA14_00940,36.8952,35.7942,37.9571
PA14_00960,51.863,51.579,52.8602
PA14_00970,41.2671,41.1461,45.0321
PA14_00980,77.5031,75.1755,82.8215
PA14_00990,30.5968,29.4546,35.0379
PA14_01010,84.1468,67.8409,76.1896
PA14_01020,79.5262,64.7423,73.7586
PA14_01030,225.233,163.1,204.228
PA14_01040,28.1997,24.9885,31.8643
PA14_01060,23.8881,21.9946,23.4654
PA14_01070,9.8569,9.62402,10.9142
PA14_01080,12.5446,10.8429,12.9078
PA14_01100,15.7311,14.696,16.9818
PA14_01110,18.2129,15.1541,18.7407
PA14_01120,134.843,108.71,128.743
PA14_01130,331.753,300.324,323.648
PA14_01140,33.3918,27.8772,31.5339
PA14_01150,105.323,87.6607,91.1125
PA14_01160,23.183,18.2966,22.9966
PA14_01170,10.7545,11.067,11.3051
PA14_01180,8.16432,7.40892,8.43705
PA14_01190,6.91023,7.18519,8.256
PA14_01200,21.1493,17.4145,19.5461
PA14_01220,24.9519,21.7184,24.5158
PA14_01230,12.2976,13.3048,13.8877
PA14_01240,174.861,162.791,168.363
PA14_01250,20.3462,21.2905,21.0048
PA14_01270,108.072,103.911,105.974
PA14_01290,23.9614,19.7071,21.773
PA14_01300,9.64645,7.75518,9.50366
PA14_01310,4.81296,4.67002,4.79899
PA14_01320,10.0056,9.14599,10.739
PA14_01330,38.1491,31.5925,31.5013
PA14_01340,4.87298,5.0274,5.57297
PA14_01350,1.962,2.57781,3.16716
PA14_01360,2.72385,2.88295,2.74699
PA14_01380,10.8541,11.3714,12.3103
PA14_01390,109.241,106.228,101.744
PA14_01400,134.092,123.139,121.468
PA14_01410,131.608,108.649,123.485
PA14_01430,18.742,19.9127,20.915
PA14_01440,33.5319,30.4642,31.0689
PA14_01460,15.816,13.8507,16.4316
PA14_01470,30.7064,26.7049,30.9623
PA14_01480,20.3841,22.8635,21.7794
PA14_01490,239.895,107.753,218.585
PA14_01500,74.992,68.3138,70.0436
PA14_01510,236.653,222.125,209.798
PA14_01520,432.224,417.755,392.081
PA14_01540,91.8675,85.5527,93.1076
PA14_01550,43.1797,42.4801,42.2862
PA14_01560,508.743,445.846,454.07
PA14_01580,41.1196,39.5099,39.5028
PA14_01600,193.696,177.296,207.596
PA14_01610,90.243,82.6948,99.5588
PA14_01620,15.1444,14.5395,14.42
PA14_01640,30.0379,29.195,30.2267
PA14_01660,18.1123,16.9203,18.8369
PA14_01670,2.61833,2.20916,2.20488
PA14_01680,2.29589,2.46853,2.34439
PA14_01690,10.5763,10.2361,11.656
PA14_01710,3959.11,4111.33,3672.03
PA14_01720,169.279,189.783,170.952
PA14_01730,83.2806,55.9624,88.6557
PA14_01750,9.02713,9.50664,10.0293
PA14_01760,204.956,152.049,182.202
PA14_01770,109.189,71.1606,96.7576
PA14_01780,68.833,40.9932,69.965
PA14_01790,50.0547,47.1232,56.1477
PA14_01800,9.95321,8.07325,8.73499
PA14_01810,12.0553,10.8927,11.6197
PA14_01830,90.1314,90.2003,86.0273
PA14_01840,39.7875,39.0472,55.1918
PA14_01860,25.9877,32.6172,39.6571
PA14_01870,6.09974,5.83062,6.42779
PA14_01890,52.3588,53.0752,57.832
PA14_01900,9.83371,10.4665,8.86173
PA14_01910,10.0062,9.71451,9.78597
PA14_01930,64.6416,64.4537,58.9131
PA14_01940,65.5966,56.1894,65.8063
PA14_01960,52.3196,48.8855,55.4561
PA14_01970,81.6918,66.6319,76.7031
PA14_01980,66.8358,60.6724,66.9421
PA14_01990,361.05,319.099,378.483
PA14_02010,2359.06,1418.45,2217.2
PA14_02020,263.146,208.834,252.857
PA14_02030,63.356,56.4869,64.0323
PA14_02050,12.4929,12.8067,12.4337
PA14_02060,180.156,118.054,183.048
PA14_02070,5.39108,4.67141,6.24484
PA14_02090,167.37,162.975,163.971
PA14_02100,92.6117,111.444,114.301
PA14_02110,122.16,121.527,115.285
PA14_02130,204.376,195.651,181.378
PA14_02140,107.897,110.006,99.2518
PA14_02150,47.6094,51.7895,47.7976
PA14_02180,2.46546,2.69283,3.1077
PA14_02190,4.65514,3.86157,3.78034
PA14_02200,7.80189,6.5576,6.85545
PA14_02220,12.022,11.0946,11.7624
PA14_02230,17.7644,12.7358,15.2898
PA14_02250,10.2894,8.74032,10.2576
PA14_02260,59.9187,47.8664,56.387
PA14_02270,21.7992,21.2565,20.7286
PA14_02290,38.4485,36.2281,40.3526
PA14_02300,17.6466,19.5311,18.1648
PA14_02310,14.3333,14.7779,13.7762
PA14_02330,7.20012,7.65088,7.35784
PA14_02340,3.74095,4.20118,4.36026
PA14_02360,11.7559,10.5687,11.4122
PA14_02370,4.64087,3.81249,5.1512
PA14_02380,10.4498,9.60501,9.49921
PA14_02390,19.7313,15.728,19.3004
PA14_02410,3.41885,2.99378,3.31151
PA14_02420,4.4794,4.73174,4.74799
PA14_02435,4.29347,4.23429,4.71004
PA14_02450,21.3531,22.5148,21.8508
PA14_02460,37.0545,36.3907,34.7831
PA14_02470,19.2062,19.2126,18.351
PA14_02490,2.72276,2.65989,2.76798
PA14_02500,5.83759,4.51144,6.138
PA14_02510,21.4376,15.8654,25.6783
PA14_02520,357.26,190.434,451.983
PA14_02530,108.565,71.3992,132.842
PA14_02550,24.1921,24.6071,25.0431
PA14_02560,1.58401,1.84361,2.28368
PA14_02570,4.93579,5.29063,5.19119
PA14_02580,3.34675,4.16098,3.66518
PA14_02590,3.89349,4.97535,4.44426
PA14_02610,3.73797,4.06254,4.50572
PA14_02620,6.97075,8.2304,9.83971
PA14_02630,12.2424,13.3172,12.7382
PA14_02640,13.4029,11.749,12.975
PA14_02650,40.2025,36.9139,38.53
PA14_02660,22.0031,20.788,20.2265
PA14_02680,4.10939,3.90363,4.22624
PA14_02690,5.93649,5.36273,6.2223
PA14_02700,6.03624,6.03806,5.8166
PA14_02720,3.87722,4.31344,3.94833
PA14_02730,24.3098,24.252,25.3126
PA14_02740,23.76,22.1046,22.4838
PA14_02750,72.5037,65.925,71.0156
PA14_02760,8.35277,9.02365,7.99552
PA14_02770,8.23265,7.58897,9.10814
PA14_02790,9.01862,8.92681,9.96676
PA14_02810,10.6761,8.84806,9.96692
PA14_02830,14.9016,17.5559,20.2168
PA14_02840,20.8557,23.5041,24.5965
PA14_02850,62.1357,60.8472,55.7872
PA14_02870,29.4696,29.1749,29.5054
PA14_02890,6.43396,6.22225,5.87697
PA14_02900,3.11818,2.88068,2.74849
PA14_02910,75.5805,72.808,80.2483
PA14_02930,5.17393,5.36451,5.75177
PA14_02960,7.9723,7.52074,8.98877
PA14_02970,13.12,12.3266,13.1646
PA14_02980,7.51496,7.36222,8.23728
PA14_02990,2.98327,2.78607,3.03963
PA14_03000,4.2369,4.42651,4.93665
PA14_03010,63.1946,60.2881,58.5115
PA14_03020,8.26046,7.71361,8.57477
PA14_03030,21.4165,20.2492,18.4749
PA14_03040,32.1094,34.4255,32.8051
PA14_03050,8.15475,7.42404,8.51115
PA14_03070,36.3373,31.7715,34.9002
PA14_03080,69.6325,67.0985,69.0607
PA14_03090,60.1651,48.8148,67.9001
PA14_03100,12.8874,11.2269,11.1395
PA14_03110,36.6717,47.2683,42.0523
PA14_03120,62.8791,61.2403,66.3024
PA14_03130,37.7196,36.5506,41.7
PA14_03150,82.4989,71.6242,81.7136
PA14_03160,42.5456,37.5863,45.067
PA14_03163,1268.33,1049.34,1199.58
PA14_03166,644.652,556.192,592.645
PA14_03170,50.5166,41.5459,45.7653
PA14_03180,436.858,365.151,401.662
PA14_03190,76.4407,69.5026,73.0784
PA14_03200,40.5518,37.2812,38.4581
PA14_03210,26.2056,21.339,23.927
PA14_03220,10.3791,8.93171,10.9516
PA14_03240,0.542781,0.278129,0.4657
PA14_03250,85.5083,71.4714,83.6586
PA14_03265,104.449,94.0573,92.8319
PA14_03270,85.9313,79.5109,81.8413
PA14_03285,92.5214,84.7472,82.7933
PA14_03290,336.483,295.866,314.319
PA14_03300,16.9682,15.0725,15.3385
PA14_03310,50.2594,47.9413,48.4328
PA14_03320,108.384,107.185,106.133
PA14_03330,77.1567,76.556,72.4691
PA14_03340,101.779,104.555,98.154
PA14_03350,194.728,192.978,173.772
PA14_03360,236.736,224.982,206.521
PA14_03370,97.2605,94.2409,86.8652
PA14_03380,87.4141,74.8921,81.8617
PA14_03390,68.7119,55.4484,61.9895
PA14_03400,81.8344,74.4366,70.6826
PA14_03410,75.5207,67.744,240.846
PA14_03420,178,199.799,183.774
PA14_03430,203.037,212.385,184.244
PA14_03450,319.163,375.333,301.414
PA14_03470,67.6465,57.8484,70.3388
PA14_03480,19.6522,18.4469,21.2608
PA14_03490,59.7543,53.8325,59.0921
PA14_03510,63.3461,52.1296,57.4768
PA14_03520,96.959,76.7258,81.0969
PA14_03530,34.4777,36.3634,35.4601
PA14_03550,2.42891,2.33657,2.90623
PA14_03560,5.01756,5.34287,4.67936
PA14_03580,29.2688,26.5716,28.9538
PA14_03590,6.1557,8.24453,8.92085
PA14_03610,86.6108,88.8097,90.4819
PA14_03620,5.75846,6.60991,5.97607
PA14_03630,28.5525,41.0208,38.3941
PA14_03650,101.395,109.539,96.4386
PA14_03670,59.3868,63.7018,55.6987
PA14_03680,58.1447,67.0156,55.7881
PA14_03700,108.035,113.57,106.075
PA14_03710,1126.6,1050.35,1078.1
PA14_03720,80.518,81.3804,77.1253
PA14_03730,419.454,415.857,416.501
PA14_03760,4.12002,3.48428,4.46558
PA14_03770,9.45375,10.4756,9.18299
PA14_03780,19.1706,15.9323,18.436
PA14_03790,14.9279,14.5666,15.5104
PA14_03800,527.904,506.837,498.419
PA14_03810,185.183,187.157,177.846
PA14_03830,72.3433,72.8237,63.5115
PA14_03840,43.2337,46.4309,44.348
PA14_03855,60.485,47.8348,61.4126
PA14_03860,312.303,364.192,306.899
PA14_03870,80.5417,77.5992,88.6679
PA14_03880,105.906,110.987,93.9812
PA14_03900,230.406,226.552,201.28
PA14_03920,595.757,592.449,544.211
PA14_03930,236.682,247.434,209.168
PA14_03940,195.042,198.004,182.839
PA14_03950,205.665,215.019,201.171
PA14_03960,178.499,169.198,164.876
PA14_03980,25.6841,24.4748,24.3587
PA14_04000,37.2835,36.253,36.0656
PA14_04010,246.318,224.976,223.448
PA14_04020,55.125,54.4091,55.208
PA14_04030,76.3165,81.1265,79.2158
PA14_04040,114.042,118.859,113.757
PA14_04050,67.7605,64.7843,77.96
PA14_04060,14.2773,15.0478,16.9968
PA14_04070,97.2788,102.437,111.835
PA14_04080,110.86,112.34,107.719
PA14_04090,135.113,147.53,128.869
PA14_04100,1057.73,1024.41,983.866
PA14_04110,807.166,825.075,750.434
PA14_04140,368.995,368.589,348.423
PA14_04150,241.223,218.536,210.472
PA14_04160,131.984,135.743,131.365
PA14_04180,84.8818,89.2132,75.3807
PA14_04190,10.0131,9.03948,9.48249
PA14_04210,6.44305,5.57054,6.61843
PA14_04220,8.32748,8.07043,8.76714
PA14_04230,15.9601,13.8945,13.3816
PA14_04240,20.0732,17.03,17.7505
PA14_04250,3.24194,3.56625,3.7278
PA14_04270,19.4368,16.1811,18.6708
PA14_04290,23.2305,21.4172,22.2572
PA14_04300,526.713,498.316,489.19
PA14_04310,423.97,443.649,414.067
PA14_04320,202.739,208.499,189.051
PA14_04330,60.4921,64.8521,68.2869
PA14_04340,35.1633,40.6878,40.9067
PA14_04350,56.7039,49.893,49.6483
PA14_04370,38.5017,39.4468,40.3588
PA14_04380,136.318,136.426,132.573
PA14_04390,774.127,720.777,756.727
PA14_04410,321.508,305.667,301.45
PA14_04420,51.7236,43.9773,49.9474
PA14_04430,32.6225,37.9899,38.0002
PA14_04440,66.2419,67.2972,65.8133
PA14_04460,201.338,195.225,182.953
PA14_04480,339.351,355.15,320.45
PA14_04490,150.807,145.508,136.857
PA14_04510,35.8796,41.6842,39.569
PA14_04520,22.5796,29.5871,31.467
PA14_04530,95.3567,79.9277,88.991
PA14_04550,26.2619,23.5966,26.5115
PA14_04560,11.3819,10.9841,11.6479
PA14_04570,8.799,7.82772,9.47973
PA14_04580,183.448,185.784,184.219
PA14_04590,182.142,180.196,176.261
PA14_04610,99.5728,102.572,91.3302
PA14_04630,147.797,154.992,142.73
PA14_04640,145.089,150.031,145.553
PA14_04650,32.2022,21.0379,28.4922
PA14_04660,148.597,149.171,148.549
PA14_04670,182.932,198.677,192.236
PA14_04680,158.006,165.154,144.895
PA14_04690,626.486,553.819,672.054
PA14_04700,153.152,147.088,145.702
PA14_04710,1769,1759.6,1649.59
PA14_04730,50.2783,59.4844,57.7132
PA14_04750,814.715,785.519,843.711
PA14_04760,542.636,532.527,508.234
PA14_04780,16.4025,13.807,15.0261
PA14_04790,27.949,22.0023,24.7139
PA14_04810,18.6973,13.4531,15.7695
PA14_04820,126.471,113.581,117.448
PA14_04830,76.2268,73.173,74.6052
PA14_04840,61.6091,62.536,61.4375
PA14_04850,132.495,124.911,124.045
PA14_04860,144.622,143.21,136.35
PA14_04870,122.424,126.508,117.653
PA14_04890,143.911,148.568,139.57
PA14_04900,318.841,355.553,334.388
PA14_04910,418.488,419.827,417.643
PA14_04920,261.662,252.131,247.64
PA14_04930,1552.41,1377.62,1530.55
PA14_04940,163.291,162.644,171.687
PA14_04950,96.0576,98.8638,103.439
PA14_04960,153.083,153.642,149.375
PA14_04970,1006.1,1243.51,1157.98
PA14_04980,443.838,459.946,424.214
PA14_05000,277.041,270.621,261.648
PA14_05010,26.9838,28.8131,27.6713
PA14_05020,96.2783,97.8859,98.1392
PA14_05030,107.218,122.774,109.974
PA14_05040,58.4077,70.2254,58.9507
PA14_05050,379.172,428.83,401.457
PA14_05060,471.944,474.114,445.059
PA14_05070,307.927,300.305,292.885
PA14_05080,255.895,269.471,244.127
PA14_05110,73.1092,66.3055,76.2678
PA14_05120,1018.61,1076.28,1008.59
PA14_05130,280.523,283.26,263.693
PA14_05150,143.107,185.767,182.293
PA14_05160,183.421,198.146,196.282
PA14_05180,244.722,222.68,233.63
PA14_05190,151.217,137.579,150.919
PA14_05200,39.2937,36.0101,36.7669
PA14_05210,114.077,96.9324,99.5426
PA14_05220,142.823,116.318,131.768
PA14_05230,187.522,174.838,171.988
PA14_05250,129.376,148.86,138.162
PA14_05260,198.058,200.382,187.496
PA14_05270,131.78,135.407,127.579
PA14_05280,172.561,193.938,189.179
PA14_05290,263.769,280.288,252.405
PA14_05300,68.318,68.4565,65.1279
PA14_05310,245.373,216.02,266.033
PA14_05320,1695.77,1456.34,1734.4
PA14_05330,1294.09,1141.23,1222.3
PA14_05340,346.949,289.622,329.421
PA14_05360,497.77,439.813,472.478
PA14_05380,196.472,163.153,202.178
PA14_05390,183.583,170.228,187.105
PA14_05400,149.871,140.379,150.394
PA14_05410,180.066,183.919,185.015
PA14_05420,61.239,60.2001,64.9359
PA14_05430,23.4695,24.7578,27.0517
PA14_05440,50.0809,54.8926,51.6125
PA14_05450,144.774,144.774,139.373
PA14_05460,156.645,158.815,144.803
PA14_05480,158.17,160.993,159.18
PA14_05500,192.48,222.242,214.702
PA14_05510,2973.05,3023.08,2883.65
PA14_05520,178.278,166.7,165.79
PA14_05530,556.36,440.874,511.693
PA14_05540,602.009,453.587,556.905
PA14_05550,729.438,582.585,721.623
PA14_05560,406.947,454.137,431.61
PA14_05580,410.56,439.315,411.666
PA14_05590,280.527,320.856,299.092
PA14_05600,418.089,483.715,450.395
PA14_05620,711.434,782.361,712.149
PA14_05630,53.6189,54.2088,52.4101
PA14_05640,16.5486,17.35,14.774
PA14_05650,8.03616,9.11009,7.32483
PA14_05660,250.383,203.933,246.043
PA14_05690,87.8702,91.116,82.4365
PA14_05700,47.0027,51.6,46.7606
PA14_05740,4.21834,4.22076,4.22087
PA14_05750,5.24164,5.08736,5.36135
PA14_05770,6.59449,7.3974,7.87306
PA14_05775,40.7633,15.2645,18.0541
PA14_05790,4.0092,3.67132,3.5951
PA14_05810,14.326,16.0135,14.3778
PA14_05820,83.7868,82.8165,70.7202
PA14_05840,207.491,206.013,178.19
PA14_05850,90.4066,78.6254,82.8065
PA14_05860,662.747,655.886,589.275
PA14_05870,27.9071,28.7952,28.0277
PA14_05880,4.98581,4.52593,5.03644
PA14_05890,7.18601,5.85297,6.90153
PA14_05910,30.3262,28.9493,29.8012
PA14_05920,37.2887,38.1107,36.5826
PA14_05950,95.5045,105.529,97.5506
PA14_05960,81186.8,78082.8,80250.2
PA14_05970,130.128,140.489,129.515
PA14_05990,35.8232,36.8434,33.2873
PA14_06000,6.33507,4.99387,5.93493
PA14_06010,203.563,184.717,186.366
PA14_06030,170.871,158.309,164.817
PA14_06040,56.0697,46.5187,53.2394
PA14_06060,65.3766,68.8312,64.388
PA14_06070,47.5489,48.6517,51.2691
PA14_06080,19.2899,16.9071,19.0236
PA14_06090,12.6153,12.4703,12.1371
PA14_06120,29.7507,35.89,29.2141
PA14_06130,21.6345,24.4206,24.1971
PA14_06150,64.3665,58.4409,60.8305
PA14_06160,17.8749,15.0837,18.2083
PA14_06170,36.9254,33.2225,48.3491
PA14_06180,95.4138,76.1689,120.146
PA14_06190,45.629,45.2172,41.5806
PA14_06200,2.26234,2.773,2.99121
PA14_06210,20.4513,20.6733,22.5118
PA14_06230,26.5071,23.8383,26.6695
PA14_06240,18.4756,18.0825,20.4264
PA14_06250,94.1865,83.3025,91.8299
PA14_06260,30.0031,30.7967,33.4266
PA14_06270,16.5184,17.8574,18.4502
PA14_06280,133.496,117.718,126.234
PA14_06290,249.49,241.238,227.186
PA14_06300,59.2742,54.1285,60.9921
PA14_06310,28.0489,24.4029,28.7191
PA14_06320,77.4329,89.7118,78.891
PA14_06330,52.8061,55.4619,54.7645
PA14_06340,46.874,43.5428,49.1045
PA14_06350,43.5462,41.7827,50.7852
PA14_06360,4.82745,6.47866,7.46434
PA14_06390,42.5416,34.7315,36.4672
PA14_06400,27.4155,26.2651,27.3851
PA14_06420,15.7433,14.1003,14.7405
PA14_06430,57.3913,44.0132,46.9622
PA14_06450,12.5605,10.3739,12.8988
PA14_06460,19.4519,16.7988,18.4961
PA14_06480,15.3514,12.3381,14.2455
PA14_06500,511.332,504.823,505.737
PA14_06510,123.528,153.806,146.836
PA14_06530,157.031,170.793,170.216
PA14_06540,76.0445,94.1833,92.9454
PA14_06570,49.6867,71.8659,72.5703
PA14_06580,256.057,270.064,288.373
PA14_06600,75.8304,67.8251,67.6213
PA14_06620,10.2704,8.43293,9.36826
PA14_06640,38.8578,37.3993,35.1716
PA14_06650,6.48016,4.94454,5.5355
PA14_06660,4.73614,4.07197,4.5343
PA14_06670,5.54163,4.86808,4.36565
