,X3225B2.raw,X3225B3.raw,X3225B4.raw,WTB3.raw,WTB4.raw,WTB6.raw,X3225P4.raw,X3225P5.raw,X3225P6.raw,WTP4.raw,WTP5.raw,WTP6.raw
PA14_22460,1956,1711,1200,122,60,73,3233,3852,4993,412,266,345
PA14_22450,1826,1672,1036,104,62,103,1995,2306,2915,181,117,180
PA14_22470,5171,4117,2938,369,179,313,626,809,1114,51,38,57
PA14_22440,4497,4272,2704,377,222,285,5071,5814,8194,811,629,973
PA14_27070,4941,3857,2582,421,292,531,2240,3229,3791,193,168,215
PA14_48650,908,726,644,107,74,133,6321,8117,9534,800,584,966
PA14_22420,381,327,214,78,39,70,154,135,210,659,504,727
PA14_27390,411,337,219,145,91,88,243,279,426,90,89,93
PA14_03730,1760,1694,1079,4448,2728,4408,121,149,177,32,22,39
PA14_05500,551,584,376,247,185,217,167,244,336,80,66,98
PA14_22280,735,722,313,185,89,240,401,254,501,1317,935,1497
PA14_28400,1082,1107,881,2436,1763,2708,18,18,19,308,226,476
PA14_06750,49,47,34,120,114,153,2351,2518,4743,1411,1055,1511
PA14_36470,1451,2283,1195,4247,2932,3672,702,677,741,1657,1269,1859
PA14_15360,1363,1222,1293,2937,2594,3925,375,343,490,874,708,1095
PA14_36530,2552,1849,1375,3705,2488,4375,62,72,134,35,22,32
PA14_05910,234,197,137,134,74,98,53,61,102,204,153,275
PA14_09240,827,715,428,1381,739,1489,1150,811,1571,3032,2093,3515
PA14_36820,14079,9811,10252,32685,18105,46568,24837,35363,53783,24284,19019,25118
PA14_06810,12,22,11,57,57,49,16823,23729,35225,15988,12440,17149
PA14_09750,405,400,384,753,546,988,732,906,837,1667,1370,1762
PA14_05890,511,547,374,325,264,133,247,228,274,551,407,647
PA14_39990,397,449,260,670,457,834,30,29,53,112,93,102
PA14_67410,163,118,91,79,62,64,2478,2537,4287,6259,3953,6727
PA14_22490,87,118,74,61,28,58,67,51,74,184,148,257
PA14_09280,3097,2485,1564,4866,2777,4511,742,699,611,1702,1410,2074
PA14_10500,278,178,164,402,242,461,35110,53714,80328,35144,26601,33325
PA14_40020,181,187,106,375,191,284,997,969,985,2239,1809,2832
PA14_09320,496,410,244,784,436,755,707,982,987,1800,1187,1636
PA14_32250,48,65,50,138,99,96,94,96,82,208,174,227
PA14_51360,269,281,203,193,135,138,273,340,621,245,181,209
PA14_00480,32205,24556,16722,44599,25421,51483,362,512,730,342,277,328
PA14_01620,281,228,165,163,126,128,2366,3850,5152,2417,1700,1802
PA14_58330,1617,1298,939,3306,1657,4555,1893,1911,2433,3742,2901,4519
PA14_09270,3358,2851,1724,5791,2918,4329,316,317,478,737,532,659
PA14_36520,1697,1291,1001,2327,1679,3347,510,613,972,1287,958,1278
PA14_36500,399,256,212,527,325,681,3523,4525,5221,3219,2306,3059
PA14_09230,108,69,48,162,76,178,101,127,174,248,219,290
PA14_24790,509,498,383,801,500,947,121,117,181,78,48,85
PA14_45100,137,136,88,267,115,301,2244,3533,5206,2322,1866,2066
PA14_09220,274,228,98,521,201,447,1147,1902,2412,1253,832,1139
PA14_32590,183,208,112,392,188,263,276,312,342,606,387,583
PA14_09300,594,410,276,794,418,846,431,452,673,867,637,1055
PA14_07950,942,1003,776,1646,1342,1451,2645,3313,3803,5726,3930,5714
PA14_40240,452,372,258,348,200,159,1078,1397,2449,1145,791,903
PA14_01460,233,209,171,362,219,426,814,1130,1170,700,440,489
PA14_16250,48804,64423,30091,86332,49036,87733,608,701,700,1203,881,1316
PA14_71100,66,42,20,94,61,87,42,60,72,113,92,156
PA14_10290,1207,886,638,787,532,589,674,824,1492,672,511,669
PA14_60490,239,221,159,397,231,569,1023,1278,1506,2222,1517,2262
PA14_08660,87,119,74,152,129,196,1180,1656,2338,2695,2192,3418
PA14_49860,859,667,479,584,398,267,262,383,485,256,192,257
PA14_51380,210,187,142,143,104,109,248,242,289,541,490,798
PA14_51390,218,183,135,126,105,123,326,304,374,621,553,823
PA14_22340,667,682,571,1065,652,1280,68,61,68,129,104,157
PA14_36480,158,126,102,202,148,289,199,306,460,231,165,181
PA14_36375,443,277,217,571,336,575,2749,2699,2659,5307,4153,5411
PA14_42440,77,64,52,52,26,35,1059,1588,1912,1184,848,882
PA14_09260,1033,931,733,1379,1005,1770,12062,20514,22555,12138,7309,8070
PA14_07850,206,228,165,181,102,121,139,194,252,147,78,119
PA14_36850,607,400,385,729,526,962,84,102,92,179,136,193
PA14_52520,307,221,217,397,301,479,157,114,200,326,279,460
PA14_09210,1146,1093,642,1791,1088,1536,1697,2746,3005,1684,1198,1195
PA14_05550,629,546,319,435,215,408,4221,4837,6608,4288,3021,3590
PA14_19960,116,102,79,76,61,52,674,1022,1166,685,560,690
PA14_36630,1010,585,501,1236,688,1411,384,350,406,804,731,1204
PA14_62240,2364,2268,1318,2004,1207,1122,335,570,774,368,261,241
PA14_08210,876,862,591,1440,884,1216,214,249,291,421,319,533
PA14_36710,446,242,222,515,345,682,1417,1968,1957,1211,767,952
PA14_44430,407,429,280,352,225,215,103527,90609,113319,236887,199733,364202
PA14_51010,909,1014,860,1404,1081,1812,814,944,1032,1449,1167,1666
PA14_07980,471,414,252,1072,570,527,189,235,368,189,131,176
PA14_22090,293,358,209,462,325,533,201,321,439,218,141,97
PA14_30750,246,193,147,331,209,486,914,982,945,1710,1321,1822
PA14_55530,680,554,446,546,299,372,12904,11622,10186,25331,19434,25408
PA14_72890,331,293,212,267,179,133,3128,3231,3531,6464,5395,9275
PA14_09940,1831,1400,1175,2313,1619,2620,1960,1587,1740,4533,3892,7337
PA14_39800,343,290,229,483,263,569,18695,31028,46872,20332,16036,16541
PA14_55590,73,58,49,131,75,222,1382,2100,2920,1750,1269,1489
PA14_36490,180,93,70,274,107,247,135,186,399,89,78,79
PA14_09290,821,752,383,1254,753,910,3671,3409,3980,6837,5594,9118
PA14_40250,1435,1288,920,1054,810,458,86,139,202,106,61,83
PA14_51560,643,690,649,1111,916,1936,1670,1540,1159,3330,2580,4259
PA14_61010,8873,13637,9579,18699,12655,16563,25,30,70,100,73,79
PA14_01350,402,282,198,290,153,121,3308,4530,6137,7633,4782,8337
PA14_08220,487,521,345,833,533,654,205,236,334,437,319,461
PA14_04340,228,182,102,173,69,118,22,50,51,14,5,16
PA14_09690,43,34,25,20,9,27,260,419,722,281,179,205
PA14_20230,64,49,27,164,101,404,998,1046,1726,994,688,984
PA14_09740,98,81,62,139,88,218,7850,9956,10711,6379,5209,7276
PA14_28150,138,131,116,114,72,80,239,279,348,459,399,485
PA14_33040,196,137,108,129,67,112,724,781,1144,763,521,577
PA14_10180,114,98,64,152,97,189,309,385,567,359,205,291
PA14_19850,149,89,65,90,51,49,484,376,377,926,696,1201
PA14_19900,2569,2025,1435,2101,1219,1088,1645,1361,1783,3051,2604,4361
PA14_43405,3,1,3,7,6,15,1048,1864,2205,1179,850,937
PA14_61210,105,63,45,137,66,142,157,156,198,266,220,330
PA14_61840,1150,1660,1080,2052,1334,2292,52,86,126,58,36,52
PA14_03166,310,418,282,552,405,541,1769,1797,2439,2887,2545,3465
PA14_09370,291,195,149,429,212,318,1342,2099,3755,1398,1029,1209
PA14_35270,112,98,82,95,51,52,523,445,668,930,812,1297
PA14_54540,67,51,36,45,28,22,837,1242,1575,2127,1354,1816
PA14_22140,66,89,56,115,75,169,19,16,11,42,29,44
PA14_28360,1979,1885,1090,2462,1759,3660,53,50,61,95,79,124
PA14_29290,53,34,34,84,44,79,1069,1685,1979,1300,892,989
PA14_36810,1215,826,588,1258,956,1635,803,802,1014,1363,1146,1778
PA14_36880,31,15,11,41,30,40,180,162,222,298,277,385
PA14_03000,110,80,71,74,45,57,24,34,74,166,143,336
PA14_20460,243,205,112,175,114,114,13,17,27,44,28,61
PA14_22400,6264,4637,3145,8097,4862,12160,910,799,808,1587,1309,2071
PA14_36700,129,83,71,162,92,190,289,337,373,572,366,643
PA14_40030,173,160,98,246,153,259,3439,2960,3740,7381,5929,11720
PA14_22020,2305,2493,1464,3175,2052,3804,2873,3142,4959,3044,2205,2862
PA14_04270,194,203,152,268,185,375,322,369,446,589,432,665
PA14_67600,1873,2324,1394,2894,1721,3682,8807,15983,19190,10279,7462,8316
PA14_52490,206,203,137,378,208,232,392,467,912,442,271,317
PA14_56800,263,212,185,226,119,138,151,156,228,145,88,115
