,Rev_MHH8607,Rev_MHH9536,Rev_MHH9604
"PA0263.1,",4,0,1
"PA0296-PA0297,",44,57,37
"PA0826.2,ssrA",223779,271257,245820
PA0836.1,0,0,0
PA0887.1,71,75,46
PA0976.1,1,2,3
PA1030.1,7,7,10
PA1052-PA1053,936,1257,782
PA1324.1,356,440,281
"PA14_00010,dnaA",2074,2120,1336
"PA14_00020,dnaN",2187,1955,1468
"PA14_00030,recF",1081,1398,670
"PA14_00050,gyrB",3916,4033,2610
"PA14_00060,",603,537,379
"PA14_00070,",172,156,109
"PA14_00080,",28,26,79
"PA14_00090,glyS",1983,1462,937
"PA14_00100,glyQ",838,640,335
"PA14_00110,tag",44,28,35
"PA14_00120,",508,468,319
"PA14_00130,",67,71,76
"PA14_00140,",49,35,20
"PA14_00150,",5,15,13
"PA14_00160,",29,22,8
"PA14_00170,trkA",349,294,183
"PA14_00180,sun",190,149,86
"PA14_00190,fmt",76,51,41
"PA14_00200,def",675,751,627
"PA14_00210,",681,759,457
"PA14_00230,smf",2,4,0
"PA14_00240,",33,35,22
"PA14_00250,qor",227,266,206
"PA14_00280,hemF",329,268,128
"PA14_00290,aroE",138,107,86
"PA14_00300,plcB",108,103,74
"PA14_00310,",55,37,26
"PA14_00320,",23,9,14
"PA14_00340,",11,13,11
"PA14_00360,",11,14,6
"PA14_00380,betC",16,18,20
"PA14_00400,",33,56,38
"PA14_00410,",69,83,42
"PA14_00420,",8,10,4
"PA14_00430,bvga",18,28,13
"PA14_00440,trpA",60,58,60
"PA14_00450,trpB",192,181,147
"PA14_00460,trpI",47,26,23
"PA14_00470,",127,91,131
"PA14_00480,",1950,1707,3899
"PA14_00490,",59,66,147
"PA14_00510,",204,114,708
"PA14_00520,",10,8,9
"PA14_00530,",46,39,40
"PA14_00550,",33,43,34
"PA14_00560,exoT",153,262,117
"PA14_00570,",64,27,105
"PA14_00580,",43,19,78
"PA14_00590,",19,7,56
"PA14_00600,",49,56,79
"PA14_00620,",674,757,1116
"PA14_00630,",37,5,71
"PA14_00640,phzH",2,16,13
"PA14_00650,",6,5,9
"PA14_00660,",41,38,34
"PA14_00670,",197,185,177
"PA14_00680,",10,8,12
"PA14_00690,",5,5,15
"PA14_00700,",5,4,7
"PA14_00710,osmC",42,5,3
"PA14_00720,",78,26,19
"PA14_00730,",57,23,25
"PA14_00740,",231,5,10
"PA14_00750,",95,84,50
"PA14_00760,",81,72,96
"PA14_00770,",91,114,110
"PA14_00780,",82,76,56
"PA14_00790,prlC",1030,1464,1249
"PA14_00800,",163,307,190
"PA14_00810,",32,32,21
"PA14_00820,",415,76,1020
"PA14_00830,",918,315,1286
"PA14_00850,",13,12,43
"PA14_00860,",10,4,16
"PA14_00875,ppkA",132,61,298
"PA14_00890,",34,6,75
"PA14_00900,",26,7,53
"PA14_00910,",299,52,528
"PA14_00925,",93,20,136
"PA14_00940,",138,15,243
"PA14_00960,",42,14,103
"PA14_00970,",92,33,170
"PA14_00980,",118,57,96
"PA14_00990,",874,40,1006
"PA14_01010,",381,8,755
"PA14_01020,",2247,84,5503
"PA14_01030,",676,26,1570
"PA14_01040,",88,13,183
"PA14_01060,",95,6,157
"PA14_01070,",134,14,297
"PA14_01080,",77,11,213
"PA14_01100,clpB",276,23,937
"PA14_01110,",115,19,341
"PA14_01120,",92,34,56
"PA14_01130,",19,5,11
"PA14_01140,",52,6,13
"PA14_01150,",69,3,24
"PA14_01160,",323,105,786
"PA14_01170,",24,2,40
"PA14_01180,",21,15,82
"PA14_01190,",12,9,49
"PA14_01200,",53,9,114
"PA14_01220,",7,3,10
"PA14_01230,",26,17,58
"PA14_01240,",375,594,464
"PA14_01250,ychM",16,28,15
"PA14_01270,",21,15,10
"PA14_01290,coxB",28,42,155
"PA14_01300,coxA",52,56,188
"PA14_01310,coxG",10,12,61
"PA14_01320,coIII",29,38,79
"PA14_01330,",8,3,12
"PA14_01340,",13,8,17
"PA14_01350,",7,8,20
"PA14_01360,ctaA",10,18,20
"PA14_01380,ctaB",105,44,83
"PA14_01390,",138,49,44
"PA14_01400,elaA",52,31,18
"PA14_01410,",57,74,50
"PA14_01430,",40,68,56
"PA14_01440,",23,19,18
"PA14_01460,dctA",76,88,88
"PA14_01470,",58,50,44
"PA14_01480,",47,49,40
"PA14_01490,",58,25,46
"PA14_01500,",24,26,14
"PA14_01510,",37,34,47
"PA14_01520,",19,17,14
"PA14_01540,",31,20,94
"PA14_01550,",58,39,40
"PA14_01560,phnA",278,351,188
"PA14_01580,gabP",25,68,65
