,Z2_1A-Expression,C1_1A-Expression,C3_1A-Expression,C5_1A-Expression
PA0001,5305,3037,3642,5438
PA0002,5687,2591,2031,3589
PA0003,3390,1705,3010,5635
PA0004,10824,6246,7689,14513
PA0005,1185,775,584,908
PA0006,972,591,434,590
PA0007,1870,669,618,638
PA0008,4828,2328,1455,3709
PA0009,2124,1131,758,1573
PA0010,307,168,122,98
PA0011,994,767,646,861
PA5570,1031,998,110,85
PA0013,142,88,84,123
PA5564,870,1049,59,54
PA0015,168,118,94,177
PA0016,1110,598,509,631
PA0017,1144,305,311,409
PA0018,666,248,300,409
PA0019,1527,1117,1688,2777
PA0020,1708,835,852,998
PA0021,184,93,113,109
PA0022,1150,411,268,486
PA0023,2140,888,818,861
PA0024,16097,9203,9587,5859
PA0025,9053,3093,2582,1572
PA0026,946,337,451,432
PA0027,519,139,168,204
PA0028,213,75,70,85
PA0029,314,184,144,158
PA0030,155,84,65,92
PA5563,1958,1888,284,326
PA5547,465,544,123,179
PA0033,267,175,120,192
PA5540,86,73,379,331
PA0035,995,694,358,985
PA5538,255,376,1438,2737
PA0037,249,150,230,331
PA5537,245,215,2131,1728
PA0039,3691,2525,4463,3150
PA0040,718,465,309,536
PA0041,3886,1666,1595,2364
PA5536,36,37,104,112
PA0043,381,212,193,216
PA0044,490,348,396,457
PA0045,180,95,74,152
PA0046,62,27,37,57
PA0047,157,44,33,91
PA0048,180,36,25,37
PA0049,2165,277,201,427
PA0050,145,35,21,23
PA0051,207,137,183,168
PA0052,169,121,128,91
PA5535,205,218,92,197
PA0054,292,192,213,420
PA5534,82,103,841,856
PA5533,442,394,123,152
PA5530,130,170,112,156
PA5529,644,1151,82,122
PA5528,1494,4109,1754,1396
PA5527,772,942,494,440
PA0061,532,337,677,600
PA0062,485,358,535,653
PA0063,1044,628,419,581
PA0064,529,308,250,357
PA0065,438,227,254,348
PA0066,339,216,250,564
PA0067,4493,3176,3029,5187
PA0068,442,267,229,407
PA0069,3161,1302,1366,1824
PA0070,2143,369,470,1896
PA0071,1184,776,677,671
PA0072,220,94,84,107
PA0073,143,37,49,35
PA0074,922,239,249,307
PA0075,125,49,43,38
PA0076,194,55,30,75
PA0077,949,292,230,411
PA0078,323,85,77,142
PA0079,517,98,116,291
PA0080,140,33,40,96
PA0081,872,383,444,643
PA0082,1058,365,259,514
PA0083,908,127,78,544
PA0084,3538,459,246,1878
PA0085,1485,179,100,846
PA0086,623,174,95,437
PA0087,233,69,22,115
PA0088,916,177,125,322
PA0089,275,58,59,106
PA0090,1581,393,292,695
PA0091,696,223,224,322
PA0092,112,52,57,96
PA0093,324,174,145,287
PA0094,169,69,89,167
PA0095,1786,1158,915,1180
PA0096,45,21,17,27
PA0097,292,101,67,152
PA0098,160,80,47,89
PA0099,365,126,102,200
PA0100,645,339,330,477
PA0101,496,148,197,246
PA5525,866,1353,701,873
PA0103,484,318,405,321
PA0104,597,222,244,302
PA0105,4401,3043,3113,2253
PA0106,3640,1234,1116,1172
PA0107,864,342,300,409
PA0108,1852,769,921,853
PA0109,324,147,200,120
PA0110,689,223,243,292
PA0111,531,165,211,256
PA0112,574,236,257,289
PA0113,658,344,328,399
PA5524,608,511,667,809
PA0115,377,194,116,169
PA0116,180,125,102,155
PA0117,111,78,54,60
PA0118,90,50,29,54
PA0119,436,218,156,194
PA0120,253,101,97,162
PA0121,301,84,115,158
PA0122,1487,649,609,355
PA0123,566,178,180,270
PA0124,140,81,125,181
PA0125,127,99,155,212
PA0126,176,46,67,93
PA5523,587,474,260,341
PA0128,393,305,466,646
PA0129,628,463,502,1213
PA5519,810,720,647,1421
PA0131,104,79,39,79
PA5514,320,286,162,283
PA0133,452,247,186,341
PA5513,303,256,899,838
PA5512,513,452,3,3
PA0136,125,71,97,106
PA0137,109,70,90,104
PA5510,169,144,94,142
PA5509,155,181,11794,38210
PA0140,1465,802,591,3221
PA0141,3638,1875,1639,820
PA0142,357,278,264,331
PA5508,211,175,1588,1241
PA0144,428,280,311,306
PA0145,202,154,185,296
PA5507,89,122,61,73
PA5492,2208,1815,138,169
PA0148,689,473,493,702
PA0149,67,53,37,77
PA0150,131,83,93,118
PA5486,320,324,186,159
PA5482,416,801,123,234
PA5481,1367,1391,136,275
PA0154,288,221,127,300
PA5480,317,269,219,243
PA5473,2244,2109,960,872
PA0157,550,344,406,309
PA0158,2038,1074,1398,1339
PA0159,401,288,295,286
PA5469,637,617,29,34
PA0161,37,22,34,26
PA5468,495,502,160,175
PA0163,197,128,121,164
PA0164,363,232,165,318
PA0165,807,359,272,334
PA5466,211,240,147,165
PA5465,306,472,384,389
PA0168,552,246,101,156
PA0169,525,138,65,179
PA0170,186,37,25,56
PA0171,267,60,60,126
PA0172,838,320,235,419
PA0173,247,78,71,52
PA0174,235,75,40,32
PA0175,642,144,192,122
PA0176,4674,1096,1435,991
PA0177,664,136,204,118
PA0178,2906,850,1070,483
PA5464,1434,1185,1789,887
PA0180,1317,834,687,400
PA5463,232,207,171,318
PA5462,183,247,8747,18544
PA5460,19,24,2093,4019
PA0184,103,82,131,230
PA5445,578,2032,148,375
PA5429,560,465,81,160
PA5423,1032,963,98,76
PA5413,1144,925,91,72
PA5403,26,29,142,130
PA0190,74,53,82,92
PA5402,90,268,126,350
PA5388,88,93,153,229
PA0193,60,43,31,37
PA5387,45,41,52,54
PA0195,725,245,225,269
PA0195.1,90,49,35,44
PA0196,777,293,279,296
PA5385,32,36,130,297
PA5384,125,105,247,327
PA5383,496,1731,227,171
PA5375,177,233,456,101
PA5374,314,313,316,5665
PA5373,921,849,215,3481
PA0203,80,57,65,537
PA5370,473,462,106,247
PA5368,379,344,105,238
PA5366,324,324,84,159
PA0207,235,166,155,169
PA0208,1034,442,311,427
PA0209,197,32,58,69
PA0210,72,26,9,32
PA0211,294,62,51,130
PA0212,302,43,57,151
PA0213,144,45,31,91
PA0214,220,77,80,160
PA0215,96,41,49,67
PA0216,263,120,155,160
PA5360,458,489,143,225
PA5356,440,488,204,235
PA0219,124,95,84,101
PA5344,2657,2529,147,124
PA0221,201,95,73,96
PA5341,119,151,56,53
PA5338,5253,5202,1364,2006
PA5337,1255,1109,689,1419
PA0225,179,144,150,198
PA0226,231,102,85,120
PA0227,119,82,57,99
PA0228,171,92,98,175
PA5325,172,175,243,273
PA5320,1572,1748,304,420
PA5316,4101,3619,247,243
PA5315,1514,1241,99,120
PA5314,85,115,234,261
PA5313,488,531,85,74
PA0235,127,59,80,89
PA5304,325,305,109,94
PA5297,342,419,60,37
PA5289,491,674,56,62
PA5282,154,136,93,112
PA0240,201,145,142,190
PA0241,97,63,90,94
PA5281,383,349,126,131
PA5280,799,1728,212,212
PA0244,48,38,29,59
PA5279,1441,2734,28,31
PA5276,140,261,326,288
PA0247,401,217,166,257
PA5275,359,396,215,199
PA0249,172,89,102,98
PA0250,354,213,303,252
PA0251,68,32,63,84
PA0252,30,17,31,13
PA5272,1342,1108,86,67
PA5270,560,471,113,184
PA0255,268,194,197,222
PA5268,705,708,970,785
PA5264,486,606,281,247
PA5262,1618,1854,69,48
PA0259,1565,826,838,960
PA0260,1745,925,698,671
PA0261,218,81,48,66
PA0262,915,284,260,274
PA0263,267,152,167,113
PA0264,432,195,234,380
PA0265,4635,1851,2596,5041
PA0266,5285,1922,2212,3926
PA0267,640,504,326,364
PA0268,270,168,133,215
PA0269,637,411,324,422
PA0270,600,293,146,319
PA0271,341,97,95,145
PA0272,760,446,312,464
PA0273,83,55,70,89
PA0274,98,68,101,62
PA5254,413,405,250,220
PA0276,527,387,458,352
PA0277,374,234,391,354
PA0278,150,91,180,226
PA0279,277,173,201,198
PA5253,20513,20169,576,1025
PA5251,353,326,432,1028
PA5249,684,560,257,1397
PA5243,4505,4305,1234,14663
PA5240,4540,5037,551,2196
PA5238,390,634,508,875
PA5237,1875,1572,3733,4241
PA5232,2668,2593,79,76
PA0288,75,57,43,80
PA5226,411,396,173,258
PA0290,1253,927,667,695
PA0291,10906,3402,1795,3442
PA0292,1267,918,859,1556
PA0293,112,81,70,76
PA5217,190,311,142,124
PA0295,481,362,269,220
PA0296,4399,1694,945,1142
PA0297,1416,627,491,431
PA0298,2362,1003,586,1519
PA0299,2836,1195,829,2174
PA0300,10914,3380,1936,5511
PA0301,2207,675,438,823
PA0302,2092,600,290,800
PA0303,1825,623,411,647
PA0304,1692,478,198,467
PA0305,1120,455,314,464
PA0306,1141,382,345,330
PA0307,537,218,128,146
PA0308,758,464,378,486
PA5216,335,359,900,753
PA0310,488,287,289,247
PA0311,81,33,43,45
PA0312,567,318,336,430
PA0313,568,390,298,341
PA0314,852,492,537,540
PA0315,1616,812,1023,999
PA5212,1368,1250,6807,14220
PA0317,2905,2129,2182,3606
PA0318,1063,470,376,866
PA5209,1163,1489,666,860
PA5208,739,868,594,379
PA0321,283,92,64,105
PA0322,210,129,115,165
PA0323,164,75,76,85
PA5207,578,495,118,99
PA0325,227,161,176,187
PA0326,124,83,55,77
PA0327,445,331,332,281
PA0328,943,551,574,525
PA5205,410,375,3367,3147
PA0330,1403,1006,1116,1701
PA0331,1879,1341,952,1576
PA0332,821,474,637,523
PA0333,830,403,536,504
PA0334,436,201,211,287
PA0335,559,306,277,611
PA5204,776,805,2066,3277
PA0337,8348,6155,4741,8520
PA0338,1076,365,296,487
PA0339,623,335,191,196
PA5200,1002,2053,173,207
PA0341,644,395,250,410
PA5199,752,635,1096,1472
PA0343,610,379,439,770
PA0344,948,449,470,470
PA0345,753,426,482,447
PA0346,37,21,43,25
PA5197,263,317,113,80
PA0348,146,79,83,114
PA0349,129,100,65,83
PA0350,306,115,148,179
PA5196,124,114,366,455
PA0352,578,326,287,366
PA0353,6764,5349,2901,7048
PA5183.1,231,187,1256,1352
PA5181,471,477,1064,804
PA0356,348,273,246,385
PA0357,935,607,334,443
PA0358,217,94,54,112
PA5180,195,166,275,328
PA0360,625,409,337,431
PA0361,1319,739,1141,1098
PA5177,938,773,393,379
PA0363,410,257,274,410
PA0364,713,204,181,282
PA0365,231,122,96,98
PA0366,854,460,522,535
PA0367,367,195,184,142
PA0368,477,360,245,299
PA0369,123,48,38,49
PA0370,672,365,215,444
PA0371,1808,1010,888,1556
PA5174,1993,1687,1262,1684
PA0373,3989,2338,1949,3024
PA0374,2036,1100,637,1064
PA0375,2184,1355,945,1209
PA0376,14178,9841,19340,16615
PA0377,724,508,302,224
PA0378,361,240,222,239
PA0379,206,117,124,167
PA0380,235,94,111,147
PA0381,1726,753,737,1106
PA0382,1151,452,263,463
PA0383,459,257,229,266
PA0384,93,48,40,22
PA0385,102,79,68,81
PA5146,3808,3472,215,257
PA0387,1327,468,631,524
PA0388,1066,355,580,588
PA0389,630,223,100,170
PA0390,1174,847,713,608
PA0391,1043,334,257,292
PA0392,624,392,330,356
PA0393,1120,673,558,639
PA0394,488,393,419,480
PA0395,1454,756,655,786
PA5134,3139,3071,1284,952
PA5133,1413,1763,452,269
PA0398,405,222,186,321
PA0399,1960,1007,699,1679
PA0400,2097,948,619,1375
PA0401,2164,1049,699,1180
PA0402,1826,1138,869,1263
PA0403,313,246,247,184
PA0404,479,257,180,234
PA0405,1063,676,485,556
PA0406,382,293,198,199
PA0407,1693,961,975,1651
PA5130,856,1746,2161,1438
PA0409,1199,672,791,680
PA0410,968,450,385,333
PA0411,9761,3587,2341,2425
PA0412,1406,497,410,433
PA0413,21889,6954,4039,5105
PA0414,2545,854,437,484
PA0415,1040,390,360,276
PA0416,472,153,106,137
PA0417,129,84,62,67
PA0418,559,240,177,258
PA0419,311,135,123,174
PA0420,1246,822,646,821
PA0421,2063,925,712,1381
PA0422,5297,708,443,551
PA0423,10094,4700,3973,6297
PA5127,273,221,483,542
PA0425,2149,1303,7664,6924
PA0426,5132,3030,7958,6316
PA0427,2749,1456,3591,2143
PA0428,5335,2639,2320,3010
PA0429,2695,1817,976,982
PA0430,1181,636,269,671
PA0431,1431,887,350,746
PA0432,10416,8334,5799,10541
PA0433,221,60,51,99
PA0434,762,165,150,168
PA0435,285,81,78,73
PA5124,365,433,715,590
PA0437,575,311,246,335
PA0438,223,178,168,182
PA5123,293,238,59,66
PA0440,148,111,67,76
PA5122,399,456,95,99
PA0442,2,0,0,0
PA5116,141,118,81,59
PA5108,492,420,144,125
PA0446,1404,760,596,596
PA0447,1269,833,839,744
PA5106,249,236,208,356
PA0449,1003,384,621,630
PA5103,464,541,178,205
PA5102,110,105,746,476
PA5100,922,920,217,161
PA5099,164,192,125,101
PA5087,412,377,407,303
PA5085,537,504,1495,1688
PA5084,154,138,6905,4308
PA5078,8462,8230,129,120
PA0457.1,208,108,90,85
PA0458,847,560,384,316
PA0459,25705,10671,21714,3809
PA0460,7475,3335,7828,5350
PA0461,1349,832,1737,1444
PA5073,507,655,3267,2389
PA0463,327,228,304,267
PA0464,552,360,286,242
PA5072,757,955,138,77
PA5069,877,940,20,25
PA0467,411,174,230,230
PA0468,687,429,477,491
PA0469,743,518,416,714
PA5068,635,647,481,517
PA0471,139,111,144,273
PA0472,104,41,142,297
PA0473,1894,504,303,515
PA0474,72,24,17,32
PA0475,519,137,92,102
PA0476,2868,900,848,672
PA0477,196,125,163,149
PA0478,128,59,84,76
PA0479,321,155,95,103
PA5066,889,726,39,46
PA5062,268,366,78,95
PA0482,8279,5982,5257,14750
PA0483,347,256,195,141
PA0484,857,610,723,477
PA0485,466,326,401,275
PA0486,714,409,326,447
PA5055,243,281,291,279
PA0488,91,32,61,38
PA5054,2005,4533,176,158
PA5053,500,465,279,253
PA0491,200,127,151,280
PA0492,122,66,37,70
PA0493,37,29,16,24
PA0494,256,115,107,180
PA0495,318,192,184,217
PA0496,307,143,92,165
PA5049,151,185,275,175
PA5045,2411,2424,395,225
PA5039,804,693,121,106
PA5038,1151,1117,598,2030
PA0501,642,361,220,629
PA0502,629,292,156,284
PA0503,516,236,119,155
PA0504,325,162,60,97
PA5032,96,79,943,488
PA0506,1922,1122,1199,1612
PA0507,290,116,182,446
PA0508,789,387,389,602
PA0509,14641,9130,5533,4806
PA0510,10149,5337,3194,3188
PA0511,14004,9116,5441,4498
PA0512,5142,2937,1755,1519
PA0513,3798,2320,1319,1060
PA0514,4977,3362,1942,1776
PA0515,4909,3073,1767,1701
PA0516,27275,15121,8654,7457
PA0517,5724,2452,1477,1167
PA0518,21753,6978,6259,7251
PA0519,206509,90029,78675,77036
PA0520,16510,9065,9694,5439
PA0521,5964,3258,2421,1138
PA0522,1149,547,348,205
PA0523,23595,11911,20170,11784
PA0524,81608,45197,43857,30561
PA0525,59844,36638,30817,21003
PA0526,2316,1754,1475,724
PA5031,116,193,2545,1599
PA0528,188,150,101,113
PA5030,141,217,3600,3357
PA5027,1480,1237,4381,4541
PA5024,117,139,2182,1941
PA5000,1142,1074,155,134
PA0533,748,489,274,399
PA0534,223,117,117,151
PA0535,118,73,83,78
PA0536,2607,1135,2338,2074
PA0537,2569,1196,2478,2582
PA4999,803,674,866,590
PA0539,200,155,135,77
PA0540,125,51,78,29
PA0541,712,414,407,490
PA4998,604,544,1611,1317
PA4990,78,86,709,433
PA4987,119,154,295,262
PA4979,51,53,1031,497
PA4968,719,838,2875,6268
PA0547,4902,3535,1080,2055
PA4955,903,740,6725,8299
PA0549,1304,608,315,374
PA0550,332,171,137,164
PA0551,1272,894,898,964
PA0552,3796,1865,2318,2735
PA0553,328,246,455,335
PA0554,814,488,629,509
PA0555,7155,5631,7069,8758
PA0556,289,105,180,163
PA0557,284,212,260,197
PA0558,2612,1357,597,1257
PA0559,1496,738,369,783
PA4953,1419,1276,120,171
PA0561,406,298,238,178
PA0562,337,206,113,242
PA0563,239,97,84,188
PA4943,8862,7199,125,150
PA0565,330,176,165,185
PA0566,455,285,267,205
PA4942,6567,5863,699,425
PA0568,300,172,269,189
PA0569,235,96,96,82
PA0570,127,80,46,44
PA0571,254,153,168,108
PA0572,1370,482,484,363
PA4941,4900,4799,35,22
PA4939,2598,2103,283,184
PA4934,3639,2950,1284,733
PA4928,993,816,21395,19418
PA4919,1869,1720,1508,1517
PA4918,875,989,619,699
PA0579,2678,1673,1000,1036
PA0580,1357,810,454,709
PA0581,1062,740,478,595
PA0582,266,153,91,154
PA0583,478,318,202,263
PA0584,1036,577,470,657
PA4917,422,374,266,185
PA4916,527,431,13257,8203
PA0587,10552,6171,7871,4553
PA4915,1154,1036,46541,25131
PA0589,317,242,170,143
PA0590,1509,1139,790,849
PA0591,782,610,476,541
PA0592,1153,617,519,733
PA0593,1489,687,287,231
PA0594,5208,2616,1555,2509
PA4904,81,72,24550,21008
PA0596,1177,603,745,877
PA0597,530,236,274,296
PA0598,631,376,322,271
PA4903,63,66,1075,872
PA0600,870,540,529,693
PA0601,284,228,275,432
PA0602,476,188,224,276
PA0603,412,206,144,144
PA0604,767,177,190,284
PA0605,484,248,171,296
PA0606,251,109,109,114
PA0607,1022,494,338,513
PA0608,1149,495,441,520
PA0609,2302,1397,2599,3364
PA0610,3629,1548,4215,4927
PA0611,2376,1044,755,957
PA0612,1965,980,1412,1649
PA0613,3866,2025,2402,3068
PA0614,6866,2781,1921,756
PA0615,11658,4493,3326,1656
PA0616,10087,4394,3079,1655
PA0617,7690,2912,1993,262433
PA0618,24023,9027,6984,97333
PA0619,14782,5795,4286,31268
PA0620,55188,22061,16537,298154
PA0621,9202,3814,2858,2821
PA0622,76122,20650,16792,49424
PA0623,25919,7131,5638,788466
PA0624,13858,4017,3213,4052
PA0625,68336,21925,17748,20103
PA0626,16369,5294,4191,5242
PA0627,1709,547,471,596
PA0628,18516,6881,5287,6409
PA0629,9972,3564,2891,3510
PA0630,5348,1845,1482,1660
PA0631,3006,1117,874,1023
PA0632,2380,761,515,686
PA0633,30972,8689,5331,7557
PA0634,16760,4452,3004,3687
PA0635,7646,2167,1382,1617
PA0636,60896,20124,13852,17581
PA0637,7344,2440,1730,2277
PA0638,16655,5387,4216,60502
PA0639,16673,5388,4256,4940
PA0640,14705,4667,3533,64136
PA0641,76658,26779,20278,29544
PA0642,7862,2898,1948,2086
PA0643,16601,5528,4406,6052
PA0644,4261,1446,1126,1405
PA0645,2611,889,674,865
PA0646,18851,6327,4376,5644
PA0647,4274,1306,896,1055
PA0648,2679,896,551,670
PA0649,1604,932,1497,1837
PA0650,3133,1468,2124,2441
PA0651,2562,1152,1401,1615
PA0652,4047,2773,2437,3409
PA0653,800,374,346,437
PA0654,2577,1298,960,1263
PA0655,2401,1098,1709,2414
PA0656,473,231,203,166
PA0657,2070,1006,822,921
PA0658,1117,605,972,767
PA0659,1798,735,575,696
PA0660,1933,859,512,880
PA0661,543,270,170,176
PA0662,1861,922,931,1279
PA0663,1160,575,418,604
PA0664,641,414,383,367
PA0665,921,591,2109,2563
PA0666,4695,2178,1538,1922
PA4897,262,304,11250,9300
PA0668,5062,3961,3037,3253
PA0669,2944,1112,675,973
PA0670,2232,707,537,853
PA0671,1374,373,251,296
PA0672,69,50,67,73
PA0673,40,25,36,26
PA0674,46,21,20,15
PA4896,32,26,28,3
PA0676,68,46,36,27
PA4887,186,199,19,15
PA4886,191,438,7,9
PA0679,26,16,16,20
PA0680,20,7,12,12
PA4885,59,164,27,17
PA0682,25,17,31,17
PA0683,51,23,26,23
PA0684,23,12,13,14
PA0685,137,107,90,85
PA4883,18,42,36,46
PA4881,19,30,53,33
PA4880,2273,5717,121,88
PA4879,1344,1135,334,246
PA4878,313,701,868,745
PA0691,20,15,13,20
PA4877,303,967,68,42
PA0693,68,36,56,32
PA4875,58,52,13,16
PA4870,85,153,0,8
PA4859,41,50,66,56
PA0697,30,20,14,9
PA0698,36,4,5,2
PA0699,49,35,21,29
PA4858,110,133,12,6
PA4857,60,57,19,14
PA4853,467,565,30,51
PA0703,147,73,63,51
PA0704,529,195,327,166
PA0705,586,329,343,474
PA0706,366,215,118,123
PA0707,55,17,43,32
PA0708,163,75,29,39
PA4850,594,526,27,11
PA4843,5603,7488,20,7
PA0711,44,16,17,26
PA4836,35,30,23,34
PA0713,89,23,23,11
PA4834,83,98,40,18
PA4827,185,152,828,936
PA4826,139,168,747,726
PA4821,215,194,22560,9065
PA4820,16,123,38975,78333
PA4818,88,102,69071,27322
PA4817,30,61,173515,4532
PA4816,183,198,304273,5125
PA4815,128,117,985327,16180
PA4814,100,82,57396,21593
PA4805,84,91,7979,7275
PA4804,270,288,81406,3668
PA4803,179,407,37492,5056
PA4802,72,89,30032,1437
PA4798,252,332,2657,2034
PA0730,1241,720,605,539
PA4793,698,617,715,486
PA4789,167,335,391,279
PA4782,210,308,183,106
PA4780,580,543,336,267
PA0735,253,67,69,89
PA0736,372,180,196,152
PA4779,146,130,2195,923
PA4778,1012,2616,263,105
PA0739,187,137,6759,2393
PA4777,641,983,1593,247
PA4776,566,730,168,129
PA4775,1295,1862,43,27
PA0743,614,303,433,209
PA0744,1261,512,305,791
PA0745,1394,646,336,935
PA0746,1190,606,335,547
PA4774,2244,3072,742,802
PA0749,104,73,86,72
PA0750,418,299,214,243
PA0751,224,82,74,110
PA0752,266,104,77,110
PA0753,53,21,23,19
PA0754,312,69,84,106
PA0755,139,87,94,59
PA0756,219,112,84,111
PA0757,461,150,118,137
PA0758,712,236,177,219
PA0759,644,445,400,401
PA4773,1242,1423,238,272
PA4770,431,461,1309,1513
PA4765,1336,3702,15961,14640
PA4764,2600,2375,20797,17067
PA4762,1059,902,4829,3577
PA4761,14985,16014,565,417
PA0766,4144,2840,3704,4537
PA0767,3043,1754,699,1308
PA0768,992,508,354,555
PA0769,472,275,234,149
PA0770,838,403,246,236
PA0771,1183,670,447,446
PA0772,176,81,79,70
PA0773,660,285,205,293
PA0774,417,171,114,125
PA0775,318,142,98,124
PA4739,4795,23739,54,29
PA4738,2334,9568,85,30
PA0778,245,145,105,89
PA4731,163,685,2265,1436
PA4729,552,546,123,61
PA4728,274,235,130,95
PA4727,2050,2504,1150,2297
PA0783,711,371,615,625
PA0784,1088,660,473,444
PA0785,65,20,37,37
PA4715,870,1244,8,16
PA4714,269,715,189,201
PA4713,269,317,931,443
PA4712,181,203,508,870
PA0790,70,39,50,54
PA0791,233,150,133,108
PA4711,75,117,385,354
PA0793,415,270,219,325
PA0794,1463,1079,622,1557
PA4710,293,480,903,2100
PA4709,100,97,590,866
PA4697,460,677,336,490
PA0798,370,171,200,123
PA0799,791,451,382,408
PA4691,379,422,36,34
PA4683,184,375,164,245
PA4682,407,428,29,41
PA0803,203,117,134,94
PA0804,597,334,311,288
PA4678,157,129,5400,2772
PA0806,58,29,70,176
PA0807,14223,4985,3174,3822
PA0808,2283,896,491,851
PA0809,7385,3260,1977,3375
PA0810,3061,1483,842,1440
PA0811,6196,2917,1895,2712
PA0812,5634,2601,1670,2634
PA0813,4666,1931,1424,1926
PA0814,961,370,237,363
PA0815,2709,1489,1168,1463
PA0816,1813,973,764,1136
PA0817,558,273,204,316
PA0818,291,129,104,135
