,Raw Counts Control 1,Raw Counts Control 2,Raw Counts Control 3,Raw Counts Gal grown 1,Raw Counts Gal grown 2,Raw Counts Gal grown 3
PG0001,5098,6790,5271,9478,8789,10376
PG0002,951,1231,954,1767,1632,2073
PG0003,201,355,303,495,434,365
PG0004,628,1027,1028,1260,1148,1139
PG0005,1637,2518,1725,3101,2718,3118
PG0006,513,835,629,1170,1062,998
PGt01,86,177,146,207,183,91
PGt02,199,366,321,422,393,196
PG0007,873,1569,1411,1679,1552,850
PG0008,517,870,787,936,799,734
PG0009,380,600,506,620,529,485
PG0010,7162,11764,9397,12437,13027,9148
PG0011,1872,2619,2171,3257,3158,3103
PG0012,1355,1877,1712,2259,2049,2329
PG0013,576,756,638,823,728,914
PG0016,944,1117,902,1440,1399,1640
PG0017,607,829,701,1032,1039,1114
PG0018,1383,2005,1586,2456,2141,2172
PG0019,2010,3111,2651,3525,3014,2517
PG0020,1236,1923,1655,2449,1980,2011
PG0021,538,864,713,1137,1065,882
PG0022,583,1049,840,1560,1625,1201
PG0024,1287,2102,1802,3015,2958,2363
PG0025,1269,2182,1962,2980,2642,2425
PG0026,4185,5917,5012,7380,6656,7062
PG0027,3611,5004,4080,4980,3948,5719
PG0028,1359,1816,1366,1988,1543,2192
PGt03,15,28,29,42,35,18
PG0030,221,335,286,398,346,356
PG0031,255,388,319,544,411,399
PG0032,362,565,489,727,668,715
PG0033,483,648,541,854,670,816
PG0034,13213,28851,30125,24497,26183,13947
PG0035,5878,8800,7485,10807,9362,9287
PG0037,21622,48460,44362,52825,55886,25215
PG0039,165,269,234,310,282,208
PG0040,360,598,466,601,519,463
PG0041,613,904,808,1098,927,981
PG0042,4943,7096,5738,8808,8283,8039
PG0043,529,725,617,958,891,964
PG0045,12413,15648,11646,15891,13990,14251
PG0046,2132,2981,2344,3114,2625,3105
PG0047,2957,4087,3536,4398,4112,4271
PG0048,1910,2684,2047,3593,2939,3765
PG0049,50,88,67,95,91,99
PG0050,1189,1764,1484,1931,1630,1419
PG0052,723,1021,963,1432,1205,1260
PG0053,175,239,197,249,198,276
PG0054,2507,3782,3286,4839,4339,4282
PG0055,1127,1494,1200,1883,1681,2081
PG0056,12593,20029,18302,23514,20885,18311
PG0057,4810,5943,5051,6794,5410,6830
PG0058,821,1029,830,1400,1148,1441
PG0059,554,933,848,1380,1161,997
PG0060,79,75,67,82,74,121
PG0061,600,972,837,1355,1226,1185
PG0062,719,1041,917,1200,1020,1072
PG0063,1144,1953,1620,1884,1669,1527
PG0064,710,1056,903,1264,1111,1121
PG0065,299,475,451,550,470,442
PG0066,60,92,93,86,90,73
PG0068,122,201,147,161,157,188
PG0069,1958,3047,2372,3632,3251,3067
PG0070,1619,2377,1971,2675,2348,2061
PG0071,1982,3365,2876,3640,3496,2595
PG0072,1337,2015,1645,2567,2391,2242
PG0073,987,1086,909,1416,1124,1524
PG0074,1038,1500,1266,2112,2050,1767
PG0075,1584,2694,1953,2952,2956,2345
PG0076,2364,3557,3170,4170,3623,3608
PG0078,1140,2243,2213,2346,2329,1358
PG0079,2020,4151,4012,4508,4392,2539
PG0080,17,24,34,28,34,12
PG0081,745,1159,1052,1598,1611,1442
PG0082,842,1380,1223,1719,1657,1239
PG0083,378,561,462,645,633,561
PG0084,813,1247,956,1320,1312,1095
PG0085,1476,2296,1838,2954,2735,2337
PG0086,1789,2374,1767,2718,2419,2595
PG0087,1213,2024,1698,2688,2504,2205
PG0088,798,1376,1179,2018,1696,1500
PG0090,18370,33585,32240,37507,28529,50397
PG0091,775,1091,877,1603,1435,1422
PG0092,616,849,743,1249,1104,1150
PG0093,527,917,780,1317,1386,958
PG0094,976,1395,1114,1951,1917,1927
PG0095,1701,2301,1957,2922,2503,2597
PG0097,3444,4958,4289,6408,5440,4913
PG0098,203,233,206,252,227,260
PG0099,2964,4835,3757,6311,6217,5336
PG0100,6834,14003,11695,25259,23513,14767
PG0101,3222,6979,6188,12370,12036,6619
PG16SA,7066,12062,8271,10379,4780,3784
PG0102,1065,1781,1467,4096,3860,2413
PG0103,22922,53694,44381,170644,170427,83770
PGt04,9094,21545,17458,71784,71707,35258
PGt05,3689,8683,6856,26238,26151,12788
PG23SA,11836,18560,12882,19423,10847,7450
PG5SA,1,13,49,8,12,2
PG0104,936,1393,1310,1498,1456,1341
PG0106,5983,11251,10221,14152,13018,7819
PG0108,8913,13825,11337,15355,13181,11197
PG0109,7199,13663,11895,17989,16705,9747
PG0110,5664,10464,9324,11073,10141,6419
PG0111,7641,14064,12587,13631,12485,8423
PG0113,3862,6045,4955,5929,4984,4580
PG0114,3202,4382,3417,4016,3373,3790
PG0115,1467,2549,2121,2354,2282,1687
PG0116,2392,3807,3031,3587,3277,2765
PG0117,3252,5818,5078,5490,4931,3527
PG0118,3016,6077,5737,5337,5343,3056
PG0119,1853,3279,3077,2902,2660,1882
PG0120,3124,5241,4381,4331,3812,3124
PG0121,29193,67550,74228,56275,59172,24987
PG0123,586,766,666,850,758,733
PG0124,365,567,430,801,809,665
PG0125,162,271,208,304,337,338
PG0126,1003,1525,1266,2195,2205,2077
PG0127,335,501,357,649,603,627
PG0128,231,426,365,559,658,453
PG0129,371,777,556,1131,1321,788
PG0130,2340,3010,2411,2885,2843,3597
PG0132,16,21,17,24,22,20
PG0133,237,266,230,389,336,508
PG0134,941,1398,1050,1786,1632,1665
PG0135,654,870,676,1086,882,1019
PG0136,1821,2268,1982,3184,2619,2760
PG0137,2902,4342,3710,5563,5302,4833
PG0138,1558,2459,1858,2402,2467,2245
PG0139,472,573,481,711,616,901
PG0140,182,306,241,406,397,317
PG0141,582,874,642,1152,1084,1189
PG0142,680,1018,817,1542,1514,1367
PG0143,875,1772,1430,2557,2681,1757
PG0144,235,464,354,648,654,539
PG0145,8209,16812,15383,17994,20049,10889
PG0146,201,313,263,435,429,307
PG0147,123,209,150,286,278,228
PG0148,608,1086,844,1604,1638,1068
PG0149,596,903,784,1208,1135,1108
PG0150,680,993,880,1276,1329,1134
PG0151,420,611,515,822,861,812
PG0152,323,533,459,836,975,577
PG0153,439,713,584,1019,1114,793
PG0155,106,203,157,225,243,230
PG0156,476,807,648,1070,1052,860
PG0157,113,156,134,197,151,191
PG0158,200,293,258,369,292,321
PG0159,9002,10520,7813,11751,9016,16224
PG0160,1124,1370,1126,1834,1564,1827
PG0161,337,571,559,656,570,442
PG0162,4166,6037,5520,7764,6380,4772
PG0163,856,1263,1088,1681,1652,1417
PG0164,225,406,307,662,647,503
PG0165,550,887,628,1409,1388,1173
PG0166,676,875,618,1161,1091,1349
PG0167,11757,15579,10656,19148,16049,20178
PG0170,1830,2253,1847,3046,2640,3234
PG0171,1687,2160,1696,3176,3086,3140
PG0172,1441,2644,2030,2805,2719,2360
PG0173,1021,2128,2143,2625,2640,1431
PG0174,269,370,306,532,438,459
PG0177,3809,5413,4529,5930,4888,4309
PG0179,896,1330,1195,1353,1200,1257
PG0180,711,1033,800,1121,967,1019
PG0181,671,1065,801,1171,1033,1033
PG0182,2014,2861,2172,3052,2470,2833
PG0183,4851,6897,5162,7092,5860,6985
PG0184,1752,2393,2153,2542,2271,2460
PG0185,256530,234744,179105,252896,177753,360602
PG0186,144284,162954,135280,171355,135238,178849
PG0188,13982,23453,20167,31304,28297,21596
PG0189,5471,6494,4927,8298,6279,9558
PG0190,6899,10229,8098,13413,11289,10895
PG0191,23610,39531,33525,44649,38604,30313
PG0192,9453,19291,18896,21416,19494,12981
PG0193,17760,40687,42140,41105,42919,22872
PG0194,770,1398,1286,1759,1615,961
PG0195,33058,65153,63777,66171,59197,33256
PG0196,9591,11034,8844,13145,11000,15313
PG0197,10,19,16,16,15,6
PG0198,510,767,627,1014,851,883
PG0199,881,1389,1083,2071,1877,1674
PG0200,245,341,242,509,431,509
PG0201,2188,2995,2188,5037,4263,4478
PG0202,7332,11222,8992,16699,15530,13528
PG0203,1053,1588,1173,2146,1994,1978
PG0204,313,388,273,560,473,579
PG0205,1683,2288,1700,3535,2931,3422
PG0209,1851,4137,3489,8125,7750,4579
PG0210,671,1119,966,1251,1421,1125
PG0211,669,1039,898,1280,1283,1137
PG0212,424,560,484,715,660,644
PG0213,613,1094,849,1221,1264,954
PG0214,179,324,387,533,575,361
PG0215,165,279,283,418,402,296
PG0216,79,123,116,173,174,141
PG0217,387,450,463,580,597,748
PG0218,446,538,517,601,613,871
PG0219,122,192,154,149,119,147
PG0221,26,54,24,49,35,37
PG0222,64,55,46,52,34,53
PG0223,248,411,381,657,631,565
PG0224,784,1314,956,1699,1685,1808
PG0225,3661,5192,4360,5778,4759,4142
PG0226,1371,2103,1725,2342,2415,2158
PG0227,615,1054,844,1428,1546,1197
PG0228,380,572,476,725,662,809
PG0229,29,45,44,52,46,48
PG0230,4754,6206,5143,8351,7163,7341
PG0231,414,645,533,916,731,898
PG0232,9140,8706,7559,8650,6550,13827
PG0234,1833,3371,2879,4318,3734,3155
PG0235,1835,2738,2154,3355,2881,3430
PG0236,1718,2922,2638,3417,3157,2685
PG0237,307,423,336,567,500,499
PG0240,1250,1806,1541,2313,2034,1664
PG0241,12345,19141,16237,28929,25142,26722
PG0242,5615,8649,6752,12587,10665,10625
PG0243,8356,15810,14933,21106,19581,11485
PG0245,2877,3747,3279,4597,3721,4283
PG0246,3646,7600,8921,9162,8855,4651
PG0248,289,475,387,550,430,355
PG0249,6617,10338,8780,13384,12330,11572
PG0250,15,21,13,28,25,26
PG0253,1565,1859,1465,2593,2431,2577
PG0254,4132,6684,4886,13097,12348,10025
PG0255,7211,10812,8759,16238,15057,13532
PG0256,638,1063,888,1474,1305,1072
PG0257,6597,9618,8641,9181,7955,7938
PG0258,2333,3199,2461,3081,2880,3053
PG0259,4156,5626,4490,5552,4939,5112
PG0261,662,1184,1084,1438,1355,813
PG0263,1935,2960,2189,3554,3112,3563
PG0264,2352,3424,2742,4239,3555,3518
PG0265,20,42,36,42,46,14
PG0267,4591,6908,5988,8967,7924,8022
PG0268,2125,3079,2550,4330,3897,3960
PG0269,1191,1606,1419,2030,1749,1937
PG0270,934,936,801,1289,1010,1672
PG0271,1311,1470,1280,2125,1772,2504
PG0272,3718,5086,4569,6256,5166,5669
PG0273,1332,1601,1240,1841,1465,1766
PG0274,1112,1802,1690,1945,1820,1322
PG0275,5318,8223,7591,8162,7420,7116
