Geneid,Wax17,Wax18,Wax19,Wax20,Wax21,Wax22,Wax23,Wax24,Wax25,Wax26,Wax27,Wax28,Wax29,Wax30,Wax31,Wax32,WT1,WT2,WT5,WT6,KO3,KO4,KO7,KO8,WT1,WT2,WT3,KO1,KO2,KO3
fig|431947.7.peg.1,454,493,37,64,102,80,61,26,527,531,53,102,86,75,25,16,1964,1571,6285,7960,3408,8237,7840,7539,122168,129859,134882,70093,99385,82470
fig|431947.7.peg.2,80,85,12,5,23,23,13,4,76,130,25,39,51,30,4,0,501,434,1638,2106,1035,2612,2618,2469,36050,40411,40332,23377,28169,19796
fig|431947.7.peg.3,59,51,6,17,8,12,10,4,127,107,17,64,101,34,22,12,98,81,385,469,160,370,395,331,8796,11435,8520,13072,7754,3238
fig|431947.7.peg.4,108,89,39,28,60,36,42,42,94,137,25,66,94,58,13,14,320,205,876,1063,555,1373,1348,1241,10015,12632,10534,12905,13451,9631
fig|431947.7.peg.5,141,136,25,67,70,73,57,42,200,250,24,111,57,32,40,16,141,147,543,735,101,226,233,199,8636,12298,9609,11256,7688,4040
fig|431947.7.peg.6,189,149,50,41,83,73,62,40,222,275,20,149,133,112,59,8,82,97,281,391,41,98,83,80,6709,10327,6291,12040,7279,3238
fig|431947.7.peg.7,889,1096,2441,2909,4530,4193,6380,4985,1333,1627,1996,4115,5375,5407,1751,2095,3812,3824,12761,15244,4071,8677,8938,7728,48129,55943,52000,48248,66657,47161
fig|431947.7.peg.8,24,26,32,30,66,53,97,83,29,36,22,49,82,77,28,26,279,245,957,1154,338,864,916,714,1509,2211,1605,2626,2051,1339
fig|431947.7.peg.9,343,365,203,216,301,356,242,237,565,630,138,391,375,354,123,90,1471,1241,4403,5582,2040,4367,4542,4145,53865,66688,59962,49464,60429,42224
fig|431947.7.peg.10,61,86,22,46,38,48,45,35,134,169,20,101,77,52,29,14,429,346,1416,1704,658,1411,1394,1250,19301,24557,21591,22523,23136,16149
fig|431947.7.peg.11,57,68,24,18,20,17,37,21,87,67,28,58,50,26,17,10,267,245,854,975,377,760,758,784,16808,19329,18220,16507,17305,12408
fig|431947.7.peg.12,128,165,39,54,73,98,91,86,164,248,33,150,104,110,37,46,287,242,1044,1120,212,442,433,449,24438,29087,26714,20881,24204,16609
fig|431947.7.peg.13,57,68,29,31,44,31,10,19,129,187,16,81,73,51,36,6,132,89,316,445,58,147,151,139,16530,19412,17091,15084,13507,9105
fig|431947.7.peg.14,74,90,28,15,34,57,50,32,173,177,18,126,86,52,48,20,144,123,497,644,111,244,232,233,26314,31446,27100,25631,22561,16235
fig|431947.7.peg.15,70,86,9,19,38,38,34,12,104,93,22,74,54,27,31,10,284,251,978,1237,585,1309,1324,1199,14484,17528,15834,14506,14041,8935
fig|431947.7.peg.16,93,109,32,34,38,28,39,37,144,146,22,60,37,46,18,9,294,251,928,1215,382,898,886,881,17019,22083,18327,16472,15224,8933
fig|431947.7.peg.17,98,127,53,30,67,54,25,20,176,214,41,81,116,80,41,15,299,259,932,1094,217,593,544,501,16316,23002,18415,18656,16837,9791
fig|431947.7.peg.18,136,131,38,42,102,102,73,36,126,144,19,65,99,102,18,15,487,395,1874,2178,275,684,669,655,25365,29693,27057,29015,47386,45051
fig|431947.7.peg.19,346,348,144,291,363,338,268,203,410,545,104,264,301,277,74,59,818,737,2978,3911,400,654,750,644,28887,33339,32266,23973,33448,32072
fig|431947.7.peg.20,1020,924,331,473,528,561,406,336,1249,1786,282,744,515,476,202,124,2435,2352,8159,10089,1107,1962,1885,1795,63763,76329,69701,62012,75692,58559
fig|431947.7.peg.21,401,420,125,152,177,223,99,122,593,672,110,344,225,170,59,60,1841,1695,5844,6746,610,1198,1038,1064,41714,47542,46657,39028,42353,31304
fig|431947.7.peg.22,120,160,29,46,62,75,34,41,198,224,11,105,71,50,21,12,667,536,1796,2195,274,497,527,533,30859,33341,34497,21605,27697,24572
fig|431947.7.peg.23,163,170,30,66,53,53,49,25,165,231,25,75,77,65,22,16,427,445,1315,1698,419,898,901,810,19427,21390,20627,21294,22847,18614
fig|431947.7.peg.24,61,85,9,36,33,48,22,22,102,103,16,55,34,22,14,6,204,256,996,1263,483,1112,1114,1049,7584,9056,8809,8946,9231,6762
fig|431947.7.peg.25,41,55,18,14,26,18,15,30,69,62,17,35,38,26,17,5,120,120,418,617,282,692,770,845,7440,9195,8043,11940,11460,8033
fig|431947.7.peg.26,42,63,7,19,13,30,12,10,68,74,8,29,45,18,10,6,88,74,261,295,112,300,317,308,5634,6826,5759,9090,8668,6822
fig|431947.7.peg.27,202,290,26,50,69,59,25,36,351,432,36,152,114,97,47,19,149,109,424,600,186,420,425,397,17828,23060,17613,20989,17342,8616
fig|431947.7.peg.28,109,149,19,22,60,68,82,26,242,181,54,118,48,39,45,31,110,110,340,498,128,251,257,241,11272,13093,10191,12502,10419,5288
fig|431947.7.peg.29,15,23,2,11,11,20,24,10,55,26,19,38,27,18,7,0,29,39,133,158,19,42,53,49,2223,2758,2027,4077,1939,1060
fig|431947.7.peg.30,469,643,694,660,1390,1565,1558,1260,496,681,389,1789,3351,3315,473,490,867,909,2761,3382,1484,3157,2997,2445,28965,32217,32917,35479,54149,62060
fig|431947.7.peg.31,336,309,181,160,285,361,402,279,522,519,227,490,445,432,160,152,1887,1807,6258,8233,2433,5420,5200,4839,64048,74459,69633,60701,60853,45311
fig|431947.7.peg.32,2008,2531,445,473,467,562,320,324,1559,1900,334,922,545,599,113,108,634,587,2200,3205,353,643,626,593,26748,30424,30906,33875,43342,48905
fig|431947.7.peg.33,25,17,6,13,8,6,0,1,29,15,7,23,8,21,8,2,37,23,102,138,31,96,114,112,2236,2858,2224,2965,1905,1979
fig|431947.7.peg.34,713,783,320,402,390,408,312,273,757,836,220,416,415,376,101,90,2096,1743,6029,7516,1109,1971,2137,1840,50769,60370,60206,35865,56059,43742
fig|431947.7.peg.35,120,142,76,60,94,86,49,49,245,219,49,143,153,150,62,27,463,463,1473,1772,583,891,934,839,25947,32855,28808,29144,27032,17207
fig|431947.7.peg.36,182,174,834,877,1505,1442,2873,2263,213,259,908,1499,1887,2001,703,1008,375,446,1277,1728,331,570,589,505,39986,42728,40625,35874,40437,30786
fig|431947.7.peg.37,354,390,176,177,292,275,535,455,422,583,106,201,372,389,137,176,793,614,2316,3108,748,1721,1994,1665,44890,50424,48043,33757,41379,32118
fig|431947.7.peg.38,505,497,363,344,669,699,791,683,730,844,323,604,998,922,269,265,796,783,2629,3082,742,1564,1554,1454,29321,36402,32922,28361,29331,18508
fig|431947.7.peg.39,167,281,34,22,58,41,13,21,267,256,34,86,62,93,23,8,444,406,1492,1800,514,1232,1110,1209,36213,40955,36663,32476,34205,25409
fig|431947.7.peg.40,11,10,6,4,5,11,7,2,15,8,8,9,8,8,3,2,4,4,7,13,3,5,4,11,803,1404,681,2280,782,447
fig|431947.7.peg.41,4,9,3,0,8,7,1,0,16,1,7,7,11,3,2,2,6,2,6,5,2,12,3,7,580,1048,550,1795,589,326
