locus_tag,PG_DMSO_1,PG_DMSO_2,PG_PABA_1,PG_PABA_2
PGN_0001,2977,2720,14814,10758
PGN_0002,1513,1331,2617,1842
PGN_0003,256,258,377,279
PGN_0004,5643,4888,11656,8279
PGN_0005,423,427,429,312
PGN_0006,515,350,518,336
PGN_0007,24,9,29,19
PGN_0008,5374,4931,11013,8124
PGN_0009,4424,4101,11332,7778
PGN_0010,2306,2158,4337,2693
PGN_0011,1806,1784,3084,2037
PGN_0012,2017,1514,2949,1882
PGN_0013,168,187,305,242
PGN_0014,231,199,544,378
PGN_0015,1365,1328,2595,1658
PGN_0016,1109,986,1230,795
PGN_0017,397,360,968,711
PGN_0018,10,7,4,9
PGN_0019,7,5,10,3
PGN_0020,1278,1142,2891,1685
PGN_0021,1406,1173,2900,1657
PGN_0022,1514,1455,4278,2957
PGN_0023,1317,1217,2794,1866
PGN_0024,608,514,1158,647
PGN_0025,490,416,1373,797
PGN_0026,1269,1166,709,546
PGN_0027,23780,19165,16953,10476
PGN_0028,674,638,405,260
PGN_0029,494,483,1053,653
PGN_0030,1091,990,2460,1762
PGN_0031,471,383,1617,1137
PGN_0032,14,9,29,25
PGN_0033,2366,1696,9958,5321
PGN_0034,3412,3309,16799,12830
PGN_0035,1355,1084,3655,2034
PGN_0036,43,47,205,105
PGN_0037,15,17,47,17
PGN_0038,2032,1647,5417,3753
PGN_0039,703,680,3006,2398
PGN_0040,138,98,93,62
PGN_0041,2914,2793,8634,5965
PGN_0042,1902,1577,5286,3634
PGN_0043,1371,1224,5179,3317
PGN_0044,391,330,1726,1059
PGN_0045,14,15,13,15
PGN_0046,18,10,18,7
PGN_0047,13,8,15,6
PGN_0048,41,31,28,9
PGN_0049,66,49,61,48
PGN_0050,331,291,286,168
PGN_0051,97,59,98,47
PGN_0052,131,118,159,65
PGN_0053,2410,1818,7282,4134
PGN_0054,4201,2948,11631,6929
PGN_0055,1459,1127,2865,1732
PGN_0056,445,357,1073,680
PGN_0057,1239,1029,2089,1428
PGN_0058,985,725,1414,983
PGN_0059,2114,1688,3632,2245
PGN_0060,2716,1960,3010,1929
PGN_0061,154,143,382,227
PGN_0062,495,420,1038,617
PGN_0063,1419,1164,2826,1963
PGN_0064,1181,1161,2298,1605
PGN_0065,11962,8054,15068,9276
PGN_0066,2409,1762,2110,1279
PGN_0067,539,535,958,690
PGN_0068,41418,27350,100616,57328
PGN_0069,1041,839,1200,846
PGN_0070,449,369,816,582
PGN_0071,335,265,655,475
PGN_0072,1067,797,1379,863
PGN_0073,336,323,695,607
PGN_0074,125,100,320,186
PGN_0075,273,197,663,409
PGN_0076,590,513,1376,856
PGN_0077,1035,774,3063,1613
PGN_0078,2092,1501,4675,2563
PGN_0079,15684,12293,35622,21451
PGN_0080,4231,3570,4755,2777
PGN_0081,1756,1702,6933,4280
PGN_0082,1168,1119,4587,3153
PGN_0083,1814,1662,5791,3954
PGN_0084,9630,7683,12640,8478
PGN_0085,137,173,178,108
PGN_0086,2148,1942,3636,2485
PGN_0087,8065,5945,8242,5023
PGN_0088,614,466,454,279
PGN_0089,291,232,535,295
PGN_0090,159,117,458,227
PGN_0091,452,351,1065,564
PGN_0092,1228,913,2501,1461
PGN_0093,901,752,1849,1035
PGN_0094,2634,2069,5051,2850
PGN_0095,172,159,440,252
PGN_0096,2022,1895,6814,4217
PGN_0097,1922,1660,7570,4787
PGN_0098,3,3,8,7
PGN_0099,3078,2408,31094,17275
PGN_0100,1175,1228,4357,3109
PGN_0101,389,406,1080,751
PGN_0102,1683,1270,1071,700
PGN_0103,3453,2984,7090,4871
PGN_0104,22972,18708,15822,9525
PGN_0105,24,25,26,22
PGN_0106,380,345,338,201
PGN_0107,1557,1338,300,191
PGN_0108,11029,8429,7865,4300
PGN_0109,190,172,562,306
PGN_0110,19,18,127,77
PGN_0111,27,18,20,9
PGN_0112,235,200,253,154
PGN_0113,76,66,69,41
PGN_0114,1518,1227,5447,3747
PGN_0115,1475,1357,6966,4328
PGN_0116,959,936,3222,2484
PGN_0117,1850,1585,4632,3101
PGN_0118,1415,1248,2840,1975
PGN_0119,2112,1983,12119,8146
PGN_0120,258,175,1019,571
PGN_0121,4803,3345,11681,7079
PGN_0122,2442,2201,7965,4957
PGN_0123,9292,8510,22211,13227
PGN_0124,637,568,1292,802
PGN_0125,8803,6420,19144,11557
PGN_0126,4311,3414,9067,5501
PGN_0127,67,44,110,75
PGN_0128,13677,9971,73147,41687
PGN_0129,1595,1393,14136,7824
PGN_0130,12057,9885,8838,5649
PGN_0131,18209,13510,9349,5007
PGN_0132,115,109,155,126
PGN_0133,286,239,461,278
PGN_0134,292,231,414,272
PGN_0135,4578,3802,20702,10923
PGN_0136,585,541,3216,2047
PGN_0137,504,428,3718,2318
PGN_0138,891,796,3359,2199
PGN_0139,1475,1180,2682,1885
PGN_0140,364,355,1682,1276
PGN_0141,2210,1879,1479,1006
PGN_0142,248,194,836,447
PGN_0143,406,353,603,319
PGN_0144,982,699,2442,1608
PGN_0145,1208,1154,3435,2427
PGN_0146,10,9,11,15
PGN_0147,1307,1215,3309,2282
PGN_0148,3437,3066,9472,6918
PGN_0149,783,752,4908,3363
PGN_0150,1804,1521,3324,2015
PGN_0151,8647,7147,32997,24942
PGN_0152,20880,16891,109217,76457
PGN_0153,22,17,50,35
PGN_0154,2330,1612,5929,3096
PGN_0155,78,53,177,90
PGN_0156,1188,938,6112,3513
PGN_0157,105,100,156,132
PGN_0158,70,76,69,36
PGN_0159,151,123,165,95
PGN_0160,250,225,283,190
PGN_0161,42,46,84,38
PGN_0162,121,113,308,184
PGN_0163,101,95,665,354
PGN_0164,16,8,12,3
PGN_0165,5,1,7,6
PGN_0166,3,11,23,17
PGN_0167,1815,1233,6822,4074
PGN_0168,635,594,2318,1734
PGN_0169,413,395,1218,773
PGN_0170,361,306,2979,1989
PGN_0171,28,27,91,49
PGN_0172,40,41,635,294
PGN_0173,7005,5161,62747,39935
PGN_0174,343,330,884,559
PGN_0175,756,635,1711,1255
PGN_0176,364,288,1020,610
PGN_0177,19,23,35,20
PGN_0178,3661,3400,34539,20223
PGN_0179,21712,19481,105483,75512
PGN_0180,93039,64934,681534,479911
PGN_0181,3848,3965,9522,9073
PGN_0182,2166,2077,3714,3176
PGN_0183,4143,3837,23877,17345
PGN_0184,18773,14401,65435,38513
PGN_0185,24014,18830,58669,34308
PGN_0186,2178,1677,1782,1025
PGN_0187,766,615,1707,961
PGN_0188,2060,1505,2728,1499
PGN_0189,2976,2370,5856,3693
PGN_0190,512,391,1570,945
PGN_0191,528,475,1442,903
PGN_0192,1273,1192,3952,2830
PGN_0193,319,229,264,158
PGN_0194,109,103,161,117
PGN_0195,325,288,862,589
PGN_0196,366,337,836,572
PGN_0197,1394,1190,2223,1458
PGN_0198,1391,1136,4942,3359
PGN_0199,744,617,2780,1644
PGN_0200,865,816,6289,4469
PGN_0201,978,977,2732,1948
PGN_0202,161,129,640,451
PGN_0203,417,317,967,560
PGN_0204,708,639,1506,1009
PGN_0205,63,65,200,115
PGN_0206,446,382,1162,802
PGN_0207,502,473,1054,752
PGN_0208,266,284,1514,1013
PGN_0209,829,674,3122,2362
PGN_0210,19524,15755,17684,10626
PGN_0211,3086,2554,6793,4150
PGN_0212,24843,20097,15709,9468
PGN_0213,100,91,31,23
PGN_0214,552,437,859,510
PGN_0215,5649,4933,31902,23355
PGN_0216,9949,9284,44144,34759
PGN_0217,2420,1678,10153,6078
PGN_0218,24057,19333,18637,11065
PGN_0219,9315,8441,8651,5424
PGN_0220,4322,3523,2603,1729
PGN_0221,3061,2705,6202,4312
PGN_0222,42,45,44,38
PGN_0223,264,269,965,546
PGN_0224,448,412,1801,999
PGN_0225,183,163,407,237
PGN_0226,143,138,441,275
PGN_0227,294,300,818,524
PGN_0228,320,322,691,472
PGN_0229,667,507,2630,1517
PGN_0230,206,163,907,514
PGN_0231,429,393,1563,1087
PGN_0232,209,250,572,418
PGN_0233,181,183,467,319
PGN_0234,1963,1627,2959,1714
PGN_0235,24848,15530,107589,54563
PGN_0236,150,160,406,292
PGN_0237,715,641,950,620
PGN_0238,300,238,645,444
PGN_0239,554,446,1742,1127
PGN_0240,360,322,852,548
PGN_0241,195,144,312,206
PGN_0242,505,441,959,527
PGN_0243,336,292,1681,1305
PGN_0244,38,61,34,18
PGN_0245,411,436,2208,1332
PGN_0246,949,996,2230,1368
PGN_0247,3219,2924,7517,5369
PGN_0248,914,797,5610,3887
PGN_0249,597,509,2100,1269
PGN_0250,1559,1423,5246,3961
PGN_0251,916,808,2928,2520
