geneName,SA_1,SA_2,SA_3,CC_1,CC_2,CC_3
NWMN_0006,1482,1908,2097,347,253,204
NWMN_0009,192,207,294,47,28,18
NWMN_0010,122,120,199,21,12,19
NWMN_0011,312,324,361,48,39,25
NWMN_0012,2258,2293,3168,712,464,338
NWMN_0013,11537,11951,15753,2882,1891,1602
NWMN_0019,6363,6808,8674,2558,1900,1580
NWMN_0020,3585,3802,4700,1126,851,656
NWMN_0021,1420,1761,2004,489,326,280
NWMN_0022,405,485,521,546,437,405
NWMN_0024,1139,1183,1861,459,327,246
NWMN_0025,125,153,215,51,33,34
NWMN_0026,82,119,137,34,22,25
NWMN_0027,35,51,56,25,34,14
NWMN_0028,113,115,141,42,36,29
NWMN_0029,976,830,1352,222,159,148
NWMN_0030,1155,1322,1474,340,267,237
NWMN_0031,144,178,175,74,47,33
NWMN_0032,55,47,62,6,8,4
NWMN_0033,32,37,51,15,7,16
NWMN_0034,24,21,42,8,2,4
NWMN_0035,114,111,209,33,28,20
NWMN_0036,11,5,16,1,2,2
NWMN_0037,72,64,111,21,15,6
NWMN_0038,85,90,105,37,17,24
NWMN_0039,740,731,976,231,176,126
NWMN_0040,196,180,256,47,44,22
NWMN_0041,255,289,350,64,30,39
NWMN_0042,46,39,41,8,5,4
NWMN_0043,63,63,71,15,13,5
NWMN_0044,66,82,80,14,14,8
NWMN_0045,93,87,102,16,16,13
NWMN_0046,1375,1519,1923,488,322,273
NWMN_0047,590,545,764,246,188,187
NWMN_0048,1049,1036,1551,305,259,221
NWMN_0049,4360,5193,6023,1759,1206,1076
NWMN_0050,3116,2901,4240,2330,1784,1629
NWMN_0051,5,2,14,5,2,2
NWMN_0052,38,47,66,25,12,6
NWMN_0053,423,324,604,87,68,52
NWMN_0069,63,47,116,12,8,7
NWMN_0070,181,189,307,52,29,44
NWMN_0071,6314,5833,7049,2907,2151,1894
NWMN_0072,15,9,20,19,17,12
NWMN_0073,18,15,18,20,13,7
NWMN_0074,18,24,32,18,9,12
NWMN_0075,13,16,16,5,4,4
NWMN_0076,173,172,240,53,41,26
NWMN_0078,172,200,226,49,60,42
NWMN_0079,542,618,734,179,122,114
NWMN_0081,262,230,342,112,96,57
NWMN_0083,2959,3075,3876,1385,998,910
NWMN_0084,41,28,63,14,13,11
NWMN_0085,23,26,32,9,8,6
NWMN_0086,25,24,26,5,2,10
NWMN_0087,88,76,100,40,28,27
NWMN_0088,367,378,444,122,83,74
NWMN_0089,0,0,0,0,1,0
NWMN_0090,16,15,14,3,4,1
NWMN_0091,9,3,11,1,2,1
NWMN_0092,6,2,8,1,0,0
NWMN_0093,24,22,31,18,18,14
NWMN_0111,45,47,53,11,5,4
NWMN_0112,22,29,24,6,4,1
NWMN_0114,556,495,786,145,97,73
NWMN_0115,1938,2364,2825,1039,778,682
NWMN_0116,301,405,503,169,129,118
NWMN_0117,410,409,599,217,136,137
NWMN_0118,268,284,426,133,105,70
NWMN_0119,595,660,951,247,165,143
NWMN_0120,703,717,913,129,103,91
NWMN_0121,106,117,170,10,1,2
NWMN_0122,4015,4566,5918,153,108,76
NWMN_0123,26631,28741,34660,2716,1910,1613
NWMN_0124,3403,3438,4431,249,163,153
NWMN_0125,9728,10241,11807,8351,5759,5018
NWMN_0126,47,62,69,31,24,13
NWMN_0130,851,877,1268,251,170,141
NWMN_0134,2361,1086,2286,203,118,62
NWMN_0136,1803,1093,1910,164,107,82
NWMN_0137,1007,791,1137,73,58,36
NWMN_0138,6,11,13,5,5,1
NWMN_0140,527,501,717,205,136,67
NWMN_0141,482,453,700,163,121,89
NWMN_0142,409,319,522,105,75,41
NWMN_0143,783,907,1122,155,104,93
NWMN_0144,116,128,149,23,9,12
NWMN_0145,133,164,203,19,11,12
NWMN_0147,415,469,627,107,89,75
NWMN_0148,227,265,319,134,90,54
NWMN_0149,1015,1135,1322,388,243,199
NWMN_0150,202,183,263,42,24,30
NWMN_0151,497,233,521,46,28,25
NWMN_0152,550,306,553,58,32,22
NWMN_0153,571,374,602,50,21,19
NWMN_0154,487,352,594,23,17,15
NWMN_0155,782,563,912,67,49,44
NWMN_0156,1023,984,1452,72,50,40
NWMN_0157,99,113,162,26,25,7
NWMN_0159,328,297,437,65,58,40
NWMN_0160,557,582,721,145,83,85
NWMN_0161,354,356,447,129,76,79
NWMN_0163,62124,44891,70106,2655,1572,1393
NWMN_0164,1071,750,1376,80,59,37
NWMN_0165,117,168,194,91,76,44
NWMN_0171,175,109,143,15,13,10
NWMN_0172,238,246,370,48,26,31
NWMN_0173,4668,5353,6346,2563,1860,1309
NWMN_0174,1301,1440,1554,1012,768,666
NWMN_0175,18038,20740,23081,12639,9074,7801
NWMN_0177,793,796,921,81,67,53
NWMN_0178,406,449,510,392,281,213
NWMN_0179,32,33,48,11,13,9
NWMN_0180,16,3,14,0,3,0
NWMN_0181,4,7,5,5,1,0
