,W1,W2,W3,C1,C2,C3,D1,D2,D3
HG001_00001,1379,1401,1344,1765,1759,1401,1582,1636,1468
HG001_00002,1342,1233,1145,1674,1622,1230,1370,1440,1255
HG001_00003,200,199,213,231,240,219,204,221,208
HG001_00004,1633,2058,1941,2328,2361,1828,1789,2001,1897
HG001_00005,5224,6242,6296,7556,7479,5925,5629,6348,5989
HG001_00006,8637,8804,9751,10945,10680,7949,8138,9939,9173
HG001_00007,210,179,149,241,246,146,157,204,204
HG001_00008,2834,3241,3794,4067,3763,3305,3151,3207,2911
HG001_00009,1010,1131,952,1346,1147,1007,1008,887,865
HG001_00010,16176,18002,14211,17800,16675,11957,10940,12317,13297
HG001_00011,49,51,51,66,60,53,35,39,37
HG001_00012,31,43,26,40,41,48,40,29,27
HG001_00013,211,257,243,342,374,265,210,202,188
HG001_00014,160,190,230,241,178,157,208,167,171
HG001_00015,360,487,415,536,502,392,432,347,416
HG001_00016,3180,3779,3833,4086,3898,3251,3522,3368,3429
HG001_00017,1687,1849,1911,1752,1630,1465,1725,1847,1623
HG001_00018,2037,1567,2201,1844,1896,1611,1768,2266,1903
HG001_00019,142,127,109,136,135,97,106,146,108
HG001_00020,3,1,3,7,1,0,2,5,3
HG001_00021,1,0,1,5,3,0,0,2,4
HG001_00022,882,1363,1048,1345,1268,1065,1085,972,1031
HG001_00023,3090,3940,3839,4375,4174,3518,3597,3629,3440
HG001_00024,3801,5391,4967,5481,5141,4194,4393,4471,4290
HG001_00025,2899,3740,3257,3953,3588,2841,3038,3251,2953
HG001_00026,199,223,169,198,200,129,174,180,180
HG001_00027,381,549,457,545,494,428,389,500,471
HG001_00028,147,258,163,216,251,152,186,201,195
HG001_00029,188,278,207,275,199,150,235,185,186
HG001_00030,184,212,194,240,248,201,219,200,199
HG001_00031,61,74,64,78,88,62,75,61,52
HG001_00032,2,17,10,13,8,8,9,9,16
HG001_00033,31,63,52,60,51,39,75,54,51
HG001_00034,104,138,151,151,134,119,150,140,148
HG001_00035,1287,1333,1137,1484,1398,1303,1138,1037,1224
HG001_00036,1629,1472,2002,2108,2320,1965,1665,1878,1777
HG001_00037,78,94,69,102,97,81,91,88,83
HG001_00038,24,23,16,20,7,25,17,14,23
