id,MS2contr_R1,MS2contr_R2,MS2RsaI_R1,MS2RsaI_R2,MS2RsaI_R3,MS2RsaImut2_R1,MS2RsaImut4_R1
HG001_02520,2959,7480,74124,79734,250240,72393,31027
HG001_02704,193,116,5408,13370,2390,2156,145
HG001_02347,282,3036,8400,9579,616104,125478,270260
HG001_02756,21,44,386,439,525,70,117
HG001_01242,0,12,110,127,139,199,11
HG001_00847,10,123,101,92,766,35,38
HG001_02628,189,774,731,1115,4191,2206,832
HG001_00316,145,233,588,1243,872,536,278
HG001_00687,32,43,92,184,244,269,47
HG001_01817,0,34,0,0,243,60,14
HG001_00487,10,30,28,41,184,128,93
HG001_02293,7,19,57,79,56,58,25
HG001_02545,42,191,200,373,452,537,120
HG001_00942,93,327,440,423,841,895,98
HG001_00710,26,367,63,93,1218,503,220
HG001_00165,29,34,66,131,105,39,137
HG001_02639,129,155,335,366,452,327,233
HG001_01366,4,8,14,29,37,24,17
HG001_00862,907,1087,2269,2060,3623,1628,1558
HG001_01064,18,26,67,90,60,44,22
HG001_01022,52649,19907,113892,130613,63148,35034,30744
HG001_00386,641,293,1643,1933,671,249,355
HG001_02748,96,75,176,310,226,170,72
HG001_00972,49,100,116,112,321,199,116
HG001_02210,34,177,248,191,290,143,181
HG001_00932,886,627,1462,2582,1869,1177,672
HG001_00045,36,54,47,103,226,196,46
HG001_00733,102,2196,422,424,3769,4028,1060
HG001_02584,4,3,19,35,10,27,13
HG001_02485,16,51,54,51,115,110,56
HG001_00933,453,598,785,794,2333,1166,877
HG001_01715,39,51,50,101,195,224,41
HG001_00098,6,4,19,25,19,30,7
HG001_02746,75,99,120,210,264,80,101
HG001_02069,368,360,676,795,992,996,849
HG001_01837,37,43,72,106,110,47,25
HG001_01351,38,39,90,163,71,71,34
HG001_01548,3876,1282,13192,11506,1986,1400,1131
HG001_01023,10365,18262,17287,19557,57473,24108,15412
HG001_02043,87,109,163,187,288,190,81
HG001_01217,50,112,59,83,533,362,73
HG001_01538,134,279,220,297,711,428,356
HG001_02547,240,204,502,514,462,496,426
HG001_01975,1,4,5,4,26,23,3
HG001_02393,4,18,15,14,48,25,6
HG001_00725,276,176,522,750,337,335,129
HG001_00581,55,124,121,226,201,170,91
HG001_01904,4,14,47,21,24,21,10
HG001_00043,1,11,5,12,32,17,6
HG001_01039,349,442,778,639,956,950,362
HG001_02518,196,186,288,429,467,261,366
HG001_02376,41,38,74,125,77,21,29
HG001_01041,327,145,718,1417,189,182,153
HG001_02068,8,5,14,16,32,21,8
HG001_00973,49,75,90,110,166,159,93
