,LAC DMSO 1 - total_raw_count,LAC DMSO 2 - total_raw_count,LAC DMSO 3 - total_raw_count,LAC apicidin 1 - total_raw_count,LAC apicidin 2 - total_raw_count,LAC apicidin 3 - total_raw_count,agr DMSO 1 - total_raw_count,agr DMSO 2 - total_raw_count,agr DMSO 3 - total_raw_count
SAUSA300s168,7,2,1,0,0,1,0,2,0
SAUSA300s276,1,2,6,0,0,4,1,0,1
SAUSA300s033,5,0,1,0,0,0,1,2,0
SAUSA300s084,22080,14197,9184,1008,1054,1027,1,3,1
SAUSA300_0323,8,8,7,0,1,6,0,1,2
SAUSA300_1663,6,7,8,4,1,0,1,1,0
splA,904,733,824,94,64,109,2,7,8
SAUSA300s294,7,3,8,0,1,6,0,0,0
PSMa,23010,13518,7227,1677,1281,1507,83,98,102
splB,1053,1052,991,135,124,138,13,19,13
SAUSA300_1058,19078,15510,11424,2193,1974,2018,0,0,0
SAUSA300s097,3,0,2,1,0,0,769,657,653
comK,1515,1591,1147,168,232,233,2,0,0
RNAIII,24515,11302,3776,1529,1497,1738,121,112,130
splD,1596,1373,1494,258,219,243,38,56,18
splC,1395,1241,1260,203,200,236,511,587,460
SAUSA300s233,2501,2442,1812,404,380,347,0,0,5
SAUSA300_0203,1106,1245,1043,169,207,202,321,219,271
splE,1103,919,1023,162,194,187,37,40,48
ggt,271,279,279,70,56,41,60,66,66
splF,1688,1507,1378,321,261,266,78,79,55
asp23,3797,3742,1554,688,451,464,86,89,91
SAUSA300_2423,1020,1261,1092,209,214,229,1004,1083,897
SAUSA300s096,0,0,2,0,0,0,77,95,64
SAUSA300_2144,3995,3473,3600,1186,757,440,0,0,2
SAUSA300s172,2,2,6,0,4,1,0,2,0
SAUSA300s264,5,1,9,6,0,4,215,283,252
SAUSA300_2615,556,518,491,91,135,125,0,0,0
pflA,6440,6834,4281,1608,1192,1130,3,0,0
SAUSA300_1759,265,259,246,70,49,62,2353,2196,2136
SAUSA300s050,4041,3826,3449,937,790,983,785,685,831
thrB,10313,10242,10680,2648,2682,2484,0,0,0
SAUSA300s073,0,1,0,0,0,0,111,168,117
SAUSA300s053,1330,1156,1079,309,259,344,127,124,131
SAUSA300_0424,703,655,669,132,195,209,1004,896,1034
SAUSA300_1226,14045,14645,17227,4120,3956,3852,75,83,97
sbi,2922,3086,2575,758,747,748,5,3,6
SAUSA300_2616,1022,937,912,275,226,265,670,703,759
plc,3101,2963,2972,877,823,721,0,4,2
SAUSA300_2618,501,481,588,105,169,160,0,1,0
SAUSA300_0437,2051,2284,2212,633,619,547,45,48,46
SAUSA300s153,3700,4534,3543,1048,915,1314,234,274,328
thrC,12533,13418,13983,3654,3832,3640,1468,1370,1554
SAUSA300s049,7876,6977,5243,1951,1820,1901,1728,2212,1903
SAUSA300_2617,2256,2310,2156,645,603,688,79,98,95
SAUSA300s026,3553,3760,1893,789,670,1151,98,116,110
SAUSA300_0202,296,302,296,88,81,90,62,65,78
ear,876,924,759,222,260,261,1484,1021,1445
qoxC,4595,4166,3632,1177,1182,1254,1,0,0
SAUSA300_1225,1807,2159,1942,571,607,564,445,360,295
SAUSA300_0436,329,331,342,94,104,104,896,793,737
SAUSA300s148,2245,2092,2261,628,522,893,1879,1565,1236
SAUSA300_1919,6557,7121,6012,1942,2117,1920,0,2,1
SAUSA300_0938,466,455,444,167,157,104,1045,709,810
SAUSA300s068,1,1,4,0,1,6,76,82,43
SAUSA300_0939,6395,6410,6541,2161,2026,1851,3494,3356,3019
SAUSA300_1890,918,841,617,219,265,269,661,525,753
SAUSA300s211,1652,1703,1437,385,543,642,1280,1168,1120
qoxB,13805,11951,10223,4227,3994,3862,1356,1039,1127
empbp,368,348,291,87,123,136,99,91,78
SAUSA300_0176,408,441,458,127,168,155,994,811,852
SAUSA300_1303,1006,1118,1035,425,358,330,506,375,483
SAUSA300_1067,1786,1943,1884,764,600,627,457,308,496
SAUSA300_0382,15177,15849,12978,4252,5479,6035,297,286,321
SAUSA300_0611,3,2,5,3,0,3,145,155,209
hup,4979,3384,2894,1325,1212,1410,42,72,39
SAUSA300_1975,7103,7995,6725,2785,2431,2637,465,611,503
sspA,16734,15385,11975,4129,5474,6657,178,137,130
SAUSA300s101,15,11,5,1,6,7,123,109,115
SAUSA300_1918,677,952,773,285,276,331,2174,2137,2210
sspB,19242,18779,13578,5226,6285,7821,234,202,211
sspC,4066,4017,3191,1146,1412,1738,106,89,126
SAUSA300_2245,3904,3520,2816,1420,1229,1199,440,380,293
SAUSA300s169,29,40,34,15,8,18,1108,1241,975
SAUSA300s086,110,91,51,23,32,38,17,4,8
qoxD,935,899,1088,364,366,380,99,61,94
SAUSA300_1974,11082,12072,10311,4439,3892,4443,357,359,338
SAUSA300_2331,4583,4341,3746,1659,1492,1676,0,0,0
treC,4474,6682,10915,2660,2620,2625,116,83,126
thrS,5494,6400,6214,2223,2388,2349,182,172,264
pflB,16158,14156,12830,6051,5903,4810,223,131,197
