,1_LAC1_CGATGT_L007_R1_001 (paired) (GE) - Total counts,2_LAC2_ACAGTG_L007_R1_001 (paired) (GE) - Total counts,3_LAC3_GCCAAT_L007_R1_001 (paired) (GE) - Total counts,4_mgrA1_CAGATC_L007_R1_001 (paired) (GE) - Total counts,5_mgrA2_CTTGTA_L007_R1_001 (paired) (GE) - Total counts,6_mgrA3_GTGAAA_L007_R1_001 (paired) (GE) - Total counts
dnaA,44421,42797,41131,29184,32735,44343
dnaN,38101,39249,37820,29434,33935,46274
SAUSA300_0003,8128,8287,7627,5048,5950,8143
recF,26184,27440,26600,16729,19956,24771
gyrB,34916,42429,37289,25642,32695,35791
gyrA,46402,55766,50837,38237,45670,56229
SAUSA300_0007,4934,5294,4913,3650,4335,5947
hutH,1361,1267,1382,811,1015,1442
serS,45677,61819,63585,36310,44997,58753
SAUSA300_0010,2906,2462,2424,2306,2851,3771
SAUSA300_0011,1870,1635,1517,1365,1668,2439
SAUSA300_0012,3259,2590,2326,1930,2354,2880
SAUSA300_0013,17895,16913,15683,11458,13618,17728
SAUSA300_0014,56293,57174,53062,41353,51536,64987
rplI,17336,18108,17696,11757,14039,18788
dnaB,38523,39610,37076,25265,31684,40393
purA,1393,1823,1630,1036,1287,1635
SAUSA300_0018,0,0,0,0,0,0
SAUSA300_0019,0,0,0,0,0,0
SAUSA300_0020,17727,17134,15989,11718,15045,20434
SAUSA300_0021,32295,33364,30738,24825,30414,39303
SAUSA300_0022,28183,29417,27702,21845,26173,34759
SAUSA300_0023,16710,17218,16778,12792,15665,20041
SAUSA300_0024,4284,4899,4308,2560,3337,4204
SAUSA300_0025,6912,6241,5894,6592,8360,10162
SAUSA300_0026,2585,2327,2188,1612,1836,2461
SAUSA300_0027,7317,7084,7017,5391,6063,8296
SAUSA300_0028,1199,1243,1172,821,1001,1353
SAUSA300_0029,497,367,407,284,396,468
SAUSA300_0030,9035,8245,7743,5144,6253,8717
SAUSA300_0031,2402,2356,2126,1471,1803,2368
mecA,773855,741139,721547,543912,629447,804691
SAUSA300_0033,95226,97302,94137,56244,63962,85220
SAUSA300_0035,28805,28808,26804,16248,18673,24607
SAUSA300_0034,379,380,389,297,369,451
SAUSA300_0036,231,159,192,135,147,236
ccrB,3627,3554,3596,2649,3050,3952
ccrA,4959,4773,4663,2563,3255,4650
SAUSA300_0039,2065,1979,1891,1247,1344,1737
SAUSA300_0040,178,154,144,125,100,165
SAUSA300_0041,2393,2335,2459,1665,1905,2413
SAUSA300_0042,12699,12217,11772,8767,10412,12906
SAUSA300_0043,96,138,136,124,106,146
SAUSA300_0044,1327,1326,1215,1071,1203,1638
SAUSA300_0045,168,122,124,106,92,149
SAUSA300_0046,14437,15298,15037,10257,11691,15988
SAUSA300_0047,1532,1349,1412,1299,1394,1712
SAUSA300_0048,106,98,81,101,85,105
SAUSA300_0049,330,340,308,310,325,382
SAUSA300_0050,1020,949,938,704,780,1061
SAUSA300_0051,185,173,154,134,160,252
SAUSA300_0052,8,17,8,11,8,14
speG,3756,3513,3472,3744,4142,4968
SAUSA300_0054,0,2,0,0,0,0
SAUSA300_0055,1603,1475,1426,1062,1150,1672
SAUSA300_0056,440,307,374,179,324,484
SAUSA300_0057,150,92,100,65,90,87
SAUSA300_0058,0,0,0,0,0,0
SAUSA300_0059,70,81,77,57,71,80
SAUSA300_0060,424,429,337,257,330,445
arcC_1,2769,2842,2712,1687,2071,2531
arcB_1,2192,2458,2355,1457,1746,2046
SAUSA300_0063,297,317,284,230,217,277
arcD_1,1236,1351,1297,815,1056,1255
arcA_1,9388,9442,8984,6538,7688,10568
