,1_20160629000_S1_L002_R1_001 (paired) (GE) - Total counts,2_20160629000_S2_L002_R1_001 (paired) (GE) - Total counts,3_20160629000_S3_L002_R1_001 (paired) (GE) - Total counts,4_20160629000_S4_L002_R1_001 (paired) (GE) - Total counts,5_20160629000_S5_L002_R1_001 (paired) (GE) - Total counts,6_20160629000_S6_L002_R1_001 (paired) (GE) - Total counts
dnaA,40307,39859,34573,38724,40348,38497
dnaN,40058,37743,35164,42710,46517,43776
SAUSA300_0003,8258,6627,6984,7002,6987,6709
recF,24889,23848,20841,20544,20766,19903
gyrB,36549,36548,27943,30373,29660,30074
gyrA,55839,49515,50190,56914,59518,58845
SAUSA300_0007,4092,3985,3750,4805,4182,4871
hutH,2092,1816,1732,1369,1333,1429
serS,53135,52438,47648,41868,43063,45248
SAUSA300_0010,4059,3316,3012,6222,5597,5694
SAUSA300_0011,2542,2362,1807,3525,3122,3003
SAUSA300_0012,4371,3873,3061,4571,3737,3712
SAUSA300_0013,16382,14693,13432,14393,14034,14137
SAUSA300_0014,63524,59926,52626,51800,53625,53380
rplI,20653,19776,17765,15875,16451,16081
dnaB,40862,41040,35178,36133,36151,36742
purA,1566,1522,1313,1351,1533,1427
SAUSA300_0018,0,0,0,0,0,0
SAUSA300_0019,0,0,4,0,2,0
SAUSA300_0020,19701,18694,14584,16656,16110,16034
SAUSA300_0021,39567,36679,30439,33347,33063,32844
SAUSA300_0022,32968,31369,26670,29503,29113,28574
SAUSA300_0023,18601,18431,15752,16722,16588,16775
SAUSA300_0024,4201,3817,3621,3506,3569,3707
SAUSA300_0025,14683,14061,11331,17182,15903,15426
SAUSA300_0026,2935,2821,2187,2385,2397,2335
SAUSA300_0027,7522,7304,5803,6101,6576,5922
SAUSA300_0028,1316,1261,1015,1281,1466,1398
SAUSA300_0029,482,471,367,379,388,372
SAUSA300_0030,6624,6078,5436,4174,4517,4278
SAUSA300_0031,1921,1714,1453,1349,1428,1336
mecA,728456,719957,584515,692281,678029,626854
SAUSA300_0033,73592,62509,66002,63538,66502,63894
SAUSA300_0035,27022,25573,23659,23123,22907,23318
SAUSA300_0034,374,354,338,503,462,401
SAUSA300_0036,251,192,220,289,229,247
ccrB,3530,3500,3090,3884,3815,3562
ccrA,4251,3623,3707,3872,3931,3877
SAUSA300_0039,1948,1731,1686,1621,1612,1557
SAUSA300_0040,146,129,137,123,131,127
SAUSA300_0041,1634,1884,1158,1251,1365,1282
SAUSA300_0042,13997,13619,10571,10204,10297,10187
SAUSA300_0043,99,98,85,123,150,134
SAUSA300_0044,1356,1232,1051,1374,1410,1254
SAUSA300_0045,120,122,73,119,162,124
SAUSA300_0046,9281,9286,8409,7822,8469,8183
SAUSA300_0047,1435,1422,1066,1129,1162,1076
SAUSA300_0048,75,82,53,56,43,50
SAUSA300_0049,371,374,250,231,285,261
SAUSA300_0050,877,655,679,857,848,756
SAUSA300_0051,168,171,110,195,196,156
SAUSA300_0052,8,5,4,3,7,7
speG,3753,3273,3057,3530,3526,3585
SAUSA300_0054,0,0,0,0,0,0
SAUSA300_0055,1989,1824,1242,1769,1436,1652
SAUSA300_0056,414,372,288,403,309,375
SAUSA300_0057,97,102,52,124,108,97
SAUSA300_0058,0,0,0,0,0,0
SAUSA300_0059,80,81,61,75,75,79
SAUSA300_0060,439,362,299,448,381,404
arcC_1,2888,2876,2420,1824,1949,1852
arcB_1,2366,2497,1923,1546,1488,1339
SAUSA300_0063,234,218,186,136,155,179
arcD_1,1243,1246,953,834,816,794
arcA_1,8904,8585,7431,8825,8657,8372
argR_1,262,252,169,196,209,187
SAUSA300_0067,29671,26344,23110,8282,9385,9184
SAUSA300_0068,704,555,458,653,527,644
SAUSA300_0069,1241,1049,1013,1038,934,991
SAUSA300_0070,28051,29646,20705,11737,11141,11410
SAUSA300_0071,3411,3221,2679,3308,3130,2888
SAUSA300_0072,1424,1470,1188,1585,1598,1500
SAUSA300_0073,3492,3258,2857,3722,3659,3315
opp-3B,2073,1825,1763,2133,2285,2086
opp-3C,1967,1821,1609,2018,2092,1850
SAUSA300_0076,1246,1177,1042,1465,1379,1295
SAUSA300_0077,1026,838,902,885,993,845
copA,20340,18470,16190,14112,14115,13965
SAUSA300_0079,6144,6262,4697,4146,3747,3986
SAUSA300_0080,0,0,0,0,0,0
SAUSA300_0081,5470,5885,4373,3647,3816,3819
SAUSA300_0082,2769,2520,2081,2468,2439,2298
SAUSA300_0083,1504,1537,1268,1624,1546,1344
SAUSA300_0084,403,395,342,472,425,420
SAUSA300_0085,576,587,548,468,500,479
SAUSA300_0086,1219,1112,929,896,1037,875
SAUSA300_0087,12361,10929,10124,6105,6042,6009
SAUSA300_0088,2,0,2,0,0,0
SAUSA300_0089,7308,7972,6366,6025,6151,6149
SAUSA300_0090,704,619,475,446,492,506
SAUSA300_0091,1196,1084,944,964,978,975
SAUSA300_0092,191,201,168,148,183,124
SAUSA300_0093,1534,1400,1137,1270,1302,1229
SAUSA300_0094,317,325,252,255,264,268
SAUSA300_0095,564,594,425,647,658,619
SAUSA300_0096,682,769,458,692,578,670
SAUSA300_0097,8745,8646,7049,8514,8021,8319
SAUSA300_0098,2280,2217,1835,2221,2169,2138
plc,15501,14046,11336,13714,10685,13610
SAUSA300_0100,316,311,226,251,231,239
SAUSA300_0101,698,673,503,627,582,539
SAUSA300_0102,676,679,505,640,639,599
SAUSA300_0103,941,954,650,789,769,750
SAUSA300_0104,19337,18790,14949,14808,14628,14550
SAUSA300_0105,4425,4320,3287,3324,3217,3131
SAUSA300_0106,5094,5098,3528,3840,3560,3504
SAUSA300_0107,38918,35356,31151,22557,23071,25495
SAUSA300_0108,5911,6420,5447,3857,3841,4002
SAUSA300_0109,137,145,97,122,151,147
SAUSA300_0110,660,595,538,1575,1609,1354
SAUSA300_0111,5675,5403,4145,3136,2982,2959
lctP,28183,26316,23006,23390,24711,23015
SAUSA300_0113,705521,751926,586872,1721339,2007900,1559406
SAUSA300_0114,18695,18795,16504,27449,34444,30206
sirC,13531,12213,12295,9892,10244,9832
sirB,645,563,639,1825,1965,1748
sirA,901,807,620,4453,5056,4014
SAUSA300_0118,156,118,127,120,136,122
SAUSA300_0119,294,251,298,239,253,214
sbnC,674,626,623,485,478,386
SAUSA300_0121,389,417,340,375,360,313
SAUSA300_0122,716,585,603,523,574,560
SAUSA300_0123,1062,997,876,863,961,912
SAUSA300_0124,562,620,437,447,507,497
SAUSA300_0125,1132,1009,877,820,833,817
SAUSA300_0126,951,978,837,857,777,742
SAUSA300_0127,410,363,334,228,222,258
SAUSA300_0128,700,839,525,605,619,537
SAUSA300_0129,14925,12980,9566,7955,6278,7263
SAUSA300_0130,209,205,184,5209,3963,4650
SAUSA300_0131,118,105,88,2951,2628,2643
SAUSA300_0132,291,278,284,4507,4448,4317
SAUSA300_0133,479,404,433,3788,3512,3537
SAUSA300_0134,1881,1834,1486,5297,5307,5328
SAUSA300_0135,12749,12208,10575,5459,5588,5094
SAUSA300_0136,46761,44532,39619,30084,26903,31035
SAUSA300_0137,3229,3203,2795,3315,3085,3161
deoD_1,335,277,239,230,201,172
SAUSA300_0139,1282,1403,1045,980,963,895
deoC_1,14439,13732,11713,8509,8527,8812
deoB,35227,34924,28950,19503,20308,21007
phnE_1,637,604,580,1465,1332,1436
phnE_2,539,470,425,1221,1060,1249
phnC,592,453,453,1449,1259,1341
SAUSA300_0145,796,785,655,1976,1909,2122
SAUSA300_0146,1252,1129,863,1775,1540,1776
SAUSA300_0147,3566,3268,2689,3889,3755,4089
SAUSA300_0148,8,6,6,4,4,10
SAUSA300_0149,187,158,136,156,152,125
SAUSA300_0150,2377,2217,1850,2009,1958,1923
adhE,69662,69010,62996,12414,10566,14195
cap5A,411,396,315,91,76,76
cap5B,493,564,420,211,160,170
cap5C,641,548,441,167,144,160
cap5D,1131,1057,772,217,207,189
cap5E,547,535,389,164,170,138
cap5F,754,677,478,263,295,233
cap5G,751,678,534,238,234,215
cap5H,385,355,251,126,172,138
cap5I,811,756,667,418,432,364
cap5J,714,742,542,462,493,446
cap5K,655,672,478,397,414,360
cap5L,1377,1434,1120,795,855,849
cap5M,1041,1165,703,635,665,628
cap5N,1416,1307,1152,902,961,818
cap5O,2517,2416,1988,1658,1695,1486
cap5P,3405,3230,2771,2922,2989,3020
SAUSA300_0168,456,384,357,593,662,739
SAUSA300_0169,212,210,169,395,477,448
SAUSA300_0170,1120,893,971,653,767,748
SAUSA300_0171,3877,3597,3047,3179,3099,3025
SAUSA300_0172,1138,894,833,1316,1372,1354
SAUSA300_0173,29585,17043,17434,22158,18591,17910
SAUSA300_0174,23368,15327,12333,13254,10353,10251
SAUSA300_0175,33951,22345,17912,16098,13143,13386
SAUSA300_0176,32997,20654,17692,13181,10141,11079
SAUSA300_0177,70378,46135,38081,24605,19383,21617
SAUSA300_0178,26355,18126,15077,12008,10725,10742
SAUSA300_0179,1076,795,714,623,557,567
SAUSA300_0180,7946,7032,6051,8871,6227,7604
SAUSA300_0181,68816,62726,55345,52941,47838,48656
SAUSA300_0182,8204,7900,6993,6723,6169,6369
SAUSA300_0183,25115,22479,22497,24873,25773,27072
argB,1209,1169,983,2350,2218,2136
argJ,1886,1506,1432,4108,3626,3548
argC,838,891,566,2241,1904,1762
rocD_1,1038,899,732,2478,2101,2141
brnQ_1,25664,22278,21180,42938,42833,39679
entB,1463,1256,1481,1118,1186,1226
ipdC,3487,3735,2969,3163,3277,3024
ptsG_1,22637,24566,21759,33541,34252,36566
SAUSA300_0192,1263,1312,1106,965,873,928
murQ,716,758,644,386,316,349
SAUSA300_0194,2230,2092,1662,1283,1197,1208
SAUSA300_0195,1090,1118,959,802,704,726
hsdR,25246,23512,20434,28425,29684,28937
SAUSA300_0197,6697,6267,4883,6167,6076,6226
SAUSA300_0198,5210,4609,4349,4472,4382,4493
SAUSA300_0199,5603,5559,4277,4661,4675,4830
SAUSA300_0200,3837,3024,2889,2793,2759,2510
SAUSA300_0201,1092,802,774,1078,800,902
SAUSA300_0202,1169,820,783,863,626,699
SAUSA300_0203,2950,2199,1900,1829,1457,1499
ggt,4559,3628,3394,2950,2588,2532
SAUSA300_0205,1489,1513,1188,1318,1438,1269
SAUSA300_0206,4418,3820,3349,3189,2602,2774
SAUSA300_0207,792,752,587,528,486,482
SAUSA300_0208,734,547,534,519,500,508
SAUSA300_0209,745,965,940,575,592,661
SAUSA300_0210,1390,1504,1383,1019,958,929
SAUSA300_0211,990,1084,876,621,653,611
SAUSA300_0212,1899,1952,1547,1248,1211,1160
