X,dpurR.T3.R1,dpurR.T3.R2,dpurR.T5.R1,dpurR.T5.R2,WT.T3.R1,WT.T3.R2,WT.T5.R1,WT.T5.R2
SAUSA300_0001,28819,31058,12222,21555,40603,27195,12056,12425
SAUSA300_0002,22929,24996,10490,21047,28883,18179,15815,17053
SAUSA300_0003,3550,3756,1913,3039,4911,2952,5518,4792
SAUSA300_0004,13922,14683,7583,11093,16019,10042,13375,13900
SAUSA300_0005,23470,24992,12395,19070,26875,18196,14302,16557
SAUSA300_0006,46802,50525,19552,33326,44168,27192,21143,28420
SAUSA300_0007,6760,6982,5765,8787,7439,4659,5344,6147
SAUSA300_0008,2746,3009,3701,6550,769,479,654,736
SAUSA300_0009,19214,20133,12060,17168,22138,14199,26842,27082
SAUSA300_0010,744,849,412,643,1407,925,1556,1495
SAUSA300_0011,512,548,286,480,858,651,962,992
SAUSA300_0012,3238,3374,1598,4147,2788,1812,4486,4311
SAUSA300_0013,9286,10130,3155,5097,10470,6808,5748,6098
SAUSA300_0014,32585,34506,14070,21147,33862,22129,23521,25069
SAUSA300_0015,10704,11332,4589,6493,7867,4928,6097,7085
SAUSA300_0016,34765,36840,12594,15271,31390,20675,14886,18658
SAUSA300_0017,14326,15350,1751,4096,795,472,301,389
SAUSA300_0020,8145,8409,5357,7754,7444,5224,7335,8385
SAUSA300_0021,24435,26133,13032,19629,25873,16802,14833,18655
SAUSA300_0022,20670,21604,9717,14064,17065,10873,9565,12375
SAUSA300_0023,11493,12096,5041,7279,8647,5888,4244,5075
SAUSA300_0024,1361,1387,876,879,1450,900,656,990
SAUSA300_0025,6244,6427,681,2019,7204,4974,4626,4404
SAUSA300_0026,1662,1781,1269,1729,3182,2176,647,800
SAUSA300_0027,3449,3862,2084,3733,3365,2297,2609,2482
SAUSA300_0028,73,80,55,86,97,51,140,131
SAUSA300_0029,502,527,260,510,557,411,743,738
SAUSA300_0030,3157,3297,862,1192,3840,2541,3394,3385
SAUSA300_0031,601,615,198,266,648,376,765,863
SAUSA300_0032,427197,446904,96776,169671,375780,255811,173115,152000
SAUSA300_0033,53242,61252,12570,25045,53150,31959,37521,39260
SAUSA300_0034,50,68,32,46,56,47,76,88
SAUSA300_0035,13337,13845,2799,5589,13302,8743,7481,8224
SAUSA300_0036,6,5,6,9,6,2,12,10
SAUSA300_0037,1282,1359,261,315,872,695,525,552
SAUSA300_0038,167,215,58,105,328,209,257,318
SAUSA300_0039,798,765,289,434,1003,635,1019,940
SAUSA300_0040,44,42,19,18,51,31,63,45
SAUSA300_0041,735,891,230,566,671,494,591,404
SAUSA300_0042,5749,6199,2402,4301,5421,3364,3891,3748
SAUSA300_0043,14,14,7,3,17,8,16,16
SAUSA300_0044,84,93,43,43,130,101,105,107
SAUSA300_0045,72,86,37,44,139,88,141,149
