Gene Name,DMSO,Berberine+Thymol
    asnC,52368,46430
    deoA,19879,21441
    engB,1684,773
    fecD,2366,3179
     ffs,6089,12298
    gatA,49360,28152
    glnQ,187,330
    hisZ,135,280
KQ76_RS00005,32582,33107
KQ76_RS00010,31704,40097
KQ76_RS00015,1698,1768
KQ76_RS00020,30410,39543
KQ76_RS00025,18272,27722
KQ76_RS00030,52957,72027
KQ76_RS00035,6455,2118
KQ76_RS00040,37926,10857
KQ76_RS00045,13013,2042
KQ76_RS00050,2628,810
KQ76_RS00055,1524,499
KQ76_RS00060,886,3628
KQ76_RS00065,15869,17326
KQ76_RS00070,41681,44319
KQ76_RS00075,3751,3626
KQ76_RS00080,34464,36426
KQ76_RS00085,80068,33664
KQ76_RS00090,63,193
KQ76_RS00095,39,89
KQ76_RS00100,8045,6493
KQ76_RS00105,51634,36592
KQ76_RS00110,44915,41299
KQ76_RS00115,14816,14480
KQ76_RS00120,4275,3801
KQ76_RS00125,8165,2155
KQ76_RS00130,419,488
KQ76_RS00135,783,431
KQ76_RS00145,1627,1825
KQ76_RS00150,399,360
KQ76_RS00155,189,182
KQ76_RS00160,166,84
KQ76_RS00165,693,655
KQ76_RS00170,365,169
KQ76_RS00175,198,254
KQ76_RS00180,9718,9135
KQ76_RS00185,356,348
KQ76_RS00190,2569,2180
KQ76_RS00195,208,228
KQ76_RS00200,1081,830
KQ76_RS00205,3010,1984
KQ76_RS00210,1232,1063
KQ76_RS00215,7142,10600
KQ76_RS00220,65,16
KQ76_RS00225,218,158
KQ76_RS00230,876,496
KQ76_RS00235,4706,3624
KQ76_RS00240,348,335
KQ76_RS00245,182,191
KQ76_RS00250,316,86
KQ76_RS00255,11872,3658
KQ76_RS00260,1568,5060
KQ76_RS00265,2149,8100
KQ76_RS00270,45676,8397
KQ76_RS00275,5657,35115
KQ76_RS00280,2121,3479
KQ76_RS00285,45731,38452
KQ76_RS00290,628417,28898
KQ76_RS00295,11203,9249
KQ76_RS00300,13933,72148
KQ76_RS00305,2424,4133
KQ76_RS00310,1330,673
KQ76_RS00315,70,91
KQ76_RS00320,140,145
KQ76_RS00325,351,414
KQ76_RS00330,397,687
KQ76_RS00335,624,958
KQ76_RS00340,1219,1570
KQ76_RS00345,290,486
KQ76_RS00350,641,902
KQ76_RS00355,184,442
KQ76_RS00360,4,15
KQ76_RS00365,362,356
KQ76_RS00370,3279,11886
KQ76_RS00375,2,1
KQ76_RS00380,275,168
KQ76_RS00385,143,147
KQ76_RS00390,911,730
KQ76_RS00395,358,358
KQ76_RS00400,1835,2107
KQ76_RS00405,135,277
KQ76_RS00410,771,1012
KQ76_RS00415,3379,2066
KQ76_RS00425,235,907
KQ76_RS00430,2089,12763
KQ76_RS00435,1929,6278
KQ76_RS00440,13520,34320
KQ76_RS00445,826,1257
KQ76_RS00450,874,1151
KQ76_RS00455,603,882
KQ76_RS00460,663,692
KQ76_RS00465,242,1053
KQ76_RS00470,1606,2920
KQ76_RS00475,209,224
KQ76_RS00480,2465,6956
KQ76_RS00485,1423,4037
KQ76_RS00490,3680,14593
KQ76_RS00495,6551,28009
KQ76_RS00500,10458,44416
KQ76_RS00505,8869,48879
KQ76_RS00510,2881,17918
KQ76_RS00515,6481,44767
KQ76_RS00520,4515,25369
KQ76_RS00525,5487,16954
KQ76_RS00530,6686,29978
KQ76_RS00535,3358,22960
KQ76_RS00540,4584,22865
KQ76_RS00545,9069,64316
KQ76_RS00550,1352,8168
KQ76_RS00555,7317,51346
KQ76_RS00560,8900,67506
KQ76_RS00565,4291,32417
KQ76_RS00570,234,735
KQ76_RS00575,158,762
KQ76_RS00580,89600,41044
KQ76_RS00585,7859,40480
KQ76_RS00590,673,8279
KQ76_RS00595,283,326
KQ76_RS00600,343,673
KQ76_RS00605,606,1462
KQ76_RS00610,285,764
KQ76_RS00615,500,1908
KQ76_RS00620,518,3297
KQ76_RS00625,377,1882
KQ76_RS00630,3430,1412
KQ76_RS00635,25276,17512
KQ76_RS00640,1405,1922
KQ76_RS00645,5971,3277
KQ76_RS00650,623,844
KQ76_RS00655,816,1329
KQ76_RS00660,384,757
KQ76_RS00665,509,1008
KQ76_RS00670,20772,5448
KQ76_RS00675,29227,29324
KQ76_RS00680,60677,23605
KQ76_RS00685,24298,32456
KQ76_RS00690,19776,4914
KQ76_RS00695,7251,2588
KQ76_RS00700,18240,10519
KQ76_RS00705,14963,8000
KQ76_RS00710,312,79
KQ76_RS00715,11716,3549
KQ76_RS00720,3215,2613
KQ76_RS00725,1544,927
KQ76_RS00730,303,168
KQ76_RS00735,317,114
KQ76_RS00740,320,145
KQ76_RS00745,945,760
KQ76_RS00750,362,285
KQ76_RS00755,81,68
KQ76_RS00760,1745,452
KQ76_RS00765,3098,1300
KQ76_RS00770,7092,3852
KQ76_RS00775,3475,2184
KQ76_RS00780,2350,2440
KQ76_RS00785,2642,3278
KQ76_RS00790,3976,6008
KQ76_RS00795,2665,186
KQ76_RS00800,2992,2547
KQ76_RS00805,1653,650
KQ76_RS00810,4085,1362
KQ76_RS00815,3251,718
KQ76_RS00820,69801,8763
KQ76_RS00825,25496,3390
KQ76_RS00835,3117,959
KQ76_RS00840,1208,735
KQ76_RS00845,8959,3078
KQ76_RS00850,389,134
KQ76_RS00860,132668,69234
KQ76_RS00865,208943,113174
KQ76_RS00870,75287,35917
KQ76_RS00875,214547,92998
KQ76_RS00880,142189,55847
KQ76_RS00885,599,396
KQ76_RS00890,4206,1188
KQ76_RS00895,4161,7632
KQ76_RS00900,831,1227
KQ76_RS00905,3122,2238
KQ76_RS00910,29682,18380
KQ76_RS00915,15,12
KQ76_RS00920,109826,1420
KQ76_RS00925,366,467
KQ76_RS00930,4797,8821
KQ76_RS00935,1885,1348
KQ76_RS00940,2,0
KQ76_RS00945,1188,567
KQ76_RS00950,54,34
KQ76_RS00955,37,21
KQ76_RS00960,757,671
KQ76_RS00965,505,444
KQ76_RS00970,25,19
KQ76_RS00975,1161,986
KQ76_RS00980,3285,1859
KQ76_RS00985,7037,4397
KQ76_RS00990,10306,5793
KQ76_RS01000,8411,6077
KQ76_RS01005,10838,6212
KQ76_RS01010,26722,19300
KQ76_RS01015,46635,32353
KQ76_RS01020,33405,25924
KQ76_RS01025,5253,8739
KQ76_RS01030,5874,3719
KQ76_RS01035,1592,841
KQ76_RS01040,1719,32180
KQ76_RS01045,3401,57411
KQ76_RS01050,621,4793
KQ76_RS01055,6412,7319
