gene_id,X12hUSA5001_count,X12hUSA5002_count,X12hUSA5003_count,X12hUSA500phoU11_count,X12hUSA500phoU12_count,X12hUSA500phoU13_count,X12hUSA500phoU21_count,X12hUSA500phoU22_count,X12hUSA500phoU23_count
CH51_RS00005,2779,2992,2830,4351,4019,4634,3117,3351,2853
CH51_RS00010,1797,1800,1730,2055,1753,1902,1292,1617,1467
CH51_RS00015,63,58,51,72,72,68,51,49,52
CH51_RS00020,2831,2990,2760,3915,3519,3837,2803,3018,2722
CH51_RS00025,6714,6639,6405,8563,7741,8113,6900,7471,6459
CH51_RS00030,4644,4953,4379,5912,4780,4851,4365,5656,4982
CH51_RS00035,200,245,190,263,225,232,258,370,329
CH51_RS00040,1122,1166,981,1410,1267,1405,843,1007,920
CH51_RS00045,1197,1244,1100,925,809,823,3146,3808,3500
CH51_RS00050,45,56,56,88,70,53,25,53,32
CH51_RS00055,109,102,111,134,136,162,47,65,64
CH51_RS00060,407,439,416,1060,846,846,408,424,406
CH51_RS00065,600,586,587,1312,1192,1127,433,554,430
CH51_RS00070,4572,4434,4122,8653,7612,7981,3616,4513,3812
CH51_RS00075,344,340,337,570,511,535,223,260,221
CH51_RS00080,1712,1715,1402,3060,2575,2458,932,1290,1049
CH51_RS00085,605,630,558,564,469,509,664,1019,842
CH51_RS00090,0,0,0,1,0,0,0,0,0
CH51_RS00095,0,0,0,0,0,0,0,0,0
CH51_RS00100,1872,1904,1714,2322,2027,2202,1495,1976,1619
CH51_RS00105,2832,2980,2588,4658,3794,4046,1679,2194,1892
CH51_RS00110,1811,1884,1771,3728,3110,3377,1341,1578,1327
CH51_RS00115,756,838,748,1751,1491,1557,509,629,536
CH51_RS00120,375,415,394,694,607,633,343,454,348
CH51_RS00125,372,377,322,367,309,370,421,483,462
CH51_RS00130,1158,1129,1037,943,830,858,1700,1612,1572
CH51_RS00135,1186,1330,1260,1416,1327,1509,1668,1690,1424
CH51_RS00140,0,0,0,0,0,0,0,0,0
CH51_RS00145,7,2,1,3,3,3,2,2,6
CH51_RS00150,27,25,21,55,49,37,36,49,51
CH51_RS00160,298,258,267,600,493,504,222,243,210
CH51_RS00165,19,35,37,61,38,54,14,22,28
CH51_RS00170,27564,29509,27581,25254,24080,25986,19973,22943,19960
CH51_RS00175,8208,8748,8105,8518,7254,7936,5619,6855,6217
CH51_RS00180,342,403,323,352,253,352,215,240,311
CH51_RS00190,2,0,1,5,3,0,3,3,5
CH51_RS00195,3,0,0,1,4,2,4,0,3
CH51_RS00200,0,7,4,5,1,2,5,3,5
CH51_RS00205,83,61,86,159,132,93,62,72,65
CH51_RS00210,41,36,45,84,90,90,36,54,47
CH51_RS00215,83,57,61,97,68,94,48,57,50
CH51_RS00220,0,0,0,0,0,0,0,0,0
CH51_RS00225,0,0,0,0,0,0,0,0,0
CH51_RS00230,0,0,0,0,0,0,0,0,0
CH51_RS00245,0,0,0,0,0,0,0,0,0
CH51_RS00250,9,7,8,10,7,10,6,19,19
CH51_RS00255,104,74,45,34,8,14,3,126,100
CH51_RS00265,231,201,197,238,175,196,197,220,189
CH51_RS00270,0,0,0,0,0,0,0,0,0
CH51_RS00275,29,60,53,54,33,50,52,63,56
CH51_RS00280,3,1,0,7,1,3,3,2,10
CH51_RS00285,66,49,61,141,109,113,93,113,115
CH51_RS00290,119,148,133,313,297,264,159,150,171
CH51_RS00295,103,127,110,197,182,194,100,94,93
CH51_RS00300,0,0,0,0,0,0,0,0,0
CH51_RS00305,0,0,0,0,0,0,0,0,0
CH51_RS00310,0,0,0,0,0,0,0,0,0
CH51_RS00315,0,0,0,0,0,0,0,0,0
CH51_RS00320,0,0,0,0,0,0,0,0,0
CH51_RS00325,0,0,0,0,0,0,0,0,0
CH51_RS00330,202,219,181,313,266,257,103,151,168
CH51_RS00335,6,5,6,25,6,5,4,7,12
CH51_RS00340,1011,987,977,1285,1222,1288,1098,1289,1005
CH51_RS00345,8,3,9,6,3,1,1,10,4
CH51_RS00350,60,45,52,124,83,94,51,60,46
CH51_RS00355,60,30,38,65,84,42,35,45,47
CH51_RS00360,15,19,10,22,13,22,25,13,20
CH51_RS00365,159,146,118,315,271,295,147,158,148
CH51_RS00370,29,39,33,50,24,23,24,32,37
CH51_RS00375,51,63,56,85,75,84,60,87,55
CH51_RS00380,40,57,40,67,74,69,38,43,31
CH51_RS00385,861,874,826,1012,886,968,559,540,457
CH51_RS00390,174,155,132,164,145,120,99,111,113
CH51_RS00395,178,202,171,77,80,66,38,36,32
CH51_RS00400,60,55,41,24,22,26,53,49,50
CH51_RS00405,150,92,82,60,91,51,85,65,69
CH51_RS00410,101,84,84,72,107,64,86,78,65
CH51_RS00415,609,594,552,949,907,989,589,638,502
CH51_RS00420,315,372,319,347,311,340,362,510,417
CH51_RS00425,764,717,593,831,736,733,570,684,624
CH51_RS00430,2288,2288,2027,2256,2062,1970,3576,5329,4366
CH51_RS00435,245,262,199,275,216,215,396,449,417
CH51_RS00440,13,6,12,26,23,16,17,8,23
CH51_RS00445,53,52,59,148,109,110,82,64,74
CH51_RS00450,494,560,481,820,774,823,332,386,346
CH51_RS00455,2518,2690,2225,4750,4233,4445,1328,1683,1339
CH51_RS00460,135,149,105,132,160,156,103,138,128
CH51_RS00465,530,580,531,546,474,556,610,696,667
CH51_RS00470,898,969,995,1997,1696,1825,495,651,688
CH51_RS00475,27,32,29,91,42,55,13,20,18
CH51_RS00480,77,82,72,128,127,92,33,35,33
CH51_RS00485,13,11,10,42,22,29,7,15,9
CH51_RS00490,13,13,12,30,35,32,3,21,5
CH51_RS00495,39,31,17,86,92,78,22,33,12
CH51_RS00500,11,13,12,73,45,39,13,18,10
CH51_RS00505,20,35,15,93,84,113,24,26,16
CH51_RS00510,46,37,45,243,148,148,44,33,39
CH51_RS00515,27,22,30,118,95,110,29,22,24
CH51_RS00520,61,93,61,233,225,196,58,35,46
CH51_RS00525,97,81,96,323,319,306,95,80,56
CH51_RS00530,0,1,4,2,3,0,0,3,3
CH51_RS00535,34,47,56,25,33,35,34,52,43
