,111171_A,111171_B,111171_C,111171_D,111171_E,111171_F,111171_G,111171_H,111171_I,111171_J,111171_K,111171_L
RSAU_000001,2386,3175,2940,2549,2678,2299,3088,3738,3279,2135,2057,1253
RSAU_000002,3640,3830,3805,3129,3363,3063,3501,4528,3790,2402,2401,1775
RSAU_000003,15,23,20,18,18,36,17,28,31,17,15,16
RSAU_000004,2040,2660,2236,1951,2244,1837,1863,2536,2211,1394,1510,1074
RSAU_000005,2003,2647,2393,2379,2474,2230,2145,2908,2152,1410,1339,898
RSAU_000006,7947,9228,8708,7997,8341,7680,6821,9486,8378,4869,4592,3357
RSAU_000007,323,306,299,287,224,273,309,371,288,242,259,276
RSAU_000008,1401,1186,1259,1145,1004,1149,1186,1491,1302,995,1068,769
RSAU_000009,1271,1077,1259,1047,985,1038,1012,1293,1058,608,598,535
RSAU_000010,89,66,74,63,50,69,79,88,78,108,132,122
RSAU_000011,63,50,55,37,41,39,50,69,57,65,76,58
RSAU_000012,119,97,111,78,91,114,117,106,117,117,167,84
RSAU_000013,830,947,834,559,683,670,660,973,810,656,645,443
RSAU_000014,5072,5490,5744,4848,4747,4783,4736,6270,5357,3411,3654,2388
RSAU_000015,1162,1244,1426,1262,1175,1180,1098,1459,1299,742,850,538
RSAU_000016,2584,2722,2941,2420,2424,2497,2633,3345,2860,1762,1919,1310
RSAU_000017,489,379,549,445,385,614,386,615,543,137,200,152
RSAU_000018,2,0,0,0,0,0,4,3,0,0,0,2
RSAU_000019,0,1,2,1,0,0,0,0,1,0,1,1
RSAU_000020,2011,2405,2154,1805,1783,1659,1995,2599,2093,1196,1403,1018
RSAU_000021,5093,6478,5712,5105,5366,4730,5142,6432,5611,3160,3356,2236
RSAU_000022,4025,5115,5239,5154,4062,3711,4545,5617,4876,2452,2554,1620
RSAU_000023,2014,2362,2415,2150,2001,1878,2066,2496,2161,1159,1199,824
RSAU_000024,1053,937,894,782,867,910,749,941,807,644,749,486
RSAU_000025,774,709,810,808,676,715,793,960,851,546,535,354
RSAU_000026,4,2,6,4,4,6,3,11,2,2,2,2
RSAU_000027,68,94,86,94,78,70,89,112,92,55,51,49
RSAU_000028,61,80,57,60,53,40,60,70,33,44,25,31
RSAU_000029,35,27,21,46,27,23,13,23,26,17,10,13
RSAU_000030,167,203,168,242,165,186,166,202,169,116,88,91
RSAU_000031,161,181,147,252,116,132,116,162,147,100,89,57
RSAU_000036,717,747,748,609,598,601,580,822,670,437,541,350
RSAU_000037,56,44,40,28,41,29,42,39,33,20,16,22
RSAU_000038,240,229,245,157,193,212,167,280,224,153,181,115
RSAU_000039,121,102,127,83,103,112,105,134,124,92,114,69
RSAU_000040,206,208,160,146,200,166,161,247,146,111,95,66
RSAU_000041,120,157,162,152,141,135,105,162,154,73,58,42
RSAU_000042,819,849,741,555,673,619,636,797,693,461,587,372
