,ctrl4,ctrl5,ctrl6,IP1,IP2,IP3
SAOUHSC_00001,14094,19538,3983,20639,17017,13167
SAOUHSC_00002,12111,15005,2112,15939,12157,11127
SAOUHSC_00012,1156,2751,299,208,175,171
SAOUHSC_00107,1832,2369,530,2228,1813,1587
SAOUHSC_01039,5621,6283,260,3481,2167,2103
SAOUHSC_01040,33028,21592,7494,36644,33929,25383
SAOUHSC_01041,26372,15058,12824,28799,24628,19305
SAOUHSC_01042,55673,34717,18732,59089,53073,39566
SAOUHSC_01043,80812,36926,13066,81667,65065,52240
SAOUHSC_01044,1002,1316,239,807,641,538
SAOUHSC_01045,1383,2243,98,1396,1489,1334
SAOUHSC_01046,1945,3299,148,2624,2908,2459
SAOUHSC_01047,653,1050,88,1174,1160,1185
SAOUHSC_01048,1291,1845,108,2516,2412,2441
SAOUHSC_00108,5,18,0,24,14,14
SAOUHSC_01049,4973,5903,4233,6681,6222,5655
SAOUHSC_01050,32213,47986,6471,38284,28783,30241
SAOUHSC_01051,3643,5040,609,1256,870,674
SAOUHSC_01053,2980,3979,445,2087,1452,1376
SAOUHSC_01054,2082,2338,256,1353,864,563
SAOUHSC_01055,8976,9228,3412,19639,14895,12639
SAOUHSC_01057,2855,3309,421,2174,1725,1610
SAOUHSC_01058,14531,11769,2402,21364,14983,17635
SAOUHSC_01060,1109,1236,134,872,744,610
SAOUHSC_01061,2594,2763,244,2058,1497,1474
SAOUHSC_00109,48,57,3,132,55,86
SAOUHSC_01062,6692,4898,350,2891,2334,1940
SAOUHSC_01063,6260,7543,871,4906,3523,3394
SAOUHSC_01064,53763,51816,13001,18644,14671,12149
SAOUHSC_01065,7609,8569,2028,5548,4241,3739
SAOUHSC_01066,9685,10740,1814,3829,4479,2618
SAOUHSC_01067,6528,8462,433,2910,2808,2084
SAOUHSC_01068,236,458,35,80,60,102
SAOUHSC_01069,5111,6241,669,3556,2889,2311
SAOUHSC_01070,2312,2571,402,1904,1507,1238
SAOUHSC_01071,2378,3844,670,1518,1131,862
SAOUHSC_00110,48,82,5,87,47,59
SAOUHSC_01072,1009,1018,35,489,395,264
SAOUHSC_01073,987,1168,76,582,366,386
SAOUHSC_01074,1053,1657,369,1262,771,969
SAOUHSC_01075,1835,2266,346,2619,1559,2017
SAOUHSC_01076,1351,1729,125,1186,928,786
SAOUHSC_01077,20336,18199,1617,38836,32614,34609
SAOUHSC_A01041,808,2340,229,1440,1249,2070
SAOUHSC_01078,1963,1274,234,2675,2005,2273
SAOUHSC_01079,518,470,75,1873,1340,1427
SAOUHSC_01081,1614,2922,406,1022,630,587
SAOUHSC_00111,58,37,59,22,19,19
SAOUHSC_01082,368,417,38,276,209,186
SAOUHSC_01084,357,509,17,481,284,322
SAOUHSC_01085,205,252,18,420,273,251
SAOUHSC_01086,108,145,17,207,128,144
SAOUHSC_01087,44,50,6,89,63,71
SAOUHSC_01088,77,103,13,150,85,108
SAOUHSC_01089,56,103,3,149,70,113
SAOUHSC_01090,7,12,0,14,5,5
SAOUHSC_01091,4562,4802,683,2408,1824,1702
SAOUHSC_01092,1429,1630,418,1063,915,680
