gene_ID,C1_81,C1_82,C1_83,D1_81,D1_82,D1_83,E1_81,E1_82,E1_83
SKAG_01675,4362,4572,4806,2340,2249,3019,2633,3378,2245
SKAG_01674,3539,4118,4509,1557,2022,2420,2138,2884,1624
SKAG_01677,418,266,280,192,266,480,227,491,344
SKAG_01676,6869,7470,7743,3486,3892,4673,4121,4949,3113
SKAG_01671,13151,14448,14160,4565,5030,6117,5368,6058,4181
SKAG_01670,57302,63507,66582,15548,18100,21911,18818,25499,16068
SKAG_01673,8792,8984,9306,4274,5422,6749,4918,7594,5843
SKAG_01672,1079,1086,958,285,459,655,514,659,351
SKAG_01679,73,43,39,25,49,65,27,91,34
SKAG_01678,640,362,461,291,447,620,292,749,535
SKAG_00218,79,55,72,46,51,48,55,54,29
SKAG_00219,957,1006,808,705,756,972,806,714,491
SKAG_00214,789,1231,742,169,505,228,869,526,211
SKAG_00215,0,2,2,2,2,4,0,0,3
SKAG_00216,6,5,0,8,2,8,0,3,2
SKAG_00217,0,0,0,0,0,0,0,0,0
SKAG_00210,0,0,0,0,0,0,0,0,0
SKAG_00211,18,17,17,6,8,10,14,16,6
SKAG_00212,0,1,1,0,0,0,0,0,0
SKAG_00213,5936,3683,3994,978,1125,1487,1990,3646,1808
SKAG_01297,2862,3147,3588,476,538,723,780,981,620
SKAG_01296,24849,27056,27238,11290,12999,15418,11987,13892,10215
SKAG_01295,37050,39528,40102,14239,16865,20368,15968,18649,13520
SKAG_00613,70,68,71,19897,25740,64,23734,25595,20980
SKAG_01293,21158,22716,24695,6761,8885,10083,7934,11427,7336
SKAG_01292,21411,22248,23042,9773,12173,13963,10609,14294,10052
SKAG_01291,32943,33023,33664,13537,16420,19960,15458,20955,14568
SKAG_01290,11702,12471,11229,5158,6261,7026,6654,7369,4607
SKAG_01299,44509,43543,25589,10164,16257,10521,27138,20237,13254
SKAG_01298,37084,30902,31535,7668,9433,11681,11241,15962,10500
SKAG_01079,291,279,249,226,214,344,214,232,160
SKAG_01078,1564,1646,1355,1129,1147,1413,1190,1043,872
SKAG_01077,21117,21236,19204,5404,6194,7446,6839,9779,6429
SKAG_01076,6155,5598,5593,5431,5820,7250,4897,4683,4526
SKAG_01075,18400,15069,15318,4772,5961,7777,6554,10705,7427
SKAG_01074,25510,28459,29250,14748,16005,21039,16761,16625,11476
SKAG_01073,14050,14124,13506,12399,14124,17501,11756,10623,9650
SKAG_01072,6332,5834,5446,5984,6356,7934,5301,4870,4444
SKAG_01071,11288,10674,9899,10499,11247,13407,8664,8580,7858
SKAG_01070,17,6,10,11,6,11,10,10,11
SKAG_01279,1097,1087,1044,459,632,797,605,752,584
SKAG_01278,107,51,87,41,40,56,44,53,43
SKAG_01271,8841,9607,10210,4921,5608,6748,5583,5862,4737
SKAG_01270,33153,31057,27121,42635,42976,53892,43503,34355,30862
SKAG_01273,2571,2028,2287,269,322,345,258,398,203
SKAG_01272,1782,2135,2079,778,959,1044,1014,1302,893
SKAG_01275,12992,10977,10551,4103,4647,5877,5653,8074,4790
SKAG_01274,5364,4384,4409,577,659,887,628,906,489
SKAG_01277,3927,3440,3531,1852,2058,2564,2167,2607,1953
SKAG_01276,702,548,620,374,388,499,367,552,360
SKAG_01189,3870,4033,4068,1122,1658,1912,1630,2432,1548
SKAG_01188,1668,1773,1787,407,638,849,731,1008,552
SKAG_02744,2062,2025,2063,900,1192,1381,1020,1360,1007
SKAG_01183,3577,3370,3592,2093,3169,4294,2408,3354,2382
SKAG_01182,7232,3491,4849,3268,9617,12519,5019,19262,15351
SKAG_01181,712,767,684,162,337,403,248,404,198
SKAG_01180,706,611,538,139,274,371,223,350,180
SKAG_01187,2506,2603,2950,751,1099,1374,1058,1460,1020
SKAG_01186,1317,1459,1544,436,650,828,656,824,535
SKAG_01185,14187,16168,16757,2447,3805,5087,3048,5658,3285
SKAG_01184,145,154,175,96,211,297,166,230,187
SKAG_01372,216,130,163,62,112,205,112,192,111
SKAG_01450,7137,5957,5911,3854,4709,6029,5550,6240,4015
SKAG_01373,28,11,22,6,20,26,14,33,20
SKAG_01520,80,76,62,18,70,46,68,63,36
SKAG_01453,19452,21466,22556,8628,10150,11081,10513,10222,7484
SKAG_02779,0,0,0,0,0,0,0,0,0
SKAG_02778,38,35,28,12,55,32,47,32,27
SKAG_02774,198,200,151,67,157,140,157,162,87
SKAG_02777,134,158,131,45,69,79,66,104,52
SKAG_02776,75,97,133,88,79,90,39,89,143
SKAG_02771,0,0,0,0,0,0,0,0,0
SKAG_02770,0,0,0,0,0,0,1,1,0
SKAG_02773,0,0,0,0,0,0,0,0,0
SKAG_02772,0,0,0,0,0,0,0,0,0
EBG00001170973,7715,7725,7262,3954,4130,5688,3832,4545,7005
EBG00001170972,879126,885671,914252,283326,325118,390162,295524,406189,300277
SKAG_01454,37970,39271,38132,15690,17649,20927,19665,25428,16975
SKAG_02177,19858,18866,18492,6082,6985,8458,8983,14996,9450
SKAG_02176,9308,9279,9534,3595,4267,5089,4617,6630,4719
SKAG_02175,5606,5741,5443,1646,2109,2570,2384,3855,2520
SKAG_02174,54621,54447,57403,35106,39517,47848,36610,35128,29238
SKAG_02173,87002,87862,88930,63824,71784,87346,60635,61101,52900
SKAG_02172,30777,29952,28464,22478,23372,28018,21026,21332,17409
SKAG_02171,52534,51297,49657,34094,37539,45191,33075,34834,28803
