GeneName,X50494,X50495,X50496,X50497,X50498,X50499,X50501,X50502,X50503,X50504,X50505,X50628
dnaA,14074,13688,11930,13192,14327,6111,18805,4927,14807,12564,11232,10235
dnaN,9014,9699,8771,8902,10092,6557,12435,3032,8197,7596,7037,6203
yaaA,922,588,730,530,1022,782,930,415,587,674,666,544
recF,6744,6032,4398,3795,4424,2717,8871,2525,5447,4908,3968,3507
EW031_RS00025,11078,9033,4866,5186,4125,2311,13618,2482,6525,5346,4646,2939
gyrA,12958,10170,7817,7155,6405,7454,15700,4662,9465,8183,8289,8658
EW031_RS00035,2221,1584,2238,1704,1942,3020,1573,1737,1263,1126,924,512
hutH,707,440,611,1148,377,157,688,345,385,467,302,200
EW031_RS00045,4692,5745,7318,8001,8616,7269,2929,4194,1795,2959,2457,1364
EW031_RS00050,1422,1510,3077,1838,3713,4289,1663,1779,2761,1920,2441,3707
EW031_RS00055,534,457,835,772,1122,1971,241,95,111,110,84,41
EW031_RS00060,251,285,592,340,985,1146,121,38,82,99,61,37
EW031_RS00065,1071,1106,1533,1221,1877,1062,490,176,241,376,164,113
EW031_RS00070,5902,4907,5134,3637,5607,4159,3149,1011,1886,1795,1545,1031
EW031_RS00075,19838,19044,16544,11527,17380,10062,10965,2786,5818,5639,5161,3288
EW031_RS00080,5161,5041,4211,3529,4124,3073,3035,793,1800,1839,1840,1265
dnaB,13110,13252,12156,7627,10356,8761,6637,2005,3450,3461,3062,2596
EW031_RS00090,44,42,44,103,8,16,33,6,17,6,7,2
EW031_RS00095,3491,1679,954,3519,287,4898,1170,340,491,604,703,507
EW031_RS00110,3453,2845,2703,2705,3390,2448,4626,1106,2647,2597,2038,1348
walK,6258,5362,5077,4593,6032,3984,8632,1993,5248,5060,4529,3912
EW031_RS00120,6353,5681,5209,4821,5414,3955,7280,1532,4507,4274,3785,3553
EW031_RS00125,4367,4141,3972,3608,3262,3099,4019,743,2582,2330,2114,1862
EW031_RS00130,1883,1194,1556,1595,1112,1228,1117,739,691,665,364,159
EW031_RS00135,895,900,1256,2441,415,566,1235,587,1293,1144,1800,2311
rlmH,747,807,681,1056,524,410,1266,283,810,612,442,576
EW031_RS00145,1622,1913,1728,2466,1339,1438,2363,462,1594,1273,1144,1172
EW031_RS00150,268,270,409,409,310,417,214,107,153,133,135,139
EW031_RS00155,221,253,350,330,265,271,164,54,96,132,93,62
EW031_RS00160,22,37,49,134,17,13,30,0,21,17,5,1
EW031_RS00165,695,437,645,835,474,903,604,368,651,869,661,374
EW031_RS00170,325,240,351,472,233,472,395,166,539,718,413,189
mecA,9055,9192,8238,7411,8172,7817,9022,2060,55458,58432,76596,77747
EW031_RS00180,2337,1911,2414,1480,2318,2425,2114,874,4668,5298,5710,6316
EW031_RS00185,939,810,950,597,841,853,857,252,1730,1929,1989,2107
EW031_RS00190,96,189,325,815,78,67,133,13,107,82,33,21
EW031_RS00195,63,107,186,421,26,30,65,9,71,60,23,12
EW031_RS00200,40,86,144,453,17,17,62,7,65,40,16,6
EW031_RS00205,0,9,9,12,5,4,6,3,1,0,1,2
EW031_RS00210,46,66,119,357,13,32,57,15,37,30,12,12
EW031_RS00215,785,808,1257,1626,1092,870,636,206,533,462,415,232
EW031_RS00220,845,915,1406,1860,983,882,762,601,581,532,440,388
EW031_RS00225,546,625,901,1311,606,373,620,175,315,298,152,107
EW031_RS00230,48,63,100,150,50,26,73,5,28,32,9,4
EW031_RS00235,330,472,802,1623,152,182,460,52,371,264,247,163
EW031_RS00240,1583,1459,1904,2326,1497,1713,1356,306,1237,1140,891,589
cstB,312,449,680,852,463,380,235,81,152,149,106,57
EW031_RS00250,49,100,135,213,83,44,46,8,24,16,9,5
EW031_RS00255,3488,1889,2759,2451,2531,3147,4707,2085,3942,3749,3531,1680
EW031_RS00260,20,27,35,102,23,19,29,5,12,25,21,7
EW031_RS00265,14,14,23,45,12,7,20,1,8,8,14,2
EW031_RS00270,1981,1970,2398,2758,1933,1263,2611,435,1686,1614,1265,638
EW031_RS00275,406,479,640,558,621,371,695,173,416,392,219,158
EW031_RS00280,6,7,18,20,11,5,6,1,5,9,2,5
EW031_RS00285,293,419,524,631,395,257,561,84,225,226,86,47
EW031_RS00290,50,104,127,198,68,95,129,21,51,41,11,10
EW031_RS00295,169,246,307,708,108,48,302,48,114,89,47,24
