GeneName,X50470,X50471,X50472,X50473,X50474,X50475,X50476,X50477,X50478,X50480,X50481
dnaA,7615,11428,11316,7256,10778,5476,7595,13311,2469,8571,6991
dnaN,7478,10704,11424,7077,9471,6672,7471,11452,1922,7035,5049
yaaA,739,1148,889,526,1107,812,731,934,224,774,559
recF,7469,9637,6309,4952,5632,3785,7488,10894,1890,6298,4044
EW029_RS00025,13282,15055,7746,6865,6068,4805,13449,18120,2296,6442,5654
gyrA,15625,16931,13015,8634,8208,10846,11768,20906,4028,8962,9468
EW029_RS00035,2079,1449,1189,1612,1596,3179,1294,1793,480,855,815
hutH,887,772,430,1732,988,310,1048,1095,179,665,483
EW029_RS00045,6847,5096,5294,15642,8463,6593,3795,3397,1543,5673,2106
EW029_RS00050,1937,1878,2109,2288,3010,3963,1768,933,407,1590,2760
EW029_RS00055,560,559,435,690,830,555,418,325,47,124,72
EW029_RS00060,313,464,350,410,672,403,168,161,31,112,45
EW029_RS00065,1076,844,715,1113,816,412,621,425,109,218,115
EW029_RS00070,4930,5024,4543,3608,3985,3769,1925,3205,442,1559,883
EW029_RS00075,17653,15939,12912,10307,10837,8849,6017,10352,1073,4285,3372
EW029_RS00080,4443,4187,3576,3047,2734,3070,1825,2754,338,1413,1337
dnaB,11109,11066,8754,6829,5435,6824,4248,6528,1003,2432,2471
EW029_RS00090,49,16,13,160,7,8,70,30,2,15,1
EW029_RS00095,3068,558,1541,3121,402,10182,1498,940,235,689,782
EW029_RS00110,3252,3861,3812,2793,3118,2331,4313,4674,750,2467,2006
walK,7495,8917,8094,5237,6359,4442,9603,10263,1733,5030,5175
EW029_RS00120,6104,6748,5778,3783,4218,3393,5189,7591,1264,3463,3770
EW029_RS00125,5639,5108,4543,4289,2789,2853,3517,5092,556,2279,1963
EW029_RS00130,1543,937,1012,1550,734,990,956,1045,186,433,124
EW029_RS00135,2611,1411,1507,3606,1381,2572,3874,1821,493,1557,3970
rlmH,777,952,749,1284,698,391,1305,1403,262,813,585
EW029_RS00145,1857,2095,1909,2726,1520,1512,2315,2659,281,1755,1172
EW029_RS00150,206,168,148,353,149,75,227,265,26,106,64
EW029_RS00155,284,253,263,433,308,334,219,225,46,114,100
EW029_RS00160,274,183,193,333,197,207,183,168,32,111,55
EW029_RS00165,51,30,21,123,24,8,62,34,1,15,3
EW029_RS00170,1027,581,841,1161,604,1481,939,917,238,965,499
EW029_RS00175,599,314,450,700,269,679,456,569,196,1051,330
mecA,20726,25083,24478,15663,31367,19617,65518,37218,6678,100522,159285
EW029_RS00185,3001,3074,3153,2070,3349,3067,5629,5037,1242,8429,8015
EW029_RS00190,1300,1213,1206,941,1213,1158,3011,2010,403,2805,2957
EW029_RS00195,319,117,112,769,104,54,287,157,14,76,19
EW029_RS00200,132,47,52,382,39,31,130,72,13,30,20
EW029_RS00205,159,42,43,512,30,29,180,62,4,46,9
EW029_RS00210,12,7,9,20,2,4,9,7,1,0,1
EW029_RS00215,143,37,45,329,26,32,170,59,4,25,11
EW029_RS00220,1511,985,890,1717,885,907,773,720,114,508,312
EW029_RS00225,1098,932,916,1704,768,781,1017,817,314,498,419
EW029_RS00230,933,690,553,1029,555,374,595,645,102,315,182
EW029_RS00235,143,54,62,258,33,26,122,78,2,19,8
EW029_RS00240,1061,495,554,1510,422,576,1010,632,83,482,379
EW029_RS00245,386,141,142,673,118,200,356,218,26,141,121
EW029_RS00250,127,50,57,236,40,75,102,69,8,62,43
EW029_RS00255,2597,2308,2000,5002,2143,1965,2186,1727,428,1673,1413
EW029_RS00260,726,743,562,1125,533,458,493,373,38,228,137
EW029_RS00265,182,168,139,409,118,110,130,87,6,45,36
EW029_RS00270,1411,1299,1090,1708,998,843,773,574,68,337,422
EW029_RS00275,1305,1330,1003,1515,912,760,719,487,85,388,266
EW029_RS00280,5690,5620,4724,5651,3495,3348,3093,2381,274,1314,1363
EW029_RS00285,866,763,780,1014,589,721,423,345,38,219,130
EW029_RS00290,177,73,122,211,82,123,69,58,6,44,24
EW029_RS00295,104,156,127,88,110,155,66,71,15,44,50
EW029_RS00300,629,509,494,654,379,397,318,252,34,154,123
EW029_RS00305,1472,1115,816,1467,597,468,689,599,63,250,141
EW029_RS00310,1939,2136,1697,2018,1806,1233,1019,1835,275,875,566
EW029_RS00315,4366,4078,3629,3744,2701,4259,2665,4934,1183,1985,1492
EW029_RS00320,122,121,97,152,99,45,71,130,21,38,15
EW029_RS00325,468,495,292,455,332,152,385,517,37,139,47
EW029_RS00330,1065,831,391,980,501,255,778,1288,99,321,128
EW029_RS00335,158,129,92,185,77,32,116,281,18,52,31
EW029_RS00340,573,490,337,561,361,372,397,558,35,247,92
EW029_RS00345,200,153,144,290,168,82,180,223,17,157,57
EW029_RS00350,359,260,246,389,309,312,254,320,50,224,170
EW029_RS00355,848,752,740,789,823,675,531,698,146,482,355
EW029_RS00360,527,334,271,622,253,229,343,265,30,96,75
EW029_RS00365,1219,733,648,2208,747,626,1791,1070,154,604,655
EW029_RS00370,338,339,258,438,363,303,424,303,36,169,122
EW029_RS00375,14,14,9,10,25,13,7,10,4,1,3
EW029_RS00380,75,130,89,95,128,71,46,88,8,31,7
EW029_RS00385,376,141,127,754,135,176,393,164,16,60,88
EW029_RS00390,172,53,76,503,37,91,277,105,12,69,119
EW029_RS00395,391,112,155,768,119,175,480,192,30,142,189
EW029_RS00400,2082,1541,1275,2290,1526,1587,1900,1160,224,854,1045
EW029_RS00405,439,164,127,919,110,96,758,304,109,159,177
EW029_RS00410,728,270,200,1426,164,166,1061,462,112,189,134
EW029_RS00415,3123,2695,7115,3670,4537,7325,5289,4158,2178,4730,5944
EW029_RS00420,1158,1075,1039,1634,1085,727,6505,7900,3501,13220,11693
EW029_RS00425,264,171,183,428,146,160,268,229,60,167,128
EW029_RS00430,1096,1043,902,1396,1012,1458,1241,1235,523,1038,909
spa,1030,1001,1280,1808,854,1542,4699,2784,1571,2827,10921
EW029_RS00440,24,4,6,62,5,3,23,9,1,4,1
EW029_RS00445,1498,1021,2268,2452,1444,4687,1206,1068,331,1594,1478
EW029_RS00450,1167,2280,2852,658,1195,955,1735,1619,1158,1616,1408
EW029_RS00455,845,1342,1903,420,649,551,894,852,306,395,628
EW029_RS00460,1207,1318,4006,905,1184,2129,1611,1013,398,871,3426
EW029_RS00465,315,391,378,432,416,341,366,170,86,126,166
EW029_RS00470,468,520,368,451,355,167,489,225,65,128,199
sbnC,1056,1446,1028,937,865,333,1384,728,226,386,378
EW029_RS00480,1007,1447,907,1139,594,239,1255,645,137,293,186
EW029_RS00485,1323,2302,1270,772,783,299,1416,877,134,331,303
EW029_RS00490,2201,3715,1637,1191,1069,355,2000,1221,157,419,442
EW029_RS00495,986,1681,596,580,329,140,961,438,59,124,127
EW029_RS00500,1901,3328,1078,936,544,279,1643,809,155,237,265
sbnI,1500,2647,891,639,422,229,1186,578,144,165,227
EW029_RS00510,46,13,6,130,8,5,32,25,1,2,1
EW029_RS00515,211,90,88,459,35,56,161,95,6,35,31
EW029_RS00520,257,126,135,601,67,119,236,125,12,63,55
EW029_RS00525,1219,1694,1091,1133,1810,824,5968,3295,3095,4232,4381
EW029_RS00530,20,3,9,68,7,2,22,9,1,8,3
EW029_RS00535,450,102,146,1181,65,46,513,240,18,83,32
EW029_RS00540,254,49,64,590,21,17,260,103,4,48,9
EW029_RS00545,216,82,83,474,56,63,203,141,17,32,20
EW029_RS00550,391,160,131,985,101,98,373,177,9,65,17
EW029_RS00555,833,519,557,1118,416,565,485,412,71,185,183
EW029_RS00560,2296,370,583,1447,275,1750,841,700,164,546,640
EW029_RS00565,545,489,527,737,456,862,755,835,248,640,731
EW029_RS00570,18,4,6,59,1,0,24,7,0,4,0
deoD,117,30,35,319,19,27,272,76,11,47,107
tet(38),432,151,138,679,124,178,744,229,54,169,360
deoC,1170,934,728,612,471,724,1244,893,322,674,784
deoB,4273,3466,2952,2844,2062,2891,5694,4426,1783,3391,3211
phnE,305,183,129,605,89,101,282,155,23,59,38
phnE,227,133,97,431,111,55,227,143,19,45,34
phnC,182,117,102,342,95,71,191,140,14,50,52
phnD,268,160,179,571,149,134,326,272,33,163,127
EW029_RS00615,481,134,113,1156,62,52,535,184,17,75,41
EW029_RS00620,895,662,478,1189,447,465,978,766,222,354,303
tnpA,49,27,35,98,13,20,45,28,8,21,4
EW029_RS00630,40,5,14,110,4,3,45,24,1,5,0
adhE,1137,754,602,1624,798,633,19520,2311,3820,15219,44020
tnpA,159,46,62,342,36,89,167,80,14,34,15
EW029_RS00645,137,82,84,305,77,57,158,133,28,82,53
EW029_RS00650,246,184,132,433,161,115,265,233,36,120,68
EW029_RS00655,145,89,60,280,58,54,142,131,32,129,79
EW029_RS00660,659,176,155,1503,97,71,711,404,68,231,83
EW029_RS00665,363,86,88,831,63,45,367,210,40,83,30
EW029_RS00670,294,81,76,734,57,41,303,206,20,120,57
EW029_RS00675,267,96,78,575,48,36,278,238,14,92,62
EW029_RS00680,268,103,63,562,50,34,268,205,7,92,34
EW029_RS00685,287,153,126,518,89,64,273,270,19,144,55
EW029_RS00690,338,229,183,516,227,123,322,363,33,141,54
EW029_RS00695,437,366,302,691,405,109,377,484,26,203,78
EW029_RS00700,636,724,567,898,772,467,506,691,95,368,220
EW029_RS00705,276,135,132,429,84,74,264,234,20,59,31
EW029_RS00710,347,194,143,469,157,92,282,361,29,67,70
EW029_RS00715,528,407,247,842,264,234,566,739,45,171,111
EW029_RS00720,767,783,612,824,604,449,925,1700,316,469,198
EW029_RS00725,305,708,836,203,614,277,1189,1569,411,946,920
EW029_RS00730,369,735,877,331,666,248,1289,1704,519,1004,865
EW029_RS00735,3384,5315,2136,2191,767,270,10656,22223,5238,8693,5516
EW029_RS00740,482,360,277,950,237,225,597,455,113,293,180
EW029_RS00745,81,55,52,104,51,42,133,143,37,82,41
EW029_RS00750,173,120,94,290,103,78,180,140,23,61,27
EW029_RS00755,283,84,90,568,59,37,256,129,13,44,4
