,mRNA.6008.2h.TEM,mRNA.6008.2h.Cefto,mRNA.6008.2h.Linezo,mRNA.6008.2h.Tige,mRNA.6008.2h.Vanco,mRNA.6008.6h.TEM,mRNA.6008.6h.Cefto,mRNA.6008.6h.Linezo,mRNA.6008.6h.Tige,mRNA.6008.6h.Vanco,mRNA.6009.2h.TEM,mRNA.6009.2h.Cefto,mRNA.6009.2h.Linezo,mRNA.6009.2h.Tige,mRNA.6009.2h.Vanco,mRNA.6009.6h.TEM,mRNA.6009.6h.Cefto,mRNA.6009.6h.Linezo,mRNA.6009.6h.Tige,mRNA.6009.6h.Vanco,sRNA.6008.2h.TEM,sRNA.6008.2h.Cefto,sRNA.6008.2h.Linezo,sRNA.6008.2h.Tige,sRNA.6008.2h.Vanco,sRNA.6008.6h.TEM,sRNA.6008.6h.Cefto,sRNA.6008.6h.Linezo,sRNA.6008.6h.Tige,sRNA.6008.6h.Vanco,sRNA.6009.2h.TEM,sRNA.6009.2h.Cefto,sRNA.6009.2h.Linezo,sRNA.6009.2h.Tige,sRNA.6009.2h.Vanco,sRNA.6009.6h.TEM,sRNA.6009.6h.Cefto,sRNA.6009.6h.Linezo,sRNA.6009.6h.Tige,sRNA.6009.6h.Vanco
SAA6008_00001,43,84,140,58,47,113,330,496,211,133,117,256,465,463,126,81,301,534,167,108,18,7,8,0,14,93,10,64,35,51,142,13,38,24,90,114,15,36,41,129
SAA6008_00002,107,201,282,131,107,115,313,314,264,120,196,314,419,490,160,121,321,318,147,119,22,17,6,11,3,246,41,47,33,47,42,13,32,48,10,57,11,26,27,7
SAA6008_00003,380,308,386,209,232,132,121,113,113,54,194,209,212,294,113,87,105,131,94,52,4,38,19,75,1,2,12,12,4,16,5,12,6,9,30,1,9,4,4,10
SAA6008_00004,160,339,530,140,116,90,266,389,138,61,114,238,391,307,83,76,203,442,114,57,6,10,5,1,10,9,6,70,18,2,22,19,34,19,27,18,83,44,11,17
SAA6008_00005,225,388,544,315,256,389,812,895,735,402,614,927,891,1655,592,283,687,968,664,391,1,21,17,1,20,4,21,54,38,6,0,17,1,36,72,3,130,3,48,44
SAA6008_00006,298,450,603,355,284,827,1257,1656,1196,750,1442,1875,1795,2319,1243,714,1331,1871,1132,700,4,8,12,0,8,1,19,45,36,1,1,16,1,19,37,6,110,11,24,20
SAA6008_00007,23,32,28,20,23,54,89,217,91,56,11,19,123,240,30,25,55,212,83,25,0,23,13,0,0,0,5,4,1,1,0,1,5,6,2,1,4,8,2,1
SAA6008_00008,1,11,9,9,12,230,349,59,355,248,7,9,16,36,7,82,298,56,233,145,3,3,15,3,26,19,42,4,41,22,0,0,5,4,155,6,8,6,2,8
SAA6008_00009,33,39,41,26,24,343,522,236,407,367,668,870,295,341,576,367,590,341,406,371,4,26,14,3,4,2,13,13,1,5,2,23,11,12,9,1,5,20,1,0
SAA6008_00010,3,3,7,4,5,2,15,4,15,7,6,7,1,22,11,1,5,4,5,4,31,3,37,0,1,210,1,269,249,7,37,2,32,289,6,168,16,498,541,22
SAA6008_00011,6,1,6,6,3,4,5,4,6,2,4,4,1,9,7,3,4,3,2,0,27,1211,283,89,472,1219,11489,4559,2470,27058,386,1430,878,500,39544,941,5495,5128,2021,21149
SAA6008_00012,11,20,28,10,17,2,10,7,4,9,1,5,9,26,13,0,4,14,6,4,2,18,2,1,4,3,13,12,18,6,6,33,25,78,55,6,8,17,25,6
SAA6008_00013,55,79,117,46,44,43,75,147,65,41,46,74,120,165,43,29,46,158,60,25,4,3,18,0,3,2,3,55,4,1,1,4,37,7,1,2,2,49,0,2
SAA6008_00014,224,357,472,229,207,347,637,1291,551,298,390,566,975,1085,361,226,502,1346,439,204,5,26,49,0,13,4,30,229,61,0,0,52,106,61,101,5,154,161,61,38
SAA6008_00015,102,129,179,184,93,110,192,357,326,131,159,203,273,532,211,81,168,346,201,91,15,80,62,4,27,2,84,123,98,11,2,115,10,160,110,3,584,32,128,61
SAA6008_00016,142,179,245,160,123,194,400,906,429,217,321,460,843,1129,378,154,309,865,318,146,36,59,54,2,91,19,82,249,185,6,1,81,20,213,309,26,508,49,171,153
SAA6008_00017,48,94,118,85,54,174,363,4229,1557,168,43,72,311,1622,29,150,460,2632,1799,179,1,15,8,0,8,1,7,32,9,2,0,11,1,7,20,5,71,3,17,12
SAA6008_00018,77,97,147,88,90,250,433,583,403,272,161,225,402,997,210,134,284,481,359,153,10,20,18,0,15,6,21,50,28,0,0,28,2,34,30,9,141,4,43,15
SAA6008_00019,73,125,142,78,70,310,692,955,494,316,215,290,615,1005,232,183,587,917,405,186,31,42,31,0,17,9,58,190,181,1,1,93,10,188,141,22,382,20,170,69
SAA6008_00020,60,73,102,62,61,334,543,774,437,234,253,292,515,957,239,211,534,863,382,198,0,47,5,0,1,1,14,4,12,0,0,6,0,3,2,0,38,0,3,2
SAA6008_00021,37,49,58,36,37,146,332,395,230,145,156,230,308,516,118,135,280,445,222,125,7,29,13,0,20,5,46,146,70,4,0,67,16,109,113,11,308,26,98,48
SAA6008_00022,22,40,35,24,17,21,45,81,32,28,23,53,67,67,41,10,35,83,27,23,6,19,16,0,9,2,39,32,33,1,0,32,1,27,35,3,282,5,28,16
SAA6008_00023,5,9,15,9,4,54,93,66,66,47,7,20,8,8,39,23,72,47,33,30,2,24,14,25,6,13,13,66,35,44,37,41,138,225,171,47,77,212,158,57
SAA6008_00025,11,28,32,28,23,19,46,68,81,22,27,35,82,226,24,19,45,71,64,17,7,24,20,1,31,4,32,66,67,1,2,41,5,55,79,11,218,8,48,46
SAA6008_00024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,18,1,18,6,22,47,48,4,1,40,12,45,64,20,222,44,32,54
SAA6008_00026,11,32,31,20,21,42,114,122,48,55,61,128,117,250,74,33,96,107,74,36,3,6,16,1,10,1,9,40,21,1,1,18,7,25,45,3,81,12,37,25
SAA6008_00027,1,4,15,9,8,8,41,45,40,14,12,14,34,54,15,9,47,42,22,14,0,5,7,1,2,28,77,152,58,72,21,43,73,398,53,9,23,87,44,19
SAA6008_00028,7,3,3,4,1,3,6,4,9,4,0,5,5,5,1,0,4,8,3,1,3,0,0,0,0,11,4,5,157,2,0,1,0,11,1,49,14,10,584,21
SAA6008_00029,5,13,10,14,4,14,41,40,36,20,13,17,24,60,19,13,44,51,27,16,35,24,44,11,64,10,36,82,590,2,0,28,13,396,361,33,217,10,561,120
SAA6008_00031,9,20,25,10,7,23,108,124,65,28,24,60,156,122,14,25,83,128,47,23,1,8,4,2,1,46,80,35,24,81,5,13,23,3,12,17,182,35,27,77
SAA6008_00031/2,80,100,146,106,87,113,264,361,237,117,61,152,251,434,52,61,179,369,152,70,4,12,8,0,24,2,20,36,38,0,1,24,3,26,40,3,116,7,39,15
SAA6008_00032,95,122,136,160,104,214,287,216,420,202,334,528,825,1392,254,256,402,417,664,229,29,21,23,1,24,336,33,145,75,3,421,74,10,91,76,284,292,34,66,59
SAA6008_00033,532,741,1049,487,602,705,1094,2327,893,868,774,988,2209,2069,750,524,987,2129,678,645,2,11,8,1,10,4,13,19,28,0,0,9,10,33,21,3,91,11,21,24
SAA6008_00034,1052,1445,1901,1392,1296,1149,2059,4617,2188,1320,1458,2256,3693,6508,1223,783,1471,4053,1785,796,5,20,28,0,34,5,21,58,55,25,1,33,4,36,100,2,209,4,53,190
SAA6008_00035,4,10,11,4,3,7,38,46,29,18,6,17,37,52,16,9,41,55,18,15,0,7,10,11,1,51,174,1560,140,109,118,860,705,447,76,32,228,1287,183,48
SAA6008_00036,6,14,8,10,2,4,3,8,4,0,5,2,9,12,0,1,4,7,2,0,0,2,1,3,1,2,3,3,2,5,4,1,5,19,2,1,2,4,3,0
SAA6008_00037,157,292,370,261,241,60,136,97,98,71,97,174,77,127,107,36,64,45,54,41,3,11,9,0,12,0,10,12,27,0,0,5,1,21,18,2,38,2,12,10
SAA6008_00038,9,20,26,4,2,7,21,5,5,9,16,63,16,7,14,5,10,3,1,1,0,0,0,2,0,0,1,6,4,0,3,2,4,3,3,0,1,2,6,3
