Synonym,USA300(EX)BHI,USA300(ST)BHI,T032(EX)BHI,T032(ST)BHI,USA300(EX)SNM,T032(EX)SNM,in vivo
SA2981_1118,93,128,0,1,159,1,0
ST398NM01_2907,18,22,26,42,39,321,2
SAS0144,0,0,0,0,0,0,0
SA2981_0103,18,64,8,73,64,66,0
SA2981_0111,561,3281,352,2548,734,1586,0
SA2981_0190,700,1123,514,194,711,3480,0
SA2981_2438,284,128,225,45,1090,88,0
SA2981_0253,197,528,215,580,654,1324,0
SA2981_2504,496,464,548,491,862,2111,0
SA2981_0500,2053,1575,760,1201,1244,1699,7
SA2981_1714,44,59,53,41,110,236,0
SA2981_1763,168,290,88,293,354,400,0
SAOV_1087,17,17,4,0,5,1,0
SAOV_1096,13,14,7,0,8,3,0
SA2981_2423,10,16,12,34,23,62,0
NWMN_1006,0,0,0,0,0,0,0
SAOV_1091,0,0,7,1,0,6,0
NWMN_1034,82,33,48,6,1,20,0
SAOV_1095,0,0,0,0,0,0,0
SaurJH1_1039,3,0,0,1,0,5,0
SA2981_0575,20,40,49,46,41,216,0
SA2981_2017,72,63,33,36,64,115,0
SA2981_2018,11,6,7,37,24,66,0
SA2981_2019,16,61,5,205,90,81,0
NWMN_1344,111,185,48,99,343,333,0
ST398NM01_1880,53,103,15,16,51,106,0
SAOUHSC_02076,9,0,4,2,0,10,0
SA2981_0419,4,23,9,36,22,56,0
SA2981_0027,130,124,2,4,351,9,1
SA2981_1443,2,4,17,30,23,101,0
ST398NM01_0069,0,0,0,0,0,0,0
SAOV_1090,0,0,5,1,0,6,0
NWMN_1769,0,0,0,0,0,0,0
SA2981_0420,9,14,0,5,23,14,0
SA2981_0046,7,7,3,2,14,2,2
SA2981_0576,2,1,26,29,0,176,0
SAA6008_00363,0,0,0,0,0,0,0
NWMN_1033,2,0,10,1,3,22,0
SA2981_2105,3,8,0,0,20,16,0
SA2981_0294,34,34,1,0,140,0,0
SA2981_0413,17,34,7,3,85,37,0
SA2981_0047,7,7,0,0,34,0,0
ST398NM01_0986,20,36,7,58,197,384,0
SaurJH1_0367,17,10,43,21,23,58,0
SARLGA251_16600,132,78,69,60,84,152,1
SAUSA300_2568,26,52,12,15,58,59,1
SAUSA300_2570,487,396,26,83,490,69,4
SA2981_1955,451,383,74,28,136,37,0
SA2981_1959,0,0,0,0,0,0,0
SA2981_2595,7,8,9,9,14,42,0
SA2981_0392,4,3,27,13,6,25,0
SA2981_0767,22,2,88,1,18,45,0
SAOV_1809,3,1,0,0,1,0,1
NWMN_1012,0,0,0,0,0,0,0
SA2981_1253,150,134,130,122,273,654,0
SA2981_0129,5,33,6,12,18,24,0
SA2981_2278,7,14,6,20,17,32,0
SA2981_2446,29,146,32,256,911,1079,0
SA2981_0325,8,12,11,13,40,129,0
SA2981_0429,107,294,110,181,393,538,0
SA2981_0598,55,30,71,101,21,338,0
SA2981_0736,1041,735,362,559,486,888,9
ST398NM01_2893,0,0,0,0,0,0,0
SACOL0046,52,54,0,0,94,0,3
SA2981_0001,754,791,383,532,1102,1150,0
SA2981_0002,161,204,182,225,370,701,0
SA2981_0011,3,13,14,33,81,64,0
SA2981_1007,317,433,399,589,3655,6253,0
SA2981_1008,2,7,2,4,23,22,0
SA2981_1009,47,42,111,137,257,557,0
SA2981_1010,144,300,160,342,802,959,0
SA2981_1011,171,192,228,164,249,1480,0
SA2981_1012,433,989,563,775,501,1072,0
SA2981_1013,1029,3225,1010,1713,1212,2087,2
SA2981_0104,528,225,322,247,1599,2376,0
SA2981_1014,1463,5653,1164,3544,2853,5763,7
SA2981_1015,445,1654,313,1181,868,1335,0
SA2981_1017,57,84,42,155,121,204,0
SA2981_1019,147,576,69,462,702,674,1
SA2981_1020,147,59,40,75,136,511,0
SA2981_1021,27,55,14,44,280,2374,0
SA2981_1024,17,47,6,14,105,1321,0
SA2981_1025,94,140,35,80,210,2987,3
SA2981_1026,87,156,42,71,210,2847,0
SA2981_1027,199,163,47,69,115,1614,1
SA2981_1029,92,111,19,84,184,1731,0
SA2981_1030,38,98,29,47,343,3167,0
SA2981_1031,31,31,23,20,45,93,0
SA2981_1032,50,50,52,63,166,225,0
SA2981_1033,28,43,21,46,100,105,0
SA2981_0106,24,161,24,173,115,239,0
SA2981_1036,651,1098,683,1144,3367,3653,2
SA2981_1037,63,139,48,108,189,308,1
SA2981_1038,74,2215,123,1541,1417,2021,1
SA2981_1039,293,900,222,665,899,1459,8
SA2981_1040,2508,4158,2299,3590,4115,8590,3
SA2981_1041,4,4,14,16,18,37,0
SA2981_1042,69,117,21,3,164,80,0
SA2981_1043,73,64,14,10,159,119,0
SA2981_1044,148,316,131,311,399,1004,0
SA2981_1046,851,1133,896,883,1492,4090,5
SA2981_1048,118,102,158,93,122,425,0
SA2981_1049,277,298,384,464,716,1129,0
SA2981_1050,596,1804,585,1055,821,1692,2
SA2981_1051,675,1464,901,1095,706,2640,4
SA2981_1052,742,1668,658,1050,766,2628,4
SA2981_1053,2924,5929,2695,3866,1748,6777,4
SA2981_1054,25,29,46,19,54,163,0
SA2981_1055,66,21,69,7,348,393,0
SA2981_1056,503,193,236,128,1122,2331,1
