GeneName,dCshA_t000_v1,dCshA_t150_v1,dCshA_t300_v1,dCshA_t600_v1,PR01_t000_v1,PR01_t150_v1,PR01_t300_v1,PR01_t600_v1,CTA_t000_v1,CTA_t150_v1,CTA_t300_v1,CTA_t600_v1,CTA_t000_v2,CTA_t150_v2,CTA_t300_v2,CTA_t600_v2,dCshA_t000_v2,dCshA_t150_v2,dCshA_t600_v2,dCshA_t300_v2,PR01_t000_v2,PR01_t150_v2,PR01_t300_v2,PR01_t600_v2
dnaA,20610,7407,4651,1807,10637,987,300,223,38208,16940,6946,2545,17088,7753,3998,1869,17982,8988,1968,4267,14483,1591,600,459
dnaN,15592,6452,3949,1064,10223,3518,1548,754,31637,18513,7544,1853,12336,7230,3683,1391,12464,8486,1330,3976,14267,3579,1741,763
SA0003,2805,651,325,146,2592,758,788,689,8701,1125,541,289,2117,500,319,206,2069,592,187,355,2786,487,283,265
recF,12740,1993,1082,411,10914,2906,2016,2099,33278,4318,2001,937,9839,2348,1232,808,8650,2265,592,1138,10630,1477,1121,1030
gyrB,21278,6854,3131,1377,24504,8520,6543,7045,48947,14174,5368,2899,23406,9001,3844,2131,17950,7904,1327,3059,19691,5403,3236,2633
gyrA,27176,19445,7610,2163,35431,20597,11345,8920,77405,41064,11959,4280,26636,21200,7808,2638,22377,20222,2198,7065,33319,20730,6657,3590
SA0007,2673,253,167,111,3419,144,210,380,9141,377,203,178,2482,250,142,103,2032,264,137,163,3679,157,101,121
hutH,13404,18277,15626,15110,12345,11597,9836,7534,33929,37489,32370,36374,5225,6626,7298,9309,3452,5666,5680,5648,952,222,127,118
serS,12923,10702,8126,3163,17370,13283,8504,3519,30806,23661,14996,8214,7671,7003,5169,2924,6873,8794,2597,5915,19264,15134,9361,3466
SA0010,2644,748,673,374,2348,151,61,35,7153,1078,638,350,2384,693,536,376,2136,794,526,672,2253,156,101,69
SAS001,2032,766,712,377,1844,158,60,39,4220,1113,699,450,1609,661,493,338,1525,777,408,550,1326,128,90,49
SA0011,909,381,247,215,828,47,22,28,2892,1232,663,364,1056,577,425,301,863,445,248,335,833,93,42,27
SA0012,7108,1267,1117,386,5053,190,50,124,15736,3832,1832,730,5405,1868,1232,667,4683,1967,947,1319,5000,207,84,99
SA0013,32116,21888,17898,14345,21120,4497,2033,1519,70508,44190,29563,29334,26584,20026,16429,14254,23797,22546,17660,19132,20444,4375,1958,1365
rplI,10422,7825,6763,4298,6962,2490,998,667,26266,17438,12645,9716,8546,8230,7223,6693,7288,9237,7641,7681,7232,2894,1352,882
dnaC,26443,25484,18024,15374,21342,11709,4496,2638,58349,46004,27981,25952,22203,21692,16570,14601,18960,22314,17033,18315,16411,8842,3699,2057
purA,16264,4507,2545,1446,31269,14115,10309,7368,50960,12393,6332,4140,26233,9902,6836,5502,15808,5066,2212,2993,20444,4327,2166,1447
SAtRNA01,288,21,49,40,409,59,111,232,631,23,19,30,195,38,27,27,124,24,45,33,255,17,18,14
SAtRNA02,585,46,42,49,898,71,123,223,1818,42,41,50,376,71,41,44,268,49,41,49,501,31,12,8
vicR,6966,2639,1812,1949,6222,778,350,213,15576,5940,3847,5408,6445,2420,1293,1260,4744,2236,1759,1533,5282,627,253,121
vicK,15134,9344,6755,7577,12375,2524,1006,544,36558,20093,12784,19255,13034,7232,5079,5163,10501,7563,7317,5848,12711,2556,885,467
SA0019,13727,10046,8166,6231,9906,3764,1198,434,37091,24530,14851,16054,10362,7797,5602,5266,9327,8681,7768,6708,10868,3733,1313,679
SA0020,7186,6507,4802,3575,5268,2966,1014,436,16738,14262,8476,9025,5560,5258,3444,2877,5107,5661,3963,3915,5481,2917,1088,422
SA0021,3249,543,255,99,4215,405,219,91,8119,912,372,193,2516,545,360,135,2039,442,121,220,2653,331,160,36
SA0022,7080,9790,7995,6997,5757,6248,5064,3071,15432,19324,15833,15994,8290,9111,8818,8280,6894,9500,7560,8572,8420,6498,5122,3108
orfX,2112,737,448,219,1705,559,413,263,2880,1148,609,445,1558,339,217,128,1393,340,97,179,1327,247,245,146
SA0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pre,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bleO,1,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aadD,1,0,2,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mecA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mecR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mecI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xylR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ermA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ant(9),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tnpC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tnpB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tnpA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
