,WT1_RPKM,WT2_RPKM,MT1_RPKM,MT2_RPKM
SAB0325,76459,37728,0,0
SAB0772,47642,31301,0,0
SAB2063c,22429,29263,0,0
SAB2065c,13603,15118,0,0
SAB2064c,9480,9692,0,0
SAB0447,7926,7247,0,0
SAB0337c,7435,7389,0,0
SAB0569c,5562,8833,0,0
SAB2490c,6296,6931,0,0
SAB1425c,6320,5366,0,0
SAB0446,4727,4933,0,0
SAB2491c,4473,4745,0,0
SAB1599c,4367,3631,0,0
SAB0462,4538,3251,0,0
SAB1612c,3212,4355,0,0
SAB2508c,2827,4720,0,0
SAB1192,4375,3150,0,0
SAB2205c,4335,2806,0,0
SAB1310c,3297,3398,0,0
SAB2248c,0,6528,0,0
SAB1969c,4351,1753,0,0
SAB2028c,3274,2710,0,0
SAB1193,2949,2853,0,0
SAB1813,3126,2161,0,0
SAB2506c,0,5253,0,0
SAB0732,3075,2096,0,0
SAB0807,2953,2109,0,0
SAB2006c,2855,1707,0,0
SAB2357c,2764,0,0,0
SAB0557,0,2761,0,0
SAB1920,0,2475,0,0
SAB2261,0,2376,0,0
SAB0521,0,2339,0,0
SAB1807c,0,2308,0,0
SAB0502,0,2159,0,0
SAB0720,0,2149,0,0
SAB2020c,0,2101,0,0
SAB0470,0,2090,0,0
SAB1268c,0,2053,0,0
SAB1678c,0,1880,0,0
SAB2296c,0,1869,0,0
SAB1987c,0,1844,0,0
SAB0755c,0,1838,0,0
SAB1997c,0,1787,0,0
SAB1770,0,1780,0,0
SAB1338c,0,1756,0,0
SAB2413c,0,1754,0,0
SAB0110c,0,1733,0,0
SAB2023c,0,1676,0,0
SAB2510c,11556,13866,3781,0
SAB2509c,7283,10989,3399,0
SAB2507c,7179,11438,3842,0
SAB0950,3750,4460,2759,0
SAB1922,6202,7522,5014,0
SAB1923,5156,8227,5208,0
SAB0566,3864,2276,2530,0
SAB0529c,22007,15397,9954,6878
SAB2034c,12108,9500,10541,0
SAB0330c,2841,2247,2676,0
SAB0704,6066,2825,4838,0
SAB1110,3268,1965,2898,0
SAB0331c,3160,3069,3577,0
SAB1096,5132,2863,5385,0
SAB1921,7461,10338,5568,7490
SAB0164,18791,31470,16841,21673
SAB1986c,0,3033,2432,0
SAB1569,16588,14894,9968,16299
SAB0165,14044,24713,10758,22723
SAB1009,4414,3131,6982,0
SAB1335c,22224,9952,12923,16931
SAB0924c,12922,12022,10392,13766
SAB2363c,15471,19966,13960,20864
SAB0001,0,0,0,0
SAB0002,0,0,0,0
SAB0003,0,0,0,0
SAB0004,0,0,0,0
SAB0005,0,0,0,0
SAB0006,0,0,0,0
SAB0007c,0,0,0,0
SAB0008,0,0,0,0
SAB0010,0,0,0,0
SAB0011,0,0,0,0
SAB0012,0,0,0,0
SAB0013,0,0,0,0
SAB0014,0,0,0,0
SAB0015,0,0,0,0
SAB0016,0,0,0,0
SAB0017,0,0,0,0
SAB_t01,0,0,0,0
SAB0018,0,0,0,0
SAB0019,0,0,0,0
SAB0020,0,0,0,0
SAB0021,0,0,0,0
SAB0022,0,0,0,0
SAB0023,0,0,0,0
SAB0024,0,0,0,0
SAB0025,0,0,0,0
SAB0026,0,0,0,0
SAB0027c,0,0,0,0
SAB0028c,0,0,0,0
SAB0029c,0,0,0,0
SAB0030,0,0,0,0
SAB0031,0,0,0,0
SAB0032,0,0,0,0
SAB0033c,0,0,0,0
