,DMSO_R1_minus_TEX,DMSO_R1_plus_TEX,DMSO_R2_minus_TEX,DMSO_R2_plus_TEX,compound1_R1_minus_TEX,compound1_R1_plus_TEX,compound1_R2_minus_TEX,compound1_R2_plus_TEX,compound59_R1_minus_TEX,compound59_R1_plus_TEX,compound59_R2_minus_TEX,compound59_R2_plus_TEX
NC_007795.1,147,151,109.1111111,172,11,14,9,16,20,23,4,33
NC_007795.1,232,282,197,208,27,33,16,37,17,61,21,66.5
NC_007795.1,323.4,434.7857143,299.7,513.3809524,103,68,37,64.5,82,96,45.5,103.5
NC_007795.1,753.6,434,678.5,580.4333333,52.6,108.25,29.5,132.5,64,143,51.6,200
NC_007795.1,1650,1115.5,1488,1312,89.5,186,55.5,248,91,231.75,76.5,347
NC_007795.1,1654,1521.75,1317,1508.916667,204.8333333,228.8333333,115.8333333,277.0833333,113.25,252.75,141.75,389.6666667
NC_007795.1,31,128.5,18,102.5,16,3,5.5,3,5,2,1,3.333333333
NC_007795.1,99.5,264,92,153,11,12,11,16,5,9,6,15
NC_007795.1,179.3333333,328,128,235,19.16666667,22.16666667,12,22,13,43.5,17,48
NC_007795.1,78.5,291.6666667,20,181.6666667,16.5,8,14.5,10.5,13,0.166666667,6,4.5
NC_007795.1,23.83333333,57.5,16.66666667,30.16666667,3.833333333,4,3.5,3.833333333,4.333333333,0.333333333,4.333333333,3.833333333
NC_007795.1,74.83333333,318,46.16666667,230.3333333,28,7,13,7,5,6.166666667,9,9
NC_007795.1,69.5,176.5,32.5,189,9,9,14,13,59,27,22,34
NC_007795.1,206.6666667,310.3333333,135.1666667,290.25,37,23,12.16666667,27,22,35,23,65.25
NC_007795.1,35.5,28.5,26,32.5,9.5,6,2.611111111,6,7.5,11,3,8.5
NC_007795.1,179,501.5,117.5,386.1666667,60.5,26,24.5,37,19.75,50,21,40.5
NC_007795.1,88,345,32,312,32.25,3,19,6,1,3,15,16
NC_007795.1,77622.79167,164241.4583,99759.91667,202618.0278,22606.83333,16223.5,16053.5,17579.5,25202.5,14869.16667,15937,19063.5
NC_007795.1,8717.12619,8418.916667,11606.97619,12605.34444,805.4166667,697.0595238,457.1666667,594.3333333,1247.083333,973.25,616.45,791.5
NC_007795.1,171.5,227.5,123,242,21.5,20,11.5,19.5,21.5,30.5,13,43.5
NC_007795.1,333.8333333,535.5,306.6666667,488.2222222,41.5,52.125,29.5,69.66666667,55.5,96.11111111,41.5,117.5
NC_007795.1,258,292,169.7,247.5,27,23,19,48.5,15.5,61.5,22.5,63
NC_007795.1,375.1666667,327,322.6666667,203.8333333,43,82.16666667,19,120,34.5,92,24,98
NC_007795.1,152,230,103,172,17,14,7,16,15,32,14,38
NC_007795.1,96,242,101.5,327,24,7.5,15,17,16,30,14,49
NC_007795.1,36,149.5,11,130,8,4,6.75,4,2.5,0.5,5.5,2
NC_007795.1,31,67,32.5,60.5,5.5,2.5,2,5,7,6.5,3,4
NC_007795.1,1,1.5,0,0,0,0,0,0,0,0,0.5,0
NC_007795.1,13.5,7,7.5,5.5,0,2,1,4,1.5,3.5,0.5,5.5
NC_007795.1,695.5,334.25,564,439.75,58.25,102,28,125.75,51.5,184.5,49.75,327.25
NC_007795.1,70,67,53,78.5,12,14,4,16,8,8,6,33.5
NC_007795.1,1,2,4,4.5,0,0,0,2,0,0,0,0.5
NC_007795.1,78,343,53.5,173.5,23,1,13,6.5,5,6,13,17
NC_007795.1,15.5,75,8.5,33.5,2.5,1,1,0.5,0,0,2,6
NC_007795.1,35,153.5,10,114.4583333,15.5,2,8,7.5,3.5,1,7,7.5
NC_007795.1,69,300,51,223.1666667,32.5,10.5,14,9.5,4,9.5,9,15
NC_007795.1,56,145.5,32,89,11,6.5,7,7,1,13.5,8,9.5
NC_007795.1,4,14,5,7,0,4,1,1,1,2,2,2
NC_007795.1,130.5,160,89.5,131,8,27,10,18,9,40,5,43
NC_007795.1,20.5,87,6,50,5,5,6,2,3,6.5,1,4
NC_007795.1,137.5,125,114.5,211.5,14,12.5,10,18,15,35,4.5,44
NC_007795.1,50.5,194,21.5,124.9761905,9,5.5,6.5,7,4,4.5,3,7
NC_007795.1,4.666666667,34,2,22,1,1.5,0.5,2,2,0,0,1
NC_007795.1,48,57,14.16666667,43,3,1,1,4,0,5,5,8
NC_007795.1,7,22,2.75,28,2,1.5,5,2.25,0,1.75,1,4.75
NC_007795.1,4.833333333,29,10,14.33333333,1.333333333,0.333333333,1,0,1,0,4,1
NC_007795.1,45,83,30,99,2,6,7,13,4,11,5,22
NC_007795.1,105.0833333,257.25,94.42424242,271.75,31,25.5,11.5,33.5,20,64.5,19,68.5
NC_007795.1,41,78.75,29,65.16666667,13,9.666666667,2.5,15.5,8,19.5,1,15.5
NC_007795.1,22,131,8,133,9,3,11,5,1,2,8,2
NC_007795.1,19.33333333,86.16666667,13.75,72,6.666666667,1.083333333,5.5,6,3.333333333,6.5,4,13.5
NC_007795.1,20.83333333,41.66666667,11.25,36,3.666666667,1.833333333,10,3,1.333333333,1.5,3,3
NC_007795.1,12.08333333,94.91666667,14,58.5,11.66666667,3.083333333,6.5,5,3.333333333,4,1,4.5
NC_007795.1,15.5,60.5,13.25,61.5,8,2.25,0,1,6,5,4,4
