Genes,U1.1_1.2,U1.2_1.2,X215.1_1.2,X215.2_1.2,X478.1_1.2,X478.2_1.2
"SAR0001,dnaA,chromosomal_replication_initiator_protein_DnaA",24144,25254,19073,20762,31126,25927
"SAR0002,dnaN,DNA_polymerase_III,_beta_chain",29253,31453,23976,24114,31699,27553
"SAR0003,NA,conserved_hypothetical_protein",4835,5091,3716,4347,4819,3542
"SAR0004,recF,DNA_replication_and_repair_protein_RecF",17451,19427,15145,15836,22259,18048
"SAR0005,gyrB,DNA_gyrase_subunit_B",24247,22921,20150,19052,32170,26025
"SAR0006,gyrA,DNA_gyrase_subunit_A",49975,50453,47023,45485,60812,52200
"SAR0007,NA,conserved_hypothetical_protein",6035,4847,4201,3994,5373,3001
"SAR0008,hutH,putative_histidine_ammonia-lyase",3979,4861,2330,3518,5392,4995
"SAR0009,serS,seryl-tRNA_synthetase",41385,51430,39520,40327,43378,34805
"SAR0010,NA,putative_membrane_protein",6310,4745,2866,3770,1774,1237
"SAR0011,NA,putative_membrane_protein",2447,1968,1053,1539,705,613
"SAR0012,NA,putative_hydrolase",3974,3270,2231,2879,1375,870
"SAR0013,NA,putative_membrane_protein",14710,15593,11998,13338,15873,11797
"SAR0014,NA,putative_membrane_protein",43079,43792,33619,38567,43145,37358
"SAR0015,rplI,50S_ribosomal_protein_L9",14762,15350,11582,12836,13639,12219
"SAR0016,dnaC,DnaB-like_helicase",25002,25031,17595,20784,21702,18430
"SAR0017,purA,putative_adenylosuccinate_synthetase",13541,13171,19118,15115,47224,39107
"SAR0018,yycF,response_regulator_protein",15571,14808,13563,14576,15901,12091
"SAR0019,yycG,sensor_kinase_protein",31059,31294,27006,29797,35823,29665
"SAR0020,yycH,putative_exported_protein",23886,24991,20276,22867,27935,24496
"SAR0021,yycI,putative_exported_protein",13221,14574,11875,12654,14457,13924
"SAR0022,yycJ,metallo-beta-lactamase_superfamily_protein",5370,5386,4536,4711,8124,5541
"SAR0023,sasH,putative_5-nucleotidase",17427,15084,12950,12423,16873,13275
"SAR0024,NA,conserved_hypothetical_protein",4185,4380,3399,3393,4595,3715
"SAR0025,NA,hypothetical_protein",0,1,0,3,2,4
"SAR0028,repB,replication_protein_pseudogene",1,1,1,0,1,0
"SAR0031,pre,plasmid_recombination_enzyme",1,0,1,3,0,0
"SAR0031a,NA,hypothetical_protein",9,11,5,7,12,6
"SAR0037,ugpQ,glycerophosphoryl_diester_phosphodiesterase",0,2,0,0,0,0
"SAR0039,mecA,penicillin-binding_protein_2_prime",1,2,2,1,2,3
"SAR0040,mecR1,methicillin_resistance_protein_MecR1",2,1,1,3,0,1
"SAR0042,NA,hypothetical_protein",0,0,0,1,1,0
"SAR0043,xylR,xylose_repressor_pseudogene",0,2,2,1,1,1
"SAR0044,NA,metallo-beta-lactamase_superfamily_protein_pseudogene",2,2,1,2,3,2
"SAR0046,NA,hypothetical_protein",3,0,0,2,0,0
"SAR0047,NA,conserved_hypothetical_protein",0,0,1,1,0,0
"SAR0054,tnpA1,transposase_A_1",0,1,1,0,0,0
"SAR0058,NA,hypothetical_protein",1,0,0,1,1,0
"SAR0059,ccrB,site-specific_recombinase",5,2,2,1,0,5
"SAR0060,ccrA,site-specific_recombinase",3,3,3,3,4,4
"SAR0061,NA,putative_membrane_protein",1,3,1,1,2,0
"SAR0063,NA,hypothetical_protein",2,0,0,1,1,2
"SAR0064,NA,putative_transposase_pseudogene",1,1,1,0,0,0
"SAR0066,NA,putative_transposase",0,0,1,1,0,1
"SAR0067,NA,putative_membrane_protein_fragment",1,0,1,0,1,0
"SAR0069,NA,sensor_kinase_protein",0,1,3,2,0,1
"SAR0070,NA,potassium-transporting_ATPase_A_chain",1,1,3,0,0,1
"SAR0071,NA,potassium-transporting_ATPase_B_chain",6,2,0,1,2,1
"SAR0072,NA,potassium-transporting_ATPase_C_chain_pseudogene",0,1,0,0,0,1
"SAR0074,NA,hypothetical_protein",0,0,2,2,1,0
"SAR0075,NA,hypothetical_protein",1,2,2,2,1,3
"SAR0079,NA,putative_protein_kinase",0,1,2,4,1,1
"SAR0080,NA,hypothetical_protein",7303,8812,7129,7060,9599,8457
"SAR0081,NA,transposase",2326,2413,2112,2156,2930,2515
"SAR0082,NA,transposase",3115,3593,2919,3142,4422,3696
"SAR0083,NA,hypothetical_protein_fragment",236,304,252,269,400,363
"SAR0084,NA,hypothetical_protein",1351,1740,1291,1436,2063,1757
"SAR0086,NA,hypothetical_protein",474,542,506,480,623,615
"SAR0087,NA,putative_restriction_enzyme",1779,1930,1536,1648,2096,1746
"SAR0088,NA,putative_restriction_enzyme_modulator_protein",979,998,730,732,1052,804
"SAR0089,NA,hypothetical_protein",176,164,142,130,178,132
"SAR0090,NA,hypothetical_protein",318,306,212,247,324,259
"SAR0091,NA,putative_insertion_sequence_protein",146,147,117,111,136,119
"SAR0092,NA,putative_hydratase",3767,4056,2962,3705,3997,3518
"SAR0093,NA,putative_membrane_protein",431,475,311,383,461,381
"SAR0094,NA,putative_transporter_protein",1442,1339,1082,1185,1329,1056
"SAR0095,NA,putative_acetyltransferase_pseudogene",1190,1205,994,1128,1086,909
"SAR0097,NA,putative_DNA-binding_protein",1312,1461,1112,1302,1346,1095
"SAR0098,NA,acetyltransferase_GNAT_family_protein",1314,1393,1036,1199,1468,1217
"SAR0099,NA,conserved_hypothetical_protein",4318,3896,3493,3535,7128,4976
"SAR0100,NA,putative_membrane_protein",121,92,107,77,105,58
"SAR0101,NA,hypothetical_protein",422,329,312,318,371,227
"SAR0102,NA,putative_membrane_protein",3435,3065,2709,2349,2438,1767
"SAR0103,NA,hypothetical_protein",13139,13824,10006,11505,10517,8909
"SAR0104,NA,putative_membrane_protein",3081,3206,2289,2409,2452,2184
"SAR0105,plc,1-phosphatidylinositol_phosphodiesterase",8228,6365,7381,5125,4467,2937
"SAR0106,NA,putative_lipoprotein",2003,2104,1943,1913,2062,1792
"SAR0107,NA,putative_regulatory_protein",12445,12862,10250,11852,11848,9640
"SAR0108,NA,putative_peptidase",3020,3156,2509,3563,3460,3036
"SAR0109,NA,putative_transporter_protein",3057,2955,2720,3533,3827,3400
"SAR0110,NA,putative_Na+/Pi-cotransporter_protein",8565,9434,8111,10235,18374,13942
"SAR0111,NA,putative_myosin-crossreactive_antigen",6588,10747,9962,20645,22290,23779
"SAR0112,NA,putative_membrane_protein",902,2428,1143,2162,2572,2733
"SAR0113,lldP1,L-lactate_permease_1",7579,8367,7857,10433,15368,14135
"SAR0114,spa,immunoglobulin_G_binding_protein_A_precursor",667947,595071,408722,427209,261327,222543
"SAR0115,NA,putative_regulatory_protein",17273,23137,16056,15737,20334,18441
"SAR0116,sirC,putative_siderophore_transport_system_permease",2642,7018,3163,7292,7271,8106
"SAR0117,sirB,putative_siderophore_transport_system_permease",279,243,177,228,296,209
"SAR0118,sirA,lipoprotein",643,676,425,468,622,598
"SAR0119,NA,pyridoxal-phosphate_dependent_enzyme",53,42,36,32,45,30
"SAR0120,NA,putative_ornithine_cyclodeaminase",55,48,33,45,64,52
"SAR0121,NA,putative_siderophore_biosynthesis_protein",179,152,129,183,183,145
"SAR0122,NA,putative_transport_protein",180,143,139,164,202,148
"SAR0123,NA,putative_siderophore_biosynthesis_protein",295,305,232,246,261,229
"SAR0124,NA,putative_siderophore_biosynthesis_protein",979,911,685,853,859,743
"SAR0125,NA,putative_aldolase",313,300,189,255,277,264
"SAR0126,NA,pyridoxal-dependent_decarboxylase_decarboxylase",482,552,359,401,535,425
"SAR0127,NA,hypothetical_protein",519,513,423,438,559,424
"SAR0128,NA,putative_membrane_protein",2352,2745,2230,2310,2581,2020
"SAR0129,NA,putative_short_chain_dehydrogenase",24184,22870,19277,22218,13623,10962
"SAR0130,NA,NAD_dependent_epimerase/dehydratase_family_protein",370,309,356,315,411,276
"SAR0130a,NA,hypothetical_protein",3,3,5,3,3,8
"SAR0131,NA,putative_sugar_transferase",170,175,175,165,201,123
"SAR0132,NA,galactosyl_transferase",654,463,459,546,764,448
"SAR0133,NA,putative_membrane_protein",419,391,321,329,479,304
"SAR0134,NA,polysaccharide_biosynthesis_protein",1432,1651,1252,1421,1809,1649
"SAR0135,sodM,superoxide_dismutase",10865,9342,8932,7421,8940,7036
"SAR0136,sasD,putative_surface_anchored_protein",9326,9852,9452,10101,12281,8832
"SAR0137,NA,GntR_family_regulatory_protein",2824,2793,2374,2512,3148,2464
"SAR0138,deoD1,putative_purine_nucleoside_phosphorylase",216,226,171,229,376,327
"SAR0139,NA,putative_transport_system_protein",1157,1299,1042,1417,2045,1887
"SAR0140,deoC1,deoxyribose-phosphate_aldolase",4962,6132,4516,5676,8211,7136
"SAR0141,drm,putative_phosphopentomutase",13429,15131,12794,14724,21044,18429
"SAR0142,NA,binding-protein-dependent_transport_systems_membrane_component",1172,1091,890,926,1086,781
"SAR0143,NA,binding-protein-dependent_transport_system_membrane_component",910,731,606,626,736,531
"SAR0144,NA,putative_ABC_transport_ATP-binding_protein",1012,845,767,823,898,665
