,C1_reads,C2_reads,group1_reads,D1-1_reads,D1-2_reads,group2_reads
SA1868,17135,16968,17051.5,13393,13715,13554
SA_RS08390,235,235,235,299,292,295.5
SA1070,7553,7227,7390,6226,6009,6117.5
SA0745,153,150,151.5,67,66,66.5
SA0679,3669,4379,4024,4629,4740,4684.5
SA0458,22574,23394,22984,22118,23034,22576
SA0090,1438,1290,1364,1457,1646,1551.5
SA1483,0,0,0,0,0,0
SA0885,8341,7886,8113.5,4729,4706,4717.5
SA_RS09845,98,94,96,43,42,42.5
SA1098,23214,23781,23497.5,19661,19647,19654
SA0962,5106,4728,4917,4521,4424,4472.5
SAS007,5958,5856,5907,3199,3607,3403
SA2269,574,542,558,494,522,508
SA0977,848,796,822,732,764,748
SA1708,8072,8312,8192,7768,8052,7910
SA1495,20212,21495,20853.5,10696,11012,10854
SA2044,100960,118032,109496,106619,106499,106559
SA2135,1184,1138,1161,1265,1316,1290.5
SA0539,2492,2337,2414.5,2481,2471,2476
SA0444,3558,3625,3591.5,1739,1941,1840
SA0107,128103,141694,134898.5,208640,207742,208191
SA_RS03595,16934,18025,17479.5,11930,11573,11751.5
SA1636,1475,1379,1427,609,608,608.5
SA1032,12930,14130,13530,13762,14271,14016.5
SA_RS04645,21991,19842,20916.5,10267,10600,10433.5
SA1423,3956,4180,4068,3637,3419,3528
SA1006,159,130,144.5,247,240,243.5
SA2119,4766,4975,4870.5,4535,4429,4482
SA2174,4555,3727,4141,7037,7358,7197.5
SA_RS12005,5,7,6,5,4,4.5
SAP028,663,786,724.5,720,779,749.5
SA1450,13405,13757,13581,10131,10224,10177.5
SA0383,286,178,232,195,213,204
SA0225,59,60,59.5,47,65,56
SA1930,16255,15891,16073,10033,10205,10119
SA1275,1245,1069,1157,1762,1895,1828.5
SA1457,7957,8076,8016.5,6725,6892,6808.5
SA0408,5855,5040,5447.5,3386,3616,3501
SAtRNA47,821,703,762,530,635,582.5
SA1863,474,457,465.5,918,884,901
SA1187,1858,1823,1840.5,1492,1598,1545
SA2057,8796,9063,8929.5,9803,9912,9857.5
SA0740,216,204,210,164,158,161
SA0422,2610,2198,2404,4180,4305,4242.5
SA2061,939,974,956.5,932,1086,1009
SA0464,5646,5883,5764.5,5317,5088,5202.5
SA1803,1251,909,1080,1916,1937,1926.5
SA1761,1448,1446,1447,918,1034,976
SA_RS09135,5,1,3,0,3,1.5
SA1707,8844,8922,8883,7640,7591,7615.5
SA1830,0,0,0,0,0,0
SA0172,1653,1631,1642,2016,2319,2167.5
SA0482,29212,28488,28850,35028,35478,35253
SA1953,0,0,0,0,0,0
SA1507,13641,14523,14082,14218,13967,14092.5
SA1343,13390,14178,13784,8687,8934,8810.5
SA0732,3024,2740,2882,3110,3106,3108
SA2470,353,286,319.5,854,869,861.5
SA0838,151,166,158.5,153,139,146
SA0603,922,963,942.5,941,1011,976
SA1898,1489,1404,1446.5,3736,3631,3683.5
SA2030,55009,62414,58711.5,62461,60458,61459.5
SA1934,3383,3716,3549.5,3785,4003,3894
SA0201,1067,865,966,1113,1134,1123.5
SA1047,2207,2513,2360,4864,4645,4754.5
SA0251,2348,2256,2302,1943,2230,2086.5
SA_RS07475,641,585,613,286,297,291.5
SA1858,626,671,648.5,2246,2223,2234.5
SA2071,13950,13954,13952,12021,12333,12177
SA1166,25976,32270,29123,16246,15928,16087
SArRNA09,2834,1881,2357.5,8528,5380,6954
SA0004,18447,18910,18678.5,16983,17160,17071.5
SA0878,2167,1705,1936,1994,2134,2064
SA0707,34591,31483,33037,53532,54757,54144.5
SA0497,76455,80304,78379.5,83776,81816,82796
SA1846,6932,6632,6782,7913,8129,8021
SA1509,7137,7519,7328,6904,7278,7091
SA0924,1169,1249,1209,1617,1781,1699
SAS019,1868,2034,1951,1575,1562,1568.5
SA_RS04445,0,2,1,5,4,4.5
SA1912,27355,26643,26999,34216,34932,34574
SA0620,11551,11203,11377,9322,9904,9613
SA1562,39438,35980,37709,55041,55869,55455
SA1540,1530,1409,1469.5,1825,1996,1910.5
SA0823,50372,47782,49077,47061,47985,47523
SA1005,4466,4123,4294.5,1965,2128,2046.5
SA0733,7336,7186,7261,5013,5175,5094
SA0771,4886,4698,4792,7406,7611,7508.5
SA1367,4456,4566,4511,6197,6124,6160.5
SA2090,5123,4596,4859.5,4028,4086,4057
SA1039,2214,2032,2123,2266,2235,2250.5
SA0103,33,23,28,41,35,38
SA0797,2729,2604,2666.5,1345,1451,1398
SA0387,179,259,219,195,178,186.5
SA1937,4333,4449,4391,3536,3765,3650.5
SA1869,21183,21456,21319.5,14374,14666,14520
SA1771,963,682,822.5,1921,1958,1939.5
SA1007,3524,2642,3083,7514,7799,7656.5
SA2358,685,623,654,574,601,587.5
SA_RS10920,203,136,169.5,126,116,121
SA0888,98,60,79,42,34,38
SA0702,1703,1631,1667,2234,2264,2249
SA1503,39846,45601,42723.5,32008,31724,31866
SA1428,104,65,84.5,45,46,45.5
SA0449,17318,17852,17585,17905,18674,18289.5
SA1512,12386,12880,12633,11033,11049,11041
SA0636,1666,1410,1538,2374,2479,2426.5
SA2212,1348,1400,1374,1292,1362,1327
SA_RS13710,8,0,4,1,2,1.5
SA2165,32851,32262,32556.5,18366,19126,18746
SA2098,5876,6047,5961.5,9787,9702,9744.5
SA0392,4470,4605,4537.5,3288,3476,3382
SA0549,6819,6797,6808,5089,5220,5154.5
SA1823,0,0,0,0,0,0
SA0599,16521,14891,15706,16467,16999,16733
SA0918,191,201,196,455,530,492.5
SA1734,10161,10526,10343.5,12440,12161,12300.5
SA1816,0,0,0,0,0,0
SA2428,4440,4789,4614.5,3576,3606,3591
SA0937,4201,3707,3954,9606,9735,9670.5
SA0106,5539,5007,5273,5058,5376,5217
SAS054,646,672,659,388,426,407
SA2175,4724,3903,4313.5,2624,2785,2704.5
SA1899,654,567,610.5,486,535,510.5
SAP020,0,0,0,0,0,0
SA_RS08660,2,0,1,0,1,0.5
SA1995,155,102,128.5,341,352,346.5
SA1160,728,697,712.5,687,687,687
SA1429,246,201,223.5,152,163,157.5
SA0654,4741,4328,4534.5,11403,11671,11537
SA0303,242,202,222,608,672,640
SA2121,1077,1180,1128.5,880,830,855
SA1438,11012,11019,11015.5,12182,12735,12458.5
SA0337,190,157,173.5,321,300,310.5
SA1223,8061,8428,8244.5,6095,6335,6215
SA2466,521,515,518,704,774,739
SA2340,2181,2157,2169,1478,1397,1437.5
SA_RS09120,387,393,390,204,258,231
SA0726,60236,55018,57627,86237,87786,87011.5
SA1189,23506,24128,23817,23360,23288,23324
SA2023,105170,119438,112304,130422,133361,131891.5
SA_RS13290,14,36,25,43,27,35
SA0480,10562,10032,10297,12484,13097,12790.5
SA1904,39600,39675,39637.5,36738,37832,37285
