gene,P23.1,P23.2,P23.3,P23.G.1,P23.G.2,P23.G.3
Inter.CP000255.1.1.857097.90,0,5,3,2,1,2
Inter.CP000255.1.1.2164336.72,5,6,5,4,3,3
Inter.CP000255.1.1.497222.365,2,9,2,9,7,5
Inter.CP000255.1.1.2602572.3,3,2,2,6,2,2
Inter.CP000255.1.1.92974.20,1,4,1,6,3,2
Inter.CP000255.1.1.1700432.0,1,0,0,0,0,2
Inter.CP000255.1.1.497222.582,6,6,7,15,5,1
Inter.CP000255.1.0.1734711.204,0,2,0,2,1,0
Inter.CP000255.1.1.1922673.23,1,2,0,1,1,0
Inter.CP000255.1.0.2464555.3,0,2,0,0,2,0
Inter.CP000255.1.0.1541358.380,1,3,1,2,0,0
Inter.CP000255.1.0.2264744.9,7,12,11,29,45,51
Inter.CP000255.1.1.651984.155,9,5,3,25,15,4
Inter.CP000255.1.0.2319278.61,2,2,4,3,2,0
Inter.CP000255.1.1.697464.8,1,2,0,0,1,3
Inter.CP000255.1.1.1299662.189,5,2,3,7,1,2
Inter.CP000255.1.1.1244688.90,2,2,1,3,0,0
Inter.CP000255.1.1.840309.70,3,7,4,24,15,11
Inter.CP000255.1.0.1456753.303,1,1,1,1,0,2
gene852,557,499,541,305,285,265
Inter.CP000255.1.0.2772481.12,2,4,0,2,3,0
Inter.CP000255.1.0.2255954.19,0,1,0,4,1,1
Inter.CP000255.1.0.268233.32,0,2,0,0,1,1
Inter.CP000255.1.1.638113.22,11,13,10,16,11,8
Inter.CP000255.1.1.386716.12,3,3,2,8,3,1
Inter.CP000255.1.1.2649017.29,2,6,7,10,1,3
Inter.CP000255.1.0.1983750.74,1,1,3,2,0,3
Inter.CP000255.1.0.2434583.15,2,4,3,10,2,3
Inter.CP000255.1.0.1456753.196,0,1,0,3,0,0
Inter.CP000255.1.0.894341.4,22,24,15,39,27,32
Inter.CP000255.1.1.911530.56,5,9,2,12,10,3
Inter.CP000255.1.1.681397.64,3,2,3,4,6,1
Inter.CP000255.1.0.1541358.265,0,0,1,1,2,1
Inter.CP000255.1.0.1176056.2,63,64,55,40,38,19
Inter.CP000255.1.0.1648419.88,0,3,0,1,0,0
Inter.CP000255.1.0.2590957.34,3,4,1,12,3,6
Inter.CP000255.1.1.1244688.346,2,1,3,0,5,2
Inter.CP000255.1.1.840309.112,2,8,5,7,9,5
Inter.CP000255.1.1.2272001.35,4,4,2,16,9,4
Inter.CP000255.1.1.445966.146,1,1,0,3,1,0
Inter.CP000255.1.1.1087371.81,1,0,8,5,3,0
gene645,243,209,200,172,124,108
Inter.CP000255.1.0.1507114.186,0,1,0,0,0,0
Inter.CP000255.1.1.1244688.127,0,0,3,1,1,2
Inter.CP000255.1.1.330274.144,0,2,1,5,3,2
Inter.CP000255.1.0.2797567.194,0,1,1,2,3,1
Inter.CP000255.1.1.857097.20,0,0,2,3,1,1
Inter.CP000255.1.1.1223109.162,2,5,3,4,4,1
Inter.CP000255.1.0.1766067.295,0,1,0,1,4,0
Inter.CP000255.1.1.1299662.63,2,1,3,11,4,4
Inter.CP000255.1.0.2410512.9,6,6,3,6,3,1
Inter.CP000255.1.0.2699448.147,2,4,0,7,2,4
Inter.CP000255.1.1.986676.17,11,13,6,6,1,3
Inter.CP000255.1.0.2436985.9,7,5,8,15,5,4
Inter.CP000255.1.1.2390281.0,12,16,7,12,13,12
Inter.CP000255.1.0.2013404.41,3,7,3,6,2,2
Inter.CP000255.1.0.1052186.70,4,4,6,5,10,3
Inter.CP000255.1.1.2851870.18,0,2,1,1,3,2
Inter.CP000255.1.0.1732225.11,2,5,3,6,5,3
Inter.CP000255.1.1.970988.40,2,3,1,2,1,0
Inter.CP000255.1.0.701344.14,1,1,1,2,2,0
Inter.CP000255.1.0.2343175.220,0,1,1,6,2,1
Inter.CP000255.1.1.92974.39,1,1,0,0,0,0
Inter.CP000255.1.0.2087346.185,1,1,1,2,1,0
Inter.CP000255.1.1.1897222.0,1,2,1,1,0,0
Inter.CP000255.1.1.497222.210,1,0,0,1,1,1
Inter.CP000255.1.1.771927.41,5,3,3,4,4,1
Inter.CP000255.1.1.2272001.0,39,27,36,13,10,7
Inter.CP000255.1.0.2291621.8,3,2,4,7,4,0
Inter.CP000255.1.0.1766067.131,1,2,1,5,5,1
Inter.CP000255.1.0.1075901.3,0,3,3,5,2,4
Inter.CP000255.1.1.1244688.103,0,0,1,4,1,1
Inter.CP000255.1.1.608577.46,3,0,3,5,5,0
Inter.CP000255.1.0.1122198.23,0,0,0,1,0,0
Inter.CP000255.1.0.1507114.117,20,19,20,17,14,14
Inter.CP000255.1.1.2364256.0,24,33,29,62,70,97
Inter.CP000255.1.1.1059247.72,11,8,15,15,8,1
