,MS2contr_R1,MS2contr_R2,MS2RsaA_R1,MS2RsaA_R2,raw_MS2totRNA,raw_MS2RsaAtotRNA
HG001_00001,11996,25861,9189,17968,14248,13270
HG001_00002,8042,13663,5675,9187,13366,12001
HG001_00003,186,342,106,201,1147,1215
HG001_00004,3833,5429,2821,4307,10426,10438
HG001_00005,22987,33700,14187,26417,21160,22226
HG001_00006,23022,35036,10698,26287,30823,36296
HG001_00007,158,377,175,417,1625,2308
HG001_00008,4395,8782,3213,7350,4642,4629
HG001_00009,599,1382,457,1349,6901,6407
HG001_00010,29535,68256,14614,48142,122337,105741
HG001_00011,12,32,7,32,106,172
HG001_00012,6,17,5,22,53,75
HG001_00013,21,138,76,357,634,853
HG001_00014,67,256,62,280,356,434
HG001_00015,507,1100,415,1126,1766,1987
HG001_00016,19704,27775,12911,24043,10914,12027
HG001_00017,7305,9723,4906,8459,3528,3978
HG001_00018,15045,19687,15571,17907,5033,5963
HG001_00019,927,1276,538,731,7955,4911
HG001_00020,1,0,0,0,3,5
HG001_00022,2349,3524,1231,2652,4291,4297
HG001_00023,8940,16286,6291,12269,10787,11257
HG001_00024,15403,26627,12016,20478,10609,12021
HG001_00025,11667,18785,10129,15434,7263,8516
HG001_00026,67,144,53,116,1272,1313
HG001_00027,390,381,202,253,1234,1198
HG001_00028,433,919,370,695,1664,1629
HG001_00029,331,695,256,594,3460,2971
HG001_00030,186,217,131,204,222,244
HG001_00031,24,35,18,49,103,122
HG001_00032,4,4,2,4,16,11
HG001_00033,10,10,7,13,39,69
HG001_00034,18,35,15,41,117,151
HG001_00035,156,206,119,175,1419,1759
HG001_00036,15737,10389,13650,10647,3790,5264
HG001_00037,127,199,145,176,264,238
HG001_00038,3,7,4,16,104,88
HG001_00039,14,17,2,9,27,22
HG001_00040,60,88,43,96,348,333
HG001_00041,2,14,9,18,82,78
HG001_00042,10,45,17,50,231,211
HG001_00043,6,37,24,68,271,195
HG001_00044,413,957,373,707,3604,2822
HG001_00045,90,250,109,220,961,812
HG001_00046,39,75,96,116,682,938
HG001_00047,4,14,7,14,73,70
HG001_00048,10,13,12,18,142,137
HG001_00049,35,29,25,28,158,174
HG001_00050,142,112,91,94,237,308
HG001_00051,1636,1787,1157,1735,3264,3479
HG001_00052,433,233,346,276,676,801
HG001_00053,419,311,465,332,780,960
HG001_00054,214,204,262,159,861,990
HG001_00055,1967,980,1520,521,909,802
HG001_00056,5,6,3,5,13,10
HG001_00057,149,105,190,60,149,119
HG001_00058,384,509,416,407,1117,1340
HG001_00059,1386,1978,1101,1726,4580,4920
HG001_00060,93696,68575,36278,38264,58537,40629
HG001_00061,178,725,171,642,7284,5814
HG001_00062,740,888,842,910,1804,2134
HG001_00063,46,80,43,63,57,70
HG001_00064,10,15,6,18,267,293
HG001_00065,3,3,0,1,10,6
