key,Gal_NO_A,Gal_NO_B,Gal_A,Gal_B
SAUSA300_0001,3694,3722,3955,3790
SAUSA300_0002,3057,2885,3635,3466
SAUSA300_0003,4208,4251,5716,4969
SAUSA300_0004,2536,2479,3292,3075
SAUSA300_0005,3622,4027,5525,4827
SAUSA300_0006,2790,2598,5401,5484
SAUSA300_0007,805,1074,716,757
SAUSA300_0008,547,585,404,483
SAUSA300_0009,1743,1734,3284,3421
SAUSA300_0010,172,200,137,174
SAUSA300_0011,229,256,175,174
SAUSA300_0012,623,957,409,431
SAUSA300_0013,2672,2987,1667,1638
SAUSA300_0014,7461,7640,5021,4945
SAUSA300_0015,8407,8483,7076,6910
SAUSA300_0016,11260,10163,9815,8202
SAUSA300_0017,326,309,456,413
SAUSA300_0018,25887,28933,42006,55567
SAUSA300_0019,34601,24907,39429,114805
SAUSA300_0020,4506,4263,3356,3300
SAUSA300_0021,5370,5460,4210,4093
SAUSA300_0022,5579,5781,4701,4508
SAUSA300_0023,6847,7323,5670,5118
SAUSA300_0024,2455,2421,1116,968
SAUSA300_0025,374,401,933,874
SAUSA300_0026,1457,1762,1246,895
SAUSA300_0027,681,766,722,586
SAUSA300_0028,203,258,274,280
SAUSA300_0029,652,631,208,270
SAUSA300_0030,591,523,981,953
SAUSA300_0031,106,119,244,234
SAUSA300_0032,42044,45837,45800,45995
SAUSA300_0033,7183,6716,8913,8066
SAUSA300_0034,902,1106,1298,1087
SAUSA300_0035,29929,30539,41543,30976
SAUSA300_0036,28,34,26,22
SAUSA300_0037,519,481,345,266
SAUSA300_0038,245,257,275,221
SAUSA300_0039,93,69,97,88
SAUSA300_0040,40,35,117,52
SAUSA300_0041,307,284,167,176
SAUSA300_0042,1632,1545,1177,1114
SAUSA300_0043,53,34,37,43
SAUSA300_0044,67,98,83,89
SAUSA300_0045,14,27,8,9
SAUSA300_0046,2434,2424,2535,2250
SAUSA300_0047,285,331,152,153
SAUSA300_0048,272,180,75,63
SAUSA300_0049,325,323,169,132
SAUSA300_0050,311,433,222,235
SAUSA300_0051,51,58,50,73
SAUSA300_0052,19,35,8,14
SAUSA300_0053,493,511,498,725
SAUSA300_0054,10,12,0,0
