,Acidic 1,Acidic 2,Neutral 1,Neutral 2,Neautral 3,Basic 1,Basic 2
fig|6666666.230262.peg.1,36,28,42,35,65,93,61
fig|6666666.230262.peg.10,64,32,106,65,133,188,131
fig|6666666.230262.peg.100,33,20,45,24,35,46,48
fig|6666666.230262.peg.1000,965,661,1011,670,1074,1350,1129
fig|6666666.230262.peg.1001,147,92,106,67,82,111,106
fig|6666666.230262.peg.1002,6,5,17,8,25,18,21
fig|6666666.230262.peg.1003,196,142,202,126,207,322,228
fig|6666666.230262.peg.1004,265,178,296,209,336,475,328
fig|6666666.230262.peg.1005,214,146,252,176,319,415,295
fig|6666666.230262.peg.1006,215,158,209,133,270,431,326
fig|6666666.230262.peg.1007,383,276,446,236,452,661,528
fig|6666666.230262.peg.1008,92,59,99,78,101,148,98
fig|6666666.230262.peg.1009,141,94,202,133,246,284,180
fig|6666666.230262.peg.101,96,60,117,73,129,140,149
fig|6666666.230262.peg.1010,9,3,6,9,10,15,16
fig|6666666.230262.peg.1011,323,229,413,247,431,589,485
fig|6666666.230262.peg.1012,367,242,372,261,500,632,488
fig|6666666.230262.peg.1013,73,50,87,50,95,133,99
fig|6666666.230262.peg.1014,21,8,12,15,17,25,12
fig|6666666.230262.peg.1015,18,8,20,21,26,24,19
fig|6666666.230262.peg.1016,48,35,59,30,53,85,73
fig|6666666.230262.peg.1017,70,28,55,38,65,91,73
fig|6666666.230262.peg.1018,40,19,34,28,42,53,50
fig|6666666.230262.peg.1019,28,15,35,20,38,42,26
fig|6666666.230262.peg.102,72,37,79,47,91,121,80
fig|6666666.230262.peg.1020,304,237,524,283,515,641,447
fig|6666666.230262.peg.1021,60,50,80,51,100,126,91
fig|6666666.230262.peg.1022,1,1,1,2,0,3,6
fig|6666666.230262.peg.1023,119,104,179,91,213,264,209
fig|6666666.230262.peg.1024,160,126,191,106,239,359,228
fig|6666666.230262.peg.1025,31,25,40,22,51,59,39
fig|6666666.230262.peg.1026,1191,780,1414,941,1609,2313,1668
fig|6666666.230262.peg.1027,333,269,513,289,596,726,569
fig|6666666.230262.peg.1028,365,276,588,329,658,845,641
fig|6666666.230262.peg.1029,1,0,0,1,1,2,2
fig|6666666.230262.peg.103,38,30,73,43,90,136,95
fig|6666666.230262.peg.1030,3,3,2,4,6,1,6
fig|6666666.230262.peg.1031,9,9,14,12,14,27,21
fig|6666666.230262.peg.1032,60,46,93,66,88,156,131
fig|6666666.230262.peg.1033,346,195,406,243,450,602,477
fig|6666666.230262.peg.1034,14,7,37,12,20,41,23
fig|6666666.230262.peg.1035,20,19,83,50,70,104,72
fig|6666666.230262.peg.1036,41,29,61,43,77,122,79
fig|6666666.230262.peg.1037,87,60,110,68,120,201,149
fig|6666666.230262.peg.1038,77,49,113,53,122,190,140
fig|6666666.230262.peg.1039,676,442,916,578,1067,1802,1247
fig|6666666.230262.peg.104,105,95,251,148,240,377,259
fig|6666666.230262.peg.1040,79,51,86,69,130,132,69
fig|6666666.230262.peg.1041,17,9,34,21,36,50,31
fig|6666666.230262.peg.1042,112,72,160,98,191,283,209
fig|6666666.230262.peg.1043,8,3,7,8,20,20,12
fig|6666666.230262.peg.1044,524,381,572,352,611,949,728
fig|6666666.230262.peg.1045,739,644,883,478,757,1162,1135
fig|6666666.230262.peg.1046,73,79,70,45,65,83,64
fig|6666666.230262.peg.1047,5,9,18,7,19,21,21
fig|6666666.230262.peg.1048,75,48,119,58,121,185,137
fig|6666666.230262.peg.1049,19,16,26,13,20,38,34
fig|6666666.230262.peg.105,11,11,34,19,39,41,18
fig|6666666.230262.peg.1050,101,63,91,54,106,111,111
fig|6666666.230262.peg.1051,34,24,45,14,57,66,58
fig|6666666.230262.peg.1052,310,242,386,237,409,601,390
fig|6666666.230262.peg.1053,5,3,4,1,4,6,4
fig|6666666.230262.peg.1054,8,1,9,5,7,11,14
fig|6666666.230262.peg.1055,140,87,103,40,147,215,129
fig|6666666.230262.peg.1056,391,303,511,344,491,795,589
fig|6666666.230262.peg.1057,103,70,161,88,150,216,189
fig|6666666.230262.peg.1058,288,199,726,461,856,1138,788
fig|6666666.230262.peg.1059,223,148,356,231,392,574,457
fig|6666666.230262.peg.106,8,4,8,5,7,8,4
fig|6666666.230262.peg.1060,118,93,213,133,244,332,235
fig|6666666.230262.peg.1061,321,252,455,279,501,772,563
fig|6666666.230262.peg.1062,33,22,38,30,46,64,70
fig|6666666.230262.peg.1063,225,163,313,213,366,526,425
fig|6666666.230262.peg.1064,220,182,304,174,315,419,345
fig|6666666.230262.peg.1065,100,75,137,91,133,209,135
fig|6666666.230262.peg.1066,2042,1684,2404,1527,2637,2879,2109
fig|6666666.230262.peg.1067,19,10,21,15,33,44,32
fig|6666666.230262.peg.1068,142,117,215,119,216,315,297
fig|6666666.230262.peg.1069,123,99,177,128,195,277,232
fig|6666666.230262.peg.107,15,10,32,13,36,41,25
fig|6666666.230262.peg.1070,182,117,241,155,334,399,285
fig|6666666.230262.peg.1071,79,72,120,59,115,230,150
fig|6666666.230262.peg.1072,21,9,43,16,50,58,50
fig|6666666.230262.peg.1073,159,110,175,93,216,254,201
fig|6666666.230262.peg.1074,32,34,75,37,78,89,64
fig|6666666.230262.peg.1075,315,217,516,335,692,1101,777
fig|6666666.230262.peg.1076,729,573,1164,774,1339,2122,1549
fig|6666666.230262.peg.1077,49,38,57,36,77,100,56
fig|6666666.230262.peg.1078,202,153,239,153,246,301,247
fig|6666666.230262.peg.1079,69,37,49,41,59,67,57
fig|6666666.230262.peg.108,31,12,37,27,41,40,43
fig|6666666.230262.peg.1080,45,47,40,14,38,48,40
fig|6666666.230262.peg.1081,48,42,50,29,62,68,54
fig|6666666.230262.peg.1082,201,130,143,73,172,181,144
fig|6666666.230262.peg.1083,860,712,950,530,898,1246,958
fig|6666666.230262.peg.1084,235,162,242,124,268,334,230
fig|6666666.230262.peg.1085,19,14,25,17,30,36,29
fig|6666666.230262.peg.1086,10,7,9,9,11,19,8
fig|6666666.230262.peg.1087,257,174,152,94,192,332,202
fig|6666666.230262.peg.1088,393,257,532,351,698,949,653
fig|6666666.230262.peg.1089,767,540,1149,739,1604,2019,1372
fig|6666666.230262.peg.109,3,3,2,1,6,5,5
fig|6666666.230262.peg.1090,17,11,36,11,34,61,41
fig|6666666.230262.peg.1091,7,6,13,10,12,21,23
fig|6666666.230262.peg.1092,40,26,86,43,98,152,111
fig|6666666.230262.peg.1093,313,185,149,111,166,287,207
fig|6666666.230262.peg.1094,63,44,82,57,106,137,118
fig|6666666.230262.peg.1095,250,164,231,145,231,262,216
fig|6666666.230262.peg.1096,28,22,24,33,49,71,49
fig|6666666.230262.peg.1097,71,55,91,67,106,156,135
fig|6666666.230262.peg.1098,13,3,13,3,20,24,16
fig|6666666.230262.peg.1099,11,18,22,7,17,29,17
fig|6666666.230262.peg.11,26,20,29,29,31,71,47
fig|6666666.230262.peg.110,0,0,1,1,0,3,1
