,273_lact_rep1,273_lact_rep2,273_scfm_rep1,273_scfm_rep2,275_lact_rep1,275_lact_rep2,275_scfm_rep1,275_scfm_rep2,K297A_lact_rep1,K297A_lact_rep2,K297A_scfm_rep1,K297A_scfm_rep2
SMLT_RS00005,3867,4039,6629,6342,4090,3429,4048,2326,3650,3265,6339,5800
SMLT_RS00010,14907,13913,11820,11739,19086,14132,10535,6835,13563,10506,14647,13248
SMLT_RS00015,432,510,894,1087,442,357,578,377,562,570,873,956
SMLT_RS00020,15238,18193,21733,25369,24219,18370,19416,10014,17715,14988,19770,19122
SMLT_RS00025,694,911,944,1087,858,679,764,321,1025,877,1202,1180
SMLT_RS00030,5927,7366,5283,5875,12659,7000,3602,2209,9887,7827,4517,4388
SMLT_RS00035,42617,45053,45928,51196,45455,29395,24551,15156,21636,16558,28453,27527
SMLT_RS00040,12375,14954,10583,11150,11788,8752,5459,2890,7893,6317,7634,8433
SMLT_RS00045,141631,171253,101795,95426,144735,103365,51449,30355,74271,56913,64006,71830
SMLT_RS00050,71102,81989,44364,44630,68918,47029,23075,13724,35969,29074,31213,35311
SMLT_RS00055,82152,95890,45792,43595,77338,54390,28520,14303,42188,34072,30299,36512
SMLT_RS00060,691,702,492,512,1018,848,714,301,982,772,602,548
SMLT_RS00065,949,974,318,374,723,619,287,180,887,720,421,541
SMLT_RS00070,1167,1320,847,1037,657,647,410,256,1084,947,744,725
SMLT_RS00200,1379,1268,683,711,616,553,332,229,1767,1507,882,831
SMLT_RS00205,1551,1780,3484,3596,1489,1217,2046,1442,969,865,3476,3539
SMLT_RS00210,12356,14794,11683,13405,11468,9176,7210,3964,7914,6764,9142,8888
SMLT_RS00215,554,675,483,519,818,682,261,250,760,685,377,500
SMLT_RS00225,167,248,33,31,1573,661,19,16,67,84,12,17
SMLT_RS00230,904,1296,654,538,4569,2153,72,50,173,154,30,29
SMLT_RS00235,1888,3499,1620,1546,6964,3887,306,158,757,801,134,163
SMLT_RS00310,716,845,844,889,1660,1220,739,726,838,852,779,823
SMLT_RS00320,1290,1373,2201,2572,1740,1303,1246,861,1336,1331,1590,1186
SMLT_RS00330,3468,3658,6487,8522,5704,4250,6381,1055,4751,3134,4751,5173
SMLT_RS00335,295,257,196,252,281,238,234,91,476,462,307,288
SMLT_RS00345,659,822,759,1038,1166,969,545,483,1087,1082,1093,878
SMLT_RS00350,1716,1987,883,1101,1906,1587,812,593,2489,2021,831,870
SMLT_RS00355,3712,6526,10476,12399,4061,3307,7558,3331,3782,2780,8000,8185
SMLT_RS00360,175,204,137,154,166,130,92,46,152,122,113,123
SMLT_RS00365,530,539,46,39,3650,3304,180,129,1590,1099,48,50
SMLT_RS00370,504,558,63,84,3262,3203,212,128,1562,1280,83,71
SMLT_RS00375,573,624,350,411,508,418,260,156,817,732,416,439
SMLT_RS00385,533,531,173,199,587,489,143,95,415,346,123,133
SMLT_RS00390,566,572,440,491,745,623,457,205,721,572,442,447
SMLT_RS00395,2644,4253,2322,2749,8386,5272,1216,1128,3207,3125,1396,1452
SMLT_RS00400,940,772,1175,1417,937,795,1912,923,1240,1256,1547,1332
SMLT_RS00405,205,197,97,153,303,231,203,111,506,431,120,156
SMLT_RS00415,4772,4940,4291,4780,5773,5072,5077,2924,4463,4040,3989,3982
SMLT_RS00420,262,253,189,208,399,328,332,182,308,330,256,261
SMLT_RS00425,172,182,385,533,210,156,327,221,141,147,339,278
SMLT_RS00430,1716,1890,2585,2903,1974,1554,1838,1164,1706,1372,2529,2628
SMLT_RS00435,1271,1311,2010,1926,1461,1272,1229,595,1443,1214,1990,2155
SMLT_RS00440,642,619,356,489,755,670,240,189,939,759,443,458
SMLT_RS00455,1706,1863,2159,2275,1808,1402,2456,1073,2103,1755,2301,2306
SMLT_RS00460,1729,1974,3957,4554,1960,1518,3311,2472,2112,1982,3417,3625
SMLT_RS00465,1095,1110,628,700,1030,1032,901,257,1081,953,728,780
SMLT_RS00470,392,327,238,333,617,607,407,280,665,779,419,389
SMLT_RS00480,2176,3097,1266,1541,4822,3684,806,476,13434,14465,1633,1679
SMLT_RS00485,11982,17813,5593,6826,30461,23065,4656,3196,64531,65446,6815,7616
SMLT_RS00495,108,153,134,157,626,433,41,42,187,181,27,41
SMLT_RS00510,1061,1362,789,945,5239,3783,556,651,2401,2466,481,543
SMLT_RS00515,342,385,252,257,1651,1218,178,137,874,819,171,174
SMLT_RS00525,425,405,95,141,433,354,162,125,806,753,150,189
SMLT_RS00530,1355,1476,315,527,1900,1511,556,327,2973,2215,380,413
SMLT_RS00535,190,254,165,150,1111,549,175,55,153,170,79,67
SMLT_RS00545,1700,1973,1371,1312,2481,2297,819,594,3941,3694,1514,1656
SMLT_RS00555,435,603,230,246,538,433,252,133,689,652,261,294
SMLT_RS00560,657,572,206,274,132,154,36,15,415,375,115,122
SMLT_RS00565,1015,999,307,382,322,345,105,38,628,570,200,209
SMLT_RS00570,550,551,194,217,57,47,7,2,362,270,91,96
SMLT_RS00575,757,757,234,327,138,200,33,14,507,360,124,128
SMLT_RS00580,1805,1949,635,843,480,506,68,56,1125,852,225,294
SMLT_RS00585,1786,1953,507,859,563,568,56,37,1207,785,255,282
SMLT_RS00590,9145,9502,2408,3529,3369,3744,287,314,5633,3592,1311,1417
SMLT_RS00605,228,252,114,120,281,239,95,48,298,245,111,122
SMLT_RS00610,1894,1788,1457,1643,1793,1374,1700,642,2429,2004,1570,1395
SMLT_RS00615,430,377,368,380,461,348,559,369,513,540,489,484
SMLT_RS00625,631,593,351,535,422,372,399,278,1349,988,636,741
SMLT_RS00630,448,441,508,517,857,722,586,530,1134,1166,716,786
