,SampleWT,SampleFOS1,SampleFOS4,SampleFOS7,SampleFOS8,,,,,,,,,,,,,,,,,,,,,
SMD_0001,155,177,170,158,138,,,,,,,,,,,,,,,,,,,,,
SMD_0002,226,302,282,264,241,,,,,,,,,,,,,,,,,,,,,
SMD_0003,70,99,66,65,67,,,,,,,,,,,,,,,,,,,,,
SMD_0004,328,374,340,304,314,,,,,,,,,,,,,,,,,,,,,
SMD_0005,169,169,154,147,149,,,,,,,,,,,,,,,,,,,,,
SMD_0006,174,199,162,169,161,,,,,,,,,,,,,,,,,,,,,
SMD_0007,1224,1415,1232,1208,1139,,,,,,,,,,,,,,,,,,,,,
SMD_0008,974,986,1010,1029,902,,,,,,,,,,,,,,,,,,,,,
SMD_0009,2154,2347,2454,2356,2046,,,,,,,,,,,,,,,,,,,,,
SMD_0010,1946,2119,2405,2171,1875,,,,,,,,,,,,,,,,,,,,,
SMD_0011,1793,2013,2076,2047,1422,,,,,,,,,,,,,,,,,,,,,
SMD_0012,36,39,34,34,39,,,,,,,,,,,,,,,,,,,,,
SMD_0013,30,24,18,30,29,,,,,,,,,,,,,,,,,,,,,
SMD_0014,69,70,57,64,66,,,,,,,,,,,,,,,,,,,,,
SMD_0015,52,60,42,37,37,,,,,,,,,,,,,,,,,,,,,
SMD_0016,84,98,87,77,75,,,,,,,,,,,,,,,,,,,,,
SMD_0017,131,136,134,133,121,,,,,,,,,,,,,,,,,,,,,
SMD_0018,251,287,246,256,261,,,,,,,,,,,,,,,,,,,,,
SMD_0019,15,13,14,14,16,,,,,,,,,,,,,,,,,,,,,
SMD_0020,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,
SMD_0021,6,8,4,5,5,,,,,,,,,,,,,,,,,,,,,
SMD_0022,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,
SMD_0023,3,4,2,2,3,,,,,,,,,,,,,,,,,,,,,
SMD_0024,370,334,255,213,257,,,,,,,,,,,,,,,,,,,,,
SMD_0025,5954,6304,4184,3472,4720,,,,,,,,,,,,,,,,,,,,,
SMD_0026,54,56,64,52,53,,,,,,,,,,,,,,,,,,,,,
SMD_0027,28,29,30,27,37,,,,,,,,,,,,,,,,,,,,,
SMD_0028,120,125,110,130,135,,,,,,,,,,,,,,,,,,,,,
