gene,IU1824.1,IU1824.2,IU1824.4,IU9036.1,IU9036.3,IU9036.4
Inter.NC_008533.0.626773.0,0,2,2,2,1,0
Inter.NC_008533.1.476674.10,0,0,0,1,1,0
Inter.NC_008533.0.559539.0,2,0,0,1,2,0
Inter.NC_008533.1.476674.17,1,0,0,1,1,2
Inter.NC_008533.1.639893.65,0,0,0,0,1,0
Inter.NC_008533.0.394656.20,0,0,0,0,0,0
Inter.NC_008533.1.734195.103,1,0,0,0,0,1
Inter.NC_008533.1.1662045.4,0,0,0,0,0,1
Inter.NC_008533.1.815602.39,1,0,0,0,0,1
Inter.NC_008533.1.803179.58,0,0,0,0,0,0
Inter.NC_008533.0.1644695.7,0,0,0,0,0,0
Inter.NC_008533.1.1948220.14,1,0,0,0,0,0
ABJ54301.1,221,239,191,234,185,188
Inter.NC_008533.0.1788157.2,0,0,1,0,0,1
Inter.NC_008533.1.757283.59,2,1,0,1,2,0
Inter.NC_008533.1.1069169.23,0,0,0,1,0,1
Inter.NC_008533.1.554771.81,1,3,0,0,0,0
ABJ53788.1,52,57,59,33,54,32
Inter.NC_008533.0.1309679.18,0,0,0,1,0,0
Inter.NC_008533.1.1507338.2,4,1,1,2,0,0
Inter.NC_008533.0.415772.2,3,5,6,5,4,5
Inter.NC_008533.1.65525.148,0,0,0,0,0,0
Inter.NC_008533.1.65525.87,1,0,0,0,0,0
Inter.NC_008533.1.343145.141,1,1,0,0,0,0
Inter.NC_008533.0.1180854.4,1,0,1,2,1,2
Inter.NC_008533.1.588008.114,1,0,0,1,0,0
Inter.NC_008533.1.425822.62,0,2,0,0,0,0
Inter.NC_008533.0.1994815.159,0,0,2,0,1,0
Inter.NC_008533.0.1479761.92,0,1,0,0,0,0
rna59,23,22,30,29,28,18
Inter.NC_008533.1.757283.61,1,0,0,0,0,1
Inter.NC_008533.0.1084820.2,0,0,0,0,1,1
Inter.NC_008533.1.1761180.2,0,0,0,1,0,0
Inter.NC_008533.1.479581.122,2,2,0,0,0,0
Inter.NC_008533.1.448351.11,0,0,0,1,0,0
Inter.NC_008533.1.399679.9,0,0,0,0,0,0
Inter.NC_008533.1.1094017.2,0,0,0,0,0,1
ABJ54817.1,4,0,1,1,2,0
Inter.NC_008533.1.104786.70,0,0,1,0,1,0
Inter.NC_008533.1.382966.33,0,2,1,0,0,3
Inter.NC_008533.0.1558696.235,0,0,0,0,1,0
Inter.NC_008533.1.1878979.57,0,0,0,0,0,0
ABJ54819.1,21,18,43,14,28,29
Inter.NC_008533.1.1539375.7,0,0,0,0,1,0
Inter.NC_008533.0.459448.3,5,10,8,6,2,8
Inter.NC_008533.1.653374.54,4,2,0,4,1,2
ABJ54522.1,1,2,5,1,1,2
Inter.NC_008533.1.781756.23,0,0,0,1,1,0
ABJ53844.1,2,3,3,2,2,2
ABJ55428.1,7,0,2,4,3,4
Inter.NC_008533.0.1376376.71,1,0,1,1,0,2
Inter.NC_008533.0.1709836.105,0,1,1,0,0,1
Inter.NC_008533.1.1386200.0,2,5,3,3,1,2
Inter.NC_008533.0.1697463.89,0,0,0,0,1,0
Inter.NC_008533.1.0.243,0,0,0,0,0,0
Inter.NC_008533.1.399679.0,0,0,0,0,0,0
Inter.NC_008533.0.1131731.77,0,0,0,1,0,2
Inter.NC_008533.1.1252941.0,2,0,0,0,0,0
Inter.NC_008533.1.479581.79,0,0,0,0,1,0
ABJ55396.1,16,19,11,17,22,10
Inter.NC_008533.0.629461.3,5,8,6,7,5,2
Inter.NC_008533.1.639893.10,1,1,1,3,1,0
Inter.NC_008533.0.2016651.14,0,0,0,0,0,0
Inter.NC_008533.0.1415114.98,0,1,0,0,1,1
Inter.NC_008533.1.179084.309,0,0,2,1,3,1
Inter.NC_008533.1.617124.13,3,2,1,2,0,2
Inter.NC_008533.1.949173.213,1,0,0,1,0,0
Inter.NC_008533.1.35663.25,0,0,0,0,0,0
ABJ54758.1,129,165,127,135,121,102
Inter.NC_008533.1.803179.36,2,0,1,0,0,0
Inter.NC_008533.1.949173.272,0,1,0,0,0,0
Inter.NC_008533.1.717143.115,1,1,0,1,0,0
Inter.NC_008533.0.1540553.35,0,1,0,0,0,0
Inter.NC_008533.0.1275753.30,0,1,0,0,0,0
Inter.NC_008533.0.662009.10,1,0,2,0,3,2
Inter.NC_008533.1.1151326.1,0,2,3,1,1,0
Inter.NC_008533.0.1653712.12,0,0,0,0,1,0
Inter.NC_008533.1.247146.76,0,0,1,0,1,0
Inter.NC_008533.1.870383.55,0,0,0,1,0,0
Inter.NC_008533.1.1015892.91,0,0,0,1,0,0
ABJ55232.1,60,52,55,59,85,68
Inter.NC_008533.1.247146.8,7,13,8,7,11,5
Inter.NC_008533.0.843678.0,0,1,0,0,1,0
Inter.NC_008533.0.1405462.11,0,0,1,0,0,0
Inter.NC_008533.1.588008.184,0,0,0,1,0,0
Inter.NC_008533.1.554771.75,1,0,0,0,0,0
Inter.NC_008533.0.1302540.28,1,0,0,0,0,0
ABJ54531.1,294,293,222,305,280,275
Inter.NC_008533.0.255823.0,0,0,0,0,0,1
Inter.NC_008533.1.113089.82,1,0,0,0,0,0
Inter.NC_008533.0.1818322.167,0,0,0,0,1,3
Inter.NC_008533.1.1307782.15,1,2,1,0,1,0
Inter.NC_008533.1.1476328.14,0,0,0,0,0,0
Inter.NC_008533.0.1321450.16,0,0,0,0,1,0
Inter.NC_008533.0.1122434.12,2,1,0,2,0,1
Inter.NC_008533.0.1633846.48,0,1,1,0,0,0
Inter.NC_008533.1.541786.56,0,0,0,0,0,1
Inter.NC_008533.1.518221.76,0,0,0,0,0,2
Inter.NC_008533.1.1069169.20,0,1,0,3,0,0
rna33,1,1,0,1,1,0
Inter.NC_008533.0.1349452.27,0,0,0,1,0,0
Inter.NC_008533.0.1818322.125,0,0,0,0,0,0
Inter.NC_008533.0.1275753.13,0,0,3,1,1,1
Inter.NC_008533.0.820178.9,0,0,0,0,0,0
Inter.NC_008533.0.1084820.177,0,0,0,0,1,0
Inter.NC_008533.1.1561595.1,4,8,3,6,3,3
Inter.NC_008533.0.1709836.42,0,1,0,0,1,0
Inter.NC_008533.1.848842.113,0,0,0,1,0,0
Inter.NC_008533.0.111937.34,1,0,0,0,0,0
Inter.NC_008533.1.343145.69,0,0,0,0,0,2
Inter.NC_008533.1.564781.75,0,0,0,0,0,0
Inter.NC_008533.1.564781.61,1,1,0,0,0,0
Inter.NC_008533.0.809280.6,0,0,0,0,0,0
Inter.NC_008533.1.1873258.0,0,0,0,0,0,2
Inter.NC_008533.0.1190379.117,0,0,0,0,0,0
Inter.NC_008533.1.588008.81,0,2,0,0,0,1
Inter.NC_008533.0.459448.23,2,2,1,3,1,1
ABJ54262.1,217,263,174,353,288,202
Inter.NC_008533.1.2021522.0,1,0,0,0,1,1
Inter.NC_008533.0.1609823.127,0,0,0,0,0,0
Inter.NC_008533.0.2016651.27,3,3,1,2,2,1
Inter.NC_008533.1.825833.36,0,0,0,1,0,0
Inter.NC_008533.1.788482.110,3,1,1,0,0,1
Inter.NC_008533.1.292680.22,0,0,0,0,0,0
Inter.NC_008533.0.1759651.61,0,0,0,0,1,0
Inter.NC_008533.0.1586901.46,0,0,0,1,0,0
Inter.NC_008533.0.932651.2,3,3,3,2,4,1
Inter.NC_008533.0.694545.0,2,0,0,0,0,0
Inter.NC_008533.0.1678487.52,0,1,0,0,1,0
Inter.NC_008533.0.989688.28,2,1,0,0,0,0
ABJ55235.1,46,59,47,45,69,40
Inter.NC_008533.1.666908.117,1,0,0,0,0,0
Inter.NC_008533.0.1084820.32,2,2,0,2,1,1
Inter.NC_008533.1.382966.117,0,2,0,2,0,1
ABJ54572.1,118,98,109,115,99,81
Inter.NC_008533.1.949173.333,0,0,0,1,1,0
Inter.NC_008533.1.448351.55,14,1,4,6,7,12
Inter.NC_008533.0.1818322.41,0,0,0,0,0,0
Inter.NC_008533.1.666908.72,0,0,0,0,1,0
Inter.NC_008533.0.444164.3,4,7,9,10,5,5
Inter.NC_008533.1.916617.250,0,0,0,0,1,0
Inter.NC_008533.1.35663.245,1,0,0,0,0,0
Inter.NC_008533.0.1504856.116,0,0,0,0,1,0
Inter.NC_008533.1.666908.114,0,1,0,0,1,0
Inter.NC_008533.1.1579140.2,1,0,0,0,0,0
Inter.NC_008533.1.382966.57,2,1,1,0,0,0
Inter.NC_008533.1.395758.0,2,2,2,1,1,3
Inter.NC_008533.0.1653712.9,1,1,0,0,3,0
Inter.NC_008533.1.179084.252,3,1,0,1,1,0
Inter.NC_008533.1.1662045.39,0,0,0,0,0,1
Inter.NC_008533.0.1558696.59,0,0,0,0,0,0
Inter.NC_008533.0.743379.3,7,13,11,6,8,4
Inter.NC_008533.0.260365.48,0,0,0,0,1,0
Inter.NC_008533.0.1321450.76,0,1,0,0,0,0
Inter.NC_008533.1.1374825.13,1,0,0,0,0,0
Inter.NC_008533.0.1464276.6,0,0,1,0,0,0
Inter.NC_008533.0.1309679.4,0,1,0,1,1,2
Inter.NC_008533.1.757283.142,0,0,2,0,2,2
Inter.NC_008533.0.1216026.72,0,1,0,0,1,0
Inter.NC_008533.0.1479761.66,0,1,1,0,1,1
Inter.NC_008533.0.288390.17,0,0,0,0,0,0
Inter.NC_008533.1.343145.9,0,0,0,0,0,1
Inter.NC_008533.0.1190379.71,0,0,0,1,0,0
Inter.NC_008533.1.518221.1,1,0,1,1,1,0
ABJ54250.1,20,19,20,12,13,11
Inter.NC_008533.1.541786.75,1,1,1,2,0,0
Inter.NC_008533.0.20118.19,0,1,0,0,0,1
ABJ55017.1,18,16,21,20,21,18
Inter.NC_008533.1.949173.351,1,0,2,1,1,0
Inter.NC_008533.1.113089.178,1,0,0,0,0,0
Inter.NC_008533.0.281651.1,9,6,2,7,13,10
Inter.NC_008533.0.1455480.18,1,0,1,2,1,3
Inter.NC_008533.0.1479761.88,1,0,0,0,0,0
Inter.NC_008533.1.949173.321,0,0,0,0,0,0
Inter.NC_008533.1.848842.39,0,1,0,0,0,0
Inter.NC_008533.1.564781.156,0,0,0,0,0,0
Inter.NC_008533.0.1788157.4,0,0,0,0,0,0
Inter.NC_008533.1.113089.156,0,0,0,0,0,0
Inter.NC_008533.0.1397152.57,0,0,0,0,0,1
Inter.NC_008533.0.813623.9,0,0,0,1,1,0
Inter.NC_008533.0.1084820.5,0,1,1,0,0,0
Inter.NC_008533.0.1479761.46,0,0,0,0,0,1
Inter.NC_008533.0.1667285.65,1,0,0,0,0,0
Inter.NC_008533.1.1454598.7,1,0,2,1,0,2
Inter.NC_008533.1.218389.159,0,1,0,0,0,0
Inter.NC_008533.0.1415114.146,1,0,0,2,0,0
ABJ54568.1,215,199,158,202,151,149
Inter.NC_008533.1.448351.18,0,0,0,0,1,0
Inter.NC_008533.1.1620521.0,0,0,0,0,0,0
Inter.NC_008533.1.1443023.0,0,1,0,0,0,0
Inter.NC_008533.1.617124.204,0,1,0,0,0,0
Inter.NC_008533.1.803179.12,1,0,1,0,0,0
ABJ55102.1,0,5,2,3,3,4
Inter.NC_008533.1.554771.33,1,0,1,0,1,0
Inter.NC_008533.0.1641580.6,1,0,0,0,0,0
Inter.NC_008533.0.1558696.149,0,1,0,0,1,1
Inter.NC_008533.0.537864.10,0,0,2,1,1,1
Inter.NC_008533.1.916617.279,1,0,0,0,0,0
Inter.NC_008533.1.588008.127,0,1,0,0,0,0
Inter.NC_008533.0.468558.0,1,1,2,4,2,5
Inter.NC_008533.0.1315297.25,0,1,0,1,1,1
Inter.NC_008533.0.1709836.88,0,0,0,0,0,0
Inter.NC_008533.1.541786.92,0,0,0,1,1,1
Inter.NC_008533.1.1708447.14,4,2,0,6,0,2
Inter.NC_008533.0.1678487.170,0,0,0,0,0,0
Inter.NC_008533.1.1127017.32,2,0,0,0,1,0
Inter.NC_008533.0.1913475.85,0,0,0,0,0,0
Inter.NC_008533.0.1504856.11,0,0,0,0,0,0
Inter.NC_008533.1.382966.11,0,0,0,0,0,0
Inter.NC_008533.0.1216026.174,1,0,1,0,0,0
Inter.NC_008533.0.1447242.47,0,0,1,0,0,0
Inter.NC_008533.0.1913475.71,0,1,0,0,0,0
ABJ55431.1,5,5,6,9,9,3
ABJ55469.1,24,25,20,14,22,12
Inter.NC_008533.1.848842.36,1,0,0,0,1,0
