gene_name,A909_CDM.1,A909_CDM.2,A909_CDM.3,A909.1,A909.2,A909.3,dsaeR_CDM.1,dsaeR_CDM.2,dsaeR_CDM.3,dsaeR_THY.1,dsaeR_THY.2,dsaeR.1,dsaeR.2,dsaeR.3
SAK_RS00005,1607,2456,2036,51,30,4,6195,902,956,608,667,88,147,48
SAK_RS00010,769,2192,1764,11,20,11,3747,595,595,496,457,75,124,40
SAK_RS00055,1751,1718,1291,22,33,2,4255,821,766,735,727,48,127,25
SAK_RS00505,22031,25176,25289,227,252,157,50861,10644,9951,10060,11213,390,895,326
SAK_RS05010,14680,13540,9615,357,137,11,21207,8041,6342,7447,9110,217,571,297
SAK_RS05015,15934,13524,8599,293,174,24,20179,7344,6267,7093,7658,281,752,321
SAK_RS05020,16090,14358,6393,268,187,9,24256,6424,5200,4383,4673,327,798,401
SAK_RS05025,21820,23223,9008,456,285,19,29259,9543,8241,6835,8255,511,1169,582
SAK_RS05030,3915,5124,1467,54,65,1,5865,1723,1385,377,383,57,164,64
SAK_RS05035,2221,1920,1812,19,16,3,2549,633,600,633,614,30,65,16
SAK_RS05040,2832,2224,1807,33,23,3,2921,630,670,765,767,32,76,18
SAK_RS05045,2104,1762,1390,24,18,1,2183,772,910,671,702,12,46,16
SAK_RS05050,2347,1927,1519,24,21,0,3418,872,739,616,587,38,68,22
glmM,4867,3801,3266,60,78,4,5114,1394,1212,1492,1484,135,210,76
SAK_RS00510,23864,29115,27316,105,246,281,42253,7522,6888,7502,8890,521,1544,471
SAK_RS05060,283,211,99,6,6,1,287,82,69,43,53,3,14,7
SAK_RS05065,305,197,118,11,9,2,258,92,95,70,63,5,19,9
SAK_RS05070,1350,1444,1229,12,14,2,3794,1016,1017,639,728,14,30,17
SAK_RS05075,864,792,675,6,3,1,1421,466,404,323,292,5,28,5
SAK_RS05080,1339,1090,885,10,12,0,942,398,389,323,322,14,36,9
SAK_RS05085,638,748,480,1,11,2,139,86,67,61,24,3,18,1
SAK_RS05090,4477,3328,2343,150,124,8,6661,1520,1301,1906,2008,270,511,154
SAK_RS05095,1290,924,599,10,37,3,1378,357,282,387,399,55,120,36
SAK_RS05100,334,248,155,12,13,0,349,75,75,117,94,25,43,6
SAK_RS05105,910,827,498,27,33,2,744,277,201,259,183,41,95,37
rpsN,12383,14511,13796,115,120,101,30995,6421,5405,6019,6615,260,706,224
SAK_RS05115,2572,2204,1888,4,11,4,690,947,1007,1269,1284,12,7,8
SAK_RS05120,4326,3816,3054,27,60,8,2369,1153,1001,1246,1196,59,122,37
SAK_RS05125,38,50,24,2,2,1,72,2,9,11,11,5,6,6
SAK_RS05130,578,467,337,4,1,0,986,243,209,229,247,4,7,2
SAK_RS05135,392,303,215,1,4,0,514,117,124,121,112,3,10,3
SAK_RS05140,588,381,267,6,4,0,531,146,159,219,221,6,28,1
SAK_RS05145,462,551,469,31,34,0,1042,364,363,1392,1598,47,82,42
SAK_RS05150,258,243,164,2,12,0,218,82,139,392,389,6,24,6
SAK_RS05155,783,1281,1115,17,12,1,869,350,342,314,255,21,29,5
SAK_RS10785,41943,49317,39664,1221,3319,391,8462,21017,18930,26433,23353,809,1808,404
SAK_RS00520,21211,26756,24760,53,281,426,28172,6504,5658,6137,5649,375,1018,276
SAK_RS05160,449,576,510,0,17,1,121,146,203,210,157,10,15,1
SAK_RS05165,6609,7581,7758,17,101,3,12386,2683,2710,2275,2147,66,437,73
SAK_RS05170,6336,6653,6753,37,84,3,14803,3259,2950,2203,2091,75,462,82
SAK_RS05175,3643,3834,3555,35,32,1,9204,2042,1780,1263,1193,31,177,40
dnaE,1523,1116,843,16,32,1,1580,479,488,596,520,67,112,35
SAK_RS05185,20724,18406,14849,128,186,8,15270,7611,7931,7087,7497,245,574,236
SAK_RS05190,37863,33157,28052,239,389,149,22179,7776,7562,8086,8359,451,1323,410
SAK_RS05195,1229,1411,1086,1,27,3,345,347,322,347,210,25,48,12
SAK_RS05200,4065,3990,2823,78,57,11,2977,1026,875,7186,7023,66,222,59
SAK_RS05205,177,240,192,2,10,0,14,10,13,15,5,1,5,2
SAK_RS00525,30105,34720,34521,160,387,326,44453,11125,9537,10456,10313,601,1633,495
SAK_RS05210,657,723,539,4,8,0,785,264,231,130,112,16,28,5
SAK_RS05215,969,963,784,4,11,0,1067,278,276,174,147,11,57,7
SAK_RS05220,1168,1426,1111,4,23,1,1027,405,397,212,120,22,50,17
SAK_RS05225,7505,5667,3851,15,129,59,885,798,1146,992,688,40,146,19
SAK_RS05230,201,402,310,1,6,3,1006,152,172,267,194,16,28,0
SAK_RS05235,266,395,376,13,16,0,452,91,74,110,117,12,31,13
SAK_RS05240,660,763,701,5,21,1,675,179,205,217,191,27,58,24
SAK_RS05245,6714,10013,11046,311,288,15,6602,2363,2252,3333,3124,344,985,306
SAK_RS05250,5955,6810,8180,110,90,6,5513,1898,1750,1692,1713,122,391,109
SAK_RS05255,4130,4845,6076,60,69,3,2423,1246,1154,995,972,86,270,72
SAK_RS00530,18524,25214,25273,333,374,493,34103,11065,9706,10722,11084,567,1091,370
SAK_RS05260,4637,6318,8401,96,108,2,2095,1509,1449,1251,1276,68,257,57
SAK_RS05265,25961,23144,8561,82,100,2,24912,6972,5725,1118,1308,104,368,108
SAK_RS05270,15602,12643,11176,185,331,7,14858,6105,5932,4231,4590,229,741,247
SAK_RS05275,8827,7623,6308,155,118,5,9929,3067,3088,2646,3009,172,359,121
SAK_RS05280,2697,2608,2017,57,35,2,3760,1071,987,1022,1037,53,137,31
SAK_RS05285,1310,1138,980,23,25,1,1475,392,401,409,402,29,77,27
SAK_RS05290,2243,1960,1450,12,16,2,2368,683,741,1880,1559,16,57,15
SAK_RS05295,828,1327,1022,19,15,2,1499,347,347,206,188,15,87,15
SAK_RS05300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAK_RS05305,11,9,5,0,0,0,7,2,1,2,0,2,0,0
SAK_RS00535,23239,28235,29705,213,313,185,50123,18123,15931,17996,20946,558,1300,498
SAK_RS05310,7858,9127,7766,73,111,9,8648,2623,2504,3347,3697,109,327,85
SAK_RS05315,630,750,594,6,11,6,859,225,199,370,430,14,24,7
SAK_RS05320,3462,2820,2472,32,25,8,3148,1023,1000,1131,1457,49,113,37
SAK_RS05325,352,481,279,2,5,0,632,144,124,114,103,6,16,7
SAK_RS05330,840,842,602,9,17,0,1340,288,264,198,156,10,49,19
SAK_RS05335,3520,2507,1787,12,11,2,3422,931,891,2930,2788,7,29,8
SAK_RS05340,56,48,33,2,3,0,87,15,20,33,37,0,4,23
SAK_RS05345,267,161,174,4,5,0,355,101,130,191,255,4,10,33
SAK_RS05350,514,430,364,3,4,1,543,157,126,271,231,14,25,72
SAK_RS05355,404,347,270,1,8,0,450,120,118,149,123,5,13,8
SAK_RS00540,5888,6218,6141,28,113,79,6661,1531,1463,1874,2146,212,426,147
SAK_RS05360,497,534,401,13,10,1,729,173,185,196,185,7,25,11
xerS,178,363,264,4,2,1,481,94,121,111,153,3,11,3
SAK_RS05370,8584,12352,12457,7,28,2,38290,8940,7434,252,239,58,105,47
SAK_RS05375,304,279,186,8,5,0,349,85,72,119,126,5,19,2
SAK_RS05380,300,236,179,3,4,0,316,44,68,71,100,4,9,1
SAK_RS05385,5163,4063,3279,66,41,3,4801,1475,1404,2066,2076,47,160,42
SAK_RS05390,710,646,468,5,6,0,461,127,110,180,110,4,14,4
SAK_RS05395,1823,2094,2059,63,41,4,3111,578,553,1340,1371,41,193,68
SAK_RS05400,663,685,619,24,18,1,752,168,168,426,362,21,66,23
SAK_RS05405,9572,9795,7607,116,82,5,13361,3220,3018,3992,4190,142,408,98
SAK_RS00545,13740,16143,16391,84,124,70,24862,7607,7087,8177,8975,342,945,291
SAK_RS05410,1956,2259,1989,32,32,1,4087,692,619,1068,1236,60,140,52
SAK_RS05415,1945,2219,1898,50,28,3,4170,557,609,1005,1277,47,126,47
SAK_RS05420,1415,1773,1695,21,25,2,2908,462,444,751,812,53,121,38
SAK_RS05425,1107,1613,1610,18,24,2,2542,458,410,806,867,50,124,25
SAK_RS05430,938,1591,1389,13,26,0,1710,295,317,524,589,49,99,19
SAK_RS05435,906,1290,1140,17,8,0,2216,341,348,556,579,47,84,27
SAK_RS05440,321,521,378,12,12,0,1378,178,191,163,184,27,42,12
SAK_RS05445,1443,2046,1786,36,42,1,2972,434,474,592,579,76,112,20
SAK_RS05450,393,583,539,6,9,1,1047,226,227,211,188,25,41,7
SAK_RS05455,1163,1623,1408,22,14,1,3640,708,700,663,629,22,60,9
SAK_RS00550,59095,87340,84871,178,670,140,70754,19934,18159,21493,20450,724,2366,663
SAK_RS05460,1448,1411,1376,6,5,0,3655,488,572,599,704,32,50,13
truB,1500,1263,1356,8,6,0,2603,521,502,464,485,16,31,9
SAK_RS05470,538,561,493,4,9,2,472,105,83,181,152,34,42,8
SAK_RS05475,1614,1636,1502,35,28,1,3485,744,660,1117,1176,82,125,34
SAK_RS05480,722,720,566,20,10,0,1965,310,305,477,467,21,31,14
SAK_RS05485,370,453,316,10,11,0,205,131,154,129,137,24,34,11
SAK_RS05490,431,588,414,23,12,2,2213,328,328,355,338,67,89,29
SAK_RS05495,191,235,180,5,5,0,644,131,147,138,160,19,22,10
SAK_RS05500,3153,4252,2983,29,31,7,8118,1157,1131,1191,1190,131,153,34
SAK_RS05505,15,28,21,0,0,0,23,5,5,6,5,0,2,0
SAK_RS00060,1646,1474,988,6,15,3,2080,586,570,656,569,48,48,21
SAK_RS00555,4815,5056,5261,20,34,100,3461,1285,1161,1158,1023,40,145,26
SAK_RS05510,820,1292,1041,11,54,1,1189,252,234,131,99,80,254,65
SAK_RS05515,578,743,559,32,32,4,850,151,104,44,52,56,192,57
SAK_RS05520,384,822,525,5,42,6,683,166,146,63,43,30,140,24
SAK_RS05525,487,925,747,28,37,2,696,187,156,72,88,43,160,42
SAK_RS05530,545,521,509,13,9,0,934,183,191,193,158,25,34,12
SAK_RS05535,558,578,539,9,8,0,842,129,150,119,95,13,27,6
rbgA,504,614,538,10,14,0,1432,193,233,146,200,23,49,8
SAK_RS05545,71,265,278,4,3,1,534,205,289,250,184,4,11,2
SAK_RS05550,174,228,333,186,194,4,128,66,69,758,826,284,424,190
SAK_RS05555,126,133,114,9,3,0,460,82,74,80,75,7,34,4
SAK_RS00560,23535,24881,25110,233,188,204,46346,8172,8122,7253,8162,173,419,174
SAK_RS05560,395,451,303,13,11,2,689,133,163,129,129,25,53,8
SAK_RS05565,72,112,57,0,0,0,41,14,9,5,7,1,7,2
SAK_RS05570,322,257,195,6,0,0,564,133,95,88,98,4,14,1
SAK_RS05575,652,559,346,13,7,0,820,284,229,351,278,8,28,10
SAK_RS05580,190,337,164,1,3,0,197,42,41,60,24,0,8,3
SAK_RS05585,1817,1276,948,32,17,2,3664,894,829,1087,1191,32,96,27
SAK_RS05590,165,253,103,0,2,0,77,19,27,17,10,3,9,4
