,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count,Raw Read Count
SMU_01,1122,1681,1782,2527,1424,2674,2052,1826,2280,1253,1133,1087,1990,1720,2244,1952,1995,1738
SMU_02,368,632,1000,951,678,2049,737,1150,1526,832,986,985,956,957,1172,1253,1311,1200
SMU_05,204,249,203,271,202,276,277,279,296,169,147,166,275,238,260,245,277,219
SMU_06,3368,3822,3922,4711,3984,5315,4089,4669,5579,2369,2227,2797,3930,3705,4640,1427,1646,1573
SMU_07,361.5,464.5,533,966.5,773,1091,806,707,834.5,300,312.5,349,585.5,509,679,325,367,314.5
SMU_08,669.5,852.5,1367,1925.5,1657,4141,1785,2927,2818.5,1205,1260.5,1121,1730.5,1565,2449,1137,1239,1233.5
SMU_09,1643.5,2561.5,1580,3399,1599,1351.5,3183.5,1862,2374.5,944.5,852,1051,1508,1288.5,1565.5,1377,1729,1389.5
SMU_10,434,562,597,694.5,564,705,725.5,938.5,833.5,596.5,496.5,556.5,689,567.5,555.5,660,776,687
SMU_11,155,143,188.5,136,144,196,225,261.5,249.5,192.5,169,201.5,198.5,147.5,162.5,221,272,218
SMU_12,1181.5,1695,2217.5,1818,1428.5,2096,1626,1947,2112,1821,1705,1938,1858,1603.5,2025.5,1847.5,1901.5,1963
SMU_13,1190.5,1315.5,1968,1262.5,1378,1951,1212,2068,1876.5,1907.5,2064.5,2171,1707,1344.5,1908,1385,1500,1423
SMU_14,1512,1647.5,2697.5,2387,2951.5,2916,2381.5,3264,3525.5,2191,2758,2548.5,3128.5,2385.5,3107.5,1703,1825,1792.5
SMU_15,6568.5,7903.5,9177.5,10448,8260,11614.5,10995.5,13224,11458.5,9955,9779,10155.5,11709,10014,10731.5,10078.5,10334.5,10253
SMU_16,338,369,819,838,670,2031,722,1327,1277,550,561,563,781,732,996,267,274,355.5
SMU_18,56,61,62,80,82,168,98,207,125,51,44,40,92,55,96,36,32,32.5
SMU_20,361,509,960,627.5,593,1354,426,765.5,1132,800,711.5,692,918,1050,1340.5,258.5,286.5,270
SMU_21,90,98,299,157.5,151,482,278,315.5,364,196,313.5,210,272,227,344.5,186.5,120.5,124
SMU_22,30905,33819,30544,40195,25716,36663,41997,38791,29040,21582,21747,19567,32770,26855,29062,22828,25301,21668
SMU_23,1046,1443,1890,2075,2411,1996,1530,2436,2665,1349,1756,1874,1980,1651,2079,1434,1370,1208
SMU_24,794,891,1286.5,1136.5,1137.5,2324.5,1567.5,2026.5,1930,1227,1268,1148.5,1103,862,1420.5,1442,1467.5,1458.5
SMU_25,161,211,501.5,337.5,295.5,1189.5,367.5,600.5,913,266,296,273.5,351,422,728.5,421,427.5,421.5
SMU_26,1158.5,1430,2024,1875.5,1892.5,2821.5,1875.5,2733,2866,1648.5,1595,1614,1748.5,1523.5,2051.5,1534,1667.5,1593
SMU_27,201.5,242,396,279.5,319.5,742.5,352.5,550,627,382.5,312,342,282.5,318.5,358.5,330,301.5,247
SMU_28,10,52,261,50,92,1571,185,293,888,39,39,62,43,103,463,76,89,71
SMU_29,81.5,104,322.5,728,1345,1014,718,1059,1284,199.5,178.5,211.5,238.5,239.5,935.5,203.5,234.5,247.5
SMU_30,263,682.5,1147.5,2107.5,3136,2902,2385.5,2807,3277.5,811,891.5,774.5,946,958.5,2757.5,1500,1545.5,1466
SMU_31,54.5,256.5,311.5,547,795.5,1049,659,866,950,467.5,451.5,387,492.5,342.5,740.5,605.5,824,681
SMU_32,66,262,381.5,476.5,708.5,938,666.5,865,1101.5,326,408.5,306,406,390.5,958.5,638,661,646.5
SMU_33,85,312,195.5,871.5,767,557,922,814,847,335.5,243.5,249.5,365,318.5,534.5,581,601.5,536
SMU_34,157.5,557,393.5,1303,1393.5,648,1270,1366.5,1229.5,479,490.5,445.5,683,582,1133.5,1095.5,1249,1005.5
SMU_35,58.5,203,373,487.5,640.5,644,605,762.5,866.5,278.5,268,227,290,320.5,871,557.5,598.5,517.5
SMU_36,119,371.5,368.5,752,1117,863.5,1239.5,1374,1229,639.5,658.5,530,636.5,524,898,1188.5,1138.5,1069
SMU_37,78,246.5,273.5,444,602,537.5,648.5,874,621,306.5,414.5,302,329.5,301,588,748.5,758.5,715
SMU_38c,41,57,141,64,84,465,100,196,403,34,46,49,67,128,239,68,80,81
SMU_39,36,66,154,106,128,430,139,180,320,54,45,73,95,70,236,69,70,80
SMU_40,0.5,7.5,29.5,4,4.5,136,24,56,145.5,31.5,27,38.5,58.5,39,91.5,63,57.5,65.5
