,GAS-WT-no-manganese-OD1-0-rep-1,GAS-WT-no-manganese-OD1-0-rep-2,GAS-WT-no-manganese-OD1-0-rep-3,GAS-WT-100um-manganese-OD1-0-rep-1,GAS-WT-100um-manganese-OD1-0-rep-2,GAS-WT-100um-manganese-OD1-0-rep-3,GAS-delmtsR-100um-manganese-OD1-0-rep-1,GAS-delmtsR-100um-manganese-OD1-0-rep-2,GAS-delmtsR-100um-manganese-OD1-0-rep-3
aapA,398.9838178,385.9512866,379.5971129,399.588612,423.8824905,424.206787,420.8025347,433.5933872,365.236548
accA,1097.431534,996.3212876,995.6464814,1314.494671,1302.367256,1392.388098,708.0045704,730.6904809,809.5881143
accB,1704.116076,1563.998225,1601.231443,2019.368524,2088.457061,2265.094251,69.46431329,71.62934604,71.82270396
accC,2000.655808,1817.937143,1849.312965,2427.627406,2417.860364,2564.844663,731.7157946,722.9478312,656.197002
accD,1226.985294,1164.136736,1186.496526,1543.672562,1545.875162,1638.041592,210.5980346,206.6162901,172.9511214
ackA,530.8011129,516.0276134,525.2035825,520.1072087,559.8985852,539.2350475,191.6901127,198.5459765,157.4813695
acoA,491.7358827,503.2262678,503.19798,524.0054034,537.9347003,491.9573025,419.6634073,414.0796649,384.5036282
acoB,424.6691617,419.9976089,435.6769654,516.3668392,529.150396,580.3559428,498.0700369,458.2511199,419.8624115
acoC,428.7092601,418.0222703,418.2268719,581.3369595,537.9176237,648.4249906,491.9293133,481.6344263,476.3989653
acoL,465.3684568,483.2308368,466.6459751,644.8380647,564.6131484,637.9709228,633.4224031,650.6332265,607.6018155
acpA,221.364378,231.2845488,226.4397462,192.1291796,219.4629194,209.6710054,1626.394444,1585.960319,1532.640276
acpP.1,158.4658766,162.1177858,166.9754722,153.3906272,165.6132216,185.9387732,1676.890344,1663.029763,1609.072035
acpP.2,9297.443789,9225.727591,10009.28577,9301.705916,9741.410334,9042.934102,235.3779256,253.5677034,216.3575003
acpS,423.4993606,402.8533438,402.1959711,339.7465381,390.0538441,335.2546009,1169.668234,1111.955044,1128.59215
adcA,245.4885514,241.7019787,231.2997603,292.1409431,232.1825181,268.31486,309.6510187,343.8589268,293.0930618
adcB,137.5815175,137.2103706,133.4254813,141.7402488,153.0995917,147.4303288,89.98525616,101.2680803,93.00097979
adcC,242.9786357,241.1114222,228.8117202,247.5924798,262.3267708,249.8171243,571.7946896,584.2519339,601.683616
adcR,124.3204549,130.1889887,129.2920046,155.4136683,144.8566482,139.2996115,178.3954557,162.2194013,159.2002308
adh1,104.3290017,114.5402623,110.69472,98.71409534,106.1506211,97.65629532,31.35760089,34.02169815,24.70151921
adh2,145.0399701,147.8878293,149.1326254,116.5020852,113.8261495,119.9713529,10.67254257,10.85518319,7.579626577
adk,1877.324478,1790.615471,1787.444278,1790.661428,1985.888274,1837.084524,36.77218109,38.98999454,28.5759736
agaD,3.791472721,4.968335732,3.568291246,3.216722051,4.7306674,4.054964869,28.57879871,30.24199145,21.2051723
agaF,4.427424462,1.577930864,1.753886141,3.505274669,2.818445026,3.664075308,16.47799276,15.65824337,11.50874111
agaS,53.44375692,54.40060101,57.67335685,44.21125046,46.80732577,50.56353462,12.69946017,13.33863848,12.61214608
agaV,3.540775479,2.826722774,3.141931,3.139693876,3.534295481,2.777019795,5.504774063,5.561808045,6.159709865
agaW,3.272707573,2.006077204,2.943303179,3.050141092,2.759052506,3.547446916,34.67781745,35.00667417,31.94857188
ahpC,800.7211915,790.8110817,863.5582844,649.5192735,696.5673843,765.13308,24.35636609,28.39975513,22.15368797
ahrC,224.3755468,240.8496291,231.034638,247.9008141,223.9254573,234.2189678,24.92115139,26.51401139,23.98505951
alaS,435.4171338,414.7867231,411.1000244,372.8473058,398.6898631,371.8231146,222.7964296,232.4159719,202.4328344
alr,389.6917675,405.2300003,393.4570069,342.2646548,360.5889384,312.6083685,149.8122494,161.1440324,126.7609011
amiC,223.0046102,243.8508033,233.8444721,284.6098332,331.2730549,315.8822278,49.42800303,51.22717937,42.02204813
apbA,1200.914243,1097.218977,1111.640783,1184.622243,1122.119963,1287.819979,504.2871274,537.94765,514.8774325
apt,856.0448961,812.1940999,792.2883411,793.2929612,837.6141661,774.6024638,197.1236093,195.8696098,180.0862168
araD,2.161229084,1.604178843,3.268945232,1.693801755,1.400827145,2.101296216,762.5549891,738.8073374,677.3782174
arcB,116.0439928,91.70502987,102.5509208,84.87443009,94.04684091,91.00565743,311.2329537,315.2787303,279.2362598
arcC,87.53690555,79.01691302,84.00948631,92.4702024,83.5317756,87.81777581,118.4093859,117.5807887,108.6833277
argR,108.1236299,98.22211072,100.9241386,79.53670357,85.42385786,86.20745051,86.313022,90.50926564,70.68616649
argS,502.4038972,478.8770918,487.1223691,393.9601404,452.0950731,407.0531802,41.64306501,42.95311058,32.09090503
aroA.1,146.7639113,149.373905,148.5849721,145.1268657,139.1056294,151.1393463,2468.852016,2638.033954,2757.243703
aroA.2,292.9420388,304.0554473,308.0042584,301.8741304,335.9979481,320.1860574,2617.401543,2886.684822,3597.798499
