Synonym,Expression.4C10,Expression.4N10,Expression.4A10,Expression.4A50,Expression.4A90
SPD_0001,67,90,89,153,182
SPD_0002,38,52,60,85,99
SPD_0003,42,34,36,51,74
SPD_0004,51,48,52,54,71
SPD_0005,39,26,29,39,59
SPD_0006,14,15,16,19,26
SPD_0007,79,80,66,68,121
SPD_0008,127,118,94,125,154
SPD_0009,102,104,73,123,144
SPD_0010,76,93,83,90,120
SPD_0011,43,52,57,49,74
SPD_0012,302,236,265,214,282
SPD_0013,189,170,237,159,162
SPD_0014,29,12,7,17,11
predicted RNA,20,22,26,124,48
predicted RNA,8,5,86,125,39
predicted RNA,121,109,90,80,91
SPD_0023,5,6,2,3,4
SPD_0024,110,110,83,93,84
SPD_0025,6,5,6,5,6
SPD_0027,30,40,34,33,31
SPD_0028,32,35,33,27,21
SPD_0029,23,25,22,22,15
SPD_0030,180,146,128,184,123
SPD_0031,56,41,46,62,36
SPD_0032,11,9,15,10,6
SPD_0033,221,249,142,189,191
SPD_0035,1,1,2,1,0
SPD_0036,3,3,5,4,4
SPD_0037,4,5,4,3,4
SPD_0038,85,91,93,64,50
SPD_0039,114,134,75,103,55
SPD_0040,113,111,86,78,72
SPD_0041,49,46,44,44,35
SPD_0042,38,34,43,39,29
SPD_0043,50,47,63,47,45
SPD_0044,49,54,73,55,59
SPD_0046,28,29,49,38,31
SPD_0047,49,45,77,38,43
SPD_0049,2,3,2,1,1
SPD_0050,3,3,2,2,2
SPD_0051,4,11,4,8,4
SPD_0052,1,5,2,4,3
SPD_0053,1,6,3,5,3
SPD_0054,2,7,5,8,6
SPD_0055,1,5,3,4,4
SPD_0056,2,5,3,4,4
SPD_0057,3,6,4,5,3
SPD_0058,9,23,13,20,10
SPD_0059,6,18,8,14,6
SPD_0060,11,19,13,17,14
SPD_0061,185,178,174,176,196
SPD_0062,54,69,52,60,44
SPD_0063,246,334,284,33,15
SPD_0064,186,177,125,161,133
predicted RNA,136,186,153,42,44
predicted RNA,88,127,96,14,18
predicted RNA,61,75,67,6,7
SPD_0065,49,76,85,33,38
SPD_0066,35,59,51,18,16
SPD_0067,78,130,127,43,42
SPD_0068,58,98,108,30,27
SPD_0069,83,132,162,34,50
predicted RNA,56,77,108,23,49
SPD_0070,58,87,121,32,30
predicted RNA,51,64,94,25,29
SPD_0071,21,33,52,11,12
SPD_0072,4,6,4,4,3
SPD_0073,13,15,11,17,18
SPD_0074,67,63,43,65,49
SPD_0075,5,4,3,5,1
SPD_0076,100,87,107,69,80
SPD_0077,71,59,90,50,52
SPD_0078,66,67,66,64,79
SPD_0079,20,24,20,21,24
SPD_0080,1,1,1,1,1
SPD_0081,92,93,64,53,43
SPD_0082,155,156,130,92,82
predicted RNA,393,282,291,244,303
SPD_0083,589,436,499,388,454
SPD_0084,40,40,34,30,22
SPD_0085,0,1,0,0,1
SPD_0086,113,94,118,70,77
SPD_0087,27,24,25,20,12
SPD_0088,304,681,559,104,66
SPD_0089,240,628,556,82,46
predicted RNA,101,227,196,22,11
predicted RNA,29,109,69,12,6
SPD_0090,734,1318,1391,173,86
SPD_0091,410,378,257,245,207
SPD_0092,215,436,296,96,71
SPD_0093,83,81,94,43,46
SPD_0094,109,119,121,59,69
SPD_0095,49,62,56,35,29
SPD_0096,50,64,49,36,40
SPD_0097,8,9,8,6,7
SPD_0098,58,58,41,62,71
SPD_0099,58,64,50,66,59
SPD_0101,73,76,69,50,39
SPD_0102,28,27,19,17,12
SPD_0103,42,39,28,26,24
