Gene,D39_CEP_RR07_A,D39_CEP_RR07_B,D39_CEP_RR07_C,D39_CEP_RR07_D,D39_A,D39_B,D39_C,D39_D
SPD_RS10420,42370,234020,653090,876740,30,770,640,460
SPD_RS10430,94720,550180,1281210,2010830,150,2540,1070,1130
SPD_RS10415,970,5670,19260,19520,10,30,10,10
SPD_RS10425,21420,103080,262540,401290,40,560,350,160
SPD_RS10435,27360,160410,553480,659620,90,840,400,380
SPD_RS10445,30010,219530,469740,767600,80,1150,1490,1000
SPD_RS01345,41520,226170,1345970,1509670,190,2040,4430,2320
SPD_RS02385,34890,178230,687950,1582350,240,2620,4010,2400
SPD_RS00485,48760,133570,234150,198030,80,4380,180,130
SPD_RS00320,122200,483240,1017190,556030,630,9660,2800,1050
SPD_RS00880,51950,260190,962900,790130,420,4230,7390,2760
SPD_RS00480,4550,12470,27670,16110,50,350,20,0
SPD_RS00475,24170,77710,71950,36410,80,2710,50,30
SPD_RS08145,20290,91490,568130,351850,320,2990,3020,1200
manA,26650,97110,429890,258520,280,1730,7330,2070
SPD_RS00785,22750,60900,64090,103110,170,1440,1840,1090
SPD_RS00780,8030,25420,37360,45430,70,540,1130,660
SPD_RS00775,10790,45860,74880,64160,140,940,2120,1250
SPD_RS00470,35680,97560,85070,43200,560,3390,170,30
SPD_RS10440,5500,34790,10960,17830,120,1210,160,60
SPD_RS05655,370,1030,1400,2780,0,60,230,50
SPD_RS03455,970,5270,20710,36240,30,780,910,470
SPD_RS05665,170,750,1300,1290,10,70,80,30
SPD_RS00795,50,210,450,640,0,10,50,30
treR,560,6360,23720,31940,80,610,1940,400
SPD_RS00360,810,4300,9870,14940,0,860,680,320
SPD_RS05660,240,1450,2000,2650,10,140,180,130
SPD_RS03085,960,4400,5920,8730,20,590,670,370
msrB,890,5140,10540,19180,40,480,1210,960
SPD_RS00355,2100,8260,22730,39360,100,2650,1440,350
treC,1420,20850,31520,33150,390,1760,1650,780
SPD_RS00350,1530,4320,8530,18820,100,1550,470,150
SPD_RS03090,370,2480,5090,10110,30,230,660,690
SPD_RS06490,670,3140,5070,5780,100,430,290,210
SPD_RS00495,10740,20400,69630,51030,610,4650,6200,5320
SPD_RS00800,50,220,480,1050,0,80,50,30
SPD_RS06485,930,4850,5420,4960,40,780,1560,770
SPD_RS00345,3040,6370,11360,25890,200,3440,540,250
SPD_RS10610,1600,4220,12730,9200,20,870,4470,1490
SPD_RS00340,4210,7770,9760,19540,290,4800,590,290
SPD_RS07410,1670,9330,13100,11190,220,1620,3570,1770
SPD_RS08870,150,2900,5000,5870,160,310,20,0
SPD_RS05340,4690,14070,14000,7570,390,3050,6650,3530
SPD_RS01635,30,70,190,280,10,20,60,10
mutY,5400,19450,66310,87480,930,4610,13120,8200
SPD_RS00805,60,390,170,530,10,140,60,0
SPD_RS04680,0,0,60,20,0,0,0,10
SPD_RS04315,230,840,3770,1710,20,390,820,260
SPD_RS01290,990,3330,7920,17250,80,1610,3930,1140
SPD_RS04320,570,1990,6510,3530,90,830,1250,510
SPD_RS01285,680,2570,4620,10710,60,1190,2260,830
SPD_RS02300,30,20,220,420,0,40,70,20
SPD_RS01625,30,80,330,490,10,40,70,50
SPD_RS10635,30,200,420,390,0,100,80,40
SPD_RS01620,20,80,240,390,10,30,90,20
SPD_RS10155,20,60,70,160,0,20,30,30
lacG,80,260,490,730,0,160,240,60
SPD_RS01280,2240,6480,16910,27160,330,3790,6890,2250
treB,1720,27810,44710,62520,1850,6410,330,160
SPD_RS05965,3750,18600,71110,89170,470,3050,31600,17280
SPD_RS00330,7850,29540,64290,71770,1880,17620,6890,2540
SPD_RS01615,60,180,460,600,0,100,160,100
leuB,850,5590,16990,31750,110,1180,8150,5510
