,Complete 1,Complete 2,Complete 3,Fe 1,Fe 2,Fe 3,Mn 1,Mn 2,Mn 3,FeMn 1,FeMn 2,FeMn3
SMU_184,228,241,223,287,230,205,15548,15520,16748,31576,29102,39452
SMU_183,199,166,150,314,273,256,16215,16003,17997,32586,30140,40748
SMU_186,1117,1062,971,1192,1203,866,15802,16958,17840,30655,29721,39234
SMU_182,252,224,285,1883,1768,1315,13677,14645,15646,25517,23430,28613
SMU_770c,1146,1086,1051,1949,1719,1615,6774,7061,7984,10833,10431,12229
SMU_185,26,21,17,21,22,11,1479,1419,1644,3047,2854,3540
SMU_768c,397,409,394,392,356,275,1733,1583,1895,2813,2740,3136
SMU_1337c,3598,3270,3246,4362,3459,2610,1319,1241,1289,1119,1058,1365
SMU_1335c,7690,7068,6681,9799,7753,5895,2943,2946,2935,2801,2324,3166
SMU_1366c,8146,7653,7613,9132,8415,6293,3920,4527,3849,2727,3022,3687
SMU_609,865,770,902,1252,1114,847,3023,3452,2803,3808,3463,4445
SMU_1187,4883,4341,4158,5971,5137,4189,6689,6414,7281,13524,11686,16562
SMU_1347c,19589,17906,18343,23413,21786,15735,9018,9869,9011,6895,7424,9753
SMU_1517,7493,7230,6894,7953,6988,5837,4246,4416,4613,4815,4510,5782
SMU_1348c,8128,7671,7625,9064,8429,6637,3975,4684,3768,2702,2967,3692
SMU_769,1084,1011,971,872,751,665,2025,2060,2040,2620,2480,2906
SMU_1339,33397,27354,29094,40948,31329,24290,11928,10452,11470,9827,8206,11588
SMU_1091,5057,4989,4887,5620,5626,4205,3024,3153,2889,2598,2506,3326
SMU_1286c,1166,1072,983,1501,1196,907,518,550,502,400,324,479
SMU_1336,4778,4102,4169,5896,4655,3492,1719,1517,1785,1603,1421,1848
SMU_1365c,21914,19570,20187,25823,23857,17099,9979,11082,9914,7605,8416,11035
SMU_910,22206,19885,19609,25903,25318,17776,7156,7475,7782,9814,8836,13030
SMU_1342,47032,36623,38237,53408,42408,36464,18919,15972,14910,12451,11021,15637
SMU_1062,29111,28619,26706,34930,32094,27030,12942,13409,15931,13269,11374,14573
SMU_1755c,820,711,691,857,879,725,3254,3841,3839,3565,3810,5806
SMU_1758c,1760,1688,1623,1997,1853,1629,7139,9286,8382,7587,7621,12036
