,WT1 reads,WT2 reads,metR1 reads,metR2 reads
SPD_0001,704,860,905,1575
SPD_0002,444,565,871,1276
SPD_0003,10,12,11,25
SPD_0004,331,197,176,341
SPD_0005,22,25,9,37
SPD_0006,417,414,132,216
SPD_0007,31,40,9,11
SPD_0008,14,34,7,10
SPD_0009,5,3,0,1
SPD_0010,289,264,71,83
SPD_0011,275,214,63,101
SPD_0012,237,230,124,237
SPD_0013,5782,3653,2250,4337
SPD_0014,0,0,0,0
SPD_0015,0,0,0,0
SPD_0016,0,0,1,0
SPD_0017,0,0,0,0
SPD_0018,2,0,2,3
SPD_0019,0,0,0,0
SPD_0020,0,0,0,0
SPD_0021,47,36,43,90
SPD_0022,15,6,4,9
SPD_0023,95,2,4,4
SPD_0024,2140,613,333,508
SPD_0025,3,4,8,11
SPD_0026,0,1,0,1
SPD_0027,20,17,4,12
SPD_0028,92,34,35,50
SPD_0029,505,173,64,143
SPD_0030,203,167,29,50
SPD_0031,180,82,14,23
SPD_0032,1,3,0,0
SPD_0033,453,259,130,185
SPD_0034,21,18,7,19
SPD_0035,24,6,5,11
SPD_0036,45,11,6,16
SPD_0037,205,43,33,57
SPD_0038,2147,1595,591,965
SPD_0039,465,180,333,464
SPD_0040,2123,2677,1505,2870
SPD_0041,746,649,387,681
SPD_0042,233,188,135,203
SPD_0043,414,281,168,310
SPD_0044,28,33,22,36
SPD_0045,20,15,3,19
SPD_0046,37,13,15,23
SPD_0047,29,23,7,18
SPD_0048,57,12,1,4
SPD_0049,792,69,47,97
SPD_0050,578,29,24,64
SPD_0051,7,1,1,2
SPD_0052,95,80,20,45
SPD_0053,66,71,12,21
SPD_0054,43,36,3,13
SPD_0055,12,10,2,8
SPD_0056,13,16,3,7
SPD_0057,152,127,82,117
SPD_0058,86,76,55,70
SPD_0059,42,24,24,63
SPD_0060,83,85,75,164
SPD_0061,21,35,15,43
SPD_0062,852,814,342,545
SPD_0063,148,216,62,77
SPD_0064,4193,4384,3644,5797
SPD_0065,110,177,36,33
SPD_0066,7,8,8,4
SPD_0067,26,34,12,26
SPD_0068,21,18,11,22
SPD_0069,15,16,8,10
SPD_0070,21,23,21,35
SPD_0071,13,13,5,10
SPD_0072,18,23,18,27
SPD_0073,79,68,35,42
SPD_0074,217,214,201,295
SPD_0075,63,76,24,52
SPD_0076,1938,1437,637,1020
SPD_0077,996,545,249,464
SPD_0078,111,68,41,58
SPD_0079,37,24,11,14
SPD_0080,1286,1743,1414,2889
SPD_0081,446,426,312,567
SPD_0082,1244,1105,813,1346
SPD_0083,940,601,255,495
SPD_0084,69,126,79,145
SPD_0085,436,462,361,557
SPD_0086,383,403,268,418
SPD_0087,26,16,15,16
SPD_0088,70,44,11,18
SPD_0089,55,43,13,17
SPD_0090,30,34,22,49
SPD_0091,3730,2063,3151,5268
SPD_0092,164,121,59,67
SPD_0093,1090,1024,2762,3685
SPD_0094,948,1200,2341,2234
SPD_0095,341,406,846,867
SPD_0096,45,51,127,111
SPD_0097,199,294,383,598
SPD_0098,506,337,120,159
SPD_0099,1023,809,179,289
SPD_0100,138,56,56,110
SPD_0101,504,479,440,685
SPD_0102,618,658,351,564
SPD_0103,309,420,256,241
SPD_0104,919,782,186,405
SPD_0105,11,6,3,4
SPD_0106,89,53,162,316
SPD_0107,566,658,454,718
SPD_0108,156,107,123,178
SPD_0109,26,38,39,26
SPD_0110,74,84,65,76
SPD_0111,227,194,178,146
SPD_0112,85,120,78,57
SPD_0113,7779,4178,3029,3044
SPD_0114,301,293,116,103
SPD_0115,2491,1888,736,633
SPD_0116,292,138,82,175
SPD_0117,260,174,199,250
SPD_0118,130,111,84,89
SPD_0119,628,402,429,403
SPD_0120,431,255,238,243
SPD_0121,129,97,69,71
SPD_0122,198,154,62,71
SPD_0123,28,29,10,8
SPD_0124,112,81,33,57
SPD_0125,6,2,1,3
SPD_0126,1598,2207,2290,4426
SPD_0127,626,411,426,820
SPD_0128,72,48,49,81
SPD_0129,1083,795,901,1498
SPD_0130,6706,6566,2396,3724
SPD_0131,158,211,72,125
SPD_0132,798,4,2,1
SPD_0133,382,1,0,2
SPD_0134,87,90,60,131
SPD_0135,55,67,45,58
SPD_0136,483,303,262,576
SPD_0137,55,59,21,49
SPD_0138,72,79,46,66
SPD_0139,63,53,36,47
SPD_0140,202,197,85,112
SPD_0141,61,84,41,50
SPD_0142,167,208,78,103
SPD_0143,594,857,426,519
SPD_0144,1337,1526,1347,1957
SPD_0145,1485,1821,4994,10658
SPD_0146,12399,10578,17803,30464
SPD_0147,11180,11265,13926,22661
SPD_0148,22815,24686,29287,45889
SPD_0149,376,386,309,429
SPD_0150,6440,4292,3893,6225
SPD_0151,1379,841,835,1469
SPD_0152,695,734,227,417
SPD_0153,644,594,228,432
SPD_0154,402,221,163,304
SPD_0155,24,26,6,8
SPD_0156,461,335,190,149
SPD_0157,893,653,330,357
SPD_0158,556,503,263,346
SPD_0159,1001,1116,642,985
SPD_0160,100,122,17,33
SPD_0161,5115,3702,202,195
SPD_0162,17,27,52,93
SPD_0163,46,65,94,149
SPD_0164,9,4,11,21
SPD_0165,1029,742,304,470
SPD_0166,47,33,13,20
SPD_0167,133,103,33,49
SPD_0168,32,54,14,40
SPD_0169,112,143,87,105
SPD_0170,242,237,192,288
SPD_0171,287,321,215,306
SPD_0172,234,187,142,242
SPD_0173,284,209,357,506
SPD_0174,292,330,152,253
SPD_0175,395,502,178,268
SPD_0176,1903,1857,1016,1612
SPD_0177,783,731,213,420
SPD_0178,1006,872,506,757
SPD_0179,474,482,230,387
SPD_0180,224,187,188,295
SPD_0181,1168,970,1353,2008
SPD_0182,1844,1203,1796,2754
SPD_0183,1132,1265,2315,3847
SPD_0184,319,511,505,825
SPD_0185,365,357,520,937
SPD_0186,1062,328,280,614
SPD_0187,698,660,1562,1984
SPD_0188,3,3,7,7
SPD_0189,22,13,27,70
SPD_0190,24,37,57,132
SPD_0191,66,57,110,202
SPD_0192,1555,1877,220,313
SPD_0193,3789,3100,293,539
SPD_0194,3186,2487,224,411
SPD_0195,633,575,46,88
SPD_0196,6522,5715,462,714
SPD_0197,1377,1201,93,144
SPD_0198,1000,844,60,112
SPD_0199,3257,2560,165,226
SPD_0200,1471,1197,83,113
SPD_0201,428,418,25,34
SPD_0202,818,678,32,81
SPD_0203,2112,1478,94,138
SPD_0204,964,933,38,67
SPD_0205,2709,2581,112,224
SPD_0206,4159,2689,168,221
SPD_0207,7833,5865,296,478
SPD_0208,4654,3125,165,236
SPD_0209,1806,1080,48,98
SPD_0210,3544,2044,129,183
SPD_0211,501,344,15,22
SPD_0212,1437,999,46,83
SPD_0213,7166,3989,236,386
SPD_0214,477,446,20,34
SPD_0215,965,660,56,71
SPD_0216,2950,2184,217,329
SPD_0217,1723,1402,146,190
SPD_0218,7069,4519,512,747
SPD_0219,1663,973,89,150
SPD_0220,17,13,15,25
SPD_0221,718,393,468,868
SPD_0222,430,236,327,629
SPD_0223,18,23,16,29
SPD_0224,6,3,5,5
SPD_0225,8,8,13,21
SPD_0226,1,3,2,6
SPD_0227,1,2,2,3
SPD_0228,4,1,2,7
SPD_0229,25,36,35,77
SPD_0230,16,14,6,17
SPD_0231,39,20,7,12
SPD_0232,2,4,3,1
SPD_0233,7,7,6,7
SPD_0234,53,55,63,89
SPD_0235,78,78,93,157
SPD_0236,14,15,23,22
SPD_0237,60,43,50,106
SPD_0238,2256,1480,1216,2078
SPD_0239,94,69,65,124
SPD_0240,60,35,45,100
SPD_0241,175,141,58,121
SPD_0242,127,104,29,80
SPD_0243,877,701,589,795
SPD_0244,604,527,356,454
