,Raw Counts WT  Replicate 1,Raw Counts WT  Replicate 2,Raw Counts 125g calp Replicate 1,Raw Counts 125g calp Replicate 2
SpyM3_r01,7982,1694,893195,1509
SpyM3_r02,68584,9574,1961188,11230
predicted RNA,48,8,2736,18
SpyM3_r13,33,26,877,32
SpyM3_r03,7862,1641,892816,1595
SpyM3_r04,68006,9534,1961183,11402
predicted RNA,58,6,2746,13
SpyM3_r14,36,25,805,30
SpyM3_r05,7975,1630,891166,1595
SpyM3_r06,67583,9683,1910957,11346
SpyM3_r15,31,25,925,30
predicted RNA,66,7,2582,19
SpyM3_r07,7984,1632,892774,1561
SpyM3_r08,68315,9608,1962317,11258
predicted RNA,64,6,2636,12
SpyM3_r16,23,20,780,13
SpyM3_0466,3571,1871,12861,70191
SpyM3_1035,731,316,11518,66276
SpyM3_r17,12,7,345,11
SpyM3_r09,106631,14109,2714195,18075
predicted RNA,106,11,3794,22
SpyM3_r10,12502,2484,1271793,2505
SpyM3_1615,186,66,4160,24287
SpyM3_r18,27,26,631,17
SpyM3_r11,107683,14281,2712528,18123
predicted RNA,98,15,3941,29
SpyM3_r12,12692,2510,1271476,2570
predicted RNA,107,28,2797,9491
SpyM3_1724,2505,885,74088,319121
SpyM3_1725,996,356,17815,107490
predicted RNA,1270,382,9,48
SpyM3_0100,1373,12906,134,125
SpyM3_0098,3971,37127,429,308
predicted RNA,999,9409,100,71
predicted RNA,2537,1260,18,149
SpyM3_0099,678,7239,76,74
SpyM3_1095,2741,407,3453,17041
SpyM3_0101,530,7050,83,71
predicted RNA,2485,555,17,149
SpyM3_0102,424,5228,69,60
SpyM3_0037,327588,400433,6880,17387
SpyM3_0305,2151,256,1753,7366
SpyM3_0905,968,5783,111,322
SpyM3_1719,1108,608,776,4915
SpyM3_0771,14538,11737,661,1228
SpyM3_1720,731,548,589,3641
predicted RNA,4417,157,1814,13590
SpyM3_1721,1698,1167,1375,6259
SpyM3_1722,1369,978,1004,5513
predicted RNA,817,79,637,1219
SpyM3_1853,12616,554,6896,33208
SpyM3_1093,7543,2895,5504,28025
