,JE84-1-05,JE84-2-05,JE84-3-05,JE84-1-15,JE84-2-15,JE84-3-15,WT-1-05,WT-2-05,WT-3-05,WT-1-15,WT-2-15,WT-3-15,,
M5005_Spy0001,7675,12752,7098,2865,3270,2488,4862,8930,15773,9343,8038,16222,,
M5005_Spy0002,9550,11972,8682,5732,6858,5133,5710,10382,18247,11587,9527,19285,,
M5005_Spy0003,639,1616,527,110,125,84,450,1029,2731,450,318,683,,
M5005_Spy0004,13449,16778,13339,2450,2619,2460,13199,16567,30324,6860,5813,7054,,
M5005_Spy0005,1715,2409,1693,245,242,207,1724,2270,4871,870,658,915,,
M5005_Spy0006,10149,12837,11305,1752,1996,1669,9024,11658,20672,4991,3806,5651,,
M5005_Spy0007,1186,1256,1260,215,263,215,954,1099,2083,624,551,708,,
M5005_Spy0008,1147,1299,1224,217,308,263,940,1245,1956,754,625,850,,
M5005_Spy0009,505,1292,489,87,122,102,281,1126,2033,258,200,291,,
M5005_Spy0010,7137,10292,7059,1359,1684,1394,4961,8228,13956,3790,2984,4600,,
M5005_Spy0011,14067,15312,13034,1182,1320,1015,6856,9363,17524,4590,4593,4910,,
M5005_Spy0012,20458,27527,20616,929,926,764,14016,19345,48846,6947,7307,6681,,
M5005_Spy0013,47784,90458,38181,2382,2633,2503,22803,53352,108270,14888,13631,15050,,
M5005_Spy0014,4942,5461,4929,789,810,727,5622,6631,12965,2284,1830,1558,,
M5005_Spy0015,162,211,140,12,15,24,92,108,1246,28,27,36,,
M5005_SpyR0001,535,1096,549,278,221,269,245,452,14498,232,344,299,,
M5005_SpyT0001,3,6,4,1,0,1,2,5,121,1,1,1,,
M5005_SpyR0002,443,833,600,521,354,514,376,651,44257,452,833,882,,
M5005_SpyR0003,4,16,6,1,1,2,3,6,181,2,2,5,,
M5005_SpyT0002,13,17,13,0,1,0,7,8,166,2,1,2,,
M5005_SpyT0003,54,68,45,1,1,0,28,37,301,7,6,6,,
M5005_SpyT0004,160,345,127,4,3,2,80,219,718,18,20,14,,
M5005_SpyT0005,259,707,202,6,4,3,135,475,1422,30,32,22,,
M5005_SpyT0006,246,647,212,5,4,4,144,442,1269,31,31,22,,
M5005_SpyT0007,158,373,148,3,3,3,104,291,833,23,20,16,,
M5005_SpyT0008,150,249,142,7,8,7,103,217,639,30,27,22,,
M5005_SpyT0009,119,207,91,7,8,7,67,187,582,29,27,22,,
M5005_SpyT0010,131,191,115,10,10,8,93,185,566,38,32,30,,
M5005_SpyR0004,523,1080,550,280,223,271,251,428,13912,238,343,304,,
M5005_SpyT0011,3,6,4,1,0,1,2,5,121,1,1,1,,
M5005_SpyR0005,443,833,600,521,354,514,376,651,44257,452,833,882,,
M5005_SpyR0006,4,16,6,1,1,2,3,6,181,2,2,5,,
M5005_SpyT0012,13,17,13,0,1,0,7,8,166,2,1,2,,
M5005_SpyT0013,54,68,45,1,1,0,28,37,301,7,6,6,,
M5005_SpyT0014,160,345,127,4,3,2,80,219,718,18,20,14,,
M5005_SpyT0015,259,707,202,6,4,3,135,475,1422,30,32,22,,
M5005_SpyT0016,246,647,212,5,4,4,144,442,1269,31,31,22,,
M5005_SpyT0017,158,373,148,3,3,3,104,291,833,23,20,16,,
M5005_SpyT0018,150,249,142,7,8,7,103,217,639,30,27,22,,
M5005_SpyT0019,119,207,91,7,8,7,67,187,582,29,27,22,,
M5005_SpyT0020,146,207,123,10,11,9,100,200,570,40,35,31,,
M5005_SpyT0021,329,428,471,24,35,30,334,284,1024,151,118,110,,
M5005_SpyT0022,427,534,570,29,40,36,406,388,1199,177,142,130,,
M5005_SpyT0023,469,586,606,26,38,28,439,502,1430,188,147,106,,
M5005_SpyT0024,238,361,218,7,9,8,167,339,788,51,47,25,,
M5005_SpyT0025,216,366,207,3,5,3,142,277,759,25,31,13,,
M5005_SpyT0026,153,254,175,3,4,4,116,166,475,28,27,23,,
