Id,WT.1,WT.2,WT.3,X13.1,X13.2,X13.3,X14.1,X14.2,X14.3,X15.1,X15.2,X15.3
GALLO_RS00005,6866,7805,8972,8698,7415,8355,8988,6255,8853,8254,9537,7992
GALLO_RS00010,6738,8593,9094,8030,8275,8535,9018,6814,9407,8650,10683,8829
GALLO_RS00015,7963,9343,9375,14184,10685,12560,9318,7622,7681,9493,11697,6535
GALLO_RS00020,1647,2242,2520,3526,2639,3467,2316,1683,2143,2414,3174,1860
GALLO_RS00025,9464,10136,10219,15581,9170,12804,13355,8226,10241,12604,12647,8729
GALLO_RS00030,736,761,1018,1330,735,1061,1146,722,975,1139,1193,844
GALLO_RS00035,4695,5278,6649,7676,5260,6615,7221,4548,6672,6780,7271,5612
GALLO_RS00040,748,867,1086,1119,881,1030,1044,786,1015,968,1252,917
GALLO_RS00045,1008,1110,882,1057,978,949,1042,921,824,1024,1200,736
GALLO_RS00050,1459,1971,1484,1536,1549,1518,1525,1441,1328,1467,1872,1142
GALLO_RS00055,990,815,609,1000,832,744,1073,880,604,856,1065,580
GALLO_RS00060,6527,7684,6038,7999,6807,6055,7703,6259,5894,7448,9259,5107
GALLO_RS00065,4165,5449,4600,5308,5236,4474,4428,3997,3310,4166,6426,3137
GALLO_RS00070,11799,15365,11934,14402,14630,12187,11156,11732,8281,10924,16808,8146
GALLO_RS00075,58941,78472,62841,64841,67927,56692,57576,60098,51650,55863,84556,51802
GALLO_RS00080,96,179,89,76,144,76,94,134,73,91,147,60
GALLO_RS00085,1645,660,636,1992,1376,1022,1087,891,1025,1468,593,1042
GALLO_RS00090,51,63,57,46,46,47,46,22,72,19,9,7
GALLO_RS00095,6007,3509,4380,8188,6390,7524,10089,6286,9208,14980,5711,12044
GALLO_RS00100,105,105,82,55,72,54,41,59,123,14,8,13
GALLO_RS00105,86,91,111,68,70,75,37,49,130,16,17,5
GALLO_RS00110,128,117,117,123,79,105,100,79,127,59,49,25
GALLO_RS00115,150,135,163,165,91,135,125,98,175,81,72,43
GALLO_RS00120,2401,1725,2782,3215,1513,2025,3959,1296,3126,3012,2311,1798
GALLO_RS00125,1507,1421,1398,1225,1160,1093,919,820,1412,543,504,301
GALLO_RS00130,101,57,81,148,63,75,130,55,94,98,63,52
GALLO_RS00135,2433,2855,3487,2176,1997,2386,2349,1621,3392,1262,994,733
GALLO_RS00140,205,285,274,154,196,205,150,125,271,106,100,64
GALLO_RS00145,11,17,19,20,16,21,14,16,25,13,18,11
GALLO_RS00150,1314,901,962,1790,815,1008,1820,772,1183,1530,1130,689
GALLO_RS00155,79,66,53,116,56,72,94,56,82,56,46,28
GALLO_RS00160,1570,1626,1692,1497,1337,1269,1484,1193,1612,878,718,377
GALLO_RS00165,228,201,281,301,211,201,332,180,272,259,184,119
GALLO_RS00170,314,260,460,324,222,351,333,198,493,244,178,169
GALLO_RS00175,146,122,149,178,91,110,160,78,150,107,89,48
GALLO_RS00180,187,126,151,237,116,131,210,87,166,178,101,61
GALLO_RS00185,3025,2317,3101,3892,2137,2639,3841,1782,3616,2119,1566,1232
GALLO_RS00190,7188,5567,6934,10830,5761,6615,11645,5107,7506,9708,7606,6085
GALLO_RS00195,1356,1051,1101,1894,937,1134,2211,880,1402,2367,1886,1336
GALLO_RS00200,111074,141352,110041,102209,125590,108385,105065,110755,101490,99381,142720,95997
GALLO_RS00205,14699,13776,16213,19355,12458,14298,23213,11650,18376,20283,18048,14608
GALLO_RS00210,3310,4282,3927,3580,3878,3416,3466,3288,3688,3217,4692,3000
GALLO_RS00215,1488,1800,1879,1480,1759,1516,1676,1602,1707,1656,2479,1557
GALLO_RS00220,5132,5897,4684,5979,5404,4642,5338,5116,4366,4860,6641,3674
GALLO_RS00225,1618,1872,1596,1701,1706,1373,1729,1710,1400,1508,2268,1218
GALLO_RS00230,97,113,70,118,97,76,99,93,70,101,131,78
GALLO_RS00235,576,789,578,632,711,471,609,637,499,578,993,603
GALLO_RS00240,275,329,270,298,308,248,277,266,231,278,445,295
GALLO_RS00245,209,336,249,264,306,238,244,254,182,244,395,232
GALLO_RS00250,89,138,104,119,120,91,105,100,74,109,165,81
GALLO_RS00255,500,741,548,524,658,494,521,662,380,509,855,450
GALLO_RS00260,1316,1949,1339,1308,1709,1113,1350,1615,1111,1255,2241,1095
