IDs,CvD1,CvD2,CvD3,WR1,WR2,WR3
ABJ53605.1,60,66,50,43,56,38
ABJ53606.1,2,4,3,5,0,2
ABJ53607.1,0,8,11,1,6,3
ABJ53608.1,21,31,23,33,33,32
ABJ53609.1,5,9,5,9,5,4
ABJ53610.1,0,0,0,0,4,0
ABJ53611.1,51,46,79,141,125,115
ABJ53612.1,1,3,2,2,1,3
ABJ53613.1,7,3,1,5,2,4
ABJ53614.1,8,9,4,5,7,7
ABJ53615.1,1,3,9,4,4,4
ABJ53616.1,22,27,38,24,34,36
ABJ53617.1,8,19,10,14,8,7
ABJ53618.1,36,55,51,23,35,24
ABJ53619.1,8,7,8,10,8,8
ABJ53620.1,0,3,2,0,0,1
ABJ53621.1,2,0,0,1,1,0
ABJ53622.1,5,8,6,4,4,4
ABJ53623.1,1,6,3,2,3,5
ABJ53624.1,2,3,2,2,0,1
ABJ53625.1,4,0,0,2,1,1
ABJ53626.1,1,1,0,0,0,2
ABJ53627.1,1,2,4,2,2,1
ABJ53628.1,31,26,24,42,53,32
ABJ53629.1,0,1,3,1,3,1
ABJ53630.1,1,6,7,4,7,2
ABJ53631.1,5,5,3,3,3,4
ABJ53632.1,0,1,0,0,1,0
ABJ53633.1,2,2,2,2,6,0
ABJ53634.1,24,31,43,34,29,20
ABJ53635.1,7,5,3,5,3,6
ABJ53636.1,3,6,4,6,6,7
ABJ53637.1,0,3,0,2,0,0
ABJ53638.1,1,1,2,3,1,1
ABJ53639.1,10,11,7,3,2,9
ABJ53640.1,3,6,4,7,4,6
ABJ53641.1,3,2,1,3,0,3
ABJ53642.1,10,5,4,15,4,6
ABJ53643.1,40,50,45,78,78,55
ABJ53644.1,5,4,5,3,1,4
ABJ53645.1,599,821,837,609,652,596
ABJ53646.1,0,0,0,2,1,2
ABJ53647.1,2,2,1,2,3,2
ABJ53648.1,109,124,91,173,202,157
ABJ53649.1,7,11,5,9,6,9
ABJ53650.1,6,7,2,9,7,9
ABJ53651.1,8,9,6,10,14,12
ABJ53652.1,44,118,86,59,77,59
ABJ53653.1,1,1,2,2,3,1
ABJ53654.1,2,12,2,7,6,2
ABJ53655.1,313,262,325,363,399,290
ABJ53656.1,0,0,0,2,0,0
ABJ53657.1,12,5,9,5,13,3
ABJ53658.1,2,9,10,7,10,4
ABJ53659.1,6,7,15,6,6,9
ABJ53660.1,1,2,0,3,2,1
ABJ53661.1,1,2,1,0,1,0
ABJ53662.1,3,10,5,13,15,11
ABJ53663.1,137,140,141,223,206,160
ABJ53664.1,1,3,0,0,1,0
ABJ53665.1,31,35,21,23,29,19
ABJ53666.1,0,1,0,0,0,0
ABJ53667.1,4,7,3,5,4,1
ABJ53668.1,1,2,1,3,0,1
ABJ53669.1,3,4,3,3,8,7
ABJ53670.1,3,4,5,2,0,5
