GeneID,X51122,X51123,X51124,X51125,X51126,X51127,X51128,X51129,X51130,X51131,X51132,X51133
EW021_RS00005,5914,4527,5926,7070,7150,5300,286,3614,582,252,171,578
EW021_RS00010,9559,7647,10292,7912,7925,6029,506,3259,633,431,309,699
EW021_RS00015,373,325,379,481,351,283,11,849,157,31,16,132
EW021_RS00020,3710,2460,4664,2822,2940,2577,522,3136,634,229,186,665
EW021_RS00025,668,665,1359,696,530,374,37,1244,142,41,25,123
EW021_RS00030,4726,4223,10483,3872,3332,2159,340,9548,1442,404,184,1213
EW021_RS00035,357,387,704,442,299,236,50,868,163,50,21,137
EW021_RS00040,595,740,1360,798,670,530,60,915,127,50,39,165
EW021_RS00045,1809,1749,3975,2014,1654,1339,252,2802,440,103,131,461
EW021_RS00050,1306,1901,3120,2524,2358,2752,121,2492,377,77,84,326
EW021_RS00055,7228,6523,5375,8148,7379,8891,258,2056,383,135,163,569
EW021_RS00060,78469,69133,80458,49871,52392,59312,30704,25357,15476,25659,24049,16123
EW021_RS00065,4117,3077,2775,4321,3755,3946,165,4231,659,243,140,580
EW021_RS00175,282,399,179,908,277,174,25,1441,280,79,33,241
EW021_RS00180,53138,32928,59439,53639,62319,45457,2148,2605,1309,896,963,1171
EW021_RS00185,5981,3556,8232,5444,5803,4280,1859,3724,1533,1205,1119,1522
EW021_RS00190,679,739,640,1033,802,638,112,3154,502,162,103,574
EW021_RS00195,5708,4903,4474,5135,4315,3278,2057,6036,1886,1102,1534,2066
EW021_RS00200,358,241,262,332,195,126,138,891,144,80,89,132
EW021_RS00205,422,901,556,1482,412,232,1186,4604,714,1543,938,4361
EW021_RS00210,3593,4228,3684,4160,1720,1985,24275,20662,6021,26229,20761,58189
EW021_RS00215,1938,2052,2029,2037,837,1053,12326,9660,3115,13603,12528,25500
EW021_RS00220,1325,1459,1375,1609,655,655,10022,7638,2490,10689,10262,18416
EW021_RS00225,853,881,857,1073,399,438,6380,4216,1602,6844,6222,11242
EW021_RS00230,2323,2283,2512,2034,982,1154,10519,7848,2397,10863,9330,17118
EW021_RS00235,555,994,892,1211,431,312,1648,4257,855,2213,2250,3701
EW021_RS00240,1436,2047,1303,2070,840,759,2441,4330,1042,2429,2320,3459
EW021_RS00245,373,487,317,472,180,192,735,981,245,682,667,887
EW021_RS00250,1097,1498,1277,1482,654,635,2088,3512,813,2039,1782,2463
EW021_RS00255,2027,3478,3703,3430,1706,1324,1483,8307,1806,1420,1424,2623
EW021_RS00260,3885,4217,5103,3154,1969,2214,3125,4623,1365,1978,1910,2571
EW021_RS00265,1188,1801,793,1988,532,361,372,3552,859,276,340,862
EW021_RS00270,15200,12179,7822,11309,8229,7234,1937,2919,1199,673,842,1362
EW021_RS00275,3982,2948,1961,2842,2533,2333,1024,1244,1217,295,779,2600
