GeneID,X50274,X50275,X50276,X50289,X50290,X50291,X50304,X50305,X50306,X50319,X50320,X50321,X50334,X50335,X50336,X50349,X50350,X50351
EQB47_RS00005,5319,3089,4500,8078,5245,5751,5269,3110,2711,7397,4371,5376,4114,2397,5410,5483,5119,3481
EQB47_RS00010,6159,3162,4371,7664,5456,5413,5654,3561,2832,7895,4134,4750,5087,2753,5122,5645,5262,3467
EQB47_RS00055,2072,6531,7883,3991,9338,7194,1944,5990,4406,3702,6698,5651,1554,4975,7904,2512,6729,5589
EQB47_RS00505,41,21562,22108,63,22006,21816,76,19612,13643,52,22913,18267,42,22714,25883,33,38418,18567
EQB47_RS05005,3339,1197,1907,4829,1766,1944,3880,1237,1142,4615,1338,1564,2920,1030,2375,4039,1677,1362
EQB47_RS05010,1166,5335,3436,2345,6183,3677,1582,4783,2719,2868,4814,3250,1166,4456,4033,1971,5056,4044
EQB47_RS05015,206,102,170,213,185,207,218,112,93,247,140,150,170,98,190,219,172,110
EQB47_RS05020,3280,4132,4053,6067,3552,2479,4613,2551,2760,4676,2662,1667,2533,4299,3509,4749,2619,3615
EQB47_RS05030,13385,7352,9702,22909,9687,9401,12384,7346,7661,17491,7140,8822,10390,5960,11110,13403,10467,9464
EQB47_RS05035,9485,3793,4841,14806,4735,4630,9424,3741,3873,12279,3923,4201,7973,3432,5392,10401,5022,4667
EQB47_RS05040,5286,3841,3745,5303,5929,5005,5747,4035,2634,8705,4180,3953,4446,3253,4969,6837,5025,3939
EQB47_RS05045,264,138,184,280,275,216,279,118,142,276,199,197,126,122,147,263,166,197
EQB47_RS05050,1824,2407,2987,2915,3525,2941,1976,2274,1805,2576,2560,2691,1440,2153,2991,2169,3202,2300
EQB47_RS00510,16,11472,11687,22,12189,11891,38,11251,7508,19,12274,10228,11,12928,14255,22,21260,10071
EQB47_RS05055,3794,4477,5385,5130,6287,5208,4042,3858,3012,5203,4455,4285,3047,3603,4905,4343,5549,4022
EQB47_RS05060,3565,3016,4113,5085,4826,4422,3971,2637,2760,4717,3638,3564,3224,3109,4236,4139,4387,3325
EQB47_RS05065,9054,7824,10391,13455,12014,11322,10250,7003,7146,12562,8723,8564,7727,7634,10689,11228,10712,8307
EQB47_RS05070,4437,4111,5345,6756,6648,6018,4927,3773,3701,6363,4708,4502,3574,3920,5426,5541,5883,4242
EQB47_RS05075,14964,13479,17249,21611,21737,19144,16774,12969,11823,21468,16226,15649,12455,12427,17445,17592,19599,13831
EQB47_RS05080,8780,8403,10815,15786,12966,12108,8606,7347,7117,11424,10114,9857,6841,7870,11247,8819,11732,8358
EQB47_RS05085,3818,2137,2969,7884,3405,3168,4518,1777,1723,4989,2160,2490,2919,1775,2792,4066,2813,2241
EQB47_RS05090,2149,8665,12881,5763,10657,8047,2171,3935,5826,2901,12653,7750,1424,4197,6790,2350,3495,5750
EQB47_RS05095,2098,2531,3354,3340,3679,3085,2113,1991,1473,2758,2816,2727,1559,1764,2563,2407,2743,1886
EQB47_RS05100,294,337,456,475,484,427,299,230,193,441,374,335,233,213,323,330,337,235
EQB47_RS00515,47,8414,9352,58,8459,9317,88,6718,4622,57,8602,6641,50,9855,7602,64,12848,6287
EQB47_RS05105,86,31,54,93,63,93,66,36,31,63,46,61,45,12,53,56,83,36
EQB47_RS05110,91,38,64,129,78,88,81,48,37,101,41,60,75,21,86,79,84,34
EQB47_RS05115,83347,6858,7977,79121,13089,12642,91185,7595,5545,112237,8589,9779,68809,4738,11422,85376,12478,7820
EQB47_RS05120,21776,5116,6402,37430,9042,9858,20466,5756,3793,25250,6503,7343,15638,4400,8147,18832,9253,5707
EQB47_RS05125,14927,4434,5535,30141,6427,7333,14322,4547,2650,16788,4700,5297,11751,3988,6075,13625,6726,3915
EQB47_RS05130,19575,6303,7601,35969,8871,9532,19193,6115,3695,22787,6679,7436,13707,5540,7435,15960,8892,5652
EQB47_RS05135,917,1255,1617,3116,1444,1619,989,937,518,1065,1082,1212,678,956,1190,917,1460,923
EQB47_RS05140,807,930,1190,2728,989,1082,824,626,371,877,733,793,480,722,958,852,977,677
EQB47_RS05145,18,71,96,39,82,101,17,53,31,29,79,69,8,54,82,22,80,58
EQB47_RS05150,659,684,979,939,831,995,574,475,319,765,590,840,415,515,778,645,855,582
