,Co1,Co2,Co3,Fe1,Fe2,Fe3,nor1,nor2,nor3
SSUSC84_RS00850,1642,2195,1856,1234,1385,1255,1978,1697,1375
SSUSC84_RS05775,40,44,42,28,30,28,88,34,48
SSUSC84_RS01265,105,173,154,91,118,93,242,203,185
SSUSC84_RS00605,0,0,0,0,0,0,0,0,0
SSUSC84_RS09830,1759,2664,2318,1288,1584,1573,2069,1449,954
SSUSC84_RS10200,734,1178,1077,805,974,830,748,500,446
SSUSC84_RS00170,0,0,0,0,0,0,0,0,0
SSUSC84_RS05590,928,1423,1161,627,693,626,1885,1739,1471
SSUSC84_RS07025,1807,2481,1948,1442,1508,1476,2896,2478,2125
SSUSC84_RS10610,12,13,13,5,8,7,19,18,8
SSUSC84_RS08575,5308,7673,5707,3763,4348,3966,5872,6304,4006
SSUSC84_RS08485,7901,10965,11344,11015,16606,13550,10186,8566,5596
SSUSC84_RS08415,344,471,390,419,650,607,540,552,443
SSUSC84_RS01400,6631,8976,9749,14035,12743,10615,6170,5195,5405
SSUSC84_RS02355,1419,2062,1837,1610,1705,1733,1680,1406,1362
SSUSC84_RS09155,905,1350,1008,630,671,610,1351,1543,1200
SSUSC84_RS06460,2365,3223,3109,2339,2683,2333,3833,2927,2809
SSUSC84_RS03530,4,6,7,6,7,13,2,3,3
SSUSC84_RS10620,71,83,79,72,56,62,97,111,87
SSUSC84_RS08460,29078,42275,34636,22908,32651,28653,59817,47117,39120
SSUSC84_RS09945,6,6,8,23,44,39,1,7,1
SSUSC84_RS08745,0,0,0,0,0,0,0,0,0
SSUSC84_RS10010,2286,3280,3086,2244,3313,3435,6067,7083,5873
SSUSC84_RS03095,610,779,733,1677,1284,1217,468,387,286
SSUSC84_RS03775,118,195,153,370,306,234,161,138,78
SSUSC84_RS08075,80,100,84,57,61,64,146,145,112
SSUSC84_RS02430,799,1052,716,647,733,516,1642,2034,1042
SSUSC84_RS07425,2232,2951,3464,6290,6110,5366,932,970,907
SSUSC84_RS00810,0,0,0,0,0,0,0,0,1
SSUSC84_RS05190,0,0,0,0,0,0,0,0,0
SSUSC84_RS01335,481,619,574,366,422,400,819,803,636
SSUSC84_RS03115,2223,2969,3237,3375,3555,3204,2336,1937,1799
SSUSC84_RS04795,59,63,50,39,38,26,109,74,52
SSUSC84_RS09730,0,2,4,6,2,2,16,11,6
SSUSC84_RS04710,1,2,10,10,10,2,7,4,4
SSUSC84_RS03035,200,377,590,176,469,598,1307,1319,1908
SSUSC84_RS09765,18674,22893,21598,43557,55691,52580,22970,18787,17295
SSUSC84_RS07295,3241,4163,3507,2865,3078,2858,3808,3800,3005
SSUSC84_RS03275,134,225,208,135,206,184,232,205,170
SSUSC84_RS05360,32,36,46,27,33,44,43,49,46
SSUSC84_RS03600,652,971,888,515,544,584,874,599,474
SSUSC84_RS10625,35,32,40,100,70,94,19,26,27
SSUSC84_RS09500,361,585,467,134,184,135,542,656,411
SSUSC84_RS03015,2247,3377,2822,1324,1433,1343,4458,3889,3629
SSUSC84_RS02075,8566,12725,10921,5997,6649,6228,11106,10871,8920
SSUSC84_RS03270,8,15,16,14,14,18,17,14,18
SSUSC84_RS07005,327,530,438,625,711,607,435,397,339
SSUSC84_RS06220,56,51,51,51,51,38,48,38,28
SSUSC84_RS02255,43,41,51,88,93,38,25,20,11
SSUSC84_RS04540,21,40,37,51,50,40,50,39,25
SSUSC84_RS05850,7088,9306,8040,5344,5865,5480,9732,8594,8032
SSUSC84_RS02710,1877,2656,2661,3032,3792,3272,1171,1232,935
SSUSC84_RS06810,551,859,769,646,748,583,715,379,320
SSUSC84_RS08515,2039,2899,2546,1975,2003,2280,2533,2665,2251
SSUSC84_RS08185,875,1439,1294,907,1173,994,1473,1151,998
SSUSC84_RS08505,911,1442,945,1460,1596,1320,875,970,595
SSUSC84_RS04765,2352,2390,2007,2542,2414,1748,2606,2035,1521
SSUSC84_RS00340,0,0,0,0,0,0,0,0,0
SSUSC84_RS08595,1042,1050,1048,4176,3427,3200,535,573,446
SSUSC84_RS08825,1131,1910,1548,1148,1311,1313,951,1521,936
SSUSC84_RS03345,2749,3691,2625,1022,1138,931,4610,4425,3058
SSUSC84_RS09590,266,396,321,1065,1085,1042,233,212,162
SSUSC84_RS09715,119,213,144,66,95,77,143,137,107
SSUSC84_RS03855,1089,1572,1317,1211,1291,1292,1297,1311,1211
SSUSC84_RS04510,0,1,1,0,3,2,1,0,0
SSUSC84_RS05970,587,839,761,683,658,680,707,569,448
SSUSC84_RS04845,511,675,573,689,672,589,841,873,581
SSUSC84_RS05285,0,0,0,0,0,0,0,0,0
SSUSC84_RS09940,252,399,512,1811,2298,2242,201,165,193
SSUSC84_RS04380,107,188,162,75,95,79,209,177,188
SSUSC84_RS04025,98,166,125,31,56,24,199,186,193
SSUSC84_RS02305,1354,2435,2014,1185,1486,1354,1893,1233,1005
SSUSC84_RS00770,508,597,518,107,110,151,888,810,696
SSUSC84_RS06715,45,67,59,46,70,58,50,54,46
SSUSC84_RS03960,2674,3756,3659,3489,4302,4081,2645,2390,2109
SSUSC84_RS07375,180,218,247,179,212,159,223,209,148
SSUSC84_RS08355,360,390,210,205,188,122,496,397,274
SSUSC84_RS04245,477,692,607,540,700,666,653,582,530
SSUSC84_RS02545,7,10,11,9,11,11,15,11,12
SSUSC84_RS08540,148,185,148,172,147,198,331,332,328
SSUSC84_RS08585,1452,1886,1771,1754,1716,1562,1684,1619,1387
SSUSC84_RS02050,755,1271,1011,961,980,947,956,873,660
SSUSC84_RS01125,146,167,158,125,139,113,284,257,208
SSUSC84_RS06405,97,141,127,100,116,92,168,165,139
SSUSC84_RS10230,192,297,273,428,399,348,169,177,167
SSUSC84_RS00830,1794,2509,2024,2135,2240,2071,2051,2003,1616
SSUSC84_RS08850,325,550,489,594,781,694,226,278,203
SSUSC84_RS02955,1110,1480,1057,1222,1303,1014,1695,1284,972
SSUSC84_RS08295,174,225,208,156,177,206,216,208,194
SSUSC84_RS07640,2772,3855,3725,4237,4903,4423,2196,2062,1745
SSUSC84_RS01235,819,1092,844,914,1008,833,1454,1423,1035
SSUSC84_RS07235,12,11,6,13,12,11,12,8,7
SSUSC84_RS03965,129,156,175,216,188,202,142,116,135
SSUSC84_RS05150,4851,7204,5006,3268,3216,2939,8832,8862,7640
SSUSC84_RS05095,69,69,45,39,28,40,88,82,66
SSUSC84_RS05185,1101,1452,1106,1979,1965,1454,1165,1336,805
SSUSC84_RS06855,247,336,333,169,267,222,488,298,309
SSUSC84_RS03300,242,400,394,251,337,312,325,340,297
SSUSC84_RS02235,21,31,27,12,14,9,81,47,82
SSUSC84_RS03550,12,19,20,12,10,10,14,10,8
SSUSC84_RS05765,73,101,154,127,176,167,207,133,162
SSUSC84_RS08710,415,597,557,323,422,380,1037,1066,785
SSUSC84_RS07330,81,71,240,395,628,747,26,22,40
SSUSC84_RS09920,0,0,0,1,2,1,0,0,0
SSUSC84_RS07075,230,326,282,324,276,263,352,296,252
SSUSC84_RS07720,13413,17145,14254,16762,17036,15835,13370,15132,10366
SSUSC84_RS09485,10,16,8,8,15,10,8,12,8
SSUSC84_RS02720,653,978,626,138,170,136,1496,1677,1177
SSUSC84_RS02645,651,752,487,426,442,331,568,438,271
SSUSC84_RS00640,0,0,0,0,0,0,0,0,0
SSUSC84_RS06505,4015,6032,5007,2872,3357,3094,7486,7258,5832
SSUSC84_RS09685,4,7,10,13,10,15,3,5,8
SSUSC84_RS01070,233,321,306,292,403,357,374,356,256
SSUSC84_RS07830,3246,4628,4023,5103,4792,4104,3860,3167,2690
SSUSC84_RS06255,628,887,836,555,680,599,925,670,718
SSUSC84_RS00425,52,51,47,125,103,94,17,12,19
SSUSC84_RS04855,537,922,848,998,1402,1162,1072,1096,974
SSUSC84_RS05965,2103,3184,2722,2151,2517,2324,2764,2055,1840
SSUSC84_RS00020,32,49,30,26,18,26,54,57,30
