,WT,T287A,D53E
HSISS4_00001,27733,17243,18645
HSISS4_00002,31702,16184,24809
HSISS4_00003,1444,651,851
HSISS4_00004,32797,32606,26954
HSISS4_00005,4060,2350,1363
HSISS4_00006,33183,21832,15326
HSISS4_00007,3813,805,4931
HSISS4_00008,5325,5094,6241
HSISS4_00009,2509,1040,3171
HSISS4_00010,17960,14754,22841
HSISS4_00011,9469,3993,8457
HSISS4_00012,28491,15190,45412
HSISS4_00013,109830,109942,170657
HSISS4_00014,6740,2234,6370
HSISS4_00015,1098,583,349
HSISS4_00016,162940,174408,80931
HSISS4_00017,52113,38611,33304
HSISS4_00018,12853,5460,9597
HSISS4_00019,8525,3603,5569
HSISS4_00020,16330,14924,19233
HSISS4_00021,6129,3868,8500
HSISS4_00022,13761,8007,7792
HSISS4_00023,77062,69931,43639
HSISS4_00024,40446,33926,19383
HSISS4_00025,22230,20124,9509
HSISS4_00026,14069,14376,6837
HSISS4_00027,51125,51445,25627
HSISS4_00028,2955,1011,872
HSISS4_00029,2062,819,590
HSISS4_00030,26138,27744,14809
HSISS4_00031,6334,7131,3033
HSISS4_00032,18048,17623,6259
HSISS4_00033,12392,2947,4857
HSISS4_00034,28570,10574,11596
HSISS4_00035,42650,44640,21711
HSISS4_00036,20026,17852,11138
HSISS4_00037,3686,5039,2513
HSISS4_00038,3975,4637,2551
HSISS4_00039,29155,31912,25942
HSISS4_00040,626,261,209
HSISS4_00041,1177,267,299
HSISS4_00042,969,195,886
HSISS4_00043,9916,6837,14325
HSISS4_00044,2800,419,8149
HSISS4_00045,4364,2675,5451
HSISS4_00046,4200,2022,4724
HSISS4_00047,33186,27523,65090
HSISS4_00048,32998,21350,75283
HSISS4_00049,22288,11014,110746
HSISS4_00050,84842,70957,54282
HSISS4_00051,15352,16742,40503
HSISS4_00052,4109,3536,9880
HSISS4_00053,4469,2579,3438
HSISS4_00054,5987,4703,12508
HSISS4_00055,66474,72766,149519
HSISS4_00056,30369,37555,64613
HSISS4_00057,386143,430624,341108
HSISS4_00058,224853,222594,168261
HSISS4_00059,4924,4171,4017
HSISS4_00060,4492,3390,3030
HSISS4_00061,42938,46882,33065
HSISS4_00062,10499,8703,15542
HSISS4_00063,21676,17595,25231
HSISS4_00064,35877,36273,22294
HSISS4_00065,14238,12480,6922
HSISS4_00066,11309,11337,6243
HSISS4_00067,4223,1501,2154
HSISS4_00068,26431,20136,18382
HSISS4_00069,8922,9209,7569
HSISS4_00070,45075,41022,70881
HSISS4_00071,7216,7682,7736
HSISS4_00072,6512,5001,6938
HSISS4_00073,12172,13483,13721
HSISS4_00074,1951,800,3115
HSISS4_00075,594,333,711
HSISS4_00076,191974,196835,143890
HSISS4_00077,145188,181937,116740
HSISS4_00078,594,178,155
HSISS4_00079,2957,2487,3957
HSISS4_00080,552,587,807
HSISS4_00081,1443,1795,2639
HSISS4_00082,583,637,1023
HSISS4_00083,1737,1730,2617
HSISS4_00084,1186,1012,1650
HSISS4_00085,1874,624,1607
HSISS4_00086,1307,424,1665
HSISS4_00087,1310035,1033443,749107
HSISS4_00088,99409,63154,62898
HSISS4_00089,9265,7800,11964
HSISS4_00090,2745,1784,1862
HSISS4_00091,25917,22193,16533
HSISS4_00092,6097,4545,6959
HSISS4_00093,9209,8112,11866
HSISS4_00094,8615,5826,11927
HSISS4_00095,53519,50833,44771
HSISS4_00096,34682,42913,35090
HSISS4_00097,131684,148026,190880
HSISS4_00098,44070,55227,62714
HSISS4_00099,12005,9886,5715
HSISS4_00100,5961,2930,3800
HSISS4_00101,2651,1515,2313
HSISS4_00102,3262,935,1736
HSISS4_00103,6213,3302,9997
HSISS4_00104,361,53,14
HSISS4_00105,117833,92842,73100
HSISS4_00106,55424,44099,59114
HSISS4_00107,35259,30620,18414
HSISS4_00108,5403,4504,4530
HSISS4_00109,5496,4042,3005
HSISS4_00110,10506,11053,8386
HSISS4_00111,6494,6570,6460
HSISS4_00112,25817,17793,13700
HSISS4_00113,4230,3039,2708
HSISS4_00114,36792,31068,39669
HSISS4_00115,8739,7687,11621
HSISS4_00116,22682,21040,31650
HSISS4_00117,22561,21093,20381
HSISS4_00118,10877,11197,16282
HSISS4_00119,1882,788,1612
HSISS4_00120,4689,1695,857
HSISS4_00121,107995,116983,101681
HSISS4_00122,1295,457,823
HSISS4_00123,65150,79037,51544
HSISS4_00124,20848,24569,18341
HSISS4_00125,39207,42179,31613
HSISS4_00126,14891,10427,11124
HSISS4_00127,3135,2689,5176
HSISS4_00128,13015,12134,13883
HSISS4_00129,16764,13768,13789
HSISS4_00130,15224,18535,26683
HSISS4_00131,31078,37620,38596
HSISS4_00132,22307,29301,22363
HSISS4_00133,7381,10011,7048
HSISS4_00134,38243,57264,53829
HSISS4_00135,3340,2778,3470
HSISS4_00136,10216,10836,12173
HSISS4_00137,16303,21151,23067
HSISS4_00138,4149,4782,8586
HSISS4_00139,7588,8721,14042
HSISS4_00140,7482,7024,13741
HSISS4_00141,3382,1905,3533
HSISS4_00142,93629,96845,71529
HSISS4_00143,11225,10572,9596
HSISS4_00144,124312,104373,90722
HSISS4_00145,4075,1135,3138
HSISS4_00146,2288,586,578
HSISS4_00147,39494,36604,42555
HSISS4_00148,18194,11098,28032
HSISS4_00149,21062,21899,20185
HSISS4_00150,24518,20241,20740
HSISS4_00151,41086,44727,35860
HSISS4_00152,71571,83442,67143
HSISS4_00153,31785,25901,14600
HSISS4_00154,16135,13194,8017
HSISS4_00155,9639,11936,12709
HSISS4_00156,59265,83652,99287
HSISS4_00157,7413,4772,4346
HSISS4_00158,1431,776,400
HSISS4_00159,11862,10694,8848
HSISS4_00160,3249,2197,1965
HSISS4_00161,29443,32515,27602
HSISS4_00162,6010,4958,5104
HSISS4_00163,6822,3822,6052
HSISS4_00164,31847,17314,25037
HSISS4_00165,7471,5687,6359
HSISS4_00166,2758,2251,1904
HSISS4_00167,1980,1507,1128
HSISS4_00168,65364,64426,33916
HSISS4_00169,5207,1825,2928
HSISS4_00170,13963,6493,12742
HSISS4_00171,1456,531,426
HSISS4_00172,1260,340,404
HSISS4_00173,1671,627,1580
HSISS4_00174,2314,877,1687
HSISS4_00175,3586,1886,3732
HSISS4_00176,1974,223,114
HSISS4_00177,4936,503,389
HSISS4_00178,21443,14560,26863
HSISS4_00179,15586,11383,18764
HSISS4_00180,8678,3596,11466
HSISS4_00181,34429,25780,72589
HSISS4_00182,56819,49428,74123
HSISS4_00183,15625,12255,14765
HSISS4_00184,1444,513,943
HSISS4_00185,14133,12001,21487
HSISS4_00186,22406,22367,14561
HSISS4_00187,63750,70187,80468
HSISS4_00188,31469,21114,18502
HSISS4_00189,32163,30854,27469
HSISS4_00190,63624,54828,52167
HSISS4_00191,4458,3710,2205
HSISS4_00192,77397,68285,62372
HSISS4_00193,31158,24357,40633
HSISS4_00194,9088,7041,7713
HSISS4_00195,950,370,687
HSISS4_00196,9734,10192,7419
HSISS4_00197,12550,11739,46682
HSISS4_00198,15970,9481,71162
HSISS4_00199,10532,7496,12203
HSISS4_00200,21313,18070,11495
HSISS4_00201,6563,3340,15129
HSISS4_00202,20830,25409,37041
HSISS4_00203,15088,16071,9648
HSISS4_00204,17307,15086,9718
HSISS4_00205,8943,8343,5690
HSISS4_00206,6775,4981,3653
HSISS4_00207,13953,11197,7623
HSISS4_00208,8956,5195,4218
HSISS4_00209,9017,8908,4237
HSISS4_00210,11651,10516,5600
HSISS4_00211,3269,2624,1555
HSISS4_00212,25979,16334,19801
HSISS4_00213,23006,15821,17769
HSISS4_00214,6789,4738,6146
HSISS4_00215,2777,1052,1944
HSISS4_00216,7082,3164,9637
HSISS4_00217,7193,3031,3167
HSISS4_10217,182,54,12
HSISS4_00218,50003,1903,1359
HSISS4_00219,25186,7067,18219
HSISS4_00220,3867,2153,14976
HSISS4_00221,11060,7224,15829
HSISS4_00222,4392,6164,5929
HSISS4_00223,7815,11288,10286
HSISS4_00224,25410,36438,31057
HSISS4_00225,3909,2140,2090
HSISS4_00226,5737,5382,3457
HSISS4_00227,5496,5139,3593
HSISS4_00228,8732,5600,6501
HSISS4_00229,10534,10878,8946
HSISS4_00230,8760,6121,8171
HSISS4_00231,10878,9885,10599
HSISS4_00232,48503,16823,27094
HSISS4_00233,33647,27095,17491
HSISS4_00234,23574,22580,6381
HSISS4_00235,13666,9466,4071
HSISS4_00236,13560,10750,5499
HSISS4_00237,11737,9704,15104
HSISS4_00238,13497,14382,14010
HSISS4_00239,6907,5038,8241
HSISS4_00240,9873,8806,7826
HSISS4_00241,6009,2961,5786
HSISS4_00242,3301,1864,3365
HSISS4_00243,6701,3935,4869
HSISS4_00244,4807,4659,4341
HSISS4_00245,15520,13069,16087
HSISS4_00246,91714,111143,76629
HSISS4_00247,57724,51806,48045
HSISS4_00248,8271,9876,9483
HSISS4_00249,23039,27503,25995
HSISS4_00250,17609,24930,19361
HSISS4_00251,36270,45279,44890
HSISS4_00252,2244,1762,1679
HSISS4_00253,42308,49217,16133
HSISS4_00254,3550,2592,6265
HSISS4_00255,46208,44191,38409
HSISS4_00256,29142,30959,22159
HSISS4_00257,56570,59642,40501
HSISS4_00258,52834,29227,21819
HSISS4_00259,84631,72254,33468
HSISS4_00260,63205,57970,19898
HSISS4_00261,106242,91501,37362
HSISS4_00262,9568,7226,5120
HSISS4_00263,11750,10011,6557
HSISS4_00264,33894,28228,18314
HSISS4_00265,8036,7522,4360
HSISS4_00266,12317,12408,4807
HSISS4_00267,38741,29721,22080
HSISS4_00268,12635,12820,5177
HSISS4_00269,39275,37174,12587
HSISS4_00270,7957,4776,2471
HSISS4_00271,10791,8664,2832
HSISS4_00272,118353,115521,47079
HSISS4_00273,14594,10454,9206
HSISS4_00274,2821,1614,3992
HSISS4_00275,14434,7209,5366
HSISS4_00276,26957,23403,16480
HSISS4_00277,18261,12971,27147
HSISS4_00278,15126,9584,34334
HSISS4_00279,3565,2312,10151
HSISS4_00280,3983,2358,9275
HSISS4_00281,4230,1778,10624
HSISS4_00282,51535,22691,77326
HSISS4_00283,31552,26476,39616
HSISS4_00284,54889,52181,62664
HSISS4_00285,9956,7975,8916
HSISS4_00286,4210,2546,4057
HSISS4_00287,32631,21119,21721
HSISS4_00288,21149,15021,11127
HSISS4_00289,29225,19714,15339
HSISS4_00290,28308,23842,15104
HSISS4_00291,39850,31643,22694
HSISS4_00292,21476,14905,24669
HSISS4_00293,41228,32505,24776
HSISS4_00294,3103,2362,4469
HSISS4_00295,1474,408,431
HSISS4_00296,849,228,151
HSISS4_00297,30425,11662,52822
HSISS4_00298,32866,16123,51033
HSISS4_00299,1683,286,1477
HSISS4_00300,30226,19682,26662
HSISS4_00301,2512,559,3851
HSISS4_00302,12894,7082,4765
HSISS4_00303,157572,174840,123875
HSISS4_00304,20478,15420,11204
HSISS4_00305,6817,3845,14975
HSISS4_00306,31732,17099,14493
HSISS4_00307,36295,21698,15440
HSISS4_00308,77410,65014,33114
HSISS4_00309,99381,65379,76011
HSISS4_00310,85346,65728,28046
HSISS4_00311,62180,40093,20669
HSISS4_00312,64741,32291,20942
HSISS4_00313,92310,61541,32841
HSISS4_00314,27560,16264,10372
HSISS4_00315,27288,11837,10525
HSISS4_00316,2023,700,537
HSISS4_00317,71601,48284,28605
HSISS4_00318,51898,31140,25187
HSISS4_00319,50877,39310,29111
HSISS4_00320,10620,7638,27733
HSISS4_00321,78522,75819,48187
HSISS4_00322,3288,2395,4708
HSISS4_00323,4382,3476,7212
HSISS4_00324,9748,9538,18265
HSISS4_00325,18885,19129,49403
HSISS4_00326,5785,4234,7094
HSISS4_00327,5999,4668,14198
HSISS4_00328,12617,11530,8674
HSISS4_00329,13799,12041,8042
HSISS4_00330,22323,18694,13637
HSISS4_00331,25165,17687,20395
HSISS4_00332,5449,4142,4615
HSISS4_00333,184143,163573,264662
HSISS4_00334,160819,173678,250221
HSISS4_00335,2895,2315,2412
HSISS4_00336,10307,5482,6911
HSISS4_00337,35069,34801,21289
HSISS4_00338,26278,26826,16903
HSISS4_00339,24706,22698,12971
HSISS4_00340,23974,23317,11601
HSISS4_00341,3186,1633,8214
HSISS4_00342,2543,1889,2325
HSISS4_00343,2671,1818,1750
HSISS4_00344,94054,136631,179486
HSISS4_00345,9234,4149,9367
HSISS4_00346,2216,994,3344
HSISS4_00347,2144,1332,1047
HSISS4_00348,9574,8095,5617
HSISS4_00349,8568,7333,7469
HSISS4_00350,1951,1760,4355
HSISS4_00351,5330,3072,4351
HSISS4_00352,5567,5405,4261
HSISS4_00353,9251,6977,6724
HSISS4_00354,34418,36482,35728
HSISS4_00355,33429,33440,36591
HSISS4_00356,19059,19175,9309
HSISS4_00357,3317,3749,1601
HSISS4_00358,55077,64964,31679
HSISS4_00359,12387,10836,10991
HSISS4_00360,3707,2892,5210
HSISS4_00361,25613,17449,28962
HSISS4_00362,6666,3600,8351
HSISS4_00363,62736,67030,51856
HSISS4_00364,3142,1775,1444
HSISS4_00365,3303,1661,1457
HSISS4_00366,4569,1905,8387
HSISS4_00367,162257,86252,87599
HSISS4_00368,2883,1615,1781
HSISS4_00369,42770,43438,37495
HSISS4_00370,10434,16044,32442
HSISS4_00371,5481,6009,10376
HSISS4_00372,77835,71337,60277
HSISS4_00373,6594,4280,1843
HSISS4_00374,52928,42083,14880
HSISS4_00375,11256,11522,18721
HSISS4_00376,1310,511,1100
HSISS4_00377,884,256,447
HSISS4_00378,4994,3333,17924
HSISS4_00379,6972,4247,21614
HSISS4_00380,9176,7194,65759
HSISS4_00381,55256,49295,125852
HSISS4_00382,3722,2423,2385
HSISS4_00383,5279,3552,4056
HSISS4_00384,1918,992,249
HSISS4_00385,1956,1051,396
HSISS4_00386,1100,524,356
HSISS4_00387,2131,862,883
HSISS4_00388,12057,12268,9738
HSISS4_00389,54860,56384,40242
HSISS4_00390,9230,9158,5633
HSISS4_00391,5655,4567,4865
HSISS4_00392,12505,12933,13043
HSISS4_00393,16569,16783,25517
HSISS4_00394,7542,6758,1995
HSISS4_00395,6159,6833,1805
HSISS4_00396,6399,4324,2110
HSISS4_00397,60385,63548,24079
HSISS4_00398,4758,1736,1759
HSISS4_00399,9309,9768,10395
HSISS4_00400,49859,18503,39308
HSISS4_00401,40242,24200,30353
HSISS4_00402,36719,19409,23306
HSISS4_00403,142482,109654,93647
HSISS4_00404,78680,48645,48664
HSISS4_00405,127737,120585,81502
HSISS4_00406,32256,31215,22181
HSISS4_00407,27280,23109,26693
HSISS4_00408,1642383,1846712,1098108
HSISS4_00409,220601,199542,164643
HSISS4_00410,100966,104436,66165
HSISS4_00411,4949,5527,5052
HSISS4_00412,7903,5724,5714
HSISS4_00413,7355,5062,4085
HSISS4_00414,2425,2337,2037
HSISS4_00415,9762,8931,10415
HSISS4_00416,2402,756,1405
HSISS4_00417,1038,688,1187
HSISS4_00418,6272,4274,5163
HSISS4_00419,8541,7547,9003
HSISS4_00420,1043,392,723
HSISS4_00421,1504,465,1074
HSISS4_00422,33359,31974,21701
HSISS4_00423,5330,5355,10310
HSISS4_00424,2599,1464,1449
HSISS4_00425,19612,17673,6329
HSISS4_00426,44978,45654,16713
HSISS4_00427,7002,7864,3418
HSISS4_00428,13530,10439,10192
HSISS4_00429,9167,5813,43617
HSISS4_00430,2826,1330,2015
HSISS4_00431,7196,6979,7747
HSISS4_00432,42162,28501,32212
HSISS4_00433,470,135,95
HSISS4_00434,750,166,268
HSISS4_00435,872,173,578
HSISS4_00436,25410,29670,61565
HSISS4_00437,11132,11582,10356
HSISS4_00438,4966,2943,3994
HSISS4_00439,9709,11326,9295
HSISS4_00440,8338,8807,12632
HSISS4_00441,19943,16975,20213
HSISS4_00442,13937,14629,10619
HSISS4_00443,13580,11239,9323
HSISS4_00444,47200,40271,27299
HSISS4_00445,1543,890,893
HSISS4_00446,8332,6578,3240
HSISS4_00447,4952,4280,2051
HSISS4_00448,11496,10230,5763
HSISS4_00449,122265,85795,181303
HSISS4_00450,116429,96771,158619
HSISS4_00451,230,45,9
HSISS4_00452,89,36,14
HSISS4_00453,919,197,74
HSISS4_00454,641,165,210
HSISS4_00455,16142,10739,18454
HSISS4_00456,6426,5269,7899
HSISS4_00457,6821,5864,10621
HSISS4_00458,9989,9277,6011
HSISS4_00459,8737,11363,12421
HSISS4_00460,6168,7796,8353
HSISS4_00461,13674,23763,102596
HSISS4_00462,5605,12292,38630
HSISS4_00463,3661,3311,2562
HSISS4_00464,5778,5297,9168
HSISS4_00465,725,526,1347
HSISS4_00466,3801,4799,16324
HSISS4_00467,2413,662,1085
HSISS4_00468,3620,1575,2121
HSISS4_00469,68792,98617,431234
HSISS4_00470,6345,5126,3275
HSISS4_00471,7609,6838,3875
HSISS4_00472,7436,6846,4196
HSISS4_00473,11140,9677,6410
HSISS4_00474,613,174,481
HSISS4_00475,1234,544,1140
HSISS4_00476,803,265,413
HSISS4_00477,695,242,316
HSISS4_00478,422,220,192
HSISS4_00479,835,176,302
HSISS4_00480,19568,15574,13572
HSISS4_00481,28923,27889,20835
HSISS4_00482,11062,10792,7910
HSISS4_00483,4205,4575,3247
HSISS4_00484,13992,13802,11908
HSISS4_00485,57256,65636,48466
HSISS4_00486,10457,9917,4535
HSISS4_00487,14371,12578,8184
HSISS4_00488,3610,1424,1115
HSISS4_00489,28173,24716,22068
HSISS4_00490,9000,7603,3684
HSISS4_00491,13109,11915,5805
HSISS4_00492,3750,2187,4193
HSISS4_00493,2978,1805,2036
HSISS4_00494,5305,5237,2808
HSISS4_00495,6064,5895,10707
HSISS4_00496,9353,8500,17735
HSISS4_00497,6408,5847,17184
HSISS4_00498,20361,22689,14285
HSISS4_00499,1741,1224,1276
HSISS4_00500,40679,39350,33932
HSISS4_00501,27678,25692,27970
HSISS4_00502,626,496,143
HSISS4_00503,5561,3159,1478
HSISS4_00504,3968,2701,1436
HSISS4_00505,6349,6166,6306
HSISS4_00506,7235,7941,8788
HSISS4_00507,10045,9868,6682
HSISS4_00508,15214,13082,10907
HSISS4_00509,2099,447,828
HSISS4_00510,2981,434,1638
HSISS4_00511,24198,18999,18677
HSISS4_00512,23884,22920,22621
HSISS4_00513,4590,1399,9841
HSISS4_00514,610521,573238,291827
HSISS4_00515,13075,12685,14660
HSISS4_00516,9190,4123,9053
HSISS4_00517,19133,13312,21476
HSISS4_00518,14050,13622,14400
HSISS4_00519,14407,9203,29052
HSISS4_00520,11849,11534,25364
HSISS4_00521,33833,41696,45303
HSISS4_00522,5359,4977,1474
HSISS4_00523,9898,7035,11318
HSISS4_00524,15394,14298,5132
HSISS4_00525,23186,24427,10606
HSISS4_00526,1623,737,332
HSISS4_00527,8084,3779,2876
HSISS4_00528,441,140,124
HSISS4_00529,1583,1251,3156
HSISS4_00530,6244,5483,4815
HSISS4_00531,8826,8090,4548
HSISS4_00532,16740,15892,21854
HSISS4_00533,5491,4655,13561
HSISS4_00534,2623,2390,2197
HSISS4_00535,7747,7191,8077
HSISS4_00536,6088,3204,5671
HSISS4_00537,13225,12658,13387
HSISS4_00538,3438,2846,1953
HSISS4_00539,2756,2202,1945
HSISS4_00540,14183,10890,14585
HSISS4_00541,13731,8361,13172
HSISS4_00542,59599,65467,24251
HSISS4_00543,11954,13968,8114
HSISS4_00544,23278,22421,17469
HSISS4_00545,5989,6348,4665
HSISS4_00546,25892,18946,20310
HSISS4_00547,48885,64490,80972
HSISS4_00548,15525,16565,9032
HSISS4_00549,13395,20054,9605
HSISS4_00550,5175,4086,18500
HSISS4_00551,638201,709317,359413
HSISS4_00552,7071,2895,62805
HSISS4_00553,32684,28036,43523
HSISS4_00554,20323,14357,10999
HSISS4_00555,12882,12340,5953
HSISS4_00556,17019,17266,8016
HSISS4_00557,22759,23289,10780
HSISS4_00558,26231,30769,13479
HSISS4_00559,25066,27302,14876
HSISS4_00560,8261,7111,5700
HSISS4_00561,3411,2520,1431
HSISS4_00562,14237,14589,10565
HSISS4_00563,5471,5966,3223
HSISS4_00564,10931,10559,6443
HSISS4_00565,21411,21760,15142
HSISS4_00566,1932,1537,631
HSISS4_00567,7881,7827,2586
HSISS4_00568,5635,6525,1689
